method,rej,seed
KSD,1,0
pKSD mc,0,0
KSDAGG,1,0
KSD,1,1
pKSD mc,0,1
KSDAGG,1,1
KSD,1,2
pKSD mc,0,2
KSDAGG,1,2
KSD,1,3
pKSD mc,0,3
KSDAGG,1,3
KSD,1,4
pKSD mc,0,4
KSDAGG,1,4
KSD,1,5
pKSD mc,0,5
KSDAGG,1,5
KSD,1,6
pKSD mc,0,6
KSDAGG,1,6
KSD,1,7
pKSD mc,0,7
KSDAGG,1,7
KSD,1,8
pKSD mc,0,8
KSDAGG,1,8
KSD,1,9
pKSD mc,0,9
KSDAGG,1,9
KSD,1,10
pKSD mc,0,10
KSDAGG,1,10
KSD,1,11
pKSD mc,0,11
KSDAGG,1,11
KSD,1,12
pKSD mc,1,12
KSDAGG,1,12
KSD,1,13
pKSD mc,0,13
KSDAGG,1,13
KSD,1,14
pKSD mc,0,14
KSDAGG,1,14
KSD,1,15
pKSD mc,0,15
KSDAGG,1,15
KSD,1,16
pKSD mc,0,16
KSDAGG,1,16
KSD,1,17
pKSD mc,0,17
KSDAGG,1,17
KSD,1,18
pKSD mc,1,18
KSDAGG,1,18
KSD,1,19
pKSD mc,1,19
KSDAGG,1,19
KSD,1,20
pKSD mc,1,20
KSDAGG,1,20
KSD,1,21
pKSD mc,0,21
KSDAGG,1,21
KSD,1,22
pKSD mc,0,22
KSDAGG,1,22
KSD,1,23
pKSD mc,0,23
KSDAGG,1,23
KSD,1,24
pKSD mc,0,24
KSDAGG,1,24
KSD,1,25
pKSD mc,0,25
KSDAGG,1,25
KSD,1,26
pKSD mc,0,26
KSDAGG,1,26
KSD,1,27
pKSD mc,1,27
KSDAGG,1,27
KSD,1,28
pKSD mc,1,28
KSDAGG,1,28
KSD,1,29
pKSD mc,0,29
KSDAGG,1,29
KSD,1,30
pKSD mc,1,30
KSDAGG,1,30
KSD,0,31
pKSD mc,0,31
KSDAGG,1,31
KSD,1,32
pKSD mc,0,32
KSDAGG,1,32
KSD,1,33
pKSD mc,1,33
KSDAGG,1,33
KSD,1,34
pKSD mc,0,34
KSDAGG,1,34
KSD,1,35
pKSD mc,0,35
KSDAGG,1,35
KSD,1,36
pKSD mc,1,36
KSDAGG,1,36
KSD,1,37
pKSD mc,0,37
KSDAGG,1,37
KSD,1,38
pKSD mc,0,38
KSDAGG,1,38
KSD,1,39
pKSD mc,1,39
KSDAGG,1,39
KSD,1,40
pKSD mc,1,40
KSDAGG,1,40
KSD,1,41
pKSD mc,1,41
KSDAGG,1,41
KSD,1,42
pKSD mc,0,42
KSDAGG,1,42
KSD,1,43
pKSD mc,0,43
KSDAGG,1,43
KSD,1,44
pKSD mc,0,44
KSDAGG,1,44
KSD,1,45
pKSD mc,1,45
KSDAGG,1,45
KSD,1,46
pKSD mc,0,46
KSDAGG,1,46
KSD,1,47
pKSD mc,0,47
KSDAGG,1,47
KSD,1,48
pKSD mc,0,48
KSDAGG,1,48
KSD,1,49
pKSD mc,0,49
KSDAGG,1,49
KSD,1,50
pKSD mc,0,50
KSDAGG,1,50
KSD,1,51
pKSD mc,0,51
KSDAGG,1,51
KSD,1,52
pKSD mc,1,52
KSDAGG,1,52
KSD,1,53
pKSD mc,0,53
KSDAGG,1,53
KSD,1,54
pKSD mc,0,54
KSDAGG,1,54
KSD,1,55
pKSD mc,0,55
KSDAGG,1,55
KSD,1,56
pKSD mc,1,56
KSDAGG,1,56
KSD,1,57
pKSD mc,1,57
KSDAGG,1,57
KSD,1,58
pKSD mc,0,58
KSDAGG,1,58
KSD,1,59
pKSD mc,0,59
KSDAGG,1,59
KSD,1,60
pKSD mc,0,60
KSDAGG,1,60
KSD,1,61
pKSD mc,0,61
KSDAGG,1,61
KSD,1,62
pKSD mc,0,62
KSDAGG,1,62
KSD,1,63
pKSD mc,0,63
KSDAGG,1,63
KSD,1,64
pKSD mc,0,64
KSDAGG,1,64
KSD,1,65
pKSD mc,0,65
KSDAGG,1,65
KSD,1,66
pKSD mc,0,66
KSDAGG,1,66
KSD,1,67
pKSD mc,1,67
KSDAGG,1,67
KSD,1,68
pKSD mc,0,68
KSDAGG,1,68
KSD,1,69
pKSD mc,0,69
KSDAGG,1,69
KSD,1,70
pKSD mc,1,70
KSDAGG,1,70
KSD,1,71
pKSD mc,1,71
KSDAGG,1,71
KSD,1,72
pKSD mc,1,72
KSDAGG,1,72
KSD,1,73
pKSD mc,0,73
KSDAGG,1,73
KSD,1,74
pKSD mc,0,74
KSDAGG,1,74
KSD,1,75
pKSD mc,0,75
KSDAGG,1,75
KSD,1,76
pKSD mc,0,76
KSDAGG,1,76
KSD,1,77
pKSD mc,1,77
KSDAGG,1,77
KSD,1,78
pKSD mc,0,78
KSDAGG,1,78
KSD,1,79
pKSD mc,0,79
KSDAGG,1,79
KSD,1,80
pKSD mc,0,80
KSDAGG,1,80
KSD,1,81
pKSD mc,0,81
KSDAGG,1,81
KSD,1,82
pKSD mc,0,82
KSDAGG,1,82
KSD,1,83
pKSD mc,0,83
KSDAGG,1,83
KSD,1,84
pKSD mc,0,84
KSDAGG,1,84
KSD,1,85
pKSD mc,0,85
KSDAGG,1,85
KSD,1,86
pKSD mc,1,86
KSDAGG,1,86
KSD,1,87
pKSD mc,0,87
KSDAGG,1,87
KSD,1,88
pKSD mc,0,88
KSDAGG,1,88
KSD,1,89
pKSD mc,0,89
KSDAGG,1,89
KSD,1,90
pKSD mc,0,90
KSDAGG,1,90
KSD,1,91
pKSD mc,0,91
KSDAGG,1,91
KSD,1,92
pKSD mc,0,92
KSDAGG,1,92
KSD,1,93
pKSD mc,0,93
KSDAGG,1,93
KSD,1,94
pKSD mc,0,94
KSDAGG,1,94
KSD,1,95
pKSD mc,0,95
KSDAGG,1,95
KSD,1,96
pKSD mc,1,96
KSDAGG,1,96
KSD,1,97
pKSD mc,0,97
KSDAGG,1,97
KSD,1,98
pKSD mc,1,98
KSDAGG,1,98
KSD,1,99
pKSD mc,0,99
KSDAGG,1,99
