n,best_std,p_value,seed,type
1000,0.8,0.033707865168539325,0,off-target
1000,1.04,0.2534332084893883,0,target
1000,1.04,0.26591760299625467,0,off-target no pert
1000,1.04,0.3295880149812734,0,target no pert
1000,0.8,0.02372034956304619,1,off-target
1000,1.12,0.39325842696629215,1,target
1000,1.12,0.3258426966292135,1,off-target no pert
1000,1.12,0.36704119850187267,1,target no pert
1000,0.8,0.7028714107365793,2,off-target
1000,1.04,0.418227215980025,2,target
1000,1.04,0.66541822721598,2,off-target no pert
1000,1.04,0.22596754057428214,2,target no pert
1000,0.8,0.06741573033707865,3,off-target
1000,1.0,0.66167290886392,3,target
1000,1.0,0.004993757802746567,3,off-target no pert
1000,1.0,0.5518102372034956,3,target no pert
1000,0.8,0.34581772784019976,4,off-target
1000,0.8400000000000001,0.26841448189762795,4,target
1000,0.8400000000000001,0.7428214731585518,4,off-target no pert
1000,0.8400000000000001,0.44569288389513106,4,target no pert
1000,0.8,0.818976279650437,5,off-target
1000,1.04,0.12109862671660425,5,target
1000,1.04,0.3445692883895131,5,off-target no pert
1000,1.04,0.9138576779026217,5,target no pert
1000,0.8,0.978776529338327,6,off-target
1000,1.16,0.9338327091136079,6,target
1000,1.16,0.45318352059925093,6,off-target no pert
1000,1.16,0.3732833957553059,6,target no pert
1000,0.8,0.7827715355805244,7,off-target
1000,0.92,0.3682896379525593,7,target
1000,0.92,0.8651685393258427,7,off-target no pert
1000,0.92,0.46441947565543074,7,target no pert
1000,0.8,0.682896379525593,8,off-target
1000,1.2,0.33083645443196,8,target
1000,1.2,0.1735330836454432,8,off-target no pert
1000,1.2,0.18102372034956304,8,target no pert
1000,0.8,0.24344569288389514,9,off-target
1000,1.16,0.27091136079900124,9,target
1000,1.16,0.9413233458177278,9,off-target no pert
1000,1.16,0.3682896379525593,9,target no pert
