n,best_std,p_value,seed,type
1000,1.4,0.41448189762796506,0,off-target
1000,0.65,0.23595505617977527,0,target
1000,0.65,0.7578027465667915,0,off-target no pert
1000,0.65,0.6903870162297129,0,target no pert
1000,1.4,0.02122347066167291,1,off-target
1000,0.65,0.5368289637952559,1,target
1000,0.65,0.4993757802746567,1,off-target no pert
1000,0.65,0.8776529338327091,1,target no pert
1000,0.9,0.46941323345817726,2,off-target
1000,1.15,0.9263420724094882,2,target
1000,1.15,0.3408239700374532,2,off-target no pert
1000,1.15,0.44818976279650435,2,target no pert
1000,0.7,0.0012484394506866417,3,off-target
1000,1.4,0.062421972534332085,3,target
1000,1.4,0.9225967540574282,3,off-target no pert
1000,1.4,0.17478152309612985,3,target no pert
1000,1.35,0.1947565543071161,4,off-target
1000,0.8500000000000001,0.2272159800249688,4,target
1000,0.8500000000000001,0.766541822721598,4,off-target no pert
1000,0.8500000000000001,0.41947565543071164,4,target no pert
1000,0.8500000000000001,0.031210986267166042,5,off-target
1000,0.6,0.4868913857677903,5,target
1000,0.6,0.616729088639201,5,off-target no pert
1000,0.6,0.6941323345817728,5,target no pert
1000,1.4,0.066167290886392,6,off-target
1000,1.4,0.132334581772784,6,target
1000,1.4,0.2546816479400749,6,off-target no pert
1000,1.4,0.4107365792759051,6,target no pert
1000,1.2000000000000002,0.0,7,off-target
1000,1.05,0.6367041198501873,7,target
1000,1.05,0.9912609238451935,7,off-target no pert
1000,1.05,0.4606741573033708,7,target no pert
1000,0.65,0.0,8,off-target
1000,0.7,0.850187265917603,8,target
1000,0.7,0.7290886392009988,8,off-target no pert
1000,0.7,0.33083645443196,8,target no pert
1000,1.35,0.0,9,off-target
1000,0.65,0.5493133583021224,9,target
1000,0.65,0.5468164794007491,9,off-target no pert
1000,0.65,0.682896379525593,9,target no pert
1000,1.2000000000000002,0.06367041198501873,10,off-target
1000,1.25,0.9038701622971286,10,target
1000,1.25,0.8651685393258427,10,off-target no pert
1000,1.25,0.9563046192259675,10,target no pert
1000,0.8,0.0,11,off-target
1000,1.3,0.17478152309612985,11,target
1000,1.3,0.8102372034956304,11,off-target no pert
1000,1.3,0.6928838951310862,11,target no pert
1000,1.25,0.0012484394506866417,12,off-target
1000,1.4,0.7865168539325843,12,target
1000,1.4,0.21473158551810237,12,off-target no pert
1000,1.4,0.11610486891385768,12,target no pert
1000,1.3,0.016229712858926344,13,off-target
1000,0.8500000000000001,0.8826466916354557,13,target
1000,0.8500000000000001,0.3096129837702871,13,off-target no pert
1000,0.8500000000000001,0.46192259675405745,13,target no pert
1000,1.3,0.016229712858926344,14,off-target
1000,1.0,0.10362047440699126,14,target
1000,1.0,0.66167290886392,14,off-target no pert
1000,1.0,0.38451935081148564,14,target no pert
1000,0.8,0.05493133583021224,15,off-target
1000,1.0,0.4918851435705368,15,target
1000,1.0,0.2184769038701623,15,off-target no pert
1000,1.0,0.3570536828963795,15,target no pert
1000,1.3,0.02746566791510612,16,off-target
1000,1.05,0.9126092384519351,16,target
1000,1.05,0.7915106117353309,16,off-target no pert
1000,1.05,0.07740324594257178,16,target no pert
1000,0.65,0.20724094881398253,17,off-target
1000,0.95,0.10362047440699126,17,target
1000,0.95,0.83270911360799,17,off-target no pert
1000,0.95,0.4756554307116105,17,target no pert
1000,0.6,0.0012484394506866417,18,off-target
1000,1.0,0.9563046192259675,18,target
1000,1.0,0.581772784019975,18,off-target no pert
1000,1.0,0.2596754057428215,18,target no pert
1000,1.2000000000000002,0.0898876404494382,19,off-target
1000,1.3,0.2883895131086142,19,target
1000,1.3,0.15480649188514356,19,off-target no pert
1000,1.3,0.2421972534332085,19,target no pert
1000,0.75,0.0299625468164794,20,off-target
1000,1.1,0.8951310861423221,20,target
1000,1.1,0.8776529338327091,20,off-target no pert
1000,1.1,0.21098626716604243,20,target no pert
1000,0.7,0.0012484394506866417,21,off-target
1000,0.9,0.16853932584269662,21,target
1000,0.9,0.519350811485643,21,off-target no pert
1000,0.9,0.08739076154806492,21,target no pert
1000,0.65,0.018726591760299626,22,off-target
1000,1.35,0.35580524344569286,22,target
1000,1.35,0.9488139825218477,22,off-target no pert
1000,1.35,0.6067415730337079,22,target no pert
1000,1.1,0.16978776529338327,23,off-target
1000,0.75,0.6129837702871411,23,target
1000,0.75,0.2634207240948814,23,off-target no pert
1000,0.75,0.26217228464419473,23,target no pert
1000,0.8,0.0012484394506866417,24,off-target
1000,0.9,0.19350811485642946,24,target
1000,0.9,0.5305867665418227,24,off-target no pert
1000,0.9,0.6504369538077404,24,target no pert
1000,1.3,0.003745318352059925,25,off-target
1000,1.5,0.7677902621722846,25,target
1000,1.5,0.24094881398252185,25,off-target no pert
1000,1.5,0.7690387016229713,25,target no pert
1000,0.7,0.0024968789013732834,26,off-target
1000,1.15,0.7690387016229713,26,target
1000,1.15,0.23345817727840198,26,off-target no pert
1000,1.15,0.1760299625468165,26,target no pert
1000,0.65,0.01373283395755306,27,off-target
1000,1.4500000000000002,0.9038701622971286,27,target
1000,1.4500000000000002,0.5730337078651685,27,off-target no pert
1000,1.4500000000000002,0.19975031210986266,27,target no pert
1000,1.3,0.0012484394506866417,28,off-target
1000,1.15,0.8114856429463171,28,target
1000,1.15,0.2272159800249688,28,off-target no pert
1000,1.15,0.23096129837702872,28,target no pert
1000,1.4,0.003745318352059925,29,off-target
1000,0.55,0.8002496878901373,29,target
1000,0.55,0.17228464419475656,29,off-target no pert
1000,0.55,0.9388264669163545,29,target no pert
1000,1.15,0.0986267166042447,30,off-target
1000,1.4500000000000002,0.9076154806491885,30,target
1000,1.4500000000000002,0.6142322097378277,30,off-target no pert
1000,1.4500000000000002,0.24719101123595505,30,target no pert
1000,1.25,0.0,31,off-target
1000,0.8,0.6666666666666666,31,target
1000,0.8,0.29463171036204744,31,off-target no pert
1000,0.8,0.2883895131086142,31,target no pert
1000,0.65,0.006242197253433208,32,off-target
1000,1.15,0.45692883895131087,32,target
1000,1.15,0.8302122347066168,32,off-target no pert
1000,1.15,0.6329588014981273,32,target no pert
1000,1.35,0.01373283395755306,33,off-target
1000,1.4500000000000002,0.42946317103620474,33,target
1000,1.4500000000000002,0.6404494382022472,33,off-target no pert
1000,1.4500000000000002,0.5792759051186017,33,target no pert
1000,1.15,0.052434456928838954,34,off-target
1000,1.3,0.6741573033707865,34,target
1000,1.3,0.83270911360799,34,off-target no pert
1000,1.3,0.4344569288389513,34,target no pert
1000,1.3,0.017478152309612985,35,off-target
1000,1.35,0.846441947565543,35,target
1000,1.35,0.8077403245942572,35,off-target no pert
1000,1.35,0.5605493133583022,35,target no pert
1000,1.3,0.02746566791510612,36,off-target
1000,1.4500000000000002,0.32209737827715357,36,target
1000,1.4500000000000002,0.5568039950062422,36,off-target no pert
1000,1.4500000000000002,0.3620474406991261,36,target no pert
1000,1.25,0.009987515605493134,37,off-target
1000,1.0,0.6479400749063671,37,target
1000,1.0,0.9425717852684145,37,off-target no pert
1000,1.0,0.9325842696629213,37,target no pert
1000,1.3,0.0024968789013732834,38,off-target
1000,1.3,0.651685393258427,38,target
1000,1.3,0.38701622971285893,38,off-target no pert
1000,1.3,0.4431960049937578,38,target no pert
1000,0.8,0.00749063670411985,39,off-target
1000,0.8,0.7403245942571786,39,target
1000,0.8,0.7852684144818977,39,off-target no pert
1000,0.8,0.9488139825218477,39,target no pert
1000,1.35,0.09488139825218476,40,off-target
1000,1.1,0.616729088639201,40,target
1000,1.1,0.18726591760299627,40,off-target no pert
1000,1.1,0.19225967540574282,40,target no pert
1000,0.8,0.0,41,off-target
1000,1.1,0.6479400749063671,41,target
1000,1.1,0.47440699126092384,41,off-target no pert
1000,1.1,0.8414481897627965,41,target no pert
1000,0.75,0.0898876404494382,42,off-target
1000,0.8,0.17228464419475656,42,target
1000,0.8,0.9225967540574282,42,off-target no pert
1000,0.8,0.07865168539325842,42,target no pert
1000,0.75,0.0024968789013732834,43,off-target
1000,1.05,0.66167290886392,43,target
1000,1.05,0.5955056179775281,43,off-target no pert
1000,1.05,0.6716604244694132,43,target no pert
1000,0.65,0.003745318352059925,44,off-target
1000,1.35,0.50187265917603,44,target
1000,1.35,0.8114856429463171,44,off-target no pert
1000,1.35,0.8264669163545568,44,target no pert
1000,0.75,0.008739076154806492,45,off-target
1000,0.5,0.6878901373283396,45,target
