n,p_value,var_est,seed,type
500,0.0,1.9999999315429164,0,off-target
500,0.073,0.0,0,off-target noiseless
500,0.934,1.0,0,target
500,0.035,0.0,0,target noiseless
500,0.0,1.9999999315429164,1,off-target
500,0.183,0.0,1,off-target noiseless
500,0.618,4.0,1,target
500,0.661,0.0,1,target noiseless
500,0.0,11.313708832051418,2,off-target
500,0.045,0.0,2,off-target noiseless
500,0.593,64.0,2,target
500,0.134,0.0,2,target noiseless
500,0.0,13.125368198162107,3,off-target
500,0.006,0.0,3,off-target noiseless
500,0.168,4.0,3,target
500,0.348,0.0,3,target noiseless
500,0.0,4.0,4,off-target
500,0.048,0.0,4,off-target noiseless
500,0.605,256.0,4,target
500,0.924,0.0,4,target noiseless
500,0.0,4.0,5,off-target
500,0.032,0.0,5,off-target noiseless
500,0.907,16.0,5,target
500,0.682,0.0,5,target noiseless
500,0.0,1.0,6,off-target
500,0.0,0.0,6,off-target noiseless
500,0.454,1.0,6,target
500,0.917,0.0,6,target noiseless
500,0.0,13.125368198162107,7,off-target
500,0.002,0.0,7,off-target noiseless
500,0.747,64.0,7,target
500,0.737,0.0,7,target noiseless
500,0.0,4.0,8,off-target
500,0.032,0.0,8,off-target noiseless
500,0.46,4096.0,8,target
500,0.447,0.0,8,target noiseless
500,0.0,4.0,9,off-target
500,0.394,0.0,9,off-target noiseless
500,0.177,90.50969850289766,9,target
500,0.507,0.0,9,target noiseless
500,0.0,1.9999999315429164,10,off-target
500,0.009,0.0,10,off-target noiseless
500,0.885,10.079368151265555,10,target
500,0.169,0.0,10,target noiseless
500,0.065,64.0,11,off-target
500,0.075,0.0,11,off-target noiseless
500,0.619,16.0,11,target
500,0.865,0.0,11,target noiseless
500,0.0,1.9999999315429164,12,off-target
500,0.001,0.0,12,off-target noiseless
500,0.136,64.0,12,target
500,0.96,0.0,12,target noiseless
500,0.0,4.0,13,off-target
500,0.185,0.0,13,off-target noiseless
500,0.633,1.0,13,target
500,0.475,0.0,13,target noiseless
500,0.0,4.0,14,off-target
500,0.307,0.0,14,off-target noiseless
500,0.783,0.25,14,target
500,0.873,0.0,14,target noiseless
500,0.0,4.0,15,off-target
500,0.076,0.0,15,off-target noiseless
500,0.771,256.0,15,target
500,0.08,0.0,15,target noiseless
500,0.0,1.9999999315429164,16,off-target
500,0.104,0.0,16,off-target noiseless
500,0.872,1.0,16,target
500,0.293,0.0,16,target noiseless
500,0.0,4.0,17,off-target
500,0.267,0.0,17,off-target noiseless
500,0.809,20.158740574294143,17,target
500,0.637,0.0,17,target noiseless
500,0.0,1.9999999315429164,18,off-target
500,0.034,0.0,18,off-target noiseless
500,0.62,64.0,18,target
500,0.305,0.0,18,target noiseless
500,0.0,4.0,19,off-target
500,0.003,0.0,19,off-target noiseless
500,0.376,16.0,19,target
500,0.423,0.0,19,target noiseless
500,0.0,0.4999999828857291,20,off-target
500,0.045,0.0,20,off-target noiseless
500,0.742,16.0,20,target
500,0.171,0.0,20,target noiseless
500,0.0,1.9999999315429164,21,off-target
500,0.197,0.0,21,off-target noiseless
500,0.682,0.25,21,target
500,0.511,0.0,21,target noiseless
500,0.0,1.9999999315429164,22,off-target
500,0.222,0.0,22,off-target noiseless
500,0.978,64.0,22,target
500,0.157,0.0,22,target noiseless
500,0.0,1.9999999315429164,23,off-target
500,0.003,0.0,23,off-target noiseless
500,0.566,16.0,23,target
500,0.964,0.0,23,target noiseless
500,0.0,1.9999999315429164,24,off-target
500,0.033,0.0,24,off-target noiseless
500,0.77,1024.0,24,target
500,0.41,0.0,24,target noiseless
500,0.0,13.454344558009325,25,off-target
500,0.006,0.0,25,off-target noiseless
500,0.032,4.0,25,target
500,0.162,0.0,25,target noiseless
500,0.0,4.0,26,off-target
500,0.048,0.0,26,off-target noiseless
500,0.605,64.0,26,target
500,0.483,0.0,26,target noiseless
500,0.0,13.454344558009325,27,off-target
500,0.275,0.0,27,off-target noiseless
500,0.4,4.0,27,target
500,0.35,0.0,27,target noiseless
500,0.0,2.8284272080128545,28,off-target
500,0.052,0.0,28,off-target noiseless
500,0.477,64.0,28,target
500,0.291,0.0,28,target noiseless
500,0.0,4.0,29,off-target
500,0.037,0.0,29,off-target noiseless
500,0.659,4.0,29,target
500,0.874,0.0,29,target noiseless
500,0.0,4.0,30,off-target
500,0.022,0.0,30,off-target noiseless
500,0.791,16.0,30,target
500,0.549,0.0,30,target noiseless
500,0.0,1.4142137555786718,31,off-target
500,0.0,0.0,31,off-target noiseless
500,0.31,256.0,31,target
500,0.379,0.0,31,target noiseless
500,0.0,16.0,32,off-target
500,0.0,0.0,32,off-target noiseless
500,0.273,64.0,32,target
500,0.642,0.0,32,target noiseless
500,0.0,13.125368198162107,33,off-target
500,0.006,0.0,33,off-target noiseless
500,0.913,16.0,33,target
500,0.203,0.0,33,target noiseless
500,0.0,1.9999999315429164,34,off-target
500,0.019,0.0,34,off-target noiseless
500,0.831,64.0,34,target
500,0.097,0.0,34,target noiseless
500,0.0,4.0,35,off-target
500,0.0,0.0,35,off-target noiseless
500,0.753,0.0625,35,target
500,0.799,0.0,35,target noiseless
500,0.0,4.0,36,off-target
