n,best_std,p_value,seed,type
1000,1.4500000000000002,0.0,0,off-target
1000,0.5,0.7528089887640449,0,target
1000,0.5,0.7927590511860175,0,off-target no pert
1000,0.5,0.7228464419475655,0,target no pert
1000,1.5,0.0,1,off-target
1000,1.35,0.9887640449438202,1,target
1000,1.35,0.008739076154806492,1,off-target no pert
1000,1.35,0.885143570536829,1,target no pert
1000,1.4500000000000002,0.0,2,off-target
1000,1.2000000000000002,0.18476903870162298,2,target
1000,1.2000000000000002,0.19850187265917604,2,off-target no pert
1000,1.2000000000000002,0.1972534332084894,2,target no pert
1000,0.55,0.0,3,off-target
1000,1.5,0.9388264669163545,3,target
1000,1.5,0.2858926342072409,3,off-target no pert
1000,1.5,0.9225967540574282,3,target no pert
1000,1.4500000000000002,0.0,4,off-target
1000,0.95,0.4606741573033708,4,target
1000,0.95,0.7203495630461922,4,off-target no pert
1000,0.95,0.39575530586766544,4,target no pert
1000,0.55,0.0,5,off-target
1000,1.4500000000000002,0.8314606741573034,5,target
1000,1.4500000000000002,0.03620474406991261,5,off-target no pert
1000,1.4500000000000002,0.0449438202247191,5,target no pert
1000,1.35,0.0,6,off-target
1000,0.5,0.83270911360799,6,target
1000,0.5,0.9875156054931336,6,off-target no pert
1000,0.5,0.06741573033707865,6,target no pert
1000,0.5,0.0,7,off-target
1000,1.4,0.8476903870162297,7,target
1000,1.4,0.5181023720349563,7,off-target no pert
1000,1.4,0.2184769038701623,7,target no pert
1000,1.5,0.0,8,off-target
1000,1.5,0.5568039950062422,8,target
1000,1.5,0.40574282147315854,8,off-target no pert
1000,1.5,0.9525593008739076,8,target no pert
1000,0.7,0.0,9,off-target
1000,1.15,0.7465667915106118,9,target
1000,1.15,0.2671660424469413,9,off-target no pert
1000,1.15,0.6691635455680399,9,target no pert
1000,1.4500000000000002,0.0,10,off-target
1000,0.6,0.2272159800249688,10,target
1000,0.6,0.1735330836454432,10,off-target no pert
1000,0.6,0.365792759051186,10,target no pert
1000,1.35,0.0,11,off-target
1000,1.4500000000000002,0.6254681647940075,11,target
1000,1.4500000000000002,0.7815230961298377,11,off-target no pert
1000,1.4500000000000002,0.9500624219725343,11,target no pert
1000,1.4,0.0,12,off-target
1000,0.65,0.7465667915106118,12,target
1000,0.65,0.3383270911360799,12,off-target no pert
1000,0.65,0.28714107365792757,12,target no pert
1000,1.4500000000000002,0.0,13,off-target
1000,0.7,0.20973782771535582,13,target
1000,0.7,0.9213483146067416,13,off-target no pert
1000,0.7,0.5343320848938826,13,target no pert
1000,0.6,0.0,14,off-target
1000,1.35,0.2222222222222222,14,target
1000,1.35,0.5930087390761548,14,off-target no pert
1000,1.35,0.7166042446941323,14,target no pert
1000,1.4,0.0,15,off-target
1000,0.55,0.16853932584269662,15,target
1000,0.55,0.4656679151061174,15,off-target no pert
1000,0.55,0.250936329588015,15,target no pert
1000,1.4,0.0,16,off-target
1000,1.1,0.17852684144818975,16,target
1000,1.1,0.7191011235955056,16,off-target no pert
1000,1.1,0.12359550561797752,16,target no pert
1000,1.4500000000000002,0.0,17,off-target
1000,1.05,0.7677902621722846,17,target
1000,1.05,0.37952559300873906,17,off-target no pert
1000,1.05,0.3445692883895131,17,target no pert
1000,1.5,0.0,18,off-target
1000,1.15,0.40823970037453183,18,target
1000,1.15,0.1585518102372035,18,off-target no pert
1000,1.15,0.762796504369538,18,target no pert
1000,1.5,0.0,19,off-target
1000,1.2000000000000002,0.36079900124843944,19,target
1000,1.2000000000000002,0.6679151061173533,19,off-target no pert
1000,1.2000000000000002,0.1285892634207241,19,target no pert
1000,0.55,0.0,20,off-target
1000,0.7,0.951310861423221,20,target
1000,0.7,0.8526841448189763,20,off-target no pert
1000,0.7,0.019975031210986267,20,target no pert
1000,0.6,0.0,21,off-target
1000,0.5,0.43570536828963796,21,target
1000,0.5,0.23595505617977527,21,off-target no pert
1000,0.5,0.10112359550561797,21,target no pert
1000,0.7,0.0,22,off-target
1000,1.4,0.3283395755305868,22,target
1000,1.4,0.9725343320848939,22,off-target no pert
1000,1.4,0.06491885143570537,22,target no pert
1000,1.35,0.0,23,off-target
1000,1.4,0.35081148564294634,23,target
1000,1.4,0.6791510611735331,23,off-target no pert
1000,1.4,0.8014981273408239,23,target no pert
1000,1.4,0.0,24,off-target
1000,1.4,0.0012484394506866417,24,target
1000,1.4,0.7553058676654182,24,off-target no pert
1000,1.4,0.12609238451935081,24,target no pert
1000,1.4500000000000002,0.0,25,off-target
1000,1.2000000000000002,0.7702871410736579,25,target
1000,1.2000000000000002,0.264669163545568,25,off-target no pert
1000,1.2000000000000002,0.682896379525593,25,target no pert
1000,0.6,0.0,26,off-target
1000,0.55,0.3545568039950062,26,target
1000,0.55,0.18476903870162298,26,off-target no pert
1000,0.55,0.6766541822721598,26,target no pert
1000,0.7,0.0,27,off-target
1000,0.65,0.12983770287141075,27,target
1000,0.65,0.7203495630461922,27,off-target no pert
1000,0.65,0.6429463171036205,27,target no pert
1000,1.4500000000000002,0.0,28,off-target
1000,1.5,0.7303370786516854,28,target
1000,1.5,0.9350811485642946,28,off-target no pert
1000,1.5,0.1373283395755306,28,target no pert
