n,best_std,p_value,seed,type
1000,0.75,0.4094881398252185,0,off-target
1000,1.4500000000000002,0.12109862671660425,0,target
1000,1.4500000000000002,0.5006242197253433,0,off-target no pert
1000,1.4500000000000002,0.3533083645443196,0,target no pert
1000,1.25,0.00749063670411985,1,off-target
1000,0.9,0.03245942571785269,1,target
1000,0.9,0.7290886392009988,1,off-target no pert
1000,0.9,0.7553058676654182,1,target no pert
1000,0.75,0.0,2,off-target
1000,0.6,0.052434456928838954,2,target
1000,0.6,0.5780274656679151,2,off-target no pert
1000,0.6,0.8214731585518102,2,target no pert
1000,1.25,0.0,3,off-target
1000,1.3,0.602996254681648,3,target
1000,1.3,0.14606741573033707,3,off-target no pert
1000,1.3,0.4394506866416979,3,target no pert
1000,1.35,0.018726591760299626,4,off-target
1000,0.75,0.6392009987515606,4,target
1000,0.75,0.7740324594257179,4,off-target no pert
1000,0.75,0.1797752808988764,4,target no pert
1000,0.75,0.0,5,off-target
1000,1.4500000000000002,0.7440699126092385,5,target
1000,1.4500000000000002,0.12484394506866417,5,off-target no pert
1000,1.4500000000000002,0.1797752808988764,5,target no pert
1000,0.65,0.004993757802746567,6,off-target
1000,1.15,0.49063670411985016,6,target
1000,1.15,0.8389513108614233,6,off-target no pert
1000,1.15,0.6379525593008739,6,target no pert
1000,1.15,0.06991260923845194,7,off-target
1000,1.25,0.1560549313358302,7,target
1000,1.25,0.8426966292134831,7,off-target no pert
1000,1.25,0.8876404494382022,7,target no pert
1000,0.7,0.0,8,off-target
1000,0.8,0.16853932584269662,8,target
1000,0.8,0.5230961298377028,8,off-target no pert
1000,0.8,0.5380774032459426,8,target no pert
1000,0.65,0.0,9,off-target
1000,0.6,0.6042446941323346,9,target
1000,0.6,0.6891385767790262,9,off-target no pert
1000,0.6,0.02746566791510612,9,target no pert
1000,1.35,0.011235955056179775,10,off-target
1000,1.35,0.44818976279650435,10,target
1000,1.35,0.42696629213483145,10,off-target no pert
1000,1.35,0.12609238451935081,10,target no pert
1000,0.65,0.0012484394506866417,11,off-target
1000,0.75,0.15980024968789014,11,target
1000,0.75,0.317103620474407,11,off-target no pert
1000,0.75,0.5230961298377028,11,target no pert
1000,0.7,0.004993757802746567,12,off-target
1000,1.15,0.42197253433208487,12,target
1000,1.15,0.2546816479400749,12,off-target no pert
1000,1.15,0.6566791510611736,12,target no pert
1000,0.7,0.0,13,off-target
1000,1.35,0.8564294631710362,13,target
1000,1.35,0.8726591760299626,13,off-target no pert
1000,1.35,0.017478152309612985,13,target no pert
1000,0.65,0.0,14,off-target
1000,1.0,0.15980024968789014,14,target
1000,1.0,0.7215980024968789,14,off-target no pert
1000,1.0,0.6966292134831461,14,target no pert
1000,1.25,0.018726591760299626,15,off-target
1000,1.2000000000000002,0.11735330836454431,15,target
1000,1.2000000000000002,0.533083645443196,15,off-target no pert
1000,1.2000000000000002,0.4307116104868914,15,target no pert
1000,0.8,0.05493133583021224,16,off-target
1000,1.05,0.5630461922596754,16,target
1000,1.05,0.7990012484394506,16,off-target no pert
1000,1.05,0.8127340823970037,16,target no pert
1000,1.25,0.18851435705368288,17,off-target
1000,0.75,0.011235955056179775,17,target
1000,0.75,0.9338327091136079,17,off-target no pert
1000,0.75,0.5218476903870163,17,target no pert
1000,1.2000000000000002,0.0,18,off-target
1000,0.5,0.920099875156055,18,target
1000,0.5,0.4044943820224719,18,off-target no pert
1000,0.5,0.4419475655430712,18,target no pert
1000,1.2000000000000002,0.5455680399500624,19,off-target
1000,0.8500000000000001,0.5181023720349563,19,target
1000,0.8500000000000001,0.11860174781523096,19,off-target no pert
1000,0.8500000000000001,0.8514357053682896,19,target no pert
1000,0.75,0.03245942571785269,20,off-target
1000,1.25,0.7590511860174781,20,target
1000,1.25,0.7340823970037453,20,off-target no pert
1000,1.25,0.03495630461922597,20,target no pert
1000,0.8500000000000001,0.004993757802746567,21,off-target
1000,1.15,0.9400749063670412,21,target
1000,1.15,0.6641697877652933,21,off-target no pert
1000,1.15,0.6978776529338327,21,target no pert
1000,1.25,0.017478152309612985,22,off-target
1000,1.5,0.7990012484394506,22,target
1000,1.5,0.3495630461922597,22,off-target no pert
1000,1.5,0.9275905118601748,22,target no pert
1000,1.2000000000000002,0.016229712858926344,23,off-target
1000,1.25,0.05742821473158552,23,target
1000,1.25,0.47440699126092384,23,off-target no pert
1000,1.25,0.36704119850187267,23,target no pert
1000,0.75,0.0,24,off-target
1000,1.15,0.8838951310861424,24,target
1000,1.15,0.8601747815230961,24,off-target no pert
1000,1.15,0.26841448189762795,24,target no pert
1000,1.25,0.0024968789013732834,25,off-target
1000,1.0,0.8701622971285893,25,target
1000,1.0,0.5493133583021224,25,off-target no pert
1000,1.0,0.7228464419475655,25,target no pert
1000,1.25,0.13857677902621723,26,off-target
1000,0.8,0.15980024968789014,26,target
