n,best_std,p_value,seed,type
1000,0.65,0.0,0,off-target
1000,1.1,0.46941323345817726,0,target
1000,1.1,0.9126092384519351,0,off-target no pert
1000,1.1,0.5905118601747815,0,target no pert
1000,1.25,0.0,1,off-target
1000,1.35,0.056179775280898875,1,target
1000,1.35,0.08489388264669163,1,off-target no pert
1000,1.35,0.46441947565543074,1,target no pert
1000,0.65,0.003745318352059925,2,off-target
1000,1.05,0.8776529338327091,2,target
1000,1.05,0.48564294631710364,2,off-target no pert
1000,1.05,0.38701622971285893,2,target no pert
1000,1.3,0.0,3,off-target
1000,1.5,0.8077403245942572,3,target
1000,1.5,0.317103620474407,3,off-target no pert
1000,1.5,0.8052434456928839,3,target no pert
1000,1.3,0.00749063670411985,4,off-target
1000,1.0,0.365792759051186,4,target
1000,1.0,0.15355805243445692,4,off-target no pert
1000,1.0,0.8514357053682896,4,target no pert
1000,1.3,0.0,5,off-target
1000,1.35,0.43820224719101125,5,target
1000,1.35,0.7116104868913857,5,off-target no pert
1000,1.35,0.05368289637952559,5,target no pert
1000,1.35,0.0012484394506866417,6,off-target
1000,1.05,0.8439450686641697,6,target
1000,1.05,0.7815230961298377,6,off-target no pert
1000,1.05,0.29213483146067415,6,target no pert
1000,0.75,0.02871410736579276,7,off-target
1000,1.2000000000000002,0.2484394506866417,7,target
1000,1.2000000000000002,0.46941323345817726,7,off-target no pert
1000,1.2000000000000002,0.7640449438202247,7,target no pert
1000,1.3,0.0,8,off-target
1000,1.35,0.6067415730337079,8,target
1000,1.35,0.4993757802746567,8,off-target no pert
1000,1.35,0.9375780274656679,8,target no pert
1000,0.7,0.0,9,off-target
1000,1.0,0.7578027465667915,9,target
1000,1.0,0.9001248439450686,9,off-target no pert
1000,1.0,0.012484394506866416,9,target no pert
1000,1.3,0.13108614232209737,10,off-target
1000,1.1,0.12484394506866417,10,target
1000,1.1,0.5143570536828964,10,off-target no pert
1000,1.1,0.4444444444444444,10,target no pert
1000,0.7,0.0,11,off-target
1000,0.9,0.7927590511860175,11,target
1000,0.9,0.4094881398252185,11,off-target no pert
1000,0.9,0.951310861423221,11,target no pert
1000,1.4,0.0,12,off-target
1000,0.55,0.6154806491885143,12,target
1000,0.55,0.09238451935081149,12,off-target no pert
1000,0.55,0.37702871410736577,12,target no pert
1000,0.8,0.08239700374531835,13,off-target
1000,0.7,0.6891385767790262,13,target
1000,0.7,0.8014981273408239,13,off-target no pert
1000,0.7,0.9300873907615481,13,target no pert
1000,0.6,0.07116104868913857,14,off-target
1000,1.1,0.9126092384519351,14,target
1000,1.1,0.4631710362047441,14,off-target no pert
1000,1.1,0.5842696629213483,14,target no pert
1000,0.8,0.02122347066167291,15,off-target
1000,0.8,0.24094881398252185,15,target
1000,0.8,0.6466916354556804,15,off-target no pert
1000,0.8,0.6192259675405742,15,target no pert
1000,0.7,0.0,16,off-target
1000,0.75,0.2933832709113608,16,target
1000,0.75,0.4993757802746567,16,off-target no pert
1000,0.75,0.5305867665418227,16,target no pert
1000,1.2000000000000002,0.0,17,off-target
1000,1.0,0.11860174781523096,17,target
1000,1.0,0.6454431960049938,17,off-target no pert
1000,1.0,0.9250936329588015,17,target no pert
1000,0.75,0.0,18,off-target
1000,1.4,0.5667915106117354,18,target
1000,1.4,0.49563046192259674,18,off-target no pert
1000,1.4,0.9400749063670412,18,target no pert
1000,1.2000000000000002,0.04369538077403246,19,off-target
1000,1.25,0.066167290886392,19,target
1000,1.25,0.7890137328339576,19,off-target no pert
1000,1.25,0.35830212234706615,19,target no pert
1000,0.65,0.0,20,off-target
1000,1.5,0.4918851435705368,20,target
1000,1.5,0.6978776529338327,20,off-target no pert
1000,1.5,0.5580524344569289,20,target no pert
1000,0.75,0.003745318352059925,21,off-target
1000,0.5,0.850187265917603,21,target
1000,0.5,0.6054931335830213,21,off-target no pert
1000,0.5,0.10611735330836454,21,target no pert
1000,1.3,0.3096129837702871,22,off-target
1000,1.2000000000000002,0.3433208489388265,22,target
1000,1.2000000000000002,0.1947565543071161,22,off-target no pert
1000,1.2000000000000002,0.38202247191011235,22,target no pert
1000,0.6,0.0,23,off-target
1000,0.55,0.20224719101123595,23,target
1000,0.55,0.31585518102372034,23,off-target no pert
1000,0.55,0.9338327091136079,23,target no pert
1000,1.4,0.0,24,off-target
1000,0.6,0.046192259675405745,24,target
1000,0.6,0.7453183520599251,24,off-target no pert
1000,0.6,0.2671660424469413,24,target no pert
1000,1.4,0.0012484394506866417,25,off-target
1000,1.3,0.7116104868913857,25,target
1000,1.3,0.39325842696629215,25,off-target no pert
1000,1.3,0.0898876404494382,25,target no pert
1000,0.6,0.1947565543071161,26,off-target
1000,1.3,0.8564294631710362,26,target
1000,1.3,0.4431960049937578,26,off-target no pert
1000,1.3,0.8202247191011236,26,target no pert
1000,0.55,0.011235955056179775,27,off-target
1000,0.75,0.05118601747815231,27,target
1000,0.75,0.885143570536829,27,off-target no pert
1000,0.75,0.10861423220973783,27,target no pert
1000,0.75,0.0,28,off-target
1000,0.5,0.6379525593008739,28,target
1000,0.5,0.15106117353308365,28,off-target no pert
1000,0.5,0.10486891385767791,28,target no pert
1000,1.4,0.0,29,off-target
1000,1.1,0.6004993757802747,29,target
1000,1.1,0.031210986267166042,29,off-target no pert
1000,1.1,0.6292134831460674,29,target no pert
1000,0.75,0.018726591760299626,30,off-target
1000,0.8500000000000001,0.6641697877652933,30,target
1000,0.8500000000000001,0.03495630461922597,30,off-target no pert
1000,0.8500000000000001,0.1947565543071161,30,target no pert
1000,0.6,0.44569288389513106,31,off-target
1000,0.95,0.6729088639200999,31,target
1000,0.95,0.5530586766541823,31,off-target no pert
1000,0.95,0.6878901373283396,31,target no pert
1000,1.2000000000000002,0.04744069912609238,32,off-target
1000,0.6,0.3857677902621723,32,target
1000,0.6,0.20973782771535582,32,off-target no pert
1000,0.6,0.37453183520599254,32,target no pert
1000,0.6,0.24968789013732834,33,off-target
1000,0.7,0.7228464419475655,33,target
1000,0.7,0.7677902621722846,33,off-target no pert
1000,0.7,0.4282147315855181,33,target no pert
1000,1.3,0.0,34,off-target
1000,1.3,0.9238451935081149,34,target
1000,1.3,0.9388264669163545,34,off-target no pert
1000,1.3,0.5181023720349563,34,target no pert
1000,1.3,0.10736579275905118,35,off-target
1000,1.3,0.23720349563046192,35,target
1000,1.3,0.9488139825218477,35,off-target no pert
1000,1.3,0.20474406991260924,35,target no pert
1000,1.35,0.0,36,off-target
1000,0.6,0.35830212234706615,36,target
1000,0.6,0.9051186017478152,36,off-target no pert
1000,0.6,0.19101123595505617,36,target no pert
1000,0.65,0.0,37,off-target
1000,0.95,0.7965043695380774,37,target
1000,0.95,0.8689138576779026,37,off-target no pert
1000,0.95,0.2746566791510612,37,target no pert
1000,0.8,0.011235955056179775,38,off-target
1000,0.5,0.5755305867665418,38,target
1000,0.5,0.26841448189762795,38,off-target no pert
1000,0.5,0.38202247191011235,38,target no pert
1000,1.25,0.012484394506866416,39,off-target
1000,1.0,0.4019975031210986,39,target
1000,1.0,0.9525593008739076,39,off-target no pert
1000,1.0,0.07615480649188515,39,target no pert
1000,0.7,0.016229712858926344,40,off-target
1000,1.35,0.519350811485643,40,target
1000,1.35,0.1647940074906367,40,off-target no pert
1000,1.35,0.2421972534332085,40,target no pert
1000,1.35,0.19350811485642946,41,off-target
1000,0.5,0.10112359550561797,41,target
1000,0.5,0.4818976279650437,41,off-target no pert
1000,0.5,0.4631710362047441,41,target no pert
1000,1.4500000000000002,0.009987515605493134,42,off-target
1000,1.4500000000000002,0.2222222222222222,42,target
1000,1.4500000000000002,0.9013732833957553,42,off-target no pert
1000,1.4500000000000002,0.8888888888888888,42,target no pert
1000,1.4,0.0012484394506866417,43,off-target
1000,1.3,0.8651685393258427,43,target
1000,1.3,0.3807740324594257,43,off-target no pert
1000,1.3,0.6092384519350812,43,target no pert
1000,1.25,0.0,44,off-target
