n,best_std,p_value,seed,type
1000,0.7,0.08489388264669163,0,off-target
1000,1.15,0.83645443196005,0,target
1000,1.15,0.616729088639201,0,off-target no pert
1000,1.15,0.3570536828963795,0,target no pert
1000,0.6,0.4069912609238452,1,off-target
1000,0.6,0.13857677902621723,1,target
1000,0.6,0.6666666666666666,1,off-target no pert
1000,0.6,0.4257178526841448,1,target no pert
1000,0.8,0.6329588014981273,2,off-target
1000,0.7,0.12983770287141075,2,target
1000,0.7,0.5181023720349563,2,off-target no pert
1000,0.7,0.7615480649188514,2,target no pert
1000,0.8500000000000001,0.0,3,off-target
1000,1.1,0.30087390761548066,3,target
1000,1.1,0.9388264669163545,3,off-target no pert
1000,1.1,0.519350811485643,3,target no pert
1000,1.2000000000000002,0.7652933832709113,4,off-target
1000,0.95,0.8589263420724095,4,target
1000,0.95,0.20599250936329588,4,off-target no pert
1000,0.95,0.0686641697877653,4,target no pert
1000,0.75,0.3445692883895131,5,off-target
1000,0.95,0.1198501872659176,5,target
1000,0.95,0.484394506866417,5,off-target no pert
1000,0.95,0.5268414481897628,5,target no pert
1000,1.3,0.026217228464419477,6,off-target
1000,0.55,0.8826466916354557,6,target
1000,0.55,0.6217228464419475,6,off-target no pert
1000,0.55,0.23220973782771537,6,target no pert
1000,1.35,0.14731585518102372,7,off-target
1000,1.05,0.9388264669163545,7,target
1000,1.05,0.11485642946317104,7,off-target no pert
1000,1.05,0.5617977528089888,7,target no pert
1000,0.7,0.15980024968789014,8,off-target
1000,1.2000000000000002,0.5767790262172284,8,target
1000,1.2000000000000002,0.5867665418227216,8,off-target no pert
1000,1.2000000000000002,0.6242197253433208,8,target no pert
1000,1.0,0.9725343320848939,9,off-target
1000,0.55,0.634207240948814,9,target
1000,0.55,0.5805243445692884,9,off-target no pert
1000,0.55,0.8227215980024969,9,target no pert
1000,0.8500000000000001,0.2883895131086142,10,off-target
1000,1.0,0.13857677902621723,10,target
1000,1.0,0.3083645443196005,10,off-target no pert
1000,1.0,0.9525593008739076,10,target no pert
1000,1.2000000000000002,0.12484394506866417,11,off-target
1000,0.6,0.4094881398252185,11,target
1000,0.6,0.12359550561797752,11,off-target no pert
1000,0.6,0.49063670411985016,11,target no pert
1000,1.1,0.33208489388264667,12,off-target
1000,1.1,0.06991260923845194,12,target
1000,1.1,0.1136079900124844,12,off-target no pert
1000,1.1,0.4606741573033708,12,target no pert
1000,0.8,0.6803995006242197,13,off-target
1000,1.0,0.7403245942571786,13,target
1000,1.0,0.26217228464419473,13,off-target no pert
1000,1.0,0.8102372034956304,13,target no pert
1000,0.8,0.031210986267166042,14,off-target
1000,0.8,0.4232209737827715,14,target
1000,0.8,0.5905118601747815,14,off-target no pert
1000,0.8,0.44569288389513106,14,target no pert
1000,0.75,0.7553058676654182,15,off-target
1000,1.25,0.2397003745318352,15,target
1000,1.25,0.8302122347066168,15,off-target no pert
1000,1.25,0.12983770287141075,15,target no pert
1000,1.1,0.8277153558052435,16,off-target
1000,1.15,0.6916354556803995,16,target
1000,1.15,0.2184769038701623,16,off-target no pert
1000,1.15,0.18102372034956304,16,target no pert
1000,0.75,0.12983770287141075,17,off-target
1000,1.3,0.550561797752809,17,target
1000,1.3,0.2958801498127341,17,off-target no pert
1000,1.3,0.916354556803995,17,target no pert
1000,1.15,0.09238451935081149,18,off-target
1000,0.95,0.1797752808988764,18,target
1000,0.95,0.3920099875156055,18,off-target no pert
1000,0.95,0.9126092384519351,18,target no pert
1000,1.35,0.7278401997503121,19,off-target
1000,1.1,0.867665418227216,19,target
1000,1.1,0.5655430711610487,19,off-target no pert
1000,1.1,0.9063670411985019,19,target no pert
1000,0.8,0.8451935081148564,20,off-target
1000,1.05,0.27340823970037453,20,target
1000,1.05,0.4794007490636704,20,off-target no pert
1000,1.05,0.7240948813982522,20,target no pert
1000,0.75,0.046192259675405745,21,off-target
1000,1.05,0.5418227215980025,21,target
1000,1.05,0.7515605493133583,21,off-target no pert
1000,1.05,0.32459425717852686,21,target no pert
1000,0.75,0.2833957553058677,22,off-target
1000,1.3,0.4993757802746567,22,target
1000,1.3,0.3495630461922597,22,off-target no pert
1000,1.3,0.66541822721598,22,target no pert
1000,0.75,0.2696629213483146,23,off-target
1000,0.8500000000000001,0.7752808988764045,23,target
1000,0.8500000000000001,0.07740324594257178,23,off-target no pert
1000,0.8500000000000001,0.33957553058676654,23,target no pert
1000,0.65,0.04369538077403246,24,off-target
1000,0.55,0.8701622971285893,24,target
1000,0.55,0.1972534332084894,24,off-target no pert
