n,best_std,p_value,seed,type
1000,0.9,0.039950062421972535,0,off-target
1000,1.1,0.11610486891385768,0,target
1000,1.1,0.39076154806491886,0,off-target no pert
1000,1.1,0.15355805243445692,0,target no pert
1000,0.8,0.0012484394506866417,1,off-target
1000,1.15,0.9001248439450686,1,target
1000,1.15,0.6779026217228464,1,off-target no pert
1000,1.15,0.4943820224719101,1,target no pert
1000,0.9,0.0,2,off-target
1000,1.25,0.3358302122347066,2,target
1000,1.25,0.6903870162297129,2,off-target no pert
1000,1.25,0.0024968789013732834,2,target no pert
1000,0.9,0.0,3,off-target
1000,1.05,0.7852684144818977,3,target
1000,1.05,0.7228464419475655,3,off-target no pert
1000,1.05,0.4044943820224719,3,target no pert
1000,1.2000000000000002,0.016229712858926344,4,off-target
1000,1.3,0.2421972534332085,4,target
1000,1.3,0.5980024968789014,4,off-target no pert
1000,1.3,0.8414481897627965,4,target no pert
1000,1.2000000000000002,0.003745318352059925,5,off-target
1000,1.2000000000000002,0.9875156054931336,5,target
1000,1.2000000000000002,0.16104868913857678,5,off-target no pert
1000,1.2000000000000002,0.48564294631710364,5,target no pert
1000,0.95,0.0012484394506866417,6,off-target
1000,0.65,0.30586766541822724,6,target
1000,0.65,0.4344569288389513,6,off-target no pert
1000,0.65,0.17478152309612985,6,target no pert
1000,1.1,0.0,7,off-target
1000,1.2000000000000002,0.32209737827715357,7,target
1000,1.2000000000000002,0.39076154806491886,7,off-target no pert
1000,1.2000000000000002,0.4681647940074906,7,target no pert
1000,1.1,0.003745318352059925,8,off-target
1000,0.95,0.32209737827715357,8,target
1000,0.95,0.16354556803995007,8,off-target no pert
1000,0.95,0.449438202247191,8,target no pert
1000,1.15,0.0012484394506866417,9,off-target
1000,1.1,0.9288389513108615,9,target
1000,1.1,0.3732833957553059,9,off-target no pert
1000,1.1,0.3233458177278402,9,target no pert
1000,0.9,0.0024968789013732834,10,off-target
1000,1.3,0.6853932584269663,10,target
1000,1.3,0.6629213483146067,10,off-target no pert
1000,1.3,0.9725343320848939,10,target no pert
1000,1.1,0.0012484394506866417,11,off-target
1000,0.7,0.33458177278401996,11,target
1000,0.7,0.12609238451935081,11,off-target no pert
1000,0.7,0.16604244694132334,11,target no pert
1000,1.15,0.0,12,off-target
1000,1.05,0.5605493133583022,12,target
1000,1.05,0.09987515605493133,12,off-target no pert
1000,1.05,0.49063670411985016,12,target no pert
1000,1.1,0.003745318352059925,13,off-target
1000,1.1,0.8926342072409488,13,target
1000,1.1,0.9563046192259675,13,off-target no pert
1000,1.1,0.03245942571785269,13,target no pert
1000,1.1,0.06367041198501873,14,off-target
1000,0.9,0.012484394506866416,14,target
1000,0.9,0.5942571785268415,14,off-target no pert
1000,0.9,0.5630461922596754,14,target no pert
1000,0.9,0.0012484394506866417,15,off-target
1000,1.0,0.418227215980025,15,target
1000,1.0,0.2484394506866417,15,off-target no pert
1000,1.0,0.5255930087390761,15,target no pert
1000,0.9,0.017478152309612985,16,off-target
1000,1.05,0.4993757802746567,16,target
1000,1.05,0.5230961298377028,16,off-target no pert
1000,1.05,0.9013732833957553,16,target no pert
1000,1.2000000000000002,0.012484394506866416,17,off-target
1000,1.2000000000000002,0.31835205992509363,17,target
1000,1.2000000000000002,0.8227215980024969,17,off-target no pert
1000,1.2000000000000002,0.21223470661672908,17,target no pert
1000,0.9,0.0,18,off-target
1000,1.1,0.3982521847690387,18,target
1000,1.1,0.5980024968789014,18,off-target no pert
1000,1.1,0.03870162297128589,18,target no pert
1000,0.95,0.34831460674157305,19,off-target
1000,0.9,0.6853932584269663,19,target
1000,0.9,0.10237203495630462,19,off-target no pert
1000,0.9,0.9275905118601748,19,target no pert
1000,0.9,0.0,20,off-target
1000,1.2000000000000002,0.4731585518102372,20,target
1000,1.2000000000000002,0.978776529338327,20,off-target no pert
1000,1.2000000000000002,0.3495630461922597,20,target no pert
1000,0.9,0.009987515605493134,21,off-target
1000,0.8,0.0898876404494382,21,target
1000,0.8,0.132334581772784,21,off-target no pert
1000,0.8,0.5905118601747815,21,target no pert
1000,1.15,0.0,22,off-target
1000,1.0,0.2397003745318352,22,target
1000,1.0,0.6079900124843945,22,off-target no pert
1000,1.0,0.7066167290886392,22,target no pert
1000,1.1,0.0,23,off-target
1000,1.15,0.9338327091136079,23,target
1000,1.15,0.16604244694132334,23,off-target no pert
1000,1.15,0.5480649188514357,23,target no pert
1000,0.8,0.00749063670411985,24,off-target
1000,1.1,0.19350811485642946,24,target
1000,1.1,0.6229712858926342,24,off-target no pert
1000,1.1,0.9550561797752809,24,target no pert
1000,1.1,0.031210986267166042,25,off-target
1000,1.0,0.43570536828963796,25,target
1000,1.0,0.03870162297128589,25,off-target no pert
1000,1.0,0.8726591760299626,25,target no pert
1000,1.1,0.08239700374531835,26,off-target
1000,0.95,0.2596754057428215,26,target
1000,0.95,0.27715355805243447,26,off-target no pert
1000,0.95,0.682896379525593,26,target no pert
1000,1.1,0.44818976279650435,27,off-target
1000,0.9,0.25842696629213485,27,target
1000,0.9,0.004993757802746567,27,off-target no pert
1000,0.9,0.766541822721598,27,target no pert
1000,0.95,0.0,28,off-target
1000,1.0,0.8414481897627965,28,target
1000,1.0,0.10486891385767791,28,off-target no pert
1000,1.0,0.766541822721598,28,target no pert
1000,1.05,0.026217228464419477,29,off-target
1000,0.55,0.5580524344569289,29,target
1000,0.55,0.18102372034956304,29,off-target no pert
1000,0.55,0.4794007490636704,29,target no pert
1000,1.15,0.0012484394506866417,30,off-target
1000,1.15,0.004993757802746567,30,target
1000,1.15,0.9176029962546817,30,off-target no pert
1000,1.15,0.04868913857677903,30,target no pert
1000,1.1,0.004993757802746567,31,off-target
1000,1.1,0.951310861423221,31,target
1000,1.1,0.5830212234706617,31,off-target no pert
1000,1.1,0.40574282147315854,31,target no pert
1000,1.1,0.03745318352059925,32,off-target
1000,1.1,0.13607990012484394,32,target
1000,1.1,0.26591760299625467,32,off-target no pert
1000,1.1,0.317103620474407,32,target no pert
1000,0.8500000000000001,0.21473158551810237,33,off-target
1000,0.8500000000000001,0.8202247191011236,33,target
1000,0.8500000000000001,0.46691635455680397,33,off-target no pert
1000,0.8500000000000001,0.8714107365792759,33,target no pert
1000,0.8500000000000001,0.2421972534332085,34,off-target
1000,1.05,0.29463171036204744,34,target
1000,1.05,0.02372034956304619,34,off-target no pert
1000,1.05,0.4257178526841448,34,target no pert
1000,0.9,0.003745318352059925,35,off-target
1000,1.25,0.07615480649188515,35,target
1000,1.25,0.25218476903870163,35,off-target no pert
1000,1.25,0.8626716604244694,35,target no pert
1000,0.95,0.8202247191011236,36,off-target
1000,0.8,0.32209737827715357,36,target
1000,0.8,0.47440699126092384,36,off-target no pert
1000,0.8,0.13982521847690388,36,target no pert
1000,0.95,0.006242197253433208,37,off-target
1000,0.8500000000000001,0.8838951310861424,37,target
1000,0.8500000000000001,0.066167290886392,37,off-target no pert
1000,0.8500000000000001,0.9837702871410736,37,target no pert
1000,0.9,0.02372034956304619,38,off-target
1000,1.15,0.5705368289637952,38,target
1000,1.15,0.2596754057428215,38,off-target no pert
1000,1.15,0.5143570536828964,38,target no pert
1000,1.05,0.008739076154806492,39,off-target
1000,1.1,0.21598002496878901,39,target
1000,1.1,0.6566791510611736,39,off-target no pert
1000,1.1,0.7453183520599251,39,target no pert
1000,0.95,0.04369538077403246,40,off-target
1000,1.05,0.978776529338327,40,target
1000,1.05,0.26092384519350814,40,off-target no pert
1000,1.05,0.6853932584269663,40,target no pert
1000,0.9,0.0,41,off-target
1000,0.9,0.40074906367041196,41,target
1000,0.9,0.6367041198501873,41,off-target no pert
1000,0.9,0.7690387016229713,41,target no pert
1000,1.05,0.003745318352059925,42,off-target
1000,0.95,0.006242197253433208,42,target
1000,0.95,0.7940074906367042,42,off-target no pert
1000,0.95,0.05368289637952559,42,target no pert
1000,0.8500000000000001,0.0,43,off-target
1000,1.1,0.5742821473158551,43,target
1000,1.1,0.9001248439450686,43,off-target no pert
1000,1.1,0.9051186017478152,43,target no pert
1000,0.9,0.0,44,off-target
1000,0.7,0.16729088639200998,44,target
1000,0.7,0.3732833957553059,44,off-target no pert
1000,0.7,0.5280898876404494,44,target no pert
1000,0.9,0.004993757802746567,45,off-target
1000,0.95,0.25593008739076156,45,target
1000,0.95,0.5955056179775281,45,off-target no pert
1000,0.95,0.44818976279650435,45,target no pert
1000,1.1,0.04868913857677903,46,off-target
1000,0.8,0.3732833957553059,46,target
1000,0.8,0.4107365792759051,46,off-target no pert
1000,0.8,0.6716604244694132,46,target no pert
1000,1.1,0.0012484394506866417,47,off-target
1000,0.9,0.006242197253433208,47,target
1000,0.9,0.3782771535580524,47,off-target no pert
1000,0.9,0.6292134831460674,47,target no pert
1000,0.9,0.0,48,off-target
1000,0.8500000000000001,0.2596754057428215,48,target
1000,0.8500000000000001,0.4794007490636704,48,off-target no pert
1000,0.8500000000000001,0.6729088639200999,48,target no pert
1000,1.15,0.09238451935081149,49,off-target
1000,0.8500000000000001,0.3146067415730337,49,target
1000,0.8500000000000001,0.49063670411985016,49,off-target no pert
1000,0.8500000000000001,0.016229712858926344,49,target no pert
