n,best_std,p_value,seed,type
1000,1.4500000000000002,0.00749063670411985,0,off-target
1000,1.15,0.23220973782771537,0,target
1000,1.15,0.21972534332084895,0,off-target no pert
1000,1.15,0.7777777777777778,0,target no pert
1000,1.5,0.0,1,off-target
1000,0.55,0.09987515605493133,1,target
1000,0.55,0.0024968789013732834,1,off-target no pert
1000,0.55,0.4731585518102372,1,target no pert
1000,1.4,0.02122347066167291,2,off-target
1000,1.2000000000000002,0.7652933832709113,2,target
1000,1.2000000000000002,0.019975031210986267,2,off-target no pert
1000,1.2000000000000002,0.8514357053682896,2,target no pert
1000,1.4500000000000002,0.009987515605493134,3,off-target
1000,1.2000000000000002,0.7253433208489388,3,target
1000,1.2000000000000002,0.0,3,off-target no pert
1000,1.2000000000000002,0.49313358302122345,3,target no pert
1000,1.4500000000000002,0.02372034956304619,4,off-target
1000,0.95,0.5006242197253433,4,target
1000,0.95,0.0,4,off-target no pert
1000,0.95,0.30586766541822724,4,target no pert
1000,1.5,0.0,5,off-target
1000,1.35,0.4606741573033708,5,target
1000,1.35,0.0,5,off-target no pert
1000,1.35,0.18352059925093633,5,target no pert
1000,1.5,0.0,6,off-target
1000,0.5,0.7952559300873908,6,target
1000,0.5,0.0299625468164794,6,off-target no pert
1000,0.5,0.250936329588015,6,target no pert
1000,1.5,0.0,7,off-target
1000,1.3,0.6928838951310862,7,target
1000,1.3,0.008739076154806492,7,off-target no pert
1000,1.3,0.634207240948814,7,target no pert
1000,1.5,0.0,8,off-target
1000,1.1,0.5031210986267166,8,target
1000,1.1,0.0,8,off-target no pert
1000,1.1,0.23595505617977527,8,target no pert
1000,1.5,0.0,9,off-target
1000,1.2000000000000002,0.17228464419475656,9,target
1000,1.2000000000000002,0.0,9,off-target no pert
1000,1.2000000000000002,0.16354556803995007,9,target no pert
1000,1.5,0.0,10,off-target
1000,0.8500000000000001,0.2484394506866417,10,target
1000,0.8500000000000001,0.066167290886392,10,off-target no pert
1000,0.8500000000000001,0.7328339575530587,10,target no pert
1000,1.4500000000000002,0.0012484394506866417,11,off-target
1000,0.75,0.5930087390761548,11,target
1000,0.75,0.004993757802746567,11,off-target no pert
1000,0.75,0.07365792759051186,11,target no pert
1000,1.5,0.0,12,off-target
1000,0.5,0.7453183520599251,12,target
1000,0.5,0.017478152309612985,12,off-target no pert
1000,0.5,0.9538077403245943,12,target no pert
1000,1.4500000000000002,0.0,13,off-target
1000,0.95,0.9488139825218477,13,target
1000,0.95,0.004993757802746567,13,off-target no pert
1000,0.95,0.40324594257178525,13,target no pert
1000,1.5,0.0,14,off-target
1000,0.8,0.02871410736579276,14,target
1000,0.8,0.0012484394506866417,14,off-target no pert
1000,0.8,0.7028714107365793,14,target no pert
1000,1.5,0.0,15,off-target
1000,1.25,0.5543071161048689,15,target
1000,1.25,0.006242197253433208,15,off-target no pert
1000,1.25,0.7403245942571786,15,target no pert
1000,1.5,0.0,16,off-target
1000,0.65,0.033707865168539325,16,target
1000,0.65,0.0,16,off-target no pert
1000,0.65,0.8139825218476904,16,target no pert
1000,1.4500000000000002,0.0012484394506866417,17,off-target
1000,1.4,0.5742821473158551,17,target
1000,1.4,0.0898876404494382,17,off-target no pert
1000,1.4,0.634207240948814,17,target no pert
1000,1.5,0.003745318352059925,18,off-target
1000,0.8,0.8177278401997503,18,target
1000,0.8,0.004993757802746567,18,off-target no pert
1000,0.8,0.3570536828963795,18,target no pert
1000,1.4500000000000002,0.0,19,off-target
1000,1.05,0.4069912609238452,19,target
1000,1.05,0.0,19,off-target no pert
1000,1.05,0.3570536828963795,19,target no pert
1000,1.4500000000000002,0.0012484394506866417,20,off-target
1000,1.4,0.07990012484394507,20,target
1000,1.4,0.0,20,off-target no pert
1000,1.4,0.19101123595505617,20,target no pert
1000,1.4500000000000002,0.02372034956304619,21,off-target
1000,0.95,0.1523096129837703,21,target
1000,0.95,0.008739076154806492,21,off-target no pert
1000,0.95,0.7365792759051186,21,target no pert
1000,1.5,0.0,22,off-target
1000,1.2000000000000002,0.10112359550561797,22,target
1000,1.2000000000000002,0.0024968789013732834,22,off-target no pert
1000,1.2000000000000002,0.12484394506866417,22,target no pert
1000,1.5,0.0,23,off-target
1000,1.1,0.29463171036204744,23,target
1000,1.1,0.0,23,off-target no pert
1000,1.1,0.08863920099875156,23,target no pert
1000,1.4500000000000002,0.009987515605493134,24,off-target
1000,1.05,0.7915106117353309,24,target
1000,1.05,0.0012484394506866417,24,off-target no pert
1000,1.05,0.5280898876404494,24,target no pert
1000,1.4500000000000002,0.07365792759051186,25,off-target
1000,1.15,0.6629213483146067,25,target
1000,1.15,0.0,25,off-target no pert
1000,1.15,0.7752808988764045,25,target no pert
1000,1.5,0.0,26,off-target
1000,0.65,0.5705368289637952,26,target
1000,0.65,0.0,26,off-target no pert
1000,0.65,0.6816479400749064,26,target no pert
1000,1.5,0.0,27,off-target
1000,0.5,0.3807740324594257,27,target
1000,0.5,0.0012484394506866417,27,off-target no pert
1000,0.5,0.6229712858926342,27,target no pert
1000,1.5,0.0,28,off-target
1000,0.95,0.26591760299625467,28,target
1000,0.95,0.0,28,off-target no pert
1000,0.95,0.1647940074906367,28,target no pert
1000,1.4,0.0,29,off-target
1000,0.9,0.5480649188514357,29,target
1000,0.9,0.0,29,off-target no pert
1000,0.9,0.3196004993757803,29,target no pert
1000,1.5,0.004993757802746567,30,off-target
1000,1.3,0.484394506866417,30,target
1000,1.3,0.0,30,off-target no pert
1000,1.3,0.1585518102372035,30,target no pert
1000,1.4500000000000002,0.0,31,off-target
1000,0.8,0.026217228464419477,31,target
1000,0.8,0.0024968789013732834,31,off-target no pert
1000,0.8,0.8439450686641697,31,target no pert
1000,1.5,0.009987515605493134,32,off-target
1000,0.8500000000000001,0.250936329588015,32,target
1000,0.8500000000000001,0.0,32,off-target no pert
1000,0.8500000000000001,0.5280898876404494,32,target no pert
1000,1.4500000000000002,0.0,33,off-target
1000,1.3,0.8876404494382022,33,target
1000,1.3,0.0,33,off-target no pert
1000,1.3,0.7802746566791511,33,target no pert
1000,1.5,0.0,34,off-target
1000,0.65,0.8714107365792759,34,target
1000,0.65,0.0012484394506866417,34,off-target no pert
1000,0.65,0.07240948813982521,34,target no pert
1000,1.4500000000000002,0.0,35,off-target
1000,1.4,0.8426966292134831,35,target
1000,1.4,0.004993757802746567,35,off-target no pert
1000,1.4,0.08739076154806492,35,target no pert
1000,1.5,0.0,36,off-target
1000,1.25,0.4631710362047441,36,target
1000,1.25,0.0,36,off-target no pert
1000,1.25,0.7615480649188514,36,target no pert
1000,1.5,0.0,37,off-target
1000,0.6,0.3533083645443196,37,target
1000,0.6,0.0,37,off-target no pert
1000,0.6,0.33083645443196,37,target no pert
1000,1.4500000000000002,0.0,38,off-target
1000,0.9,0.39076154806491886,38,target
1000,0.9,0.0024968789013732834,38,off-target no pert
1000,0.9,0.18352059925093633,38,target no pert
1000,1.35,0.0,39,off-target
1000,1.0,0.6966292134831461,39,target
1000,1.0,0.0,39,off-target no pert
1000,1.0,0.9937578027465668,39,target no pert
1000,1.5,0.0,40,off-target
1000,1.1,0.5318352059925093,40,target
1000,1.1,0.0,40,off-target no pert
1000,1.1,0.23096129837702872,40,target no pert
1000,1.5,0.0024968789013732834,41,off-target
1000,0.5,0.18851435705368288,41,target
1000,0.5,0.0,41,off-target no pert
1000,0.5,0.8901373283395755,41,target no pert
1000,1.5,0.0,42,off-target
1000,0.8500000000000001,0.6267166042446941,42,target
1000,0.8500000000000001,0.0,42,off-target no pert
1000,0.8500000000000001,0.9538077403245943,42,target no pert
1000,1.5,0.0,43,off-target
1000,0.75,0.5543071161048689,43,target
1000,0.75,0.0,43,off-target no pert
1000,0.75,0.3046192259675406,43,target no pert
1000,1.5,0.0012484394506866417,44,off-target
1000,0.8,0.5705368289637952,44,target
1000,0.8,0.0,44,off-target no pert
1000,0.8,0.8014981273408239,44,target no pert
1000,1.4500000000000002,0.0012484394506866417,45,off-target
1000,0.75,0.35830212234706615,45,target
1000,0.75,0.0012484394506866417,45,off-target no pert
1000,0.75,0.6042446941323346,45,target no pert
1000,1.5,0.0,46,off-target
1000,1.4,0.07365792759051186,46,target
1000,1.4,0.0024968789013732834,46,off-target no pert
1000,1.4,0.7827715355805244,46,target no pert
1000,1.5,0.0012484394506866417,47,off-target
1000,0.95,0.05493133583021224,47,target
1000,0.95,0.006242197253433208,47,off-target no pert
1000,0.95,0.20973782771535582,47,target no pert
1000,1.4,0.0,48,off-target
1000,1.3,0.18352059925093633,48,target
1000,1.3,0.0012484394506866417,48,off-target no pert
1000,1.3,0.04744069912609238,48,target no pert
1000,1.5,0.0,49,off-target
1000,0.55,0.16604244694132334,49,target
1000,0.55,0.0,49,off-target no pert
1000,0.55,0.8701622971285893,49,target no pert
