n,best_std,p_value,seed,type
1000,1.6976851,0.33083645443196,0,off-target
1000,2.1043215,0.17103620474406991,0,target
1000,2.1043215,0.23595505617977527,0,off-target no pert
1000,2.1043215,0.5255930087390761,0,target no pert
1000,3.2398877,0.7103620474406991,1,off-target
1000,1.2458595,0.3495630461922597,1,target
1000,1.2458595,0.06491885143570537,1,off-target no pert
1000,1.2458595,0.5767790262172284,1,target no pert
1000,2.0787523,0.5667915106117354,2,off-target
1000,2.6377752,0.1560549313358302,2,target
1000,2.6377752,0.24469413233458176,2,off-target no pert
1000,2.6377752,0.14107365792759052,2,target no pert
1000,2.2441406,0.7265917602996255,3,off-target
1000,4.1545525,0.4332084893882647,3,target
1000,4.1545525,0.8589263420724095,3,off-target no pert
1000,4.1545525,0.004993757802746567,3,target no pert
1000,1.8759916,0.4394506866416979,4,off-target
1000,4.5138936,0.5617977528089888,4,target
1000,4.5138936,0.6004993757802747,4,off-target no pert
1000,4.5138936,0.08863920099875156,4,target no pert
1000,2.676223,0.9238451935081149,5,off-target
1000,2.7699513,0.5418227215980025,5,target
1000,2.7699513,0.9138576779026217,5,off-target no pert
1000,2.7699513,0.2247191011235955,5,target no pert
1000,3.2648292,0.0,6,off-target
1000,4.0014853,0.9750312109862672,6,target
1000,4.0014853,0.17478152309612985,6,off-target no pert
1000,4.0014853,0.7865168539325843,6,target no pert
1000,2.6169178,0.9900124843945068,7,off-target
1000,3.9044063,0.37203495630461925,7,target
1000,3.9044063,0.352059925093633,7,off-target no pert
1000,3.9044063,0.3682896379525593,7,target no pert
1000,3.0034063,0.5006242197253433,8,off-target
1000,2.554069,0.9363295880149812,8,target
1000,2.554069,0.008739076154806492,8,off-target no pert
1000,2.554069,0.5568039950062422,8,target no pert
1000,2.2841768,0.9288389513108615,9,off-target
1000,0.29304564,0.8289637952559301,9,target
1000,0.29304564,0.7365792759051186,9,off-target no pert
1000,0.29304564,0.19101123595505617,9,target no pert
1000,1.7596104,0.20973782771535582,10,off-target
1000,3.6996195,0.7790262172284644,10,target
1000,3.6996195,0.5617977528089888,10,off-target no pert
1000,3.6996195,0.4344569288389513,10,target no pert
1000,0.7195202,0.15480649188514356,11,off-target
1000,0.038521476,0.7902621722846442,11,target
1000,0.038521476,0.32709113607990015,11,off-target no pert
1000,0.038521476,0.2421972534332085,11,target no pert
1000,0.3543652,0.9563046192259675,12,off-target
1000,8.523717,0.7902621722846442,12,target
1000,8.523717,0.30711610486891383,12,off-target no pert
1000,8.523717,0.056179775280898875,12,target no pert
1000,0.5522993,0.23845193508114856,13,off-target
1000,7.5594435,0.9225967540574282,13,target
1000,7.5594435,0.5343320848938826,13,off-target no pert
1000,7.5594435,0.0599250936329588,13,target no pert
1000,1.059949,0.5805243445692884,14,off-target
1000,3.23873,0.299625468164794,14,target
1000,3.23873,0.0,14,off-target no pert
1000,3.23873,0.8689138576779026,14,target no pert
1000,40.01694,0.0,15,off-target
1000,2.9741807,0.6729088639200999,15,target
1000,2.9741807,0.03870162297128589,15,off-target no pert
1000,2.9741807,0.9725343320848939,15,target no pert
1000,2.3268056,0.033707865168539325,16,off-target
1000,0.0045554875,0.3146067415730337,16,target
1000,0.0045554875,0.7478152309612984,16,off-target no pert
1000,0.0045554875,0.4044943820224719,16,target no pert
1000,2.313112,0.602996254681648,17,off-target
1000,5.4612317,0.09363295880149813,17,target
1000,5.4612317,0.14481897627965043,17,off-target no pert
1000,5.4612317,0.19225967540574282,17,target no pert
1000,0.02626086,0.7990012484394506,18,off-target
1000,2.2196991,0.9612983770287141,18,target
1000,2.2196991,0.3945068664169788,18,off-target no pert
1000,2.2196991,0.06117353308364544,18,target no pert
1000,3.1322212,0.5780274656679151,19,off-target
1000,4.42935,0.43570536828963796,19,target
1000,4.42935,0.9538077403245943,19,off-target no pert
1000,4.42935,0.766541822721598,19,target no pert
1000,1.9507232,0.6504369538077404,20,off-target
1000,6.124062,0.7515605493133583,20,target
1000,6.124062,0.7940074906367042,20,off-target no pert
1000,6.124062,0.3046192259675406,20,target no pert
1000,1.4542431,0.7553058676654182,21,off-target
1000,8.0183735,0.6741573033707865,21,target
1000,8.0183735,0.37453183520599254,21,off-target no pert
1000,8.0183735,0.7702871410736579,21,target no pert
1000,1.8714881,0.6741573033707865,22,off-target
1000,2.8775566,0.6704119850187266,22,target
1000,2.8775566,0.5355805243445693,22,off-target no pert
1000,2.8775566,0.6292134831460674,22,target no pert
1000,2.9760523,0.3782771535580524,23,off-target
1000,1.4843838,0.019975031210986267,23,target
1000,1.4843838,0.06991260923845194,23,off-target no pert
1000,1.4843838,0.682896379525593,23,target no pert
1000,3.4746127,0.7191011235955056,24,off-target
1000,2.3494077,0.039950062421972535,24,target
1000,2.3494077,0.5580524344569289,24,off-target no pert
1000,2.3494077,0.5181023720349563,24,target no pert
1000,1.3743327,0.9900124843945068,25,off-target
1000,4.921711,0.42197253433208487,25,target
1000,4.921711,0.9013732833957553,25,off-target no pert
1000,4.921711,0.18601747815230962,25,target no pert
1000,2.437999,0.9101123595505618,26,off-target
1000,3.6358335,0.18851435705368288,26,target
1000,3.6358335,0.7765293383270911,26,off-target no pert
1000,3.6358335,0.6666666666666666,26,target no pert
1000,0.0039789598,0.5842696629213483,27,off-target
1000,0.0027768915,0.34831460674157305,27,target
1000,0.0027768915,0.09488139825218476,27,off-target no pert
1000,0.0027768915,0.26591760299625467,27,target no pert
1000,0.24121597,0.15480649188514356,28,off-target
1000,0.29186898,0.02122347066167291,28,target
1000,0.29186898,0.5955056179775281,28,off-target no pert
1000,0.29186898,0.8239700374531835,28,target no pert
1000,2.7653277,0.03870162297128589,29,off-target
1000,3.2116709,0.19101123595505617,29,target
1000,3.2116709,0.7815230961298377,29,off-target no pert
1000,3.2116709,0.7265917602996255,29,target no pert
1000,2.2174625,0.3882646691635456,30,off-target
1000,2.3185227,0.8239700374531835,30,target
1000,2.3185227,0.8389513108614233,30,off-target no pert
1000,2.3185227,0.19975031210986266,30,target no pert
1000,2.5859044,0.066167290886392,31,off-target
1000,6.77243,0.15980024968789014,31,target
1000,6.77243,0.24469413233458176,31,off-target no pert
1000,6.77243,0.9725343320848939,31,target no pert
1000,2.828001,0.5692883895131086,32,off-target
1000,4.370913,0.4094881398252185,32,target
1000,4.370913,0.6392009987515606,32,off-target no pert
1000,4.370913,0.7503121098626716,32,target no pert
1000,2.939123,0.40823970037453183,33,off-target
1000,2.290727,0.14481897627965043,33,target
1000,2.290727,0.2571785268414482,33,off-target no pert
1000,2.290727,0.7740324594257179,33,target no pert
1000,2.5888042,0.21223470661672908,34,off-target
1000,4.902227,0.7902621722846442,34,target
1000,4.902227,0.7540574282147315,34,off-target no pert
1000,4.902227,0.50187265917603,34,target no pert
1000,0.21237467,0.5255930087390761,35,off-target
1000,5.3699017,0.7253433208489388,35,target
1000,5.3699017,0.1111111111111111,35,off-target no pert
1000,5.3699017,0.6853932584269663,35,target no pert
1000,2.0029888,0.3782771535580524,36,off-target
1000,7.528989,0.7328339575530587,36,target
