n,best_std,p_value,seed,type
1000,1.0,0.004993757802746567,0,off-target
1000,1.0,0.3782771535580524,0,target
1000,1.0,0.0012484394506866417,0,off-target no pert
1000,1.0,0.47191011235955055,0,target no pert
1000,1.0,0.0,1,off-target
1000,1.0,0.9700374531835206,1,target
1000,1.0,0.0,1,off-target no pert
1000,1.0,0.23096129837702872,1,target no pert
1000,1.0,0.009987515605493134,2,off-target
1000,1.0,0.9950062421972534,2,target
1000,1.0,0.0,2,off-target no pert
1000,1.0,0.5255930087390761,2,target no pert
