n,p_value,seed,type
500,0.0,0,off-target
500,0.917,0,target
500,0.0,1,off-target
500,0.026,1,target
500,0.0,2,off-target
500,0.977,2,target
500,0.0,3,off-target
500,0.253,3,target
500,0.0,4,off-target
500,0.778,4,target
500,0.001,5,off-target
500,0.082,5,target
500,0.001,6,off-target
500,0.853,6,target
500,0.0,7,off-target
500,0.276,7,target
500,0.0,8,off-target
500,0.728,8,target
500,0.004,9,off-target
500,0.492,9,target
500,0.0,10,off-target
500,0.822,10,target
500,0.0,11,off-target
500,0.832,11,target
500,0.0,12,off-target
500,0.784,12,target
500,0.0,13,off-target
500,0.751,13,target
500,0.0,14,off-target
500,0.658,14,target
500,0.0,15,off-target
500,0.03,15,target
500,0.0,16,off-target
500,0.035,16,target
500,0.0,17,off-target
500,0.481,17,target
500,0.0,18,off-target
500,0.361,18,target
500,0.0,19,off-target
500,0.83,19,target
500,0.0,20,off-target
500,0.49,20,target
500,0.0,21,off-target
500,0.02,21,target
500,0.001,22,off-target
500,0.318,22,target
500,0.0,23,off-target
500,0.735,23,target
500,0.0,24,off-target
500,0.691,24,target
500,0.0,25,off-target
500,0.405,25,target
500,0.0,26,off-target
500,0.94,26,target
500,0.001,27,off-target
500,0.432,27,target
500,0.0,28,off-target
500,0.095,28,target
500,0.0,29,off-target
500,0.205,29,target
500,0.0,30,off-target
500,0.257,30,target
500,0.0,31,off-target
500,0.327,31,target
500,0.0,32,off-target
500,0.591,32,target
500,0.0,33,off-target
500,0.419,33,target
500,0.0,34,off-target
500,0.562,34,target
500,0.0,35,off-target
500,0.23,35,target
500,0.001,36,off-target
500,0.048,36,target
500,0.0,37,off-target
500,0.173,37,target
500,0.001,38,off-target
500,0.816,38,target
500,0.0,39,off-target
500,0.492,39,target
500,0.0,40,off-target
500,0.07,40,target
500,0.0,41,off-target
500,0.504,41,target
500,0.0,42,off-target
500,0.372,42,target
500,0.004,43,off-target
500,0.96,43,target
500,0.0,44,off-target
500,0.028,44,target
500,0.0,45,off-target
500,0.561,45,target
500,0.0,46,off-target
500,0.792,46,target
500,0.0,47,off-target
500,0.167,47,target
500,0.0,48,off-target
500,0.572,48,target
500,0.0,49,off-target
500,0.39,49,target
500,0.0,50,off-target
500,0.892,50,target
500,0.0,51,off-target
500,0.341,51,target
500,0.0,52,off-target
500,0.905,52,target
500,0.0,53,off-target
500,0.134,53,target
500,0.0,54,off-target
500,0.447,54,target
500,0.0,55,off-target
500,0.315,55,target
500,0.0,56,off-target
500,0.88,56,target
500,0.0,57,off-target
500,0.603,57,target
500,0.0,58,off-target
500,0.297,58,target
500,0.0,59,off-target
500,0.275,59,target
500,0.0,60,off-target
500,0.656,60,target
500,0.0,61,off-target
500,0.522,61,target
500,0.0,62,off-target
500,0.645,62,target
500,0.0,63,off-target
500,0.365,63,target
500,0.0,64,off-target
500,0.484,64,target
500,0.0,65,off-target
500,0.998,65,target
500,0.0,66,off-target
500,0.718,66,target
500,0.008,67,off-target
500,0.471,67,target
500,0.0,68,off-target
500,0.742,68,target
500,0.0,69,off-target
500,0.884,69,target
500,0.0,70,off-target
500,0.095,70,target
500,0.0,71,off-target
500,0.318,71,target
500,0.0,72,off-target
500,0.772,72,target
500,0.0,73,off-target
500,0.098,73,target
500,0.0,74,off-target
500,0.271,74,target
500,0.0,75,off-target
500,0.371,75,target
500,0.0,76,off-target
500,0.219,76,target
500,0.0,77,off-target
