n,best_std,p_value,seed,type
1000,0.38605,0.30711610486891383,0,off-target
1000,1.693583,0.15106117353308365,0,target
1000,1.693583,0.8227215980024969,0,off-target no pert
1000,1.693583,0.6891385767790262,0,target no pert
1000,0.027494265,0.23845193508114856,1,off-target
1000,2.1417994,0.9176029962546817,1,target
1000,2.1417994,0.28963795255930086,1,off-target no pert
1000,2.1417994,0.5568039950062422,1,target no pert
1000,0.20159103,0.019975031210986267,2,off-target
1000,1.0617578,0.19101123595505617,2,target
1000,1.0617578,0.006242197253433208,2,off-target no pert
1000,1.0617578,0.37203495630461925,2,target no pert
1000,0.6766899,0.7265917602996255,3,off-target
1000,3.8485308,0.5880149812734082,3,target
1000,3.8485308,0.6267166042446941,3,off-target no pert
1000,3.8485308,0.10736579275905118,3,target no pert
1000,3.3846436,0.8938826466916354,4,off-target
1000,0.98283595,0.9013732833957553,4,target
1000,0.98283595,0.5493133583021224,4,off-target no pert
1000,0.98283595,0.5393258426966292,4,target no pert
1000,5.5313363,0.0898876404494382,5,off-target
1000,12.8367405,0.16604244694132334,5,target
1000,12.8367405,0.7328339575530587,5,off-target no pert
1000,12.8367405,0.3295880149812734,5,target no pert
1000,3.9810674,0.7852684144818977,6,off-target
1000,1.3301349,0.8751560549313359,6,target
1000,1.3301349,0.6441947565543071,6,off-target no pert
1000,1.3301349,0.7240948813982522,6,target no pert
1000,0.3704138,0.20224719101123595,7,off-target
1000,1.7948925,0.11735330836454431,7,target
1000,1.7948925,0.37952559300873906,7,off-target no pert
1000,1.7948925,0.5368289637952559,7,target no pert
1000,3.2589624,0.7228464419475655,8,off-target
1000,0.08615761,0.7727840199750312,8,target
1000,0.08615761,0.7166042446941323,8,off-target no pert
1000,0.08615761,0.717852684144819,8,target no pert
1000,0.8225791,0.18352059925093633,9,off-target
1000,1.9097427,0.8252184769038702,9,target
1000,1.9097427,0.3046192259675406,9,off-target no pert
1000,1.9097427,0.08114856429463171,9,target no pert
1000,0.06615909,0.24719101123595505,10,off-target
1000,1.0106068,0.3208489388264669,10,target
1000,1.0106068,0.3146067415730337,10,off-target no pert
1000,1.0106068,0.132334581772784,10,target no pert
1000,4.6677713,0.27965043695380776,11,off-target
1000,0.6350749,0.6903870162297129,11,target
1000,0.6350749,0.9400749063670412,11,off-target no pert
1000,0.6350749,0.38701622971285893,11,target no pert
1000,0.7054453,0.12609238451935081,12,off-target
1000,2.2660599,0.20474406991260924,12,target
1000,2.2660599,0.9850187265917603,12,off-target no pert
1000,2.2660599,0.4581772784019975,12,target no pert
1000,0.19138423,0.1972534332084894,13,off-target
1000,5.632472,0.6192259675405742,13,target
1000,5.632472,0.4706616729088639,13,off-target no pert
1000,5.632472,0.8614232209737828,13,target no pert
1000,0.0035142305,0.6841448189762797,14,off-target
1000,0.0832074,0.9962546816479401,14,target
1000,0.0832074,0.4868913857677903,14,off-target no pert
1000,0.0832074,0.42197253433208487,14,target no pert
1000,0.0066758115,0.3046192259675406,15,off-target
1000,0.7849943,0.6267166042446941,15,target
1000,0.7849943,0.46691635455680397,15,off-target no pert
1000,0.7849943,0.02746566791510612,15,target no pert
1000,0.9088332,0.28214731585518105,16,off-target
1000,0.013476775,0.1735330836454432,16,target
1000,0.013476775,0.3857677902621723,16,off-target no pert
1000,0.013476775,0.15730337078651685,16,target no pert
1000,0.029445037,0.056179775280898875,17,off-target
1000,111.35776,0.7478152309612984,17,target
1000,111.35776,0.5568039950062422,17,off-target no pert
1000,111.35776,0.9338327091136079,17,target no pert
1000,0.0055286316,0.7465667915106118,18,off-target
1000,55.749546,0.7465667915106118,18,target
1000,55.749546,0.7403245942571786,18,off-target no pert
1000,55.749546,0.3995006242197253,18,target no pert
1000,0.0046562296,0.17228464419475656,19,off-target
1000,0.699635,0.9151061173533084,19,target
1000,0.699635,0.29213483146067415,19,off-target no pert
1000,0.699635,0.36079900124843944,19,target no pert
1000,0.062872574,0.23220973782771537,20,off-target
1000,0.64165527,0.9350811485642946,20,target
1000,0.64165527,0.3533083645443196,20,off-target no pert
1000,0.64165527,0.8726591760299626,20,target no pert
1000,424.6591,0.2808988764044944,21,off-target
1000,0.01333627,0.9975031210986267,21,target
1000,0.01333627,0.8589263420724095,21,off-target no pert
1000,0.01333627,0.5705368289637952,21,target no pert
1000,4.587277,0.5880149812734082,22,off-target
1000,22.043354,0.49812734082397003,22,target
1000,22.043354,0.616729088639201,22,off-target no pert
1000,22.043354,0.21348314606741572,22,target no pert
1000,0.006544761,0.5405742821473158,23,off-target
1000,0.0010196721,0.8352059925093633,23,target
1000,0.0010196721,0.9488139825218477,23,off-target no pert
1000,0.0010196721,0.36704119850187267,23,target no pert
1000,0.047476117,0.3470661672908864,24,off-target
1000,0.49192575,0.2746566791510612,24,target
1000,0.49192575,0.3945068664169788,24,off-target no pert
1000,0.49192575,0.03495630461922597,24,target no pert
1000,0.019950725,0.550561797752809,25,off-target
1000,0.005000417,0.9088639200998752,25,target
1000,0.005000417,0.17478152309612985,25,off-target no pert
1000,0.005000417,0.250936329588015,25,target no pert
1000,1.0897251,0.7590511860174781,26,off-target
1000,0.005348203,0.37702871410736577,26,target
1000,0.005348203,0.30087390761548066,26,off-target no pert
1000,0.005348203,0.4332084893882647,26,target no pert
1000,0.051933568,0.815230961298377,27,off-target
1000,0.011110252,0.8938826466916354,27,target
1000,0.011110252,0.250936329588015,27,off-target no pert
1000,0.011110252,0.45318352059925093,27,target no pert
1000,0.08784372,0.2009987515605493,28,off-target
1000,4383.576,0.3757802746566791,28,target
1000,4383.576,0.9176029962546817,28,off-target no pert
1000,4383.576,0.4132334581772784,28,target no pert
1000,0.0043265983,0.5805243445692884,29,off-target
1000,875.4281,0.5393258426966292,29,target
1000,875.4281,0.9026217228464419,29,off-target no pert
1000,875.4281,0.8639200998751561,29,target no pert
1000,0.13651614,0.20474406991260924,30,off-target
1000,7.9327226,0.11235955056179775,30,target
1000,7.9327226,0.5043695380774033,30,off-target no pert
1000,7.9327226,0.01373283395755306,30,target no pert
1000,5.1912446,0.4157303370786517,31,off-target
1000,0.0019094072,0.10486891385767791,31,target
1000,0.0019094072,0.1947565543071161,31,off-target no pert
1000,0.0019094072,0.5380774032459426,31,target no pert
1000,5.29708,0.8077403245942572,32,off-target
1000,0.00083411805,0.2908863920099875,32,target
1000,0.00083411805,0.916354556803995,32,off-target no pert
1000,0.00083411805,0.7303370786516854,32,target no pert
1000,3.7236843,0.5118601747815231,33,off-target
1000,25.022505,0.19850187265917604,33,target
1000,25.022505,0.15980024968789014,33,off-target no pert
1000,25.022505,0.3620474406991261,33,target no pert
1000,0.009554956,0.6878901373283396,34,off-target
1000,15.623713,0.9675405742821473,34,target
1000,15.623713,0.5093632958801498,34,off-target no pert
