n,p_value,seed,type
500,0.045,0,off-target
500,0.626,0,target
500,0.033,1,off-target
500,0.08,1,target
500,0.008,2,off-target
500,0.887,2,target
500,0.0,3,off-target
500,0.141,3,target
500,0.004,4,off-target
500,0.825,4,target
500,0.085,5,off-target
500,0.093,5,target
500,0.063,6,off-target
500,0.151,6,target
500,0.119,7,off-target
500,0.22,7,target
500,0.002,8,off-target
500,0.326,8,target
500,0.001,9,off-target
500,0.848,9,target
500,0.007,10,off-target
500,0.586,10,target
500,0.073,11,off-target
500,0.685,11,target
500,0.108,12,off-target
500,0.256,12,target
500,0.012,13,off-target
500,0.751,13,target
500,0.011,14,off-target
500,0.648,14,target
500,0.003,15,off-target
500,0.753,15,target
500,0.004,16,off-target
500,0.148,16,target
500,0.093,17,off-target
500,0.419,17,target
500,0.004,18,off-target
500,0.783,18,target
500,0.039,19,off-target
500,0.139,19,target
500,0.001,20,off-target
500,0.791,20,target
500,0.426,21,off-target
500,0.162,21,target
500,0.206,22,off-target
500,0.328,22,target
500,0.01,23,off-target
500,0.548,23,target
500,0.015,24,off-target
500,0.563,24,target
500,0.09,25,off-target
500,0.595,25,target
500,0.016,26,off-target
500,0.599,26,target
500,0.009,27,off-target
500,0.996,27,target
500,0.0,28,off-target
500,0.982,28,target
500,0.013,29,off-target
500,0.53,29,target
500,0.0,30,off-target
500,0.381,30,target
500,0.0,31,off-target
500,0.686,31,target
500,0.014,32,off-target
500,0.186,32,target
500,0.048,33,off-target
500,0.297,33,target
500,0.086,34,off-target
500,0.833,34,target
500,0.133,35,off-target
500,0.467,35,target
500,0.018,36,off-target
500,0.907,36,target
500,0.056,37,off-target
500,0.289,37,target
500,0.007,38,off-target
500,0.411,38,target
500,0.004,39,off-target
500,0.716,39,target
500,0.0,40,off-target
500,0.577,40,target
500,0.042,41,off-target
500,0.26,41,target
500,0.004,42,off-target
500,0.777,42,target
500,0.009,43,off-target
500,0.999,43,target
500,0.002,44,off-target
500,0.196,44,target
500,0.149,45,off-target
500,0.973,45,target
500,0.003,46,off-target
500,0.226,46,target
500,0.057,47,off-target
500,0.929,47,target
500,0.102,48,off-target
500,0.581,48,target
500,0.155,49,off-target
500,0.11,49,target
500,0.002,50,off-target
500,0.804,50,target
500,0.411,51,off-target
500,0.81,51,target
500,0.228,52,off-target
500,0.215,52,target
500,0.003,53,off-target
500,0.801,53,target
500,0.162,54,off-target
500,0.379,54,target
500,0.049,55,off-target
500,0.157,55,target
500,0.0,56,off-target
500,0.982,56,target
500,0.018,57,off-target
500,0.223,57,target
500,0.0,58,off-target
500,0.667,58,target
500,0.069,59,off-target
500,0.499,59,target
500,0.006,60,off-target
500,0.206,60,target
500,0.222,61,off-target
500,0.425,61,target
500,0.039,62,off-target
500,0.811,62,target
500,0.059,63,off-target
500,0.737,63,target
500,0.012,64,off-target
