n,best_std,p_value,seed,type
1000,1.4,0.0,0,off-target
1000,0.7,0.0024968789013732834,0,target
1000,0.7,0.8664169787765293,0,off-target no pert
1000,0.7,0.6903870162297129,0,target no pert
1000,0.65,0.0,1,off-target
1000,1.25,0.0,1,target
1000,1.25,0.9538077403245943,1,off-target no pert
1000,1.25,0.8776529338327091,1,target no pert
1000,1.35,0.0,2,off-target
1000,0.55,0.0,2,target
1000,0.55,0.10112359550561797,2,off-target no pert
1000,0.55,0.44818976279650435,2,target no pert
1000,0.7,0.0,3,off-target
1000,0.75,0.0024968789013732834,3,target
1000,0.75,0.4606741573033708,3,off-target no pert
1000,0.75,0.17478152309612985,3,target no pert
1000,1.3,0.0,4,off-target
1000,1.4500000000000002,0.0,4,target
1000,1.4500000000000002,0.8888888888888888,4,off-target no pert
1000,1.4500000000000002,0.41947565543071164,4,target no pert
1000,0.6,0.0,5,off-target
1000,1.35,0.0,5,target
1000,1.35,0.7815230961298377,5,off-target no pert
1000,1.35,0.6941323345817728,5,target no pert
1000,0.65,0.0,6,off-target
1000,1.35,0.0,6,target
1000,1.35,0.4556803995006242,6,off-target no pert
1000,1.35,0.4107365792759051,6,target no pert
1000,0.7,0.0,7,off-target
1000,1.3,0.0,7,target
1000,1.3,0.9488139825218477,7,off-target no pert
1000,1.3,0.4606741573033708,7,target no pert
1000,1.35,0.0,8,off-target
1000,0.65,0.0,8,target
1000,0.65,0.20474406991260924,8,off-target no pert
1000,0.65,0.33083645443196,8,target no pert
1000,0.65,0.0,9,off-target
1000,1.25,0.0,9,target
1000,1.25,0.4993757802746567,9,off-target no pert
1000,1.25,0.682896379525593,9,target no pert
1000,0.65,0.0,10,off-target
1000,0.65,0.004993757802746567,10,target
1000,0.65,0.9675405742821473,10,off-target no pert
1000,0.65,0.9563046192259675,10,target no pert
1000,0.6,0.0,11,off-target
1000,1.4,0.0,11,target
1000,1.4,0.898876404494382,11,off-target no pert
1000,1.4,0.6928838951310862,11,target no pert
1000,0.65,0.0,12,off-target
1000,1.4,0.009987515605493134,12,target
1000,1.4,0.898876404494382,12,off-target no pert
1000,1.4,0.11610486891385768,12,target no pert
1000,0.65,0.0,13,off-target
1000,1.25,0.031210986267166042,13,target
1000,1.25,0.2397003745318352,13,off-target no pert
1000,1.25,0.46192259675405745,13,target no pert
1000,0.6,0.0,14,off-target
1000,0.65,0.11235955056179775,14,target
1000,0.65,0.5106117353308365,14,off-target no pert
1000,0.65,0.38451935081148564,14,target no pert
1000,0.65,0.0,15,off-target
1000,0.65,0.0149812734082397,15,target
1000,0.65,0.22846441947565543,15,off-target no pert
1000,0.65,0.3570536828963795,15,target no pert
1000,1.3,0.0,16,off-target
1000,1.2000000000000002,0.011235955056179775,16,target
1000,1.2000000000000002,0.8564294631710362,16,off-target no pert
1000,1.2000000000000002,0.07740324594257178,16,target no pert
1000,1.35,0.0,17,off-target
1000,0.75,0.2222222222222222,17,target
1000,0.75,0.9300873907615481,17,off-target no pert
1000,0.75,0.4756554307116105,17,target no pert
1000,0.7,0.0,18,off-target
1000,0.75,0.02746566791510612,18,target
1000,0.75,0.8589263420724095,18,off-target no pert
1000,0.75,0.2596754057428215,18,target no pert
1000,0.7,0.0,19,off-target
1000,1.4,0.009987515605493134,19,target
1000,1.4,0.16104868913857678,19,off-target no pert
1000,1.4,0.2421972534332085,19,target no pert
1000,1.3,0.0,20,off-target
1000,1.3,0.008739076154806492,20,target
1000,1.3,0.5967540574282147,20,off-target no pert
1000,1.3,0.21098626716604243,20,target no pert
1000,0.75,0.0,21,off-target
1000,1.4,0.0,21,target
1000,1.4,0.0299625468164794,21,off-target no pert
1000,1.4,0.08739076154806492,21,target no pert
1000,1.3,0.0,22,off-target
1000,1.3,0.0,22,target
1000,1.3,0.8701622971285893,22,off-target no pert
1000,1.3,0.6067415730337079,22,target no pert
1000,0.6,0.0,23,off-target
1000,0.55,0.033707865168539325,23,target
1000,0.55,0.04369538077403246,23,off-target no pert
1000,0.55,0.26217228464419473,23,target no pert
1000,0.65,0.0,24,off-target
1000,0.75,0.00749063670411985,24,target
1000,0.75,0.5106117353308365,24,off-target no pert
1000,0.75,0.6504369538077404,24,target no pert
1000,1.35,0.0,25,off-target
1000,1.35,0.0012484394506866417,25,target
1000,1.35,0.44569288389513106,25,off-target no pert
1000,1.35,0.7690387016229713,25,target no pert
1000,0.65,0.0,26,off-target
1000,1.25,0.0024968789013732834,26,target
1000,1.25,0.23345817727840198,26,off-target no pert
1000,1.25,0.1760299625468165,26,target no pert
1000,0.65,0.0,27,off-target
1000,0.65,0.1797752808988764,27,target
1000,0.65,0.2958801498127341,27,off-target no pert
1000,0.65,0.19975031210986266,27,target no pert
1000,0.7,0.0,28,off-target
1000,1.4,0.0,28,target
1000,1.4,0.1772784019975031,28,off-target no pert
1000,1.4,0.23096129837702872,28,target no pert
1000,0.65,0.0,29,off-target
1000,0.5,0.0024968789013732834,29,target
1000,0.5,0.38202247191011235,29,off-target no pert
1000,0.5,0.9388264669163545,29,target no pert
1000,0.7,0.0,30,off-target
1000,0.75,0.024968789013732832,30,target
1000,0.75,0.8389513108614233,30,off-target no pert
1000,0.75,0.24719101123595505,30,target no pert
1000,1.35,0.0,31,off-target
1000,0.7,0.1136079900124844,31,target
1000,0.7,0.062421972534332085,31,off-target no pert
1000,0.7,0.2883895131086142,31,target no pert
1000,0.7,0.0,32,off-target
1000,1.35,0.003745318352059925,32,target
1000,1.35,0.9538077403245943,32,off-target no pert
1000,1.35,0.6329588014981273,32,target no pert
1000,0.65,0.0,33,off-target
1000,0.65,0.0,33,target
1000,0.65,0.5156054931335831,33,off-target no pert
1000,0.65,0.5792759051186017,33,target no pert
1000,0.65,0.0,34,off-target
1000,1.3,0.0,34,target
1000,1.3,0.36329588014981273,34,off-target no pert
1000,1.3,0.4344569288389513,34,target no pert
1000,0.65,0.0,35,off-target
1000,0.65,0.0024968789013732834,35,target
1000,0.65,0.616729088639201,35,off-target no pert
1000,0.65,0.5605493133583022,35,target no pert
1000,1.35,0.0,36,off-target
1000,0.6,0.03495630461922597,36,target
1000,0.6,0.6554307116104869,36,off-target no pert
1000,0.6,0.3620474406991261,36,target no pert
1000,0.7,0.0,37,off-target
1000,1.3,0.009987515605493134,37,target
1000,1.3,0.9637952559300874,37,off-target no pert
1000,1.3,0.9325842696629213,37,target no pert
1000,0.65,0.0,38,off-target
1000,1.4,0.0024968789013732834,38,target
1000,1.4,0.009987515605493134,38,off-target no pert
1000,1.4,0.4431960049937578,38,target no pert
1000,0.7,0.0,39,off-target
1000,1.35,0.07365792759051186,39,target
1000,1.35,0.11610486891385768,39,off-target no pert
1000,1.35,0.9488139825218477,39,target no pert
1000,0.7,0.0,40,off-target
1000,1.2000000000000002,0.1560549313358302,40,target
1000,1.2000000000000002,0.10736579275905118,40,off-target no pert
1000,1.2000000000000002,0.19225967540574282,40,target no pert
1000,0.7,0.0,41,off-target
1000,1.4500000000000002,0.0012484394506866417,41,target
1000,1.4500000000000002,0.365792759051186,41,off-target no pert
1000,1.4500000000000002,0.8414481897627965,41,target no pert
1000,1.3,0.0,42,off-target
1000,1.35,0.0012484394506866417,42,target
1000,1.35,0.8639200998751561,42,off-target no pert
1000,1.35,0.07865168539325842,42,target no pert
