n,best_std,p_value,seed,type
1000,1.3,0.5230961298377028,0,off-target
1000,0.8,0.10736579275905118,0,target
1000,0.8,0.9438202247191011,0,off-target no pert
1000,0.8,0.9188514357053683,0,target no pert
1000,1.0,0.7815230961298377,1,off-target
1000,1.4,0.5717852684144819,1,target
1000,1.4,0.29712858926342073,1,off-target no pert
1000,1.4,0.11860174781523096,1,target no pert
1000,1.25,0.004993757802746567,2,off-target
1000,0.95,0.7652933832709113,2,target
1000,0.95,0.50187265917603,2,off-target no pert
1000,0.95,0.3982521847690387,2,target no pert
1000,0.9,0.10486891385767791,3,off-target
1000,1.0,0.49563046192259674,3,target
1000,1.0,0.21348314606741572,3,off-target no pert
1000,1.0,0.5380774032459426,3,target no pert
1000,0.8,0.35830212234706615,4,off-target
1000,1.15,0.17228464419475656,4,target
1000,1.15,0.0749063670411985,4,off-target no pert
1000,1.15,0.8302122347066168,4,target no pert
1000,0.8,0.4157303370786517,5,off-target
1000,0.9,0.48064918851435706,5,target
1000,0.9,0.9887640449438202,5,off-target no pert
1000,0.9,0.9762796504369539,5,target no pert
1000,0.6,0.38451935081148564,6,off-target
1000,1.1,0.7540574282147315,6,target
1000,1.1,0.4943820224719101,6,off-target no pert
1000,1.1,0.45068664169787764,6,target no pert
1000,1.25,0.03495630461922597,7,off-target
1000,1.25,0.14856429463171036,7,target
1000,1.25,0.24968789013732834,7,off-target no pert
1000,1.25,0.3196004993757803,7,target no pert
1000,1.2000000000000002,0.26092384519350814,8,off-target
1000,0.8500000000000001,0.6729088639200999,8,target
1000,0.8500000000000001,0.6579275905118602,8,off-target no pert
1000,0.8500000000000001,0.5930087390761548,8,target no pert
1000,1.2000000000000002,0.0012484394506866417,9,off-target
1000,1.4500000000000002,0.38451935081148564,9,target
1000,1.4500000000000002,0.13607990012484394,9,off-target no pert
1000,1.4500000000000002,0.7815230961298377,9,target no pert
1000,0.75,0.19101123595505617,10,off-target
1000,1.2000000000000002,0.35580524344569286,10,target
1000,1.2000000000000002,0.9076154806491885,10,off-target no pert
1000,1.2000000000000002,0.1111111111111111,10,target no pert
1000,1.2000000000000002,0.019975031210986267,11,off-target
1000,0.8500000000000001,0.6803995006242197,11,target
1000,0.8500000000000001,0.3945068664169788,11,off-target no pert
1000,0.8500000000000001,0.867665418227216,11,target no pert
1000,1.2000000000000002,0.0024968789013732834,12,off-target
1000,1.3,0.8401997503121099,12,target
1000,1.3,0.33957553058676654,12,off-target no pert
1000,1.3,0.0299625468164794,12,target no pert
1000,1.05,0.7328339575530587,13,off-target
1000,1.0,0.2983770287141074,13,target
1000,1.0,0.22971285892634208,13,off-target no pert
1000,1.0,0.29213483146067415,13,target no pert
1000,0.8500000000000001,0.299625468164794,14,off-target
1000,1.3,0.5343320848938826,14,target
1000,1.3,0.6129837702871411,14,off-target no pert
1000,1.3,0.8214731585518102,14,target no pert
1000,1.2000000000000002,0.23595505617977527,15,off-target
1000,0.75,0.38701622971285893,15,target
1000,0.75,0.12109862671660425,15,off-target no pert
1000,0.75,0.4207240948813982,15,target no pert
1000,1.5,0.2272159800249688,16,off-target
1000,1.25,0.1285892634207241,16,target
1000,1.25,0.6691635455680399,16,off-target no pert
1000,1.25,0.04369538077403246,16,target no pert
1000,0.8,0.6217228464419475,17,off-target
1000,1.1,0.978776529338327,17,target
1000,1.1,0.2596754057428215,17,off-target no pert
