n,best_std,p_value,seed,type
1000,0.8500000000000001,0.026217228464419477,0,off-target
1000,1.2000000000000002,0.7091136079900124,0,target
1000,1.2000000000000002,0.9438202247191011,0,off-target no pert
1000,1.2000000000000002,0.9188514357053683,0,target no pert
1000,0.55,0.008739076154806492,1,off-target
1000,1.35,0.3383270911360799,1,target
1000,1.35,0.29712858926342073,1,off-target no pert
1000,1.35,0.11860174781523096,1,target no pert
1000,0.7,0.32709113607990015,2,off-target
1000,1.4,0.4631710362047441,2,target
1000,1.4,0.50187265917603,2,off-target no pert
1000,1.4,0.3982521847690387,2,target no pert
1000,0.9,0.0,3,off-target
1000,1.3,0.20973782771535582,3,target
1000,1.3,0.21348314606741572,3,off-target no pert
1000,1.3,0.5380774032459426,3,target no pert
1000,1.25,0.7440699126092385,4,off-target
1000,1.25,0.0,4,target
1000,1.25,0.0749063670411985,4,off-target no pert
1000,1.25,0.8302122347066168,4,target no pert
1000,0.8500000000000001,0.33208489388264667,5,off-target
1000,0.8500000000000001,0.5368289637952559,5,target
1000,0.8500000000000001,0.9887640449438202,5,off-target no pert
1000,0.8500000000000001,0.9762796504369539,5,target no pert
1000,1.35,0.0,6,off-target
1000,0.95,0.2671660424469413,6,target
1000,0.95,0.4943820224719101,6,off-target no pert
1000,0.95,0.45068664169787764,6,target no pert
1000,0.9,0.0,7,off-target
1000,1.5,0.6541822721598003,7,target
1000,1.5,0.24968789013732834,7,off-target no pert
1000,1.5,0.3196004993757803,7,target no pert
1000,0.8,0.0,8,off-target
1000,0.55,0.4132334581772784,8,target
1000,0.55,0.6579275905118602,8,off-target no pert
1000,0.55,0.5930087390761548,8,target no pert
1000,0.75,0.0,9,off-target
1000,1.3,0.29712858926342073,9,target
1000,1.3,0.13607990012484394,9,off-target no pert
1000,1.3,0.7815230961298377,9,target no pert
1000,1.35,0.056179775280898875,10,off-target
1000,1.15,0.10362047440699126,10,target
1000,1.15,0.9076154806491885,10,off-target no pert
1000,1.15,0.1111111111111111,10,target no pert
1000,0.55,0.05368289637952559,11,off-target
1000,1.1,0.7990012484394506,11,target
1000,1.1,0.3945068664169788,11,off-target no pert
1000,1.1,0.867665418227216,11,target no pert
1000,1.3,0.003745318352059925,12,off-target
1000,0.75,0.10986267166042447,12,target
1000,0.75,0.33957553058676654,12,off-target no pert
1000,0.75,0.0299625468164794,12,target no pert
1000,0.8500000000000001,0.017478152309612985,13,off-target
