n,best_std,p_value,seed,type
500,0.7,0.191,0,off-target
500,0.58,0.917,0,target
500,0.58,0.805,0,off-target no pert
500,0.58,0.7,0,target no pert
500,0.62,0.908,1,off-target
500,0.8200000000000001,0.123,1,target
500,0.8200000000000001,0.818,1,off-target no pert
500,0.8200000000000001,0.369,1,target no pert
500,0.66,0.237,2,off-target
500,0.58,0.078,2,target
500,0.58,0.054,2,off-target no pert
500,0.58,0.992,2,target no pert
500,0.66,0.39,3,off-target
500,0.78,0.141,3,target
500,0.78,0.1,3,off-target no pert
500,0.78,0.986,3,target no pert
500,0.54,0.429,4,off-target
500,0.5,0.717,4,target
500,0.5,0.568,4,off-target no pert
500,0.5,0.051,4,target no pert
500,0.54,0.794,5,off-target
500,0.62,0.297,5,target
500,0.62,0.935,5,off-target no pert
500,0.62,0.858,5,target no pert
500,0.58,0.99,6,off-target
500,0.7,0.11,6,target
500,0.7,0.609,6,off-target no pert
500,0.7,0.013,6,target no pert
500,0.86,0.774,7,off-target
500,0.54,0.287,7,target
500,0.54,0.354,7,off-target no pert
500,0.54,0.265,7,target no pert
500,0.94,0.043,8,off-target
500,0.5,0.305,8,target
500,0.5,0.547,8,off-target no pert
500,0.5,0.22,8,target no pert
500,0.98,0.768,9,off-target
500,0.58,0.172,9,target
500,0.58,0.273,9,off-target no pert
500,0.58,0.244,9,target no pert
500,0.5,0.92,10,off-target
500,0.5,0.762,10,target
500,0.5,0.61,10,off-target no pert
500,0.5,0.286,10,target no pert
500,0.62,0.149,11,off-target
500,0.62,0.704,11,target
500,0.62,0.922,11,off-target no pert
500,0.62,0.136,11,target no pert
500,0.54,0.217,12,off-target
500,0.66,0.884,12,target
500,0.66,0.727,12,off-target no pert
500,0.66,0.735,12,target no pert
500,0.62,0.127,13,off-target
500,0.5,0.711,13,target
500,0.5,0.954,13,off-target no pert
500,0.5,0.019,13,target no pert
500,0.5,0.586,14,off-target
500,0.54,0.464,14,target
500,0.54,0.397,14,off-target no pert
500,0.54,0.962,14,target no pert
500,0.5,0.308,15,off-target
500,0.5,0.446,15,target
500,0.5,0.178,15,off-target no pert
500,0.5,0.25,15,target no pert
500,0.58,0.63,16,off-target
500,0.54,0.868,16,target
500,0.54,0.292,16,off-target no pert
500,0.54,0.138,16,target no pert
500,0.54,0.051,17,off-target
500,0.5,0.388,17,target
500,0.5,0.172,17,off-target no pert
500,0.5,0.947,17,target no pert
500,0.8200000000000001,0.398,18,off-target
500,0.74,0.726,18,target
500,0.74,0.79,18,off-target no pert
500,0.74,0.697,18,target no pert
500,0.66,0.117,19,off-target
500,0.62,0.182,19,target
500,0.62,0.874,19,off-target no pert
500,0.62,0.996,19,target no pert
