n,best_std,p_value,seed,type
1000,0.7,0.0,0,off-target
1000,0.7,0.003745318352059925,0,target
1000,0.7,0.8801498127340824,0,off-target no pert
1000,0.7,0.519350811485643,0,target no pert
1000,0.75,0.0,1,off-target
1000,1.4500000000000002,0.13358302122347065,1,target
1000,1.4500000000000002,0.2883895131086142,1,off-target no pert
1000,1.4500000000000002,0.06491885143570537,1,target no pert
1000,0.9,0.02122347066167291,2,off-target
1000,0.8,0.0149812734082397,2,target
1000,0.8,0.3258426966292135,2,off-target no pert
1000,0.8,0.9500624219725343,2,target no pert
1000,0.75,0.5255930087390761,3,off-target
1000,0.75,0.0,3,target
1000,0.75,0.5118601747815231,3,off-target no pert
1000,0.75,0.47440699126092384,3,target no pert
1000,0.7,0.09238451935081149,4,off-target
1000,1.35,0.317103620474407,4,target
1000,1.35,0.568039950062422,4,off-target no pert
1000,1.35,0.07615480649188515,4,target no pert
1000,0.7,0.004993757802746567,5,off-target
1000,0.65,0.09612983770287141,5,target
1000,0.65,0.8514357053682896,5,off-target no pert
1000,0.65,0.046192259675405745,5,target no pert
1000,0.75,0.004993757802746567,6,off-target
1000,0.55,0.05368289637952559,6,target
1000,0.55,0.7390761548064919,6,off-target no pert
1000,0.55,0.21223470661672908,6,target no pert
1000,1.4,0.3083645443196005,7,off-target
1000,0.75,0.026217228464419477,7,target
1000,0.75,0.2833957553058677,7,off-target no pert
1000,0.75,0.03870162297128589,7,target no pert
1000,0.75,0.0,8,off-target
1000,0.7,0.2222222222222222,8,target
1000,0.7,0.9812734082397003,8,off-target no pert
1000,0.7,0.18476903870162298,8,target no pert
1000,1.25,0.0,9,off-target
1000,1.25,0.0012484394506866417,9,target
1000,1.25,0.34831460674157305,9,off-target no pert
1000,1.25,0.049937578027465665,9,target no pert
1000,0.7,0.0,10,off-target
1000,1.3,0.049937578027465665,10,target
1000,1.3,0.5168539325842697,10,off-target no pert
1000,1.3,0.9188514357053683,10,target no pert
1000,0.75,0.0,11,off-target
1000,1.2000000000000002,0.33707865168539325,11,target
1000,1.2000000000000002,0.48813982521847693,11,off-target no pert
1000,1.2000000000000002,0.8052434456928839,11,target no pert
1000,1.35,0.0024968789013732834,12,off-target
1000,1.25,0.06491885143570537,12,target
1000,1.25,0.6067415730337079,12,off-target no pert
1000,1.25,0.6754057428214731,12,target no pert
1000,0.6,0.317103620474407,13,off-target
1000,1.25,0.07116104868913857,13,target
1000,1.25,0.8389513108614233,13,off-target no pert
1000,1.25,0.4681647940074906,13,target no pert
1000,0.75,0.0,14,off-target
1000,1.35,0.6716604244694132,14,target
1000,1.35,0.6192259675405742,14,off-target no pert
1000,1.35,0.5942571785268415,14,target no pert
1000,0.65,0.003745318352059925,15,off-target
1000,0.6,0.20474406991260924,15,target
1000,0.6,0.17228464419475656,15,off-target no pert
1000,0.6,0.11235955056179775,15,target no pert
1000,1.2000000000000002,0.05493133583021224,16,off-target
1000,1.4,0.0,16,target
1000,1.4,0.08489388264669163,16,off-target no pert
1000,1.4,0.33208489388264667,16,target no pert
1000,0.7,0.0,17,off-target
1000,0.65,0.06991260923845194,17,target
1000,0.65,0.7228464419475655,17,off-target no pert
1000,0.65,0.1772784019975031,17,target no pert
1000,0.9,0.12359550561797752,18,off-target
1000,0.8,0.6729088639200999,18,target
1000,0.8,0.5580524344569289,18,off-target no pert
1000,0.8,0.5617977528089888,18,target no pert
1000,0.7,0.0,19,off-target
1000,0.5,0.0024968789013732834,19,target
1000,0.5,0.44069912609238454,19,off-target no pert
1000,0.5,0.6204744069912609,19,target no pert
1000,1.25,0.0,20,off-target
1000,0.7,0.04369538077403246,20,target
1000,0.7,0.4631710362047441,20,off-target no pert
