n,best_std,p_value,seed,type
1000,0.9,0.0024968789013732834,0,off-target
1000,1.15,0.784019975031211,0,target
1000,1.15,0.7340823970037453,0,off-target no pert
1000,1.15,0.850187265917603,0,target no pert
1000,0.9,0.14232209737827714,1,off-target
1000,0.8,0.2546816479400749,1,target
1000,0.8,0.43196004993757803,1,off-target no pert
1000,0.8,0.7702871410736579,1,target no pert
1000,0.8500000000000001,0.0,2,off-target
1000,1.15,0.22596754057428214,2,target
1000,1.15,0.8476903870162297,2,off-target no pert
1000,1.15,0.3970037453183521,2,target no pert
1000,0.8,0.0449438202247191,3,off-target
1000,0.9,0.4706616729088639,3,target
1000,0.9,0.012484394506866416,3,off-target no pert
1000,0.9,0.2696629213483146,3,target no pert
1000,1.1,0.0,4,off-target
1000,0.9,0.2958801498127341,4,target
1000,0.9,0.7565543071161048,4,off-target no pert
1000,0.9,0.42446941323345816,4,target no pert
1000,0.9,0.0,5,off-target
1000,1.2000000000000002,0.978776529338327,5,target
1000,1.2000000000000002,0.9900124843945068,5,off-target no pert
1000,1.2000000000000002,0.7028714107365793,5,target no pert
1000,0.9,0.0,6,off-target
1000,1.05,0.7340823970037453,6,target
1000,1.05,0.6554307116104869,6,off-target no pert
1000,1.05,0.12484394506866417,6,target no pert
1000,0.95,0.0,7,off-target
1000,0.9,0.0686641697877653,7,target
1000,0.9,0.5168539325842697,7,off-target no pert
1000,0.9,0.13857677902621723,7,target no pert
1000,1.15,0.0024968789013732834,8,off-target
1000,0.8500000000000001,0.29463171036204744,8,target
1000,0.8500000000000001,0.9438202247191011,8,off-target no pert
1000,0.8500000000000001,0.8277153558052435,8,target no pert
1000,1.1,0.0,9,off-target
1000,1.05,0.08614232209737828,9,target
1000,1.05,0.7578027465667915,9,off-target no pert
1000,1.05,0.6966292134831461,9,target no pert
1000,0.9,0.0012484394506866417,10,off-target
1000,1.1,0.16604244694132334,10,target
1000,1.1,0.8077403245942572,10,off-target no pert
1000,1.1,0.12983770287141075,10,target no pert
1000,0.95,0.0686641697877653,11,off-target
1000,1.1,0.5480649188514357,11,target
1000,1.1,0.9463171036204744,11,off-target no pert
1000,1.1,0.6267166042446941,11,target no pert
1000,0.9,0.0,12,off-target
1000,1.1,0.039950062421972535,12,target
1000,1.1,0.9138576779026217,12,off-target no pert
1000,1.1,0.22971285892634208,12,target no pert
1000,1.1,0.0,13,off-target
1000,1.1,0.3096129837702871,13,target
1000,1.1,0.6704119850187266,13,off-target no pert
1000,1.1,0.3196004993757803,13,target no pert
1000,1.1,0.0,14,off-target
1000,1.1,0.03620474406991261,14,target
1000,1.1,0.5430711610486891,14,off-target no pert
1000,1.1,0.8264669163545568,14,target no pert
1000,0.9,0.0012484394506866417,15,off-target
1000,0.9,0.30087390761548066,15,target
1000,0.9,0.3707865168539326,15,off-target no pert
1000,0.9,0.7578027465667915,15,target no pert
1000,1.1,0.0,16,off-target
1000,1.2000000000000002,0.5493133583021224,16,target
1000,1.2000000000000002,0.2397003745318352,16,off-target no pert
1000,1.2000000000000002,0.36079900124843944,16,target no pert
1000,0.95,0.0,17,off-target
1000,1.0,0.45692883895131087,17,target
1000,1.0,0.7528089887640449,17,off-target no pert
1000,1.0,0.43820224719101125,17,target no pert
1000,0.9,0.0,18,off-target
1000,0.9,0.8377028714107366,18,target
1000,0.9,0.8938826466916354,18,off-target no pert
1000,0.9,0.7827715355805244,18,target no pert
1000,1.1,0.4893882646691635,19,off-target
1000,1.1,0.34207240948813983,19,target
1000,1.1,0.18601747815230962,19,off-target no pert
1000,1.1,0.4968789013732834,19,target no pert
1000,1.1,0.00749063670411985,20,off-target
1000,1.1,0.45942571785268416,20,target
1000,1.1,0.6541822721598003,20,off-target no pert
1000,1.1,0.8876404494382022,20,target no pert
1000,0.9,0.0,21,off-target
1000,0.9,0.8014981273408239,21,target
1000,0.9,0.31835205992509363,21,off-target no pert
1000,0.9,0.5093632958801498,21,target no pert
1000,0.9,0.008739076154806492,22,off-target
1000,0.8,0.44818976279650435,22,target
1000,0.8,0.42197253433208487,22,off-target no pert
1000,0.8,0.4631710362047441,22,target no pert
1000,1.1,0.0012484394506866417,23,off-target
1000,1.1,0.4431960049937578,23,target
1000,1.1,0.05118601747815231,23,off-target no pert
1000,1.1,0.062421972534332085,23,target no pert
1000,0.95,0.0,24,off-target
1000,1.35,0.8289637952559301,24,target
1000,1.35,0.5480649188514357,24,off-target no pert
1000,1.35,0.5255930087390761,24,target no pert
1000,1.05,0.08239700374531835,25,off-target
1000,1.1,0.4781523096129838,25,target
1000,1.1,0.24968789013732834,25,off-target no pert
1000,1.1,0.9363295880149812,25,target no pert
1000,1.1,0.0024968789013732834,26,off-target
1000,1.1,0.8701622971285893,26,target
1000,1.1,0.40574282147315854,26,off-target no pert
1000,1.1,0.4706616729088639,26,target no pert
1000,0.95,0.3196004993757803,27,off-target
1000,1.0,0.7378277153558053,27,target
1000,1.0,0.9588014981273408,27,off-target no pert
1000,1.0,0.33458177278401996,27,target no pert
1000,1.15,0.011235955056179775,28,off-target
1000,1.0,0.4419475655430712,28,target
1000,1.0,0.07865168539325842,28,off-target no pert
1000,1.0,0.16104868913857678,28,target no pert
1000,1.1,0.0,29,off-target
1000,1.05,0.031210986267166042,29,target
1000,1.05,0.4069912609238452,29,off-target no pert
1000,1.05,0.8039950062421972,29,target no pert
1000,1.1,0.04868913857677903,30,off-target
1000,1.1,0.22347066167290885,30,target
1000,1.1,0.4519350811485643,30,off-target no pert
1000,1.1,0.006242197253433208,30,target no pert
1000,1.1,0.0,31,off-target
1000,1.4500000000000002,0.41198501872659177,31,target
1000,1.4500000000000002,0.0299625468164794,31,off-target no pert
1000,1.4500000000000002,0.5418227215980025,31,target no pert
1000,0.8,0.0,32,off-target
1000,1.25,0.23345817727840198,32,target
1000,1.25,0.8813982521847691,32,off-target no pert
1000,1.25,0.6816479400749064,32,target no pert
1000,1.1,0.0,33,off-target
1000,1.15,0.4781523096129838,33,target
1000,1.15,0.968789013732834,33,off-target no pert
1000,1.15,0.48314606741573035,33,target no pert
1000,0.9,0.08614232209737828,34,off-target
1000,0.95,0.630461922596754,34,target
1000,0.95,0.6392009987515606,34,off-target no pert
1000,0.95,0.0,34,target no pert
1000,1.15,0.003745318352059925,35,off-target
1000,1.1,0.9762796504369539,35,target
1000,1.1,0.20973782771535582,35,off-target no pert
1000,1.1,0.47440699126092384,35,target no pert
1000,1.05,0.0,36,off-target
1000,1.15,0.33458177278401996,36,target
1000,1.15,0.7203495630461922,36,off-target no pert
1000,1.15,0.6004993757802747,36,target no pert
1000,0.9,0.0,37,off-target
1000,0.9,0.5518102372034956,37,target
1000,0.9,0.8314606741573034,37,off-target no pert
1000,0.9,0.07990012484394507,37,target no pert
1000,1.1,0.0012484394506866417,38,off-target
1000,0.8500000000000001,0.10362047440699126,38,target
1000,0.8500000000000001,0.0449438202247191,38,off-target no pert
1000,0.8500000000000001,0.07740324594257178,38,target no pert
1000,1.15,0.0,39,off-target
1000,1.1,0.30337078651685395,39,target
1000,1.1,0.7865168539325843,39,off-target no pert
1000,1.1,0.2846441947565543,39,target no pert
1000,0.9,0.012484394506866416,40,off-target
1000,0.9,0.45942571785268416,40,target
1000,0.9,0.3121098626716604,40,off-target no pert
1000,0.9,0.0149812734082397,40,target no pert
1000,1.1,0.0,41,off-target
1000,1.05,0.24719101123595505,41,target
1000,1.05,0.9138576779026217,41,off-target no pert
1000,1.05,0.44069912609238454,41,target no pert
1000,1.1,0.0,42,off-target
1000,1.1,0.6666666666666666,42,target
1000,1.1,0.9425717852684145,42,off-target no pert
1000,1.1,0.4893882646691635,42,target no pert
1000,1.15,0.0,43,off-target
1000,0.8,0.6566791510611736,43,target
1000,0.8,0.1560549313358302,43,off-target no pert
1000,0.8,0.3283395755305868,43,target no pert
1000,0.95,0.003745318352059925,44,off-target
1000,0.9,0.03620474406991261,44,target
1000,0.9,0.602996254681648,44,off-target no pert
1000,0.9,0.6953807740324595,44,target no pert
1000,1.1,0.0,45,off-target
1000,1.0,0.6329588014981273,45,target
1000,1.0,0.3233458177278402,45,off-target no pert
1000,1.0,0.7378277153558053,45,target no pert
1000,0.8500000000000001,0.0024968789013732834,46,off-target
1000,1.2000000000000002,0.5268414481897628,46,target
1000,1.2000000000000002,0.33458177278401996,46,off-target no pert
1000,1.2000000000000002,0.06117353308364544,46,target no pert
1000,1.1,0.004993757802746567,47,off-target
1000,1.15,0.7365792759051186,47,target
1000,1.15,0.44818976279650435,47,off-target no pert
1000,1.15,0.383270911360799,47,target no pert
1000,0.9,0.0,48,off-target
1000,1.1,0.09737827715355805,48,target
1000,1.1,0.7815230961298377,48,off-target no pert
1000,1.1,0.5692883895131086,48,target no pert
1000,1.1,0.0,49,off-target
1000,1.05,0.9850187265917603,49,target
1000,1.05,0.6953807740324595,49,off-target no pert
1000,1.05,0.8689138576779026,49,target no pert
