n,best_std,p_value,seed,type
1000,1.0,0.8826466916354557,0,off-target
1000,1.0,0.6754057428214731,0,target
1000,1.0,0.8539325842696629,0,off-target no pert
1000,1.0,0.1285892634207241,0,target no pert
1000,1.0,0.7203495630461922,1,off-target
1000,1.0,0.6741573033707865,1,target
1000,1.0,0.3121098626716604,1,off-target no pert
1000,1.0,0.10112359550561797,1,target no pert
1000,1.0,0.5767790262172284,2,off-target
1000,1.0,0.7328339575530587,2,target
1000,1.0,0.8414481897627965,2,off-target no pert
1000,1.0,0.7465667915106118,2,target no pert
1000,1.0,0.10237203495630462,3,off-target
1000,1.0,0.5156054931335831,3,target
1000,1.0,0.3083645443196005,3,off-target no pert
1000,1.0,0.17103620474406991,3,target no pert
1000,1.0,0.6117353308364545,4,off-target
1000,1.0,0.3645443196004994,4,target
1000,1.0,0.6254681647940075,4,off-target no pert
1000,1.0,0.6204744069912609,4,target no pert
1000,1.0,0.7940074906367042,5,off-target
1000,1.0,0.3920099875156055,5,target
1000,1.0,0.13108614232209737,5,off-target no pert
1000,1.0,0.09488139825218476,5,target no pert
1000,1.0,0.7927590511860175,6,off-target
1000,1.0,0.2209737827715356,6,target
1000,1.0,0.6604244694132334,6,off-target no pert
1000,1.0,0.4394506866416979,6,target no pert
1000,1.0,0.31086142322097376,7,off-target
1000,1.0,0.10362047440699126,7,target
1000,1.0,0.13108614232209737,7,off-target no pert
1000,1.0,0.02372034956304619,7,target no pert
1000,1.0,0.7565543071161048,8,off-target
1000,1.0,0.12109862671660425,8,target
1000,1.0,0.21348314606741572,8,off-target no pert
1000,1.0,0.008739076154806492,8,target no pert
1000,1.0,0.06491885143570537,9,off-target
1000,1.0,0.9063670411985019,9,target
1000,1.0,0.44569288389513106,9,off-target no pert
1000,1.0,0.4519350811485643,9,target no pert
1000,1.0,0.9176029962546817,10,off-target
1000,1.0,0.4444444444444444,10,target
1000,1.0,0.3358302122347066,10,off-target no pert
1000,1.0,0.13857677902621723,10,target no pert
1000,1.0,0.7590511860174781,11,off-target
1000,1.0,0.5068664169787765,11,target
1000,1.0,0.9975031210986267,11,off-target no pert
1000,1.0,0.7852684144818977,11,target no pert
1000,1.0,0.787765293383271,12,off-target
1000,1.0,0.0686641697877653,12,target
1000,1.0,0.947565543071161,12,off-target no pert
1000,1.0,0.529338327091136,12,target no pert
1000,1.0,0.6454431960049938,13,off-target
1000,1.0,0.9800249687890137,13,target
1000,1.0,0.3782771535580524,13,off-target no pert
1000,1.0,0.8888888888888888,13,target no pert
1000,1.0,0.2833957553058677,14,off-target
1000,1.0,0.23345817727840198,14,target
1000,1.0,0.02871410736579276,14,off-target no pert
1000,1.0,0.23845193508114856,14,target no pert
1000,1.0,0.7203495630461922,15,off-target
1000,1.0,0.18102372034956304,15,target
1000,1.0,0.6217228464419475,15,off-target no pert
