n,best_std,p_value,seed,type
1000,0.8500000000000001,0.21473158551810237,0,off-target
1000,1.3,0.3732833957553059,0,target
1000,1.3,0.5655430711610487,0,off-target no pert
1000,1.3,0.7253433208489388,0,target no pert
1000,1.1,0.003745318352059925,1,off-target
1000,0.95,0.5580524344569289,1,target
1000,0.95,0.6916354556803995,1,off-target no pert
1000,0.95,0.5393258426966292,1,target no pert
1000,0.9,0.0012484394506866417,2,off-target
1000,1.1,0.05368289637952559,2,target
1000,1.1,0.3470661672908864,2,off-target no pert
1000,1.1,0.08114856429463171,2,target no pert
1000,1.1,0.0,3,off-target
1000,0.8,0.2634207240948814,3,target
1000,0.8,0.846441947565543,3,off-target no pert
1000,0.8,0.7203495630461922,3,target no pert
1000,0.8500000000000001,0.004993757802746567,4,off-target
1000,1.15,0.7303370786516854,4,target
1000,1.15,0.5455680399500624,4,off-target no pert
1000,1.15,0.3208489388264669,4,target no pert
1000,1.1,0.00749063670411985,5,off-target
1000,1.05,0.6204744069912609,5,target
1000,1.05,0.21223470661672908,5,off-target no pert
1000,1.05,0.898876404494382,5,target no pert
1000,0.9,0.026217228464419477,6,off-target
1000,1.0,0.4044943820224719,6,target
1000,1.0,0.5156054931335831,6,off-target no pert
1000,1.0,0.8526841448189763,6,target no pert
1000,1.2000000000000002,0.15730337078651685,7,off-target
1000,0.9,0.7203495630461922,7,target
1000,0.9,0.21722846441947566,7,off-target no pert
1000,0.9,0.34831460674157305,7,target no pert
1000,1.1,0.01373283395755306,8,off-target
1000,0.75,0.9313358302122348,8,target
1000,0.75,0.7328339575530587,8,off-target no pert
1000,0.75,0.8564294631710362,8,target no pert
1000,0.95,0.2034956304619226,9,off-target
1000,0.8,0.5593008739076155,9,target
1000,0.8,0.3445692883895131,9,off-target no pert
1000,0.8,0.9975031210986267,9,target no pert
1000,0.9,0.011235955056179775,10,off-target
1000,1.1,0.83645443196005,10,target
1000,1.1,0.9238451935081149,10,off-target no pert
1000,1.1,0.13358302122347065,10,target no pert
1000,1.05,0.0449438202247191,11,off-target
1000,1.05,0.23720349563046192,11,target
1000,1.05,0.3707865168539326,11,off-target no pert
1000,1.05,0.2746566791510612,11,target no pert
1000,0.9,0.0,12,off-target
1000,0.75,0.21972534332084895,12,target
1000,0.75,0.3970037453183521,12,off-target no pert
1000,0.75,0.8289637952559301,12,target no pert
1000,0.9,0.0,13,off-target
1000,0.9,0.9413233458177278,13,target
1000,0.9,0.6329588014981273,13,off-target no pert
1000,0.9,0.6754057428214731,13,target no pert
1000,1.15,0.0012484394506866417,14,off-target
1000,0.75,0.18851435705368288,14,target
1000,0.75,0.2883895131086142,14,off-target no pert
1000,0.75,0.8701622971285893,14,target no pert
1000,1.15,0.12109862671660425,15,off-target
1000,0.8500000000000001,0.66541822721598,15,target
1000,0.8500000000000001,0.968789013732834,15,off-target no pert
1000,0.8500000000000001,0.9862671660424469,15,target no pert
1000,0.9,0.0024968789013732834,16,off-target
1000,1.1,0.34581772784019976,16,target
1000,1.1,0.9662921348314607,16,off-target no pert
1000,1.1,0.5917602996254682,16,target no pert
1000,1.1,0.0024968789013732834,17,off-target
1000,1.15,0.3433208489388265,17,target
1000,1.15,0.6629213483146067,17,off-target no pert
1000,1.15,0.1523096129837703,17,target no pert
1000,1.1,0.018726591760299626,18,off-target
1000,1.15,0.6317103620474407,18,target
1000,1.15,0.13607990012484394,18,off-target no pert
1000,1.15,0.4756554307116105,18,target no pert
1000,1.15,0.0,19,off-target
1000,1.15,0.9063670411985019,19,target
1000,1.15,0.5118601747815231,19,off-target no pert
1000,1.15,0.6454431960049938,19,target no pert
1000,1.1,0.0,20,off-target
1000,0.8500000000000001,0.39325842696629215,20,target
1000,0.8500000000000001,0.2421972534332085,20,off-target no pert
1000,0.8500000000000001,0.18851435705368288,20,target no pert
1000,0.9,0.0024968789013732834,21,off-target
1000,1.1,0.947565543071161,21,target
1000,1.1,0.7752808988764045,21,off-target no pert
1000,1.1,0.9837702871410736,21,target no pert
1000,1.1,0.0686641697877653,22,off-target
1000,0.8500000000000001,0.10362047440699126,22,target
1000,0.8500000000000001,0.9438202247191011,22,off-target no pert
1000,0.8500000000000001,0.33458177278401996,22,target no pert
1000,0.9,0.006242197253433208,23,off-target
1000,1.25,0.48314606741573035,23,target
1000,1.25,0.686641697877653,23,off-target no pert
1000,1.25,0.9013732833957553,23,target no pert
1000,1.15,0.01373283395755306,24,off-target
1000,1.15,0.19101123595505617,24,target
1000,1.15,0.03620474406991261,24,off-target no pert
1000,1.15,0.09737827715355805,24,target no pert
1000,1.1,0.0,25,off-target
1000,0.95,0.33957553058676654,25,target
1000,0.95,0.867665418227216,25,off-target no pert
1000,0.95,0.30711610486891383,25,target no pert
1000,0.95,0.13982521847690388,26,off-target
1000,1.0,0.3920099875156055,26,target
1000,1.0,0.42696629213483145,26,off-target no pert
1000,1.0,0.7290886392009988,26,target no pert
1000,0.9,0.008739076154806492,27,off-target
1000,1.15,0.2808988764044944,27,target
1000,1.15,0.568039950062422,27,off-target no pert
1000,1.15,0.5942571785268415,27,target no pert
1000,0.9,0.0,28,off-target
1000,1.15,0.35830212234706615,28,target
1000,1.15,0.04369538077403246,28,off-target no pert
1000,1.15,0.66541822721598,28,target no pert
1000,1.1,0.0012484394506866417,29,off-target
1000,0.95,0.5031210986267166,29,target
1000,0.95,0.19101123595505617,29,off-target no pert
1000,0.95,0.5605493133583022,29,target no pert
1000,1.1,0.0,30,off-target
1000,0.75,0.6916354556803995,30,target
1000,0.75,0.6729088639200999,30,off-target no pert
1000,0.75,0.21098626716604243,30,target no pert
1000,0.9,0.0024968789013732834,31,off-target
1000,0.9,0.24344569288389514,31,target
1000,0.9,0.08739076154806492,31,off-target no pert
1000,0.9,0.149812734082397,31,target no pert
1000,0.8500000000000001,0.02122347066167291,32,off-target
1000,1.25,0.7715355805243446,32,target
1000,1.25,0.7715355805243446,32,off-target no pert
1000,1.25,0.7965043695380774,32,target no pert
1000,0.8500000000000001,0.0,33,off-target
1000,0.8,0.9950062421972534,33,target
1000,0.8,0.41448189762796506,33,off-target no pert
1000,0.8,0.8439450686641697,33,target no pert
1000,1.1,0.0024968789013732834,34,off-target
1000,0.8500000000000001,0.3333333333333333,34,target
1000,0.8500000000000001,0.18726591760299627,34,off-target no pert
1000,0.8500000000000001,0.48564294631710364,34,target no pert
1000,0.8500000000000001,0.21598002496878901,35,off-target
1000,1.1,0.6404494382022472,35,target
1000,1.1,0.9213483146067416,35,off-target no pert
1000,1.1,0.6741573033707865,35,target no pert
1000,0.8500000000000001,0.3021223470661673,36,off-target
1000,1.0,0.6928838951310862,36,target
1000,1.0,0.7303370786516854,36,off-target no pert
1000,1.0,0.18102372034956304,36,target no pert
1000,0.9,0.004993757802746567,37,off-target
1000,0.75,0.7028714107365793,37,target
1000,0.75,0.6117353308364545,37,off-target no pert
1000,0.75,0.9500624219725343,37,target no pert
1000,1.1,0.0,38,off-target
1000,0.8,0.7378277153558053,38,target
1000,0.8,0.6117353308364545,38,off-target no pert
1000,0.8,0.1947565543071161,38,target no pert
1000,1.15,0.0024968789013732834,39,off-target
1000,1.15,0.449438202247191,39,target
1000,1.15,0.7490636704119851,39,off-target no pert
1000,1.15,0.15480649188514356,39,target no pert
1000,0.9,0.00749063670411985,40,off-target
1000,1.0,0.6104868913857678,40,target
1000,1.0,0.7565543071161048,40,off-target no pert
1000,1.0,0.2546816479400749,40,target no pert
1000,0.95,0.0,41,off-target
1000,0.75,0.6292134831460674,41,target
1000,0.75,0.40324594257178525,41,off-target no pert
1000,0.75,0.3945068664169788,41,target no pert
1000,1.1,0.0,42,off-target
1000,0.95,0.9375780274656679,42,target
1000,0.95,0.35580524344569286,42,off-target no pert
1000,0.95,0.5068664169787765,42,target no pert
1000,1.1,0.0,43,off-target
1000,1.0,0.25593008739076156,43,target
1000,1.0,0.05118601747815231,43,off-target no pert
1000,1.0,0.30337078651685395,43,target no pert
1000,1.1,0.0012484394506866417,44,off-target
1000,0.95,0.5780274656679151,44,target
1000,0.95,0.046192259675405745,44,off-target no pert
1000,0.95,0.5443196004993758,44,target no pert
1000,0.8500000000000001,0.0012484394506866417,45,off-target
1000,0.8,0.4344569288389513,45,target
1000,0.8,0.1348314606741573,45,off-target no pert
1000,0.8,0.40823970037453183,45,target no pert
1000,1.15,0.012484394506866416,46,off-target
1000,0.7,0.14606741573033707,46,target
1000,0.7,0.062421972534332085,46,off-target no pert
1000,0.7,0.8938826466916354,46,target no pert
1000,1.1,0.0012484394506866417,47,off-target
1000,1.15,0.04119850187265917,47,target
1000,1.15,0.9800249687890137,47,off-target no pert
1000,1.15,0.7565543071161048,47,target no pert
1000,0.9,0.10112359550561797,48,off-target
1000,1.0,0.8938826466916354,48,target
1000,1.0,0.4394506866416979,48,off-target no pert
1000,1.0,0.1797752808988764,48,target no pert
1000,1.05,0.0,49,off-target
1000,1.0,0.6242197253433208,49,target
1000,1.0,0.9637952559300874,49,off-target no pert
1000,1.0,0.7515605493133583,49,target no pert
