n,best_std,p_value,seed,type
1000,0.9,0.0012484394506866417,0,off-target
1000,1.1,0.5168539325842697,0,target
1000,1.1,0.5655430711610487,0,off-target no pert
1000,1.1,0.7253433208489388,0,target no pert
1000,0.9,0.0599250936329588,1,off-target
1000,1.1,0.5118601747815231,1,target
1000,1.1,0.6916354556803995,1,off-target no pert
1000,1.1,0.5393258426966292,1,target no pert
1000,1.1,0.039950062421972535,2,off-target
1000,1.2000000000000002,0.04369538077403246,2,target
1000,1.2000000000000002,0.3470661672908864,2,off-target no pert
1000,1.2000000000000002,0.08114856429463171,2,target no pert
1000,1.2000000000000002,0.02247191011235955,3,off-target
1000,0.8500000000000001,0.2858926342072409,3,target
1000,0.8500000000000001,0.846441947565543,3,off-target no pert
1000,0.8500000000000001,0.7203495630461922,3,target no pert
1000,1.1,0.004993757802746567,4,off-target
1000,1.2000000000000002,0.6267166042446941,4,target
1000,1.2000000000000002,0.5455680399500624,4,off-target no pert
1000,1.2000000000000002,0.3208489388264669,4,target no pert
1000,1.15,0.0149812734082397,5,off-target
1000,1.35,0.2721598002496879,5,target
1000,1.35,0.21223470661672908,5,off-target no pert
1000,1.35,0.898876404494382,5,target no pert
1000,0.8500000000000001,0.0,6,off-target
1000,1.1,0.3857677902621723,6,target
1000,1.1,0.5156054931335831,6,off-target no pert
1000,1.1,0.8526841448189763,6,target no pert
1000,0.9,0.0,7,off-target
1000,1.2000000000000002,0.7378277153558053,7,target
1000,1.2000000000000002,0.21722846441947566,7,off-target no pert
1000,1.2000000000000002,0.34831460674157305,7,target no pert
1000,0.8500000000000001,0.02122347066167291,8,off-target
1000,1.1,0.8551810237203495,8,target
1000,1.1,0.7328339575530587,8,off-target no pert
1000,1.1,0.8564294631710362,8,target no pert
1000,0.9,0.0,9,off-target
1000,0.75,0.5455680399500624,9,target
1000,0.75,0.3445692883895131,9,off-target no pert
1000,0.75,0.9975031210986267,9,target no pert
1000,0.95,0.1373283395755306,10,off-target
1000,1.1,0.9900124843945068,10,target
1000,1.1,0.9238451935081149,10,off-target no pert
1000,1.1,0.13358302122347065,10,target no pert
1000,1.1,0.0012484394506866417,11,off-target
1000,1.2000000000000002,0.31835205992509363,11,target
1000,1.2000000000000002,0.3707865168539326,11,off-target no pert
1000,1.2000000000000002,0.2746566791510612,11,target no pert
1000,1.2000000000000002,0.049937578027465665,12,off-target
1000,1.0,0.7453183520599251,12,target
1000,1.0,0.3970037453183521,12,off-target no pert
1000,1.0,0.8289637952559301,12,target no pert
1000,0.8,0.09488139825218476,13,off-target
1000,0.6,0.9388264669163545,13,target
1000,0.6,0.6329588014981273,13,off-target no pert
1000,0.6,0.6754057428214731,13,target no pert
1000,1.1,0.04244694132334582,14,off-target
1000,0.8500000000000001,0.11485642946317104,14,target
1000,0.8500000000000001,0.2883895131086142,14,off-target no pert
1000,0.8500000000000001,0.8701622971285893,14,target no pert
1000,0.8500000000000001,0.07365792759051186,15,off-target
1000,1.0,0.6367041198501873,15,target
1000,1.0,0.968789013732834,15,off-target no pert
1000,1.0,0.9862671660424469,15,target no pert
1000,1.1,0.004993757802746567,16,off-target
1000,0.8500000000000001,0.36329588014981273,16,target
1000,0.8500000000000001,0.9662921348314607,16,off-target no pert
1000,0.8500000000000001,0.5917602996254682,16,target no pert
1000,0.9,0.02247191011235955,17,off-target
1000,1.1,0.36329588014981273,17,target
1000,1.1,0.6629213483146067,17,off-target no pert
1000,1.1,0.1523096129837703,17,target no pert
1000,0.9,0.2222222222222222,18,off-target
1000,1.05,0.5493133583021224,18,target
1000,1.05,0.13607990012484394,18,off-target no pert
1000,1.05,0.4756554307116105,18,target no pert
1000,1.05,0.0,19,off-target
1000,0.8500000000000001,0.28714107365792757,19,target
1000,0.8500000000000001,0.5118601747815231,19,off-target no pert
1000,0.8500000000000001,0.6454431960049938,19,target no pert
1000,1.1,0.024968789013732832,20,off-target
1000,0.65,0.550561797752809,20,target
1000,0.65,0.2421972534332085,20,off-target no pert
1000,0.65,0.18851435705368288,20,target no pert
