n,t,p_value,seed,type
500,0,0.278,0,off-target
500,0,0.692,0,target
500,10,0.013,0,off-target
500,10,0.241,0,target
500,25,0.068,0,off-target
500,25,0.384,0,target
500,50,0.002,0,off-target
500,50,0.071,0,target
500,0,0.336,1,off-target
500,0,0.857,1,target
500,10,0.007,1,off-target
500,10,0.171,1,target
500,25,0.044,1,off-target
500,25,0.407,1,target
500,50,0.07,1,off-target
500,50,0.062,1,target
500,0,0.018,2,off-target
500,0,0.381,2,target
500,10,0.225,2,off-target
500,10,0.08,2,target
500,25,0.095,2,off-target
500,25,0.041,2,target
500,50,0.014,2,off-target
500,50,0.181,2,target
500,0,0.832,3,off-target
500,0,0.924,3,target
500,10,0.094,3,off-target
500,10,0.12,3,target
500,25,0.031,3,off-target
500,25,0.36,3,target
500,50,0.034,3,off-target
500,50,0.02,3,target
500,0,0.911,4,off-target
500,0,0.331,4,target
500,10,0.117,4,off-target
500,10,0.362,4,target
500,25,0.044,4,off-target
500,25,0.186,4,target
500,50,0.165,4,off-target
500,50,0.611,4,target
500,0,0.38,5,off-target
500,0,0.951,5,target
500,10,0.085,5,off-target
500,10,0.023,5,target
500,25,0.141,5,off-target
500,25,0.226,5,target
500,50,0.015,5,off-target
500,50,0.354,5,target
500,0,0.863,6,off-target
500,0,0.894,6,target
500,10,0.036,6,off-target
500,10,0.043,6,target
500,25,0.023,6,off-target
500,25,0.616,6,target
500,50,0.131,6,off-target
500,50,0.643,6,target
500,0,0.333,7,off-target
500,0,0.286,7,target
500,10,0.055,7,off-target
500,10,0.003,7,target
500,25,0.034,7,off-target
500,25,0.485,7,target
500,50,0.033,7,off-target
500,50,0.009,7,target
500,0,0.209,8,off-target
500,0,0.837,8,target
500,10,0.072,8,off-target
500,10,0.287,8,target
500,25,0.024,8,off-target
500,25,0.316,8,target
500,50,0.193,8,off-target
500,50,0.193,8,target
500,0,0.387,9,off-target
500,0,0.912,9,target
500,10,0.081,9,off-target
500,10,0.315,9,target
500,25,0.06,9,off-target
500,25,0.037,9,target
500,50,0.006,9,off-target
500,50,0.243,9,target
500,0,0.86,10,off-target
500,0,0.794,10,target
500,10,0.002,10,off-target
500,10,0.393,10,target
500,25,0.05,10,off-target
500,25,0.163,10,target
500,50,0.024,10,off-target
500,50,0.345,10,target
500,0,0.077,11,off-target
500,0,0.674,11,target
500,10,0.162,11,off-target
500,10,0.014,11,target
500,25,0.114,11,off-target
500,25,0.061,11,target
500,50,0.108,11,off-target
500,50,0.626,11,target
500,0,0.795,12,off-target
500,0,0.158,12,target
500,10,0.04,12,off-target
500,10,0.184,12,target
500,25,0.002,12,off-target
500,25,0.13,12,target
500,50,0.036,12,off-target
500,50,0.235,12,target
500,0,0.604,13,off-target
500,0,0.05,13,target
500,10,0.011,13,off-target
500,10,0.057,13,target
500,25,0.017,13,off-target
500,25,0.462,13,target
500,50,0.003,13,off-target
500,50,0.332,13,target
500,0,0.545,14,off-target
500,0,0.555,14,target
500,10,0.11,14,off-target
500,10,0.286,14,target
500,25,0.031,14,off-target
500,25,0.167,14,target
500,50,0.037,14,off-target
500,50,0.1,14,target
500,0,0.213,15,off-target
500,0,0.307,15,target
500,10,0.114,15,off-target
500,10,0.198,15,target
500,25,0.006,15,off-target
500,25,0.238,15,target
500,50,0.013,15,off-target
500,50,0.055,15,target
500,0,0.292,16,off-target
500,0,0.441,16,target
500,10,0.043,16,off-target
500,10,0.152,16,target
500,25,0.032,16,off-target
500,25,0.066,16,target
500,50,0.019,16,off-target
500,50,0.21,16,target
500,0,0.769,17,off-target
500,0,0.051,17,target
500,10,0.008,17,off-target
500,10,0.02,17,target
500,25,0.052,17,off-target
500,25,0.168,17,target
500,50,0.006,17,off-target
500,50,0.765,17,target
500,0,0.824,18,off-target
500,0,0.347,18,target
500,10,0.091,18,off-target
500,10,0.015,18,target
500,25,0.079,18,off-target
500,25,0.106,18,target
500,50,0.243,18,off-target
500,50,0.25,18,target
500,0,0.821,19,off-target
500,0,0.803,19,target
500,10,0.007,19,off-target
500,10,0.098,19,target
500,25,0.036,19,off-target
500,25,0.039,19,target
500,50,0.0,19,off-target
500,50,0.419,19,target
500,0,0.935,20,off-target
500,0,0.297,20,target
500,10,0.104,20,off-target
500,10,0.129,20,target
500,25,0.03,20,off-target
500,25,0.129,20,target
500,50,0.014,20,off-target
500,50,0.047,20,target
500,0,0.596,21,off-target
500,0,0.301,21,target
500,10,0.098,21,off-target
500,10,0.673,21,target
500,25,0.004,21,off-target
500,25,0.089,21,target
500,50,0.021,21,off-target
500,50,0.336,21,target
500,0,0.06,22,off-target
500,0,0.71,22,target
500,10,0.131,22,off-target
500,10,0.175,22,target
500,25,0.028,22,off-target
500,25,0.205,22,target
500,50,0.001,22,off-target
500,50,0.541,22,target
500,0,0.653,23,off-target
500,0,0.992,23,target
500,10,0.11,23,off-target
500,10,0.339,23,target
500,25,0.016,23,off-target
500,25,0.34,23,target
500,50,0.03,23,off-target
500,50,0.187,23,target
500,0,0.107,24,off-target
500,0,0.59,24,target
500,10,0.093,24,off-target
500,10,0.018,24,target
500,25,0.114,24,off-target
500,25,0.154,24,target
500,50,0.053,24,off-target
500,50,0.604,24,target
500,0,0.33,25,off-target
500,0,0.925,25,target
500,10,0.097,25,off-target
500,10,0.275,25,target
500,25,0.057,25,off-target
500,25,0.35,25,target
500,50,0.004,25,off-target
500,50,0.054,25,target
500,0,0.562,26,off-target
500,0,0.358,26,target
500,10,0.023,26,off-target
500,10,0.269,26,target
500,25,0.075,26,off-target
500,25,0.06,26,target
500,50,0.012,26,off-target
500,50,0.124,26,target
500,0,0.264,27,off-target
500,0,0.578,27,target
500,10,0.041,27,off-target
500,10,0.46,27,target
500,25,0.027,27,off-target
500,25,0.088,27,target
500,50,0.016,27,off-target
500,50,0.085,27,target
500,0,0.919,28,off-target
500,0,0.512,28,target
500,10,0.18,28,off-target
500,10,0.188,28,target
500,25,0.004,28,off-target
500,25,0.059,28,target
500,50,0.179,28,off-target
500,50,0.121,28,target
500,0,0.404,29,off-target
500,0,0.027,29,target
500,10,0.059,29,off-target
500,10,0.176,29,target
500,25,0.052,29,off-target
500,25,0.15,29,target
500,50,0.045,29,off-target
500,50,0.289,29,target
500,0,0.05,30,off-target
500,0,0.439,30,target
500,10,0.005,30,off-target
500,10,0.068,30,target
500,25,0.064,30,off-target
500,25,0.458,30,target
500,50,0.089,30,off-target
500,50,0.29,30,target
500,0,0.771,31,off-target
500,0,0.566,31,target
500,10,0.042,31,off-target
500,10,0.42,31,target
500,25,0.036,31,off-target
500,25,0.284,31,target
500,50,0.091,31,off-target
500,50,0.229,31,target
500,0,0.506,32,off-target
500,0,0.388,32,target
500,10,0.087,32,off-target
500,10,0.267,32,target
500,25,0.03,32,off-target
