n,t,p_value,seed,type
500,0,0.278,0,off-target
500,0,0.312,0,target
500,1450,0.348,0,off-target
500,1450,0.871,0,target
500,0,0.591,1,off-target
500,0,0.995,1,target
500,1450,0.168,1,off-target
500,1450,0.35,1,target
500,0,0.06,2,off-target
500,0,0.837,2,target
500,1450,0.341,2,off-target
500,1450,0.421,2,target
500,0,0.966,3,off-target
500,0,0.19,3,target
500,1450,0.618,3,off-target
500,1450,0.974,3,target
500,0,0.117,4,off-target
500,0,0.683,4,target
500,1450,0.913,4,off-target
500,1450,0.91,4,target
500,0,0.098,5,off-target
500,0,0.062,5,target
500,1450,0.588,5,off-target
500,1450,0.236,5,target
500,0,0.322,6,off-target
500,0,0.54,6,target
500,1450,0.857,6,off-target
500,1450,0.148,6,target
500,0,0.578,7,off-target
500,0,0.646,7,target
500,1450,0.309,7,off-target
500,1450,0.675,7,target
500,0,0.219,8,off-target
500,0,0.703,8,target
500,1450,0.323,8,off-target
500,1450,0.758,8,target
500,0,0.412,9,off-target
500,0,0.449,9,target
500,1450,0.158,9,off-target
500,1450,0.557,9,target
500,0,0.538,10,off-target
500,0,0.829,10,target
500,1450,0.652,10,off-target
500,1450,0.198,10,target
500,0,0.621,11,off-target
500,0,0.933,11,target
500,1450,0.139,11,off-target
500,1450,0.974,11,target
500,0,0.711,12,off-target
500,0,0.959,12,target
500,1450,0.291,12,off-target
500,1450,0.09,12,target
500,0,0.434,13,off-target
500,0,0.596,13,target
500,1450,0.918,13,off-target
500,1450,0.009,13,target
500,0,0.336,14,off-target
500,0,0.547,14,target
500,1450,0.016,14,off-target
500,1450,0.645,14,target
500,0,0.65,15,off-target
500,0,0.98,15,target
500,1450,0.484,15,off-target
500,1450,0.482,15,target
500,0,0.404,16,off-target
500,0,0.794,16,target
500,1450,0.719,16,off-target
500,1450,0.684,16,target
500,0,0.007,17,off-target
500,0,0.17,17,target
500,1450,0.114,17,off-target
500,1450,0.096,17,target
500,0,0.789,18,off-target
500,0,0.795,18,target
500,1450,0.847,18,off-target
500,1450,0.516,18,target
500,0,0.231,19,off-target
500,0,0.94,19,target
500,1450,0.963,19,off-target
500,1450,0.412,19,target
500,0,0.819,20,off-target
500,0,0.697,20,target
500,1450,0.611,20,off-target
500,1450,0.377,20,target
500,0,0.089,21,off-target
500,0,0.051,21,target
500,1450,0.411,21,off-target
500,1450,0.631,21,target
500,0,0.948,22,off-target
500,0,0.706,22,target
500,1450,0.41,22,off-target
500,1450,0.793,22,target
500,0,0.064,23,off-target
500,0,0.552,23,target
500,1450,0.981,23,off-target
500,1450,0.046,23,target
500,0,0.616,24,off-target
500,0,0.19,24,target
500,1450,0.211,24,off-target
500,1450,0.929,24,target
500,0,0.886,25,off-target
500,0,0.66,25,target
500,1450,0.026,25,off-target
500,1450,0.259,25,target
500,0,0.501,26,off-target
500,0,0.556,26,target
500,1450,0.128,26,off-target
500,1450,0.126,26,target
500,0,0.931,27,off-target
500,0,0.812,27,target
500,1450,0.497,27,off-target
500,1450,0.565,27,target
500,0,0.963,28,off-target
500,0,0.975,28,target
500,1450,0.918,28,off-target
500,1450,0.719,28,target
500,0,0.107,29,off-target
500,0,0.862,29,target
500,1450,0.627,29,off-target
500,1450,0.206,29,target
500,0,0.35,30,off-target
500,0,0.887,30,target
500,1450,0.123,30,off-target
500,1450,0.451,30,target
500,0,0.824,31,off-target
500,0,0.515,31,target
500,1450,0.501,31,off-target
500,1450,0.199,31,target
500,0,0.032,32,off-target
500,0,0.003,32,target
500,1450,0.277,32,off-target
500,1450,0.702,32,target
500,0,0.652,33,off-target
500,0,0.927,33,target
500,1450,0.637,33,off-target
500,1450,0.332,33,target
500,0,0.493,34,off-target
500,0,0.31,34,target
500,1450,0.205,34,off-target
500,1450,0.856,34,target
500,0,0.851,35,off-target
500,0,0.602,35,target
500,1450,0.107,35,off-target
500,1450,0.765,35,target
500,0,0.059,36,off-target
500,0,0.663,36,target
500,1450,0.974,36,off-target
500,1450,0.672,36,target
500,0,0.518,37,off-target
500,0,0.863,37,target
500,1450,0.664,37,off-target
500,1450,0.392,37,target
500,0,0.575,38,off-target
500,0,0.068,38,target
500,1450,0.496,38,off-target
500,1450,0.917,38,target
500,0,0.568,39,off-target
500,0,0.32,39,target
500,1450,0.727,39,off-target
500,1450,0.553,39,target
500,0,0.115,40,off-target
500,0,0.673,40,target
500,1450,0.195,40,off-target
500,1450,0.79,40,target
500,0,0.063,41,off-target
500,0,0.241,41,target
500,1450,0.542,41,off-target
500,1450,0.247,41,target
500,0,0.313,42,off-target
500,0,0.769,42,target
500,1450,0.905,42,off-target
500,1450,0.566,42,target
500,0,0.392,43,off-target
500,0,0.214,43,target
500,1450,0.889,43,off-target
500,1450,0.031,43,target
500,0,0.371,44,off-target
500,0,0.212,44,target
500,1450,0.717,44,off-target
500,1450,0.327,44,target
500,0,0.606,45,off-target
500,0,0.297,45,target
500,1450,0.879,45,off-target
500,1450,0.03,45,target
500,0,0.681,46,off-target
500,0,0.462,46,target
500,1450,0.433,46,off-target
500,1450,0.985,46,target
500,0,0.579,47,off-target
500,0,0.966,47,target
500,1450,0.513,47,off-target
500,1450,0.906,47,target
500,0,0.326,48,off-target
500,0,0.278,48,target
500,1450,0.566,48,off-target
500,1450,0.103,48,target
500,0,0.476,49,off-target
500,0,0.241,49,target
500,1450,0.263,49,off-target
500,1450,0.271,49,target
500,0,0.256,50,off-target
500,0,0.96,50,target
500,1450,0.366,50,off-target
500,1450,0.06,50,target
500,0,0.933,51,off-target
500,0,0.761,51,target
500,1450,0.425,51,off-target
500,1450,0.573,51,target
500,0,0.53,52,off-target
500,0,0.595,52,target
500,1450,0.331,52,off-target
500,1450,0.564,52,target
500,0,0.557,53,off-target
500,0,0.553,53,target
500,1450,0.621,53,off-target
500,1450,0.655,53,target
500,0,0.985,54,off-target
500,0,0.266,54,target
500,1450,0.298,54,off-target
500,1450,0.312,54,target
500,0,0.553,55,off-target
500,0,0.258,55,target
500,1450,0.527,55,off-target
500,1450,0.153,55,target
500,0,0.931,56,off-target
500,0,0.59,56,target
500,1450,0.921,56,off-target
500,1450,0.212,56,target
500,0,0.101,57,off-target
500,0,0.171,57,target
500,1450,0.898,57,off-target
500,1450,0.19,57,target
500,0,0.395,58,off-target
500,0,0.002,58,target
500,1450,0.553,58,off-target
500,1450,0.807,58,target
500,0,0.875,59,off-target
500,0,0.439,59,target
500,1450,0.9,59,off-target
500,1450,0.701,59,target
500,0,0.873,60,off-target
500,0,0.758,60,target
500,1450,0.375,60,off-target
500,1450,0.897,60,target
500,0,0.508,61,off-target
500,0,0.241,61,target
500,1450,0.599,61,off-target
500,1450,0.374,61,target
500,0,0.326,62,off-target
500,0,0.555,62,target
500,1450,0.343,62,off-target
500,1450,0.337,62,target
500,0,0.343,63,off-target
500,0,0.562,63,target
500,1450,0.455,63,off-target
500,1450,0.819,63,target
500,0,0.949,64,off-target
500,0,0.254,64,target
500,1450,0.968,64,off-target
500,1450,0.93,64,target
500,0,0.069,65,off-target
500,0,0.64,65,target
500,1450,0.989,65,off-target
500,1450,0.717,65,target
500,0,0.306,66,off-target
500,0,0.933,66,target
500,1450,0.828,66,off-target
500,1450,0.137,66,target
500,0,0.177,67,off-target
500,0,0.344,67,target
500,1450,0.673,67,off-target
500,1450,0.67,67,target
500,0,0.583,68,off-target
500,0,0.856,68,target
500,1450,0.836,68,off-target
500,1450,0.681,68,target
500,0,0.607,69,off-target
500,0,0.373,69,target
500,1450,0.191,69,off-target
500,1450,0.008,69,target
500,0,0.925,70,off-target
500,0,0.731,70,target
500,1450,0.064,70,off-target
500,1450,0.485,70,target
500,0,0.761,71,off-target
500,0,0.19,71,target
500,1450,0.135,71,off-target
500,1450,0.742,71,target
500,0,0.152,72,off-target
500,0,0.141,72,target
500,1450,0.088,72,off-target
500,1450,0.064,72,target
500,0,0.228,73,off-target
500,0,0.267,73,target
500,1450,0.594,73,off-target
500,1450,0.784,73,target
500,0,0.878,74,off-target
500,0,0.702,74,target
500,1450,0.021,74,off-target
500,1450,0.369,74,target
500,0,0.059,75,off-target
500,0,0.738,75,target
500,1450,0.368,75,off-target
500,1450,0.01,75,target
500,0,0.979,76,off-target
500,0,0.503,76,target
500,1450,0.28,76,off-target
500,1450,0.12,76,target
500,0,0.113,77,off-target
500,0,0.243,77,target
500,1450,0.398,77,off-target
500,1450,0.086,77,target
500,0,0.834,78,off-target
500,0,0.6,78,target
500,1450,0.652,78,off-target
500,1450,0.452,78,target
500,0,0.833,79,off-target
500,0,0.634,79,target
500,1450,0.632,79,off-target
500,1450,0.505,79,target
500,0,0.121,80,off-target
500,0,0.417,80,target
500,1450,0.638,80,off-target
500,1450,0.14,80,target
500,0,0.567,81,off-target
500,0,0.509,81,target
500,1450,0.457,81,off-target
500,1450,0.631,81,target
500,0,0.909,82,off-target
500,0,0.33,82,target
500,1450,0.252,82,off-target
500,1450,0.921,82,target
500,0,0.757,83,off-target
500,0,0.648,83,target
500,1450,0.443,83,off-target
500,1450,0.492,83,target
500,0,0.1,84,off-target
500,0,0.738,84,target
500,1450,0.692,84,off-target
500,1450,0.403,84,target
500,0,0.229,85,off-target
500,0,0.165,85,target
500,1450,0.336,85,off-target
500,1450,0.021,85,target
500,0,0.574,86,off-target
500,0,0.001,86,target
500,1450,0.576,86,off-target
500,1450,0.53,86,target
500,0,0.38,87,off-target
500,0,0.83,87,target
500,1450,0.219,87,off-target
500,1450,0.458,87,target
500,0,0.012,88,off-target
500,0,0.313,88,target
500,1450,0.059,88,off-target
500,1450,0.395,88,target
500,0,0.917,89,off-target
500,0,0.868,89,target
500,1450,0.147,89,off-target
500,1450,0.518,89,target
500,0,0.369,90,off-target
500,0,0.279,90,target
500,1450,0.391,90,off-target
500,1450,0.965,90,target
500,0,0.658,91,off-target
500,0,0.03,91,target
500,1450,0.078,91,off-target
500,1450,0.103,91,target
500,0,0.301,92,off-target
500,0,0.606,92,target
500,1450,0.518,92,off-target
500,1450,0.441,92,target
500,0,0.551,93,off-target
500,0,0.331,93,target
500,1450,0.624,93,off-target
500,1450,0.412,93,target
500,0,0.349,94,off-target
500,0,0.193,94,target
500,1450,0.486,94,off-target
500,1450,0.912,94,target
500,0,0.578,95,off-target
500,0,0.592,95,target
500,1450,0.5,95,off-target
500,1450,0.571,95,target
500,0,0.325,96,off-target
500,0,0.197,96,target
500,1450,0.724,96,off-target
500,1450,0.701,96,target
500,0,0.38,97,off-target
500,0,0.216,97,target
500,1450,0.337,97,off-target
500,1450,0.853,97,target
500,0,0.288,98,off-target
500,0,0.668,98,target
500,1450,0.569,98,off-target
500,1450,0.899,98,target
500,0,0.492,99,off-target
500,0,0.231,99,target
500,1450,0.304,99,off-target
500,1450,0.33,99,target
500,0,0.578,100,off-target
500,0,0.846,100,target
500,1450,0.066,100,off-target
500,1450,0.71,100,target
500,0,0.543,101,off-target
500,0,0.46,101,target
500,1450,0.285,101,off-target
500,1450,0.839,101,target
500,0,0.921,102,off-target
500,0,0.723,102,target
500,1450,0.209,102,off-target
500,1450,0.635,102,target
500,0,0.758,103,off-target
500,0,0.802,103,target
500,1450,0.103,103,off-target
500,1450,0.382,103,target
500,0,0.142,104,off-target
500,0,0.76,104,target
500,1450,0.539,104,off-target
500,1450,0.359,104,target
500,0,0.452,105,off-target
500,0,0.405,105,target
500,1450,0.655,105,off-target
500,1450,0.737,105,target
500,0,0.478,106,off-target
500,0,0.861,106,target
500,1450,0.354,106,off-target
500,1450,0.672,106,target
500,0,0.873,107,off-target
500,0,0.33,107,target
500,1450,0.318,107,off-target
500,1450,0.476,107,target
500,0,0.657,108,off-target
500,0,0.738,108,target
500,1450,0.138,108,off-target
500,1450,0.123,108,target
500,0,0.933,109,off-target
500,0,0.107,109,target
500,1450,0.679,109,off-target
500,1450,0.253,109,target
500,0,0.099,110,off-target
500,0,0.614,110,target
500,1450,0.679,110,off-target
500,1450,0.928,110,target
500,0,0.204,111,off-target
500,0,0.071,111,target
500,1450,0.085,111,off-target
500,1450,0.299,111,target
500,0,0.494,112,off-target
500,0,0.669,112,target
500,1450,0.987,112,off-target
500,1450,0.031,112,target
500,0,0.637,113,off-target
500,0,0.721,113,target
500,1450,0.19,113,off-target
500,1450,0.479,113,target
500,0,0.762,114,off-target
500,0,0.503,114,target
500,1450,0.935,114,off-target
500,1450,0.241,114,target
500,0,0.141,115,off-target
500,0,0.201,115,target
500,1450,0.023,115,off-target
500,1450,0.992,115,target
500,0,0.652,116,off-target
500,0,0.608,116,target
500,1450,0.662,116,off-target
500,1450,0.913,116,target
500,0,0.833,117,off-target
500,0,0.763,117,target
500,1450,0.372,117,off-target
500,1450,0.837,117,target
500,0,0.726,118,off-target
500,0,0.821,118,target
500,1450,0.991,118,off-target
500,1450,0.563,118,target
500,0,0.773,119,off-target
500,0,0.72,119,target
500,1450,0.522,119,off-target
500,1450,0.468,119,target
500,0,0.127,120,off-target
500,0,0.244,120,target
500,1450,0.126,120,off-target
500,1450,0.304,120,target
500,0,0.654,121,off-target
500,0,0.242,121,target
500,1450,0.404,121,off-target
500,1450,0.115,121,target
500,0,0.429,122,off-target
500,0,0.736,122,target
500,1450,0.238,122,off-target
500,1450,0.537,122,target
500,0,0.152,123,off-target
500,0,0.873,123,target
500,1450,0.685,123,off-target
500,1450,0.93,123,target
500,0,0.431,124,off-target
500,0,0.053,124,target
500,1450,0.515,124,off-target
500,1450,0.613,124,target
500,0,0.912,125,off-target
500,0,0.829,125,target
500,1450,0.497,125,off-target
500,1450,0.059,125,target
500,0,0.698,126,off-target
500,0,0.991,126,target
500,1450,0.654,126,off-target
500,1450,0.929,126,target
500,0,0.934,127,off-target
500,0,0.075,127,target
500,1450,0.254,127,off-target
500,1450,0.953,127,target
500,0,0.556,128,off-target
500,0,0.022,128,target
500,1450,0.879,128,off-target
500,1450,0.99,128,target
500,0,0.467,129,off-target
500,0,0.484,129,target
500,1450,0.31,129,off-target
500,1450,0.967,129,target
500,0,0.726,130,off-target
500,0,0.757,130,target
500,1450,0.636,130,off-target
500,1450,0.572,130,target
500,0,0.324,131,off-target
500,0,0.64,131,target
500,1450,0.472,131,off-target
500,1450,0.123,131,target
500,0,0.652,132,off-target
500,0,0.914,132,target
500,1450,0.159,132,off-target
