n,best_std,p_value,seed,type
1000,0.5,0.0,0,off-target
1000,0.9,0.9737827715355806,0,target
1000,0.9,0.0,0,off-target no pert
1000,0.9,0.6142322097378277,0,target no pert
1000,0.5,0.0,1,off-target
1000,0.95,0.4993757802746567,1,target
1000,0.95,0.0,1,off-target no pert
1000,0.95,0.0024968789013732834,1,target no pert
1000,0.5,0.0,2,off-target
1000,0.8,0.30087390761548066,2,target
1000,0.8,0.0,2,off-target no pert
1000,0.8,0.6629213483146067,2,target no pert
1000,0.5,0.0,3,off-target
1000,1.0,0.533083645443196,3,target
1000,1.0,0.0,3,off-target no pert
1000,1.0,0.5218476903870163,3,target no pert
1000,0.5,0.0,4,off-target
1000,1.0,0.8352059925093633,4,target
1000,1.0,0.0,4,off-target no pert
1000,1.0,0.9063670411985019,4,target no pert
1000,0.5,0.0,5,off-target
1000,0.8,0.33957553058676654,5,target
1000,0.8,0.0,5,off-target no pert
1000,0.8,0.2908863920099875,5,target no pert
1000,0.5,0.0,6,off-target
1000,0.9,0.7990012484394506,6,target
1000,0.9,0.0,6,off-target no pert
1000,0.9,0.2534332084893883,6,target no pert
1000,0.5,0.0,7,off-target
1000,0.9,0.5255930087390761,7,target
1000,0.9,0.0,7,off-target no pert
1000,0.9,0.16853932584269662,7,target no pert
1000,0.5,0.0,8,off-target
1000,0.5,0.797752808988764,8,target
1000,0.5,0.0,8,off-target no pert
1000,0.5,0.6329588014981273,8,target no pert
1000,0.5,0.0,9,off-target
1000,1.1,0.5280898876404494,9,target
1000,1.1,0.0,9,off-target no pert
1000,1.1,0.00749063670411985,9,target no pert
1000,0.5,0.0,10,off-target
1000,1.0,0.43820224719101125,10,target
1000,1.0,0.0,10,off-target no pert
1000,1.0,0.8339575530586767,10,target no pert
1000,0.5,0.0,11,off-target
1000,0.9,0.717852684144819,11,target
1000,0.9,0.0,11,off-target no pert
1000,0.9,0.250936329588015,11,target no pert
1000,0.5,0.0,12,off-target
1000,1.05,0.6067415730337079,12,target
1000,1.05,0.0,12,off-target no pert
1000,1.05,0.0,12,target no pert
1000,0.5,0.0,13,off-target
1000,1.0,0.7640449438202247,13,target
1000,1.0,0.0,13,off-target no pert
1000,1.0,0.16729088639200998,13,target no pert
1000,0.5,0.0,14,off-target
1000,1.0,0.09238451935081149,14,target
1000,1.0,0.0,14,off-target no pert
1000,1.0,0.5942571785268415,14,target no pert
1000,0.5,0.0,15,off-target
1000,1.0,0.6404494382022472,15,target
1000,1.0,0.0,15,off-target no pert
1000,1.0,0.15480649188514356,15,target no pert
1000,0.5,0.0,16,off-target
1000,1.1,0.50187265917603,16,target
1000,1.1,0.0,16,off-target no pert
1000,1.1,0.83645443196005,16,target no pert
1000,0.5,0.0,17,off-target
