n,best_std,p_value,seed,type
1000,0.6,0.0,0,off-target
1000,0.7,0.8926342072409488,0,target
1000,0.7,0.0,0,off-target no pert
1000,0.7,0.3121098626716604,0,target no pert
1000,0.65,0.0,1,off-target
1000,0.6,0.1285892634207241,1,target
1000,0.6,0.0,1,off-target no pert
1000,0.6,0.7727840199750312,1,target no pert
1000,0.6,0.0,2,off-target
1000,1.0,0.9275905118601748,2,target
1000,1.0,0.0,2,off-target no pert
1000,1.0,0.009987515605493134,2,target no pert
1000,0.55,0.0,3,off-target
1000,0.65,0.0,3,target
1000,0.65,0.0,3,off-target no pert
1000,0.65,0.0686641697877653,3,target no pert
1000,0.5,0.0,4,off-target
1000,1.15,0.9625468164794008,4,target
1000,1.15,0.0,4,off-target no pert
1000,1.15,0.24344569288389514,4,target no pert
1000,0.7,0.0,5,off-target
1000,0.6,0.19975031210986266,5,target
1000,0.6,0.0,5,off-target no pert
1000,0.6,0.29213483146067415,5,target no pert
1000,0.55,0.0,6,off-target
1000,0.6,0.16354556803995007,6,target
1000,0.6,0.0,6,off-target no pert
1000,0.6,0.9300873907615481,6,target no pert
1000,0.5,0.0,7,off-target
1000,1.5,0.6953807740324595,7,target
1000,1.5,0.0,7,off-target no pert
1000,1.5,0.1373283395755306,7,target no pert
1000,0.55,0.0,8,off-target
1000,1.0,0.7103620474406991,8,target
1000,1.0,0.0,8,off-target no pert
1000,1.0,0.05368289637952559,8,target no pert
1000,0.6,0.0,9,off-target
1000,1.35,0.9225967540574282,9,target
1000,1.35,0.0,9,off-target no pert
1000,1.35,0.3495630461922597,9,target no pert
1000,0.5,0.0,10,off-target
1000,0.7,0.920099875156055,10,target
1000,0.7,0.0,10,off-target no pert
1000,0.7,0.4893882646691635,10,target no pert
1000,0.65,0.0,11,off-target
1000,0.75,0.5380774032459426,11,target
1000,0.75,0.0,11,off-target no pert
1000,0.75,0.3807740324594257,11,target no pert
1000,0.6,0.0,12,off-target
1000,0.95,0.4069912609238452,12,target
1000,0.95,0.0,12,off-target no pert
1000,0.95,0.7503121098626716,12,target no pert
1000,0.6,0.0,13,off-target
1000,0.7,0.568039950062422,13,target
1000,0.7,0.0,13,off-target no pert
1000,0.7,0.9600499375780275,13,target no pert
1000,0.55,0.0,14,off-target
1000,0.9,0.07615480649188515,14,target
1000,0.9,0.0,14,off-target no pert
1000,0.9,0.6154806491885143,14,target no pert
1000,0.5,0.0,15,off-target
1000,1.2000000000000002,0.0986267166042447,15,target
1000,1.2000000000000002,0.0,15,off-target no pert
1000,1.2000000000000002,0.7827715355805244,15,target no pert
1000,0.75,0.0,16,off-target
1000,1.3,0.6117353308364545,16,target
1000,1.3,0.0,16,off-target no pert
1000,1.3,0.6054931335830213,16,target no pert
1000,0.6,0.0,17,off-target
1000,0.9,0.9176029962546817,17,target
1000,0.9,0.0,17,off-target no pert
1000,0.9,0.6991260923845194,17,target no pert
1000,1.2000000000000002,0.616729088639201,18,off-target
1000,0.8500000000000001,0.6429463171036205,18,target
1000,0.8500000000000001,0.0,18,off-target no pert
1000,0.8500000000000001,0.27340823970037453,18,target no pert
1000,0.6,0.0,19,off-target
1000,0.55,0.10861423220973783,19,target
1000,0.55,0.0,19,off-target no pert
1000,0.55,0.1947565543071161,19,target no pert
1000,1.4500000000000002,0.031210986267166042,20,off-target
1000,1.3,0.3358302122347066,20,target
1000,1.3,0.0,20,off-target no pert
1000,1.3,0.3857677902621723,20,target no pert
1000,0.5,0.0,21,off-target
1000,1.4500000000000002,0.18476903870162298,21,target
1000,1.4500000000000002,0.0,21,off-target no pert
1000,1.4500000000000002,0.07116104868913857,21,target no pert
1000,0.65,0.0,22,off-target
1000,0.55,0.6404494382022472,22,target
1000,0.55,0.0,22,off-target no pert
1000,0.55,0.7690387016229713,22,target no pert
1000,0.65,0.0,23,off-target
1000,0.9,0.7215980024968789,23,target
1000,0.9,0.0,23,off-target no pert
1000,0.9,0.08614232209737828,23,target no pert
1000,0.65,0.0,24,off-target
1000,1.05,0.5842696629213483,24,target
1000,1.05,0.0,24,off-target no pert
1000,1.05,0.9675405742821473,24,target no pert
1000,0.5,0.0,25,off-target
1000,0.55,0.7852684144818977,25,target
1000,0.55,0.0,25,off-target no pert
1000,0.55,0.5617977528089888,25,target no pert
1000,0.6,0.16229712858926343,26,off-target
1000,1.3,0.07990012484394507,26,target
1000,1.3,0.0,26,off-target no pert
1000,1.3,0.09113607990012484,26,target no pert
1000,0.55,0.0,27,off-target
1000,0.9,0.2546816479400749,27,target
1000,0.9,0.0,27,off-target no pert
1000,0.9,0.2933832709113608,27,target no pert
1000,0.65,0.0,28,off-target
1000,1.35,0.8002496878901373,28,target
1000,1.35,0.0,28,off-target no pert
1000,1.35,0.735330836454432,28,target no pert
1000,0.6,0.0,29,off-target
1000,0.7,0.6803995006242197,29,target
1000,0.7,0.0,29,off-target no pert
1000,0.7,0.5131086142322098,29,target no pert
1000,0.6,0.0,30,off-target
1000,0.8500000000000001,0.08863920099875156,30,target
1000,0.8500000000000001,0.0,30,off-target no pert
1000,0.8500000000000001,0.5642946317103621,30,target no pert
1000,0.55,0.0,31,off-target
1000,1.05,0.6966292134831461,31,target
1000,1.05,0.0,31,off-target no pert
1000,1.05,0.686641697877653,31,target no pert
1000,0.5,0.0,32,off-target
1000,0.7,0.11485642946317104,32,target
1000,0.7,0.0,32,off-target no pert
1000,0.7,0.4257178526841448,32,target no pert
1000,0.55,0.0,33,off-target
1000,1.2000000000000002,0.5305867665418227,33,target
1000,1.2000000000000002,0.0,33,off-target no pert
1000,1.2000000000000002,0.4794007490636704,33,target no pert
1000,0.55,0.0,34,off-target
1000,0.55,0.50187265917603,34,target
1000,0.55,0.0,34,off-target no pert
1000,0.55,0.4257178526841448,34,target no pert
1000,0.55,0.0,35,off-target
1000,0.8,0.5455680399500624,35,target
1000,0.8,0.0,35,off-target no pert
1000,0.8,0.14357053682896379,35,target no pert
1000,0.65,0.0,36,off-target
1000,0.7,0.0299625468164794,36,target
1000,0.7,0.0,36,off-target no pert
1000,0.7,0.26591760299625467,36,target no pert
1000,0.55,0.0,37,off-target
1000,0.6,0.8976279650436954,37,target
1000,0.6,0.0,37,off-target no pert
1000,0.6,0.6129837702871411,37,target no pert
1000,0.55,0.0,38,off-target
1000,1.4500000000000002,0.4581772784019975,38,target
1000,1.4500000000000002,0.0,38,off-target no pert
1000,1.4500000000000002,0.7403245942571786,38,target no pert
1000,0.55,0.0,39,off-target
1000,1.0,0.7403245942571786,39,target
1000,1.0,0.0,39,off-target no pert
1000,1.0,0.46192259675405745,39,target no pert
1000,0.7,0.0,40,off-target
1000,1.1,0.26591760299625467,40,target
1000,1.1,0.0,40,off-target no pert
1000,1.1,0.968789013732834,40,target no pert
1000,0.55,0.0,41,off-target
1000,0.75,0.10112359550561797,41,target
1000,0.75,0.0,41,off-target no pert
1000,0.75,0.32709113607990015,41,target no pert
1000,0.65,0.0,42,off-target
1000,0.95,0.031210986267166042,42,target
1000,0.95,0.0,42,off-target no pert
1000,0.95,0.9500624219725343,42,target no pert
1000,0.7,0.0,43,off-target
1000,1.3,0.38202247191011235,43,target
1000,1.3,0.0,43,off-target no pert
1000,1.3,0.7640449438202247,43,target no pert
1000,0.6,0.0,44,off-target
1000,0.9,0.5967540574282147,44,target
1000,0.9,0.0,44,off-target no pert
1000,0.9,0.6878901373283396,44,target no pert
1000,0.65,0.0,45,off-target
1000,1.5,0.7528089887640449,45,target
1000,1.5,0.0,45,off-target no pert
1000,1.5,0.885143570536829,45,target no pert
1000,0.6,0.0,46,off-target
1000,0.55,0.2484394506866417,46,target
1000,0.55,0.0,46,off-target no pert
1000,0.55,0.6441947565543071,46,target no pert
1000,0.7,0.0,47,off-target
1000,0.55,0.9675405742821473,47,target
1000,0.55,0.0,47,off-target no pert
1000,0.55,0.12734082397003746,47,target no pert
1000,0.65,0.0,48,off-target
1000,1.2000000000000002,0.15480649188514356,48,target
1000,1.2000000000000002,0.0,48,off-target no pert
1000,1.2000000000000002,0.8876404494382022,48,target no pert
1000,0.6,0.0,49,off-target
1000,1.4,0.3970037453183521,49,target
1000,1.4,0.0,49,off-target no pert
1000,1.4,0.3757802746566791,49,target no pert
1000,0.6,0.0,50,off-target
1000,1.35,0.3196004993757803,50,target
1000,1.35,0.0,50,off-target no pert
1000,1.35,0.4232209737827715,50,target no pert
1000,0.5,0.0,51,off-target
1000,1.35,0.7765293383270911,51,target
1000,1.35,0.0012484394506866417,51,off-target no pert
1000,1.35,0.3882646691635456,51,target no pert
1000,0.55,0.0,52,off-target
1000,0.65,0.033707865168539325,52,target
1000,0.65,0.0,52,off-target no pert
1000,0.65,0.0024968789013732834,52,target no pert
1000,0.6,0.0,53,off-target
1000,0.5,0.5705368289637952,53,target
1000,0.5,0.0,53,off-target no pert
1000,0.5,0.8002496878901373,53,target no pert
1000,0.55,0.0,54,off-target
1000,1.5,0.3645443196004994,54,target
1000,1.5,0.0,54,off-target no pert
1000,1.5,0.9625468164794008,54,target no pert
1000,0.55,0.0,55,off-target
1000,0.65,0.630461922596754,55,target
1000,0.65,0.0,55,off-target no pert
1000,0.65,0.8976279650436954,55,target no pert
1000,0.6,0.0,56,off-target
1000,0.8,0.8651685393258427,56,target
1000,0.8,0.0,56,off-target no pert
1000,0.8,0.2459425717852684,56,target no pert
1000,0.65,0.0,57,off-target
1000,0.8,0.5980024968789014,57,target
1000,0.8,0.0,57,off-target no pert
1000,0.8,0.18102372034956304,57,target no pert
1000,0.55,0.0,58,off-target
1000,0.95,0.7328339575530587,58,target
1000,0.95,0.0,58,off-target no pert
1000,0.95,0.06491885143570537,58,target no pert
1000,0.7,0.0,59,off-target
1000,1.25,0.5780274656679151,59,target
1000,1.25,0.0,59,off-target no pert
1000,1.25,0.9275905118601748,59,target no pert
1000,0.55,0.0,60,off-target
1000,0.95,0.7727840199750312,60,target
1000,0.95,0.0,60,off-target no pert
1000,0.95,0.533083645443196,60,target no pert
1000,0.8500000000000001,0.0,61,off-target
1000,0.5,0.6354556803995006,61,target
1000,0.5,0.0,61,off-target no pert
1000,0.5,0.7103620474406991,61,target no pert
1000,0.55,0.0,62,off-target
1000,1.35,0.1760299625468165,62,target
1000,1.35,0.0,62,off-target no pert
1000,1.35,0.2746566791510612,62,target no pert
1000,0.6,0.0,63,off-target
1000,1.4500000000000002,0.4706616729088639,63,target
1000,1.4500000000000002,0.0,63,off-target no pert
1000,1.4500000000000002,0.3807740324594257,63,target no pert
1000,0.5,0.0,64,off-target
1000,0.75,0.10362047440699126,64,target
1000,0.75,0.0,64,off-target no pert
1000,0.75,0.05867665418227216,64,target no pert
1000,0.5,0.0,65,off-target
1000,0.8500000000000001,0.3707865168539326,65,target
1000,0.8500000000000001,0.0,65,off-target no pert
1000,0.8500000000000001,0.7652933832709113,65,target no pert
1000,0.55,0.0,66,off-target
1000,1.05,0.21722846441947566,66,target
1000,1.05,0.0,66,off-target no pert
1000,1.05,0.23470661672908863,66,target no pert
1000,0.5,0.0,67,off-target
1000,0.95,0.0686641697877653,67,target
1000,0.95,0.0,67,off-target no pert
1000,0.95,0.9650436953807741,67,target no pert
1000,0.55,0.0,68,off-target
1000,1.4500000000000002,0.968789013732834,68,target
1000,1.4500000000000002,0.0,68,off-target no pert
1000,1.4500000000000002,0.7553058676654182,68,target no pert
1000,0.55,0.0,69,off-target
1000,0.7,0.40074906367041196,69,target
1000,0.7,0.0,69,off-target no pert
1000,0.7,0.8489388264669163,69,target no pert
1000,0.6,0.0,70,off-target
1000,1.15,0.5755305867665418,70,target
1000,1.15,0.0,70,off-target no pert
1000,1.15,0.762796504369538,70,target no pert
1000,0.55,0.0,71,off-target
1000,1.1,0.418227215980025,71,target
1000,1.1,0.0,71,off-target no pert
1000,1.1,0.762796504369538,71,target no pert
1000,0.65,0.0,72,off-target
1000,1.1,0.9563046192259675,72,target
1000,1.1,0.0,72,off-target no pert
1000,1.1,0.8002496878901373,72,target no pert
