n,best_std,p_value,seed,type
500,0.5,0.5305867665418227,0,off-target
500,1.1,0.36329588014981273,0,target
500,1.1,0.003745318352059925,0,off-target no pert
500,1.1,0.3757802746566791,0,target no pert
500,0.65,0.6392009987515606,1,off-target
500,0.55,0.4157303370786517,1,target
500,0.55,0.05867665418227216,1,off-target no pert
500,0.55,0.7802746566791511,1,target no pert
500,1.05,0.6179775280898876,2,off-target
500,0.8500000000000001,0.1735330836454432,2,target
500,0.8500000000000001,0.6229712858926342,2,off-target no pert
500,0.8500000000000001,0.8664169787765293,2,target no pert
500,0.5,0.2571785268414482,3,off-target
500,0.9,0.6267166042446941,3,target
500,0.9,0.7540574282147315,3,off-target no pert
500,0.9,0.4444444444444444,3,target no pert
500,0.5,0.3682896379525593,4,off-target
500,0.8,0.7153558052434457,4,target
500,0.8,0.4681647940074906,4,off-target no pert
500,0.8,0.20474406991260924,4,target no pert
500,1.1,0.48564294631710364,5,off-target
500,0.75,0.4094881398252185,5,target
500,0.75,0.6903870162297129,5,off-target no pert
500,0.75,0.3807740324594257,5,target no pert
500,0.5,0.8551810237203495,6,off-target
500,1.3,0.49812734082397003,6,target
500,1.3,0.3857677902621723,6,off-target no pert
500,1.3,0.27340823970037453,6,target no pert
500,0.5,0.7640449438202247,7,off-target
500,0.5,0.8401997503121099,7,target
500,0.5,0.8451935081148564,7,off-target no pert
500,0.5,0.9563046192259675,7,target no pert
500,0.5,0.9812734082397003,8,off-target
500,1.0,0.920099875156055,8,target
500,1.0,0.5430711610486891,8,off-target no pert
500,1.0,0.6853932584269663,8,target no pert
500,0.8500000000000001,0.9950062421972534,9,off-target
500,0.8,0.9138576779026217,9,target
500,0.8,0.8227215980024969,9,off-target no pert
500,0.8,0.8476903870162297,9,target no pert
500,1.0,0.6978776529338327,10,off-target
500,1.5,0.4444444444444444,10,target
500,1.5,0.8863920099875156,10,off-target no pert
500,1.5,0.07740324594257178,10,target no pert
500,1.25,0.062421972534332085,11,off-target
500,0.9,0.383270911360799,11,target
500,0.9,0.009987515605493134,11,off-target no pert
500,0.9,0.8164794007490637,11,target no pert
500,0.5,0.2247191011235955,12,off-target
500,1.15,0.6254681647940075,12,target
500,1.15,0.7340823970037453,12,off-target no pert
500,1.15,0.42446941323345816,12,target no pert
500,0.5,0.8963795255930087,13,off-target
500,1.05,0.8789013732833958,13,target
500,1.05,0.9313358302122348,13,off-target no pert
500,1.05,0.7815230961298377,13,target no pert
500,0.5,0.07990012484394507,14,off-target
500,0.6,0.4107365792759051,14,target
500,0.6,0.8352059925093633,14,off-target no pert
500,0.6,0.06367041198501873,14,target no pert
500,1.15,0.7340823970037453,15,off-target
500,0.75,0.8813982521847691,15,target
500,0.75,0.9325842696629213,15,off-target no pert
500,0.75,0.6416978776529338,15,target no pert
500,0.5,0.8314606741573034,16,off-target
500,1.5,0.4943820224719101,16,target
500,1.5,0.4332084893882647,16,off-target no pert
500,1.5,0.30711610486891383,16,target no pert
500,0.5,0.10237203495630462,17,off-target
500,1.4,0.5742821473158551,17,target
500,1.4,0.9700374531835206,17,off-target no pert
500,1.4,0.6903870162297129,17,target no pert
500,0.5,0.052434456928838954,18,off-target
500,0.65,0.8102372034956304,18,target
500,0.65,0.1797752808988764,18,off-target no pert
500,0.65,0.867665418227216,18,target no pert
500,0.5,0.17478152309612985,19,off-target
500,0.8500000000000001,0.3707865168539326,19,target
500,0.8500000000000001,0.3408239700374532,19,off-target no pert
500,0.8500000000000001,0.3545568039950062,19,target no pert
500,0.5,0.4581772784019975,20,off-target
500,0.65,0.23096129837702872,20,target
500,0.65,0.30586766541822724,20,off-target no pert
500,0.65,0.21098626716604243,20,target no pert
500,0.5,0.08614232209737828,21,off-target
500,0.9,0.9425717852684145,21,target
500,0.9,0.5955056179775281,21,off-target no pert
500,0.9,0.920099875156055,21,target no pert
500,0.5,0.4544319600499376,22,off-target
500,0.6,0.4818976279650437,22,target
500,0.6,0.1585518102372035,22,off-target no pert
500,0.6,0.47191011235955055,22,target no pert
500,0.9,0.8252184769038702,23,off-target
500,0.95,0.9600499375780275,23,target
500,0.95,0.2696629213483146,23,off-target no pert
500,0.95,0.529338327091136,23,target no pert
500,0.5,0.5118601747815231,24,off-target
500,1.2000000000000002,0.3333333333333333,24,target
500,1.2000000000000002,0.7640449438202247,24,off-target no pert
500,1.2000000000000002,0.4132334581772784,24,target no pert
500,0.6,0.14606741573033707,25,off-target
500,0.7,0.4968789013732834,25,target
500,0.7,0.7265917602996255,25,off-target no pert
500,0.7,0.00749063670411985,25,target no pert
500,0.5,0.6454431960049938,26,off-target
500,1.25,0.8701622971285893,26,target
500,1.25,0.012484394506866416,26,off-target no pert
500,1.25,0.9388264669163545,26,target no pert
500,0.5,0.6928838951310862,27,off-target
500,1.05,0.024968789013732832,27,target
500,1.05,0.10112359550561797,27,off-target no pert
500,1.05,0.4107365792759051,27,target no pert
500,1.35,0.04369538077403246,28,off-target
500,1.25,0.3682896379525593,28,target
500,1.25,0.5518102372034956,28,off-target no pert
500,1.25,0.9388264669163545,28,target no pert
500,1.15,0.9113607990012484,29,off-target
500,1.4,0.7428214731585518,29,target
500,1.4,0.6841448189762797,29,off-target no pert
500,1.4,0.18352059925093633,29,target no pert
500,0.95,0.018726591760299626,30,off-target
500,0.7,0.8639200998751561,30,target
500,0.7,0.2459425717852684,30,off-target no pert
500,0.7,0.4893882646691635,30,target no pert
500,0.5,0.7940074906367042,31,off-target
500,0.5,0.45692883895131087,31,target
500,0.5,0.8589263420724095,31,off-target no pert
500,0.5,0.9038701622971286,31,target no pert
500,0.5,0.787765293383271,32,off-target
500,0.55,0.8813982521847691,32,target
500,0.55,0.8801498127340824,32,off-target no pert
500,0.55,0.2397003745318352,32,target no pert
500,0.5,0.24968789013732834,33,off-target
500,0.75,0.9463171036204744,33,target
500,0.75,0.4307116104868914,33,off-target no pert
500,0.75,0.9775280898876404,33,target no pert
500,0.8,0.21972534332084895,34,off-target
500,1.15,0.23345817727840198,34,target
500,1.15,0.7191011235955056,34,off-target no pert
