n,best_std,p_value,seed,type
500,0.78,0.0,0,off-target
500,0.8200000000000001,0.841,0,target
500,0.8200000000000001,0.002,0,off-target no pert
500,0.8200000000000001,0.361,0,target no pert
500,0.58,0.001,1,off-target
500,0.66,0.639,1,target
500,0.66,0.007,1,off-target no pert
500,0.66,0.261,1,target no pert
500,0.7,0.0,2,off-target
500,0.62,0.822,2,target
500,0.62,0.226,2,off-target no pert
500,0.62,0.439,2,target no pert
500,0.58,0.001,3,off-target
500,0.58,0.49,3,target
500,0.58,0.311,3,off-target no pert
500,0.58,0.352,3,target no pert
500,0.7,0.0,4,off-target
500,1.06,0.366,4,target
500,1.06,0.0,4,off-target no pert
500,1.06,0.59,4,target no pert
500,0.66,0.0,5,off-target
500,1.3399999999999999,0.328,5,target
500,1.3399999999999999,0.017,5,off-target no pert
500,1.3399999999999999,0.872,5,target no pert
500,0.66,0.004,6,off-target
500,0.78,0.822,6,target
500,0.78,0.003,6,off-target no pert
500,0.78,0.708,6,target no pert
500,0.54,0.0,7,off-target
500,0.58,0.916,7,target
500,0.58,0.195,7,off-target no pert
500,0.58,0.742,7,target no pert
500,0.66,0.0,8,off-target
500,0.86,0.563,8,target
500,0.86,0.023,8,off-target no pert
500,0.86,0.33,8,target no pert
500,0.8200000000000001,0.081,9,off-target
500,0.5,0.949,9,target
500,0.5,0.032,9,off-target no pert
500,0.5,0.566,9,target no pert
500,0.74,0.002,10,off-target
500,0.54,0.837,10,target
500,0.54,0.02,10,off-target no pert
500,0.54,0.464,10,target no pert
500,0.5,0.0,11,off-target
500,0.7,0.618,11,target
500,0.7,0.035,11,off-target no pert
500,0.7,0.119,11,target no pert
500,0.54,0.052,12,off-target
500,0.7,0.599,12,target
500,0.7,0.008,12,off-target no pert
500,0.7,0.473,12,target no pert
500,0.74,0.023,13,off-target
500,0.8200000000000001,0.987,13,target
500,0.8200000000000001,0.338,13,off-target no pert
500,0.8200000000000001,0.907,13,target no pert
500,0.5,0.0,14,off-target
500,1.46,0.827,14,target
500,1.46,0.081,14,off-target no pert
500,1.46,0.028,14,target no pert
500,0.54,0.0,15,off-target
500,1.38,0.193,15,target
500,1.38,0.0,15,off-target no pert
500,1.38,0.336,15,target no pert
500,0.74,0.0,16,off-target
500,1.1,0.895,16,target
500,1.1,0.002,16,off-target no pert
500,1.1,0.716,16,target no pert
500,0.66,0.0,17,off-target
500,1.38,0.686,17,target
500,1.38,0.023,17,off-target no pert
500,1.38,0.801,17,target no pert
500,0.62,0.002,18,off-target
500,1.1,0.334,18,target
500,1.1,0.29,18,off-target no pert
500,1.1,0.036,18,target no pert
500,1.5,0.167,19,off-target
500,1.26,0.961,19,target
500,1.26,0.229,19,off-target no pert
500,1.26,0.597,19,target no pert
500,0.54,0.0,20,off-target
500,0.78,0.936,20,target
500,0.78,0.005,20,off-target no pert
500,0.78,0.907,20,target no pert
500,0.54,0.0,21,off-target
500,1.22,0.896,21,target
500,1.22,0.002,21,off-target no pert
500,1.22,0.069,21,target no pert
500,0.66,0.0,22,off-target
500,0.62,0.8,22,target
500,0.62,0.032,22,off-target no pert
500,0.62,0.461,22,target no pert
500,0.62,0.0,23,off-target
500,1.46,0.592,23,target
500,1.46,0.015,23,off-target no pert
500,1.46,0.274,23,target no pert
500,0.62,0.0,24,off-target
500,1.3399999999999999,0.569,24,target
500,1.3399999999999999,0.011,24,off-target no pert
500,1.3399999999999999,0.227,24,target no pert
500,0.7,0.0,25,off-target
500,1.38,0.182,25,target
500,1.38,0.275,25,off-target no pert
500,1.38,0.226,25,target no pert
500,0.7,0.0,26,off-target
500,0.58,0.769,26,target
500,0.58,0.029,26,off-target no pert
500,0.58,0.609,26,target no pert
500,0.58,0.0,27,off-target
500,0.74,0.937,27,target
500,0.74,0.198,27,off-target no pert
500,0.74,0.855,27,target no pert
500,0.7,0.005,28,off-target
500,0.62,0.513,28,target
500,0.62,0.035,28,off-target no pert
500,0.62,0.552,28,target no pert
500,0.66,0.001,29,off-target
500,0.62,0.526,29,target
500,0.62,0.046,29,off-target no pert
500,0.62,0.339,29,target no pert
500,0.54,0.0,30,off-target
500,1.46,0.975,30,target
500,1.46,0.0,30,off-target no pert
500,1.46,0.046,30,target no pert
500,0.58,0.023,31,off-target
500,0.74,0.749,31,target
500,0.74,0.144,31,off-target no pert
500,0.74,0.324,31,target no pert
500,0.54,0.035,32,off-target
500,1.1400000000000001,0.721,32,target
500,1.1400000000000001,0.074,32,off-target no pert
500,1.1400000000000001,0.497,32,target no pert
500,0.7,0.023,33,off-target
500,0.74,0.887,33,target
500,0.74,0.034,33,off-target no pert
500,0.74,0.786,33,target no pert
500,0.54,0.0,34,off-target
500,1.46,0.6,34,target
500,1.46,0.129,34,off-target no pert
500,1.46,0.717,34,target no pert
500,0.54,0.0,35,off-target
500,0.74,0.107,35,target
500,0.74,0.0,35,off-target no pert
500,0.74,0.678,35,target no pert
500,0.5,0.001,36,off-target
500,0.66,0.665,36,target
500,0.66,0.016,36,off-target no pert
500,0.66,0.129,36,target no pert
500,0.62,0.0,37,off-target
500,1.46,0.332,37,target
500,1.46,0.084,37,off-target no pert
500,1.46,0.851,37,target no pert
500,0.7,0.001,38,off-target
500,1.5,0.585,38,target
500,1.5,0.017,38,off-target no pert
500,1.5,0.537,38,target no pert
500,0.7,0.014,39,off-target
500,0.58,0.875,39,target
500,0.58,0.001,39,off-target no pert
500,0.58,0.688,39,target no pert
500,0.58,0.0,40,off-target
500,0.9,0.575,40,target
500,0.9,0.008,40,off-target no pert
500,0.9,0.806,40,target no pert
500,0.74,0.007,41,off-target
500,1.42,0.144,41,target
500,1.42,0.019,41,off-target no pert
500,1.42,0.424,41,target no pert
500,0.7,0.002,42,off-target
500,0.9,0.936,42,target
500,0.9,0.007,42,off-target no pert
500,0.9,0.447,42,target no pert
500,0.58,0.032,43,off-target
500,0.5,0.085,43,target
500,0.5,0.387,43,off-target no pert
500,0.5,0.52,43,target no pert
500,0.58,0.008,44,off-target
500,0.74,0.804,44,target
500,0.74,0.126,44,off-target no pert
500,0.74,0.022,44,target no pert
500,0.54,0.0,45,off-target
500,1.46,0.962,45,target
500,1.46,0.012,45,off-target no pert
500,1.46,0.833,45,target no pert
500,0.7,0.0,46,off-target
500,0.8200000000000001,0.568,46,target
500,0.8200000000000001,0.131,46,off-target no pert
500,0.8200000000000001,0.866,46,target no pert
500,0.5,0.0,47,off-target
500,0.8200000000000001,0.917,47,target
500,0.8200000000000001,0.001,47,off-target no pert
500,0.8200000000000001,0.702,47,target no pert
500,0.5,0.0,48,off-target
500,0.54,0.841,48,target
500,0.54,0.02,48,off-target no pert
500,0.54,0.702,48,target no pert
500,0.5,0.004,49,off-target
500,0.7,0.521,49,target
500,0.7,0.978,49,off-target no pert
500,0.7,0.491,49,target no pert
500,0.7,0.0,50,off-target
500,0.86,0.97,50,target
500,0.86,0.011,50,off-target no pert
500,0.86,0.353,50,target no pert
500,0.74,0.0,51,off-target
500,0.7,0.891,51,target
500,0.7,0.007,51,off-target no pert
500,0.7,0.632,51,target no pert
500,0.54,0.0,52,off-target
500,1.1400000000000001,0.559,52,target
500,1.1400000000000001,0.0,52,off-target no pert
500,1.1400000000000001,0.407,52,target no pert
500,0.7,0.004,53,off-target
500,1.06,0.684,53,target
500,1.06,0.098,53,off-target no pert
500,1.06,0.214,53,target no pert
500,0.74,0.002,54,off-target
500,1.42,0.705,54,target
500,1.42,0.005,54,off-target no pert
500,1.42,0.327,54,target no pert
