n,best_std,p_value,seed,type
500,0.86,0.0,0,off-target
500,1.1800000000000002,0.834,0,target
500,1.1800000000000002,0.247,0,off-target no pert
500,1.1800000000000002,0.965,0,target no pert
500,1.1,0.0,1,off-target
500,0.74,0.826,1,target
500,0.74,0.188,1,off-target no pert
500,0.74,0.006,1,target no pert
500,0.9,0.0,2,off-target
500,1.3,0.542,2,target
500,1.3,0.438,2,off-target no pert
500,1.3,0.914,2,target no pert
500,1.1400000000000001,0.0,3,off-target
500,0.7,0.294,3,target
500,0.7,0.602,3,off-target no pert
500,0.7,0.135,3,target no pert
500,0.86,0.0,4,off-target
500,1.22,0.572,4,target
500,1.22,0.759,4,off-target no pert
500,1.22,0.33,4,target no pert
500,1.1,0.0,5,off-target
500,1.06,0.841,5,target
500,1.06,0.114,5,off-target no pert
500,1.06,0.685,5,target no pert
500,1.1,0.0,6,off-target
500,0.9,0.756,6,target
500,0.9,0.675,6,off-target no pert
500,0.9,0.882,6,target no pert
500,0.86,0.0,7,off-target
500,0.74,0.395,7,target
500,0.74,0.956,7,off-target no pert
500,0.74,0.583,7,target no pert
500,0.94,0.004,8,off-target
500,0.86,0.837,8,target
500,0.86,0.412,8,off-target no pert
500,0.86,0.393,8,target no pert
500,0.9,0.0,9,off-target
500,0.74,0.376,9,target
500,0.74,0.674,9,off-target no pert
500,0.74,0.632,9,target no pert
500,0.8200000000000001,0.0,10,off-target
500,0.74,0.719,10,target
500,0.74,0.702,10,off-target no pert
500,0.74,0.759,10,target no pert
500,1.1,0.0,11,off-target
500,1.1,0.928,11,target
500,1.1,0.907,11,off-target no pert
500,1.1,0.025,11,target no pert
500,0.9,0.0,12,off-target
500,0.8200000000000001,0.01,12,target
500,0.8200000000000001,0.68,12,off-target no pert
500,0.8200000000000001,0.583,12,target no pert
500,0.94,0.0,13,off-target
500,1.02,0.909,13,target
500,1.02,0.347,13,off-target no pert
500,1.02,0.945,13,target no pert
500,1.1400000000000001,0.0,14,off-target
500,1.26,0.24,14,target
500,1.26,0.288,14,off-target no pert
500,1.26,0.042,14,target no pert
500,0.86,0.0,15,off-target
500,0.86,0.383,15,target
500,0.86,0.453,15,off-target no pert
500,0.86,0.576,15,target no pert
500,0.8200000000000001,0.001,16,off-target
500,1.06,0.257,16,target
500,1.06,0.221,16,off-target no pert
500,1.06,0.968,16,target no pert
500,1.1400000000000001,0.005,17,off-target
500,0.78,0.604,17,target
500,0.78,0.872,17,off-target no pert
500,0.78,0.781,17,target no pert
500,1.1400000000000001,0.0,18,off-target
500,0.9,0.71,18,target
500,0.9,0.86,18,off-target no pert
500,0.9,0.131,18,target no pert
500,1.1400000000000001,0.0,19,off-target
500,1.22,0.171,19,target
500,1.22,0.638,19,off-target no pert
500,1.22,0.76,19,target no pert
500,1.1,0.008,20,off-target
500,0.8200000000000001,0.494,20,target
500,0.8200000000000001,0.842,20,off-target no pert
500,0.8200000000000001,0.612,20,target no pert
500,0.86,0.0,21,off-target
500,1.22,0.673,21,target
500,1.22,0.802,21,off-target no pert
500,1.22,0.117,21,target no pert
500,1.1,0.009,22,off-target
500,1.1400000000000001,0.677,22,target
500,1.1400000000000001,0.255,22,off-target no pert
500,1.1400000000000001,0.957,22,target no pert
500,0.9,0.0,23,off-target
500,1.06,0.372,23,target
500,1.06,0.854,23,off-target no pert
500,1.06,0.184,23,target no pert
500,1.1400000000000001,0.001,24,off-target
500,0.8200000000000001,0.256,24,target
500,0.8200000000000001,0.372,24,off-target no pert
500,0.8200000000000001,0.772,24,target no pert
500,0.8200000000000001,0.188,25,off-target
500,1.02,0.391,25,target
500,1.02,0.761,25,off-target no pert
500,1.02,0.103,25,target no pert
500,0.9,0.0,26,off-target
500,1.3399999999999999,0.861,26,target
500,1.3399999999999999,0.754,26,off-target no pert
500,1.3399999999999999,0.855,26,target no pert
500,0.78,0.0,27,off-target
500,1.22,0.665,27,target
500,1.22,0.789,27,off-target no pert
500,1.22,0.514,27,target no pert
500,1.06,0.0,28,off-target
500,1.26,0.094,28,target
500,1.26,0.729,28,off-target no pert
500,1.26,0.847,28,target no pert
500,1.1400000000000001,0.0,29,off-target
500,1.1800000000000002,0.637,29,target
500,1.1800000000000002,0.281,29,off-target no pert
500,1.1800000000000002,0.263,29,target no pert
500,1.1400000000000001,0.003,30,off-target
500,1.3399999999999999,0.881,30,target
500,1.3399999999999999,0.495,30,off-target no pert
500,1.3399999999999999,0.144,30,target no pert
500,1.1,0.0,31,off-target
500,0.86,0.736,31,target
500,0.86,0.55,31,off-target no pert
500,0.86,0.431,31,target no pert
500,0.9,0.0,32,off-target
500,1.1,0.716,32,target
500,1.1,0.51,32,off-target no pert
500,1.1,0.298,32,target no pert
500,1.1400000000000001,0.0,33,off-target
500,0.86,0.586,33,target
500,0.86,0.947,33,off-target no pert
500,0.86,0.778,33,target no pert
500,1.1,0.0,34,off-target
500,0.8200000000000001,0.351,34,target
500,0.8200000000000001,0.453,34,off-target no pert
500,0.8200000000000001,0.731,34,target no pert
500,0.9,0.0,35,off-target
500,1.1400000000000001,0.22,35,target
500,1.1400000000000001,0.403,35,off-target no pert
500,1.1400000000000001,0.321,35,target no pert
500,0.9,0.021,36,off-target
500,1.1400000000000001,0.29,36,target
500,1.1400000000000001,0.418,36,off-target no pert
500,1.1400000000000001,0.767,36,target no pert
500,0.8200000000000001,0.0,37,off-target
500,1.3,0.749,37,target
500,1.3,0.348,37,off-target no pert
500,1.3,0.885,37,target no pert
500,0.86,0.001,38,off-target
500,0.86,0.741,38,target
500,0.86,0.65,38,off-target no pert
500,0.86,0.353,38,target no pert
500,1.1,0.0,39,off-target
500,0.98,0.868,39,target
500,0.98,0.305,39,off-target no pert
500,0.98,0.935,39,target no pert
500,0.9,0.0,40,off-target
500,0.98,0.379,40,target
500,0.98,0.033,40,off-target no pert
500,0.98,0.957,40,target no pert
500,0.9,0.001,41,off-target
500,0.8200000000000001,0.474,41,target
500,0.8200000000000001,0.148,41,off-target no pert
500,0.8200000000000001,0.15,41,target no pert
500,0.86,0.0,42,off-target
500,0.66,0.914,42,target
500,0.66,0.355,42,off-target no pert
500,0.66,0.523,42,target no pert
500,1.1,0.002,43,off-target
500,1.3399999999999999,0.8,43,target
500,1.3399999999999999,0.055,43,off-target no pert
500,1.3399999999999999,0.32,43,target no pert
500,0.8200000000000001,0.001,44,off-target
500,1.1,0.446,44,target
500,1.1,0.688,44,off-target no pert
500,1.1,0.004,44,target no pert
500,1.1,0.0,45,off-target
500,1.1400000000000001,0.903,45,target
500,1.1400000000000001,0.496,45,off-target no pert
500,1.1400000000000001,0.264,45,target no pert
500,0.9,0.002,46,off-target
500,1.1,0.542,46,target
500,1.1,0.685,46,off-target no pert
500,1.1,0.83,46,target no pert
500,1.1400000000000001,0.0,47,off-target
500,1.1,0.549,47,target
500,1.1,0.441,47,off-target no pert
