n,best_std,p_value,seed,type
500,0.8200000000000001,0.136,0,off-target
500,1.22,0.182,0,target
500,1.22,0.462,0,off-target no pert
500,1.22,0.263,0,target no pert
500,1.1800000000000002,0.237,1,off-target
500,1.46,0.613,1,target
500,1.46,0.038,1,off-target no pert
500,1.46,0.317,1,target no pert
500,0.8200000000000001,0.029,2,off-target
500,1.1800000000000002,0.384,2,target
500,1.1800000000000002,0.451,2,off-target no pert
500,1.1800000000000002,0.687,2,target no pert
500,1.1400000000000001,0.007,3,off-target
500,1.3399999999999999,0.528,3,target
500,1.3399999999999999,0.136,3,off-target no pert
500,1.3399999999999999,0.391,3,target no pert
500,0.86,0.583,4,off-target
500,0.62,0.159,4,target
500,0.62,0.894,4,off-target no pert
500,0.62,0.812,4,target no pert
500,1.22,0.04,5,off-target
500,0.66,0.136,5,target
500,0.66,0.814,5,off-target no pert
500,0.66,0.135,5,target no pert
500,0.86,0.021,6,off-target
500,1.3399999999999999,0.418,6,target
500,1.3399999999999999,0.019,6,off-target no pert
500,1.3399999999999999,0.697,6,target no pert
500,1.1800000000000002,0.058,7,off-target
500,1.1400000000000001,0.1,7,target
500,1.1400000000000001,0.226,7,off-target no pert
500,1.1400000000000001,0.193,7,target no pert
500,1.1800000000000002,0.007,8,off-target
500,1.5,0.229,8,target
500,1.5,0.382,8,off-target no pert
500,1.5,0.046,8,target no pert
500,0.7,0.701,9,off-target
500,1.38,0.391,9,target
500,1.38,0.814,9,off-target no pert
500,1.38,0.237,9,target no pert
500,0.86,0.262,10,off-target
500,1.3399999999999999,0.049,10,target
500,1.3399999999999999,0.312,10,off-target no pert
500,1.3399999999999999,0.494,10,target no pert
500,0.86,0.17,11,off-target
500,1.42,0.586,11,target
500,1.42,0.082,11,off-target no pert
500,1.42,0.968,11,target no pert
500,0.8200000000000001,0.107,12,off-target
500,0.58,0.19,12,target
500,0.58,0.731,12,off-target no pert
500,0.58,0.723,12,target no pert
500,0.8200000000000001,0.385,13,off-target
500,1.46,0.769,13,target
500,1.46,0.973,13,off-target no pert
500,1.46,0.039,13,target no pert
500,1.1800000000000002,0.193,14,off-target
500,0.58,0.004,14,target
500,0.58,0.707,14,off-target no pert
500,0.58,0.676,14,target no pert
500,0.86,0.013,15,off-target
500,0.66,0.497,15,target
500,0.66,0.014,15,off-target no pert
500,0.66,0.862,15,target no pert
500,1.1800000000000002,0.048,16,off-target
500,0.62,0.712,16,target
500,0.62,0.632,16,off-target no pert
500,0.62,0.662,16,target no pert
500,1.22,0.151,17,off-target
500,1.38,0.538,17,target
500,1.38,0.704,17,off-target no pert
500,1.38,0.717,17,target no pert
500,1.1400000000000001,0.244,18,off-target
500,1.22,0.953,18,target
500,1.22,0.594,18,off-target no pert
500,1.22,0.087,18,target no pert
500,0.86,0.164,19,off-target
500,1.26,0.905,19,target
500,1.26,0.143,19,off-target no pert
500,1.26,0.606,19,target no pert
500,0.66,0.304,20,off-target
500,0.62,0.049,20,target
500,0.62,0.456,20,off-target no pert
500,0.62,0.435,20,target no pert
500,1.1400000000000001,0.057,21,off-target
500,1.26,0.73,21,target
500,1.26,0.565,21,off-target no pert
500,1.26,0.287,21,target no pert
500,1.1800000000000002,0.03,22,off-target
500,0.62,0.339,22,target
500,0.62,0.294,22,off-target no pert
500,0.62,0.09,22,target no pert
500,0.74,0.051,23,off-target
500,1.1800000000000002,0.929,23,target
500,1.1800000000000002,0.581,23,off-target no pert
500,1.1800000000000002,0.686,23,target no pert
500,1.22,0.068,24,off-target
500,0.5,0.917,24,target
500,0.5,0.923,24,off-target no pert
500,0.5,0.017,24,target no pert
500,0.74,0.049,25,off-target
500,1.5,0.441,25,target
500,1.5,0.186,25,off-target no pert
500,1.5,0.294,25,target no pert
500,0.8200000000000001,0.056,26,off-target
500,1.42,0.907,26,target
500,1.42,0.913,26,off-target no pert
500,1.42,0.673,26,target no pert
500,1.22,0.0,27,off-target
500,0.54,0.828,27,target
500,0.54,0.819,27,off-target no pert
500,0.54,0.306,27,target no pert
500,0.86,0.006,28,off-target
500,0.54,0.356,28,target
500,0.54,0.654,28,off-target no pert
500,0.54,0.441,28,target no pert
500,1.1,0.072,29,off-target
500,1.26,0.913,29,target
500,1.26,0.772,29,off-target no pert
500,1.26,0.064,29,target no pert
500,1.3,0.048,30,off-target
500,0.66,0.418,30,target
500,0.66,0.392,30,off-target no pert
500,0.66,0.242,30,target no pert
500,0.8200000000000001,0.086,31,off-target
500,1.1400000000000001,0.436,31,target
500,1.1400000000000001,0.723,31,off-target no pert
500,1.1400000000000001,0.353,31,target no pert
500,1.3,0.973,32,off-target
500,1.1400000000000001,0.579,32,target
500,1.1400000000000001,0.52,32,off-target no pert
500,1.1400000000000001,0.438,32,target no pert
500,0.7,0.01,33,off-target
500,0.8200000000000001,0.619,33,target
500,0.8200000000000001,0.956,33,off-target no pert
500,0.8200000000000001,0.385,33,target no pert
500,0.78,0.247,34,off-target
500,1.22,0.237,34,target
500,1.22,0.445,34,off-target no pert
500,1.22,0.392,34,target no pert
500,1.26,0.246,35,off-target
500,0.62,0.09,35,target
500,0.62,0.338,35,off-target no pert
500,0.62,0.761,35,target no pert
500,0.78,0.0,36,off-target
500,0.62,0.714,36,target
500,0.62,0.826,36,off-target no pert
500,0.62,0.202,36,target no pert
500,0.8200000000000001,0.603,37,off-target
500,1.26,0.536,37,target
500,1.26,0.107,37,off-target no pert
500,1.26,0.007,37,target no pert
500,1.1400000000000001,0.4,38,off-target
500,1.26,0.335,38,target
500,1.26,0.914,38,off-target no pert
500,1.26,0.502,38,target no pert
500,0.8200000000000001,0.022,39,off-target
500,0.7,0.413,39,target
500,0.7,0.308,39,off-target no pert
500,0.7,0.93,39,target no pert
500,1.1400000000000001,0.094,40,off-target
500,1.38,0.319,40,target
500,1.38,0.09,40,off-target no pert
500,1.38,0.325,40,target no pert
500,0.74,0.123,41,off-target
500,0.62,0.586,41,target
500,0.62,0.648,41,off-target no pert
