n,best_std,p_value,seed,type
500,0.30583333333333335,0.47,0,off-target
500,0.6733333333333333,0.123,0,target
500,0.1425,0.067,1,off-target
500,0.5916666666666667,0.807,1,target
500,0.18333333333333332,0.003,2,off-target
500,0.9183333333333333,0.564,2,target
500,0.42833333333333334,0.486,3,off-target
500,0.755,0.511,3,target
500,0.1425,0.002,4,off-target
500,0.7141666666666666,0.259,4,target
500,0.1425,0.003,5,off-target
500,0.02,0.326,5,target
500,0.265,0.75,6,off-target
500,0.5916666666666667,0.769,6,target
500,0.18333333333333332,0.06,7,off-target
500,0.6325000000000001,0.701,7,target
500,0.22416666666666665,0.199,8,off-target
500,0.8366666666666667,0.4,8,target
500,0.265,0.201,9,off-target
500,0.060833333333333336,0.967,9,target
500,0.10166666666666667,0.0,10,off-target
500,0.51,0.305,10,target
500,0.265,0.101,11,off-target
500,0.265,0.248,11,target
500,0.1425,0.007,12,off-target
500,0.755,0.804,12,target
500,0.18333333333333332,0.035,13,off-target
500,0.18333333333333332,0.529,13,target
500,0.02,0.067,14,off-target
500,0.8366666666666667,0.077,14,target
500,0.10166666666666667,0.012,15,off-target
500,0.10166666666666667,0.067,15,target
500,0.265,0.106,16,off-target
500,0.3875,0.104,16,target
500,0.3875,0.777,17,off-target
500,0.3466666666666667,0.013,17,target
500,0.22416666666666665,0.466,18,off-target
500,0.30583333333333335,0.491,18,target
500,0.10166666666666667,0.0,19,off-target
500,0.6733333333333333,0.41,19,target
500,0.10166666666666667,0.0,20,off-target
500,0.8775,0.618,20,target
500,0.18333333333333332,0.014,21,off-target
500,0.8775,0.926,21,target
500,0.3466666666666667,0.438,22,off-target
500,0.51,0.79,22,target
500,0.265,0.095,23,off-target
500,0.5916666666666667,0.349,23,target
500,0.10166666666666667,0.025,24,off-target
500,0.6325000000000001,0.79,24,target
500,0.1425,0.079,25,off-target
500,0.755,0.108,25,target
500,0.22416666666666665,0.02,26,off-target
500,0.7958333333333334,0.757,26,target
500,0.18333333333333332,0.009,27,off-target
500,0.7141666666666666,0.098,27,target
500,0.265,0.097,28,off-target
500,0.6325000000000001,0.977,28,target
500,0.18333333333333332,0.016,29,off-target
500,0.18333333333333332,0.891,29,target
500,0.22416666666666665,0.01,30,off-target
500,0.42833333333333334,0.991,30,target
500,0.265,0.181,31,off-target
500,0.060833333333333336,0.076,31,target
500,0.30583333333333335,0.02,32,off-target
500,0.30583333333333335,0.034,32,target
500,0.18333333333333332,0.005,33,off-target
500,0.10166666666666667,0.546,33,target
500,0.22416666666666665,0.002,34,off-target
500,0.22416666666666665,0.654,34,target
500,0.10166666666666667,0.002,35,off-target
500,0.5916666666666667,0.735,35,target
500,0.265,0.068,36,off-target
500,0.265,0.957,36,target
500,0.060833333333333336,0.141,37,off-target
500,0.22416666666666665,0.588,37,target
500,0.22416666666666665,0.004,38,off-target
500,0.6325000000000001,0.302,38,target
500,0.18333333333333332,0.007,39,off-target
500,0.7141666666666666,0.478,39,target
500,0.22416666666666665,0.124,40,off-target
500,0.1425,0.446,40,target
500,0.02,0.0,41,off-target
500,0.6733333333333333,0.698,41,target
500,0.1425,0.131,42,off-target
500,0.51,0.146,42,target
500,0.22416666666666665,0.068,43,off-target
500,0.42833333333333334,0.017,43,target
500,0.22416666666666665,0.069,44,off-target
500,0.1425,0.515,44,target
500,0.18333333333333332,0.041,45,off-target
500,0.7958333333333334,0.89,45,target
500,0.1425,0.0,46,off-target
500,0.5916666666666667,0.673,46,target
500,0.22416666666666665,0.029,47,off-target
500,0.265,0.559,47,target
500,0.3466666666666667,0.596,48,off-target
500,0.02,0.555,48,target
500,0.22416666666666665,0.016,49,off-target
500,0.7958333333333334,0.268,49,target
500,0.1425,0.022,50,off-target
500,0.9183333333333333,0.014,50,target
500,0.265,0.141,51,off-target
500,0.6325000000000001,0.72,51,target
500,0.22416666666666665,0.0,52,off-target
500,0.3466666666666667,0.284,52,target
