n,best_std,p_value,seed,type
1000,0.8500000000000001,0.15980024968789014,0,off-target
1000,0.9,0.2634207240948814,0,target
1000,0.9,0.8277153558052435,0,off-target no pert
1000,0.9,0.6279650436953808,0,target no pert
1000,0.9,0.02247191011235955,1,off-target
1000,1.0,0.23096129837702872,1,target
1000,1.0,0.03745318352059925,1,off-target no pert
1000,1.0,0.15480649188514356,1,target no pert
1000,1.05,0.0,2,off-target
1000,0.95,0.15106117353308365,2,target
1000,0.95,0.4107365792759051,2,off-target no pert
1000,0.95,0.27965043695380776,2,target no pert
1000,1.15,0.0,3,off-target
1000,0.6,0.44818976279650435,3,target
1000,0.6,0.9088639200998752,3,off-target no pert
1000,0.6,0.7390761548064919,3,target no pert
1000,0.9,0.0024968789013732834,4,off-target
1000,1.0,0.9812734082397003,4,target
1000,1.0,0.19850187265917604,4,off-target no pert
1000,1.0,0.9151061173533084,4,target no pert
1000,1.1,0.0024968789013732834,5,off-target
1000,1.2000000000000002,0.7053682896379525,5,target
1000,1.2000000000000002,0.31335830212234705,5,off-target no pert
1000,1.2000000000000002,0.8576779026217228,5,target no pert
1000,1.15,0.0024968789013732834,6,off-target
1000,0.95,0.4019975031210986,6,target
1000,0.95,0.9925093632958801,6,off-target no pert
1000,0.95,0.16853932584269662,6,target no pert
1000,1.15,0.0024968789013732834,7,off-target
1000,0.95,0.7365792759051186,7,target
1000,0.95,0.2009987515605493,7,off-target no pert
1000,0.95,0.7790262172284644,7,target no pert
1000,1.1,0.0449438202247191,8,off-target
1000,0.8500000000000001,0.4469413233458177,8,target
1000,0.8500000000000001,0.8726591760299626,8,off-target no pert
1000,0.8500000000000001,0.26591760299625467,8,target no pert
1000,0.9,0.0,9,off-target
1000,1.15,0.4019975031210986,9,target
1000,1.15,0.9612983770287141,9,off-target no pert
1000,1.15,0.02372034956304619,9,target no pert
1000,0.8500000000000001,0.018726591760299626,10,off-target
1000,1.1,0.7790262172284644,10,target
1000,1.1,0.37952559300873906,10,off-target no pert
1000,1.1,0.4706616729088639,10,target no pert
1000,0.95,0.02746566791510612,11,off-target
1000,1.15,0.9450686641697877,11,target
1000,1.15,0.20973782771535582,11,off-target no pert
1000,1.15,0.4332084893882647,11,target no pert
1000,0.9,0.0012484394506866417,12,off-target
1000,1.15,0.06117353308364544,12,target
1000,1.15,0.7028714107365793,12,off-target no pert
1000,1.15,0.9875156054931336,12,target no pert
1000,0.9,0.006242197253433208,13,off-target
1000,1.2000000000000002,0.599250936329588,13,target
1000,1.2000000000000002,0.46441947565543074,13,off-target no pert
1000,1.2000000000000002,0.2983770287141074,13,target no pert
1000,1.1,0.0,14,off-target
1000,1.05,0.06991260923845194,14,target
1000,1.05,0.6491885143570537,14,off-target no pert
1000,1.05,0.6604244694132334,14,target no pert
1000,0.8500000000000001,0.12484394506866417,15,off-target
1000,1.05,0.23220973782771537,15,target
1000,1.05,0.7440699126092385,15,off-target no pert
1000,1.05,0.6392009987515606,15,target no pert
1000,1.1,0.07615480649188515,16,off-target
1000,1.15,0.1111111111111111,16,target
1000,1.15,0.30337078651685395,16,off-target no pert
1000,1.15,0.2858926342072409,16,target no pert
1000,0.9,0.04744069912609238,17,off-target
1000,0.95,0.44818976279650435,17,target
1000,0.95,0.1285892634207241,17,off-target no pert
1000,0.95,0.7378277153558053,17,target no pert
1000,1.15,0.012484394506866416,18,off-target
1000,0.8500000000000001,0.13857677902621723,18,target
1000,0.8500000000000001,0.45068664169787764,18,off-target no pert
1000,0.8500000000000001,0.08364544319600499,18,target no pert
1000,1.05,0.28214731585518105,19,off-target
1000,0.75,0.5867665418227216,19,target
1000,0.75,0.7191011235955056,19,off-target no pert
1000,0.75,0.5518102372034956,19,target no pert
1000,0.9,0.0,20,off-target
1000,0.9,0.2571785268414482,20,target
1000,0.9,0.7465667915106118,20,off-target no pert
1000,0.9,0.5355805243445693,20,target no pert
1000,0.95,0.15730337078651685,21,off-target
1000,1.1,0.23220973782771537,21,target
1000,1.1,0.8576779026217228,21,off-target no pert
1000,1.1,0.533083645443196,21,target no pert
1000,0.95,0.0,22,off-target
1000,0.8500000000000001,0.3046192259675406,22,target
1000,0.8500000000000001,0.4069912609238452,22,off-target no pert
1000,0.8500000000000001,0.42946317103620474,22,target no pert
1000,0.8,0.11485642946317104,23,off-target
1000,1.2000000000000002,0.06741573033707865,23,target
1000,1.2000000000000002,0.1647940074906367,23,off-target no pert
1000,1.2000000000000002,0.8489388264669163,23,target no pert
1000,0.8500000000000001,0.00749063670411985,24,off-target
1000,1.1,0.5955056179775281,24,target
1000,1.1,0.13358302122347065,24,off-target no pert
1000,1.1,0.3982521847690387,24,target no pert
1000,0.9,0.0012484394506866417,25,off-target
1000,1.05,0.8539325842696629,25,target
1000,1.05,0.5730337078651685,25,off-target no pert
1000,1.05,0.05368289637952559,25,target no pert
1000,0.9,0.09987515605493133,26,off-target
1000,0.9,0.7428214731585518,26,target
1000,0.9,0.317103620474407,26,off-target no pert
1000,0.9,0.6679151061173533,26,target no pert
1000,1.05,0.29213483146067415,27,off-target
1000,1.1,0.016229712858926344,27,target
1000,1.1,0.4107365792759051,27,off-target no pert
1000,1.1,0.7927590511860175,27,target no pert
1000,0.9,0.009987515605493134,28,off-target
1000,0.7,0.5705368289637952,28,target
1000,0.7,0.35580524344569286,28,off-target no pert
1000,0.7,0.978776529338327,28,target no pert
1000,0.8500000000000001,0.0,29,off-target
1000,0.9,0.8626716604244694,29,target
1000,0.9,0.8739076154806492,29,off-target no pert
1000,0.9,0.18851435705368288,29,target no pert
1000,1.05,0.2209737827715356,30,off-target
1000,0.6,0.9225967540574282,30,target
1000,0.6,0.25842696629213485,30,off-target no pert
1000,0.6,0.9600499375780275,30,target no pert
1000,0.9,0.003745318352059925,31,off-target
1000,0.75,0.9450686641697877,31,target
1000,0.75,0.3732833957553059,31,off-target no pert
1000,0.75,0.8439450686641697,31,target no pert
1000,1.1,0.00749063670411985,32,off-target
1000,0.8500000000000001,0.6704119850187266,32,target
1000,0.8500000000000001,0.700374531835206,32,off-target no pert
1000,0.8500000000000001,0.9737827715355806,32,target no pert
1000,0.9,0.0012484394506866417,33,off-target
1000,1.05,0.7540574282147315,33,target
1000,1.05,0.5143570536828964,33,off-target no pert
1000,1.05,0.6192259675405742,33,target no pert
1000,0.9,0.00749063670411985,34,off-target
1000,1.2000000000000002,0.6629213483146067,34,target
1000,1.2000000000000002,0.6441947565543071,34,off-target no pert
1000,1.2000000000000002,0.5892634207240949,34,target no pert
1000,1.15,0.10486891385767791,35,off-target
1000,0.8500000000000001,0.03870162297128589,35,target
1000,0.8500000000000001,0.7390761548064919,35,off-target no pert
1000,0.8500000000000001,0.7253433208489388,35,target no pert
1000,0.9,0.21972534332084895,36,off-target
1000,0.9,0.42696629213483145,36,target
1000,0.9,0.05118601747815231,36,off-target no pert
1000,0.9,0.10486891385767791,36,target no pert
1000,0.95,0.012484394506866416,37,off-target
1000,1.1,0.4606741573033708,37,target
1000,1.1,0.9076154806491885,37,off-target no pert
1000,1.1,0.09363295880149813,37,target no pert
1000,0.9,0.0,38,off-target
1000,1.25,0.6679151061173533,38,target
1000,1.25,0.299625468164794,38,off-target no pert
1000,1.25,0.4631710362047441,38,target no pert
1000,0.8500000000000001,0.02122347066167291,39,off-target
1000,0.8500000000000001,0.7490636704119851,39,target
1000,0.8500000000000001,0.1373283395755306,39,off-target no pert
1000,0.8500000000000001,0.8451935081148564,39,target no pert
1000,1.15,0.024968789013732832,40,off-target
1000,1.2000000000000002,0.14232209737827714,40,target
1000,1.2000000000000002,0.42946317103620474,40,off-target no pert
1000,1.2000000000000002,0.8626716604244694,40,target no pert
1000,1.1,0.018726591760299626,41,off-target
1000,1.1,0.4282147315855181,41,target
1000,1.1,0.11485642946317104,41,off-target no pert
1000,1.1,0.8626716604244694,41,target no pert
1000,0.8500000000000001,0.012484394506866416,42,off-target
1000,0.95,0.7453183520599251,42,target
1000,0.95,0.2759051186017478,42,off-target no pert
1000,0.95,0.6404494382022472,42,target no pert
1000,1.1,0.16978776529338327,43,off-target
1000,1.3,0.49063670411985016,43,target
1000,1.3,0.20724094881398253,43,off-target no pert
1000,1.3,0.6179775280898876,43,target no pert
1000,1.05,0.0012484394506866417,44,off-target
1000,1.0,0.2958801498127341,44,target
1000,1.0,0.1760299625468165,44,off-target no pert
1000,1.0,0.42446941323345816,44,target no pert
1000,0.9,0.4307116104868914,45,off-target
1000,1.05,0.132334581772784,45,target
1000,1.05,0.7053682896379525,45,off-target no pert
1000,1.05,0.4868913857677903,45,target no pert
1000,0.95,0.0,46,off-target
1000,1.0,0.299625468164794,46,target
1000,1.0,0.6604244694132334,46,off-target no pert
1000,1.0,0.38451935081148564,46,target no pert
1000,0.9,0.066167290886392,47,off-target
1000,1.15,0.9862671660424469,47,target
1000,1.15,0.5867665418227216,47,off-target no pert
1000,1.15,0.6317103620474407,47,target no pert
1000,0.9,0.0012484394506866417,48,off-target
1000,0.7,0.33083645443196,48,target
1000,0.7,0.6067415730337079,48,off-target no pert
1000,0.7,0.3895131086142322,48,target no pert
1000,1.1,0.019975031210986267,49,off-target
1000,1.05,0.20474406991260924,49,target
1000,1.05,0.8863920099875156,49,off-target no pert
