n,best_std,p_value,seed,type
1000,0.8,0.0,0,off-target
1000,0.8,0.046192259675405745,0,target
1000,0.8,0.616729088639201,0,off-target no pert
1000,0.8,0.20973782771535582,0,target no pert
1000,1.4,0.29213483146067415,1,off-target
1000,1.2000000000000002,0.5430711610486891,1,target
1000,1.2000000000000002,0.06367041198501873,1,off-target no pert
1000,1.2000000000000002,0.39076154806491886,1,target no pert
1000,0.8,0.0,2,off-target
1000,0.95,0.3882646691635456,2,target
1000,0.95,0.8077403245942572,2,off-target no pert
1000,0.95,0.5605493133583022,2,target no pert
1000,0.8500000000000001,0.0,3,off-target
1000,1.35,0.6367041198501873,3,target
1000,1.35,0.418227215980025,3,off-target no pert
1000,1.35,0.0,3,target no pert
1000,0.7,0.0,4,off-target
1000,0.75,0.9213483146067416,4,target
1000,0.75,0.21722846441947566,4,off-target no pert
1000,0.75,0.550561797752809,4,target no pert
1000,0.75,0.0,5,off-target
1000,1.05,0.20224719101123595,5,target
1000,1.05,0.7378277153558053,5,off-target no pert
1000,1.05,0.2534332084893883,5,target no pert
1000,0.95,0.08114856429463171,6,off-target
1000,0.55,0.12234706616729088,6,target
1000,0.55,0.30711610486891383,6,off-target no pert
1000,0.55,0.9288389513108615,6,target no pert
1000,1.2000000000000002,0.0,7,off-target
1000,1.05,0.9038701622971286,7,target
1000,1.05,0.11485642946317104,7,off-target no pert
1000,1.05,0.8302122347066168,7,target no pert
1000,0.75,0.0,8,off-target
1000,1.25,0.6479400749063671,8,target
1000,1.25,0.6779026217228464,8,off-target no pert
1000,1.25,0.5355805243445693,8,target no pert
1000,0.8,0.0,9,off-target
1000,0.75,0.533083645443196,9,target
1000,0.75,0.02372034956304619,9,off-target no pert
1000,0.75,0.4519350811485643,9,target no pert
1000,1.2000000000000002,0.0,10,off-target
1000,0.95,0.06117353308364544,10,target
1000,0.95,0.19600499375780275,10,off-target no pert
1000,0.95,0.9126092384519351,10,target no pert
1000,1.2000000000000002,0.0,11,off-target
1000,1.35,0.9263420724094882,11,target
1000,1.35,0.920099875156055,11,off-target no pert
1000,1.35,0.9238451935081149,11,target no pert
1000,0.75,0.0,12,off-target
1000,0.55,0.7328339575530587,12,target
1000,0.55,0.6554307116104869,12,off-target no pert
1000,0.55,0.7615480649188514,12,target no pert
1000,0.75,0.0,13,off-target
1000,1.5,0.8489388264669163,13,target
1000,1.5,0.0,13,off-target no pert
1000,1.5,0.06117353308364544,13,target no pert
1000,0.8,0.0,14,off-target
1000,0.65,0.6079900124843945,14,target
1000,0.65,0.004993757802746567,14,off-target no pert
1000,0.65,0.9113607990012484,14,target no pert
1000,0.75,0.0,15,off-target
1000,1.4,0.8951310861423221,15,target
1000,1.4,0.6079900124843945,15,off-target no pert
1000,1.4,0.5842696629213483,15,target no pert
1000,1.25,0.0,16,off-target
1000,1.35,0.8601747815230961,16,target
1000,1.35,0.10611735330836454,16,off-target no pert
1000,1.35,0.8888888888888888,16,target no pert
1000,0.75,0.0,17,off-target
1000,0.5,0.5480649188514357,17,target
1000,0.5,0.06991260923845194,17,off-target no pert
1000,0.5,0.37952559300873906,17,target no pert
1000,1.3,0.0,18,off-target
1000,0.5,0.5842696629213483,18,target
1000,0.5,0.0,18,off-target no pert
1000,0.5,0.2209737827715356,18,target no pert
1000,0.5,0.0,19,off-target
1000,0.9,0.18476903870162298,19,target
1000,0.9,0.9313358302122348,19,off-target no pert
1000,0.9,0.6704119850187266,19,target no pert
1000,0.65,0.0,20,off-target
1000,1.35,0.14856429463171036,20,target
1000,1.35,0.3982521847690387,20,off-target no pert
1000,1.35,0.568039950062422,20,target no pert
1000,0.8,0.8102372034956304,21,off-target
1000,0.55,0.9038701622971286,21,target
1000,0.55,0.7428214731585518,21,off-target no pert
1000,0.55,0.6666666666666666,21,target no pert
1000,0.65,0.0,22,off-target
1000,1.1,0.8963795255930087,22,target
1000,1.1,0.8976279650436954,22,off-target no pert
1000,1.1,0.41448189762796506,22,target no pert
1000,0.75,0.0,23,off-target
1000,0.9,0.19975031210986266,23,target
1000,0.9,0.06741573033707865,23,off-target no pert
1000,0.9,0.4993757802746567,23,target no pert
1000,0.5,0.003745318352059925,24,off-target
1000,0.65,0.5730337078651685,24,target
1000,0.65,0.14731585518102372,24,off-target no pert
1000,0.65,0.25218476903870163,24,target no pert
1000,0.75,0.0,25,off-target
1000,1.5,0.850187265917603,25,target
1000,1.5,0.5418227215980025,25,off-target no pert
1000,1.5,0.951310861423221,25,target no pert
1000,0.75,0.0,26,off-target
1000,1.15,0.8052434456928839,26,target
1000,1.15,0.6354556803995006,26,off-target no pert
1000,1.15,0.5792759051186017,26,target no pert
1000,0.8,0.0,27,off-target
1000,0.65,0.31835205992509363,27,target
1000,0.65,0.0,27,off-target no pert
1000,0.65,0.6741573033707865,27,target no pert
1000,0.8500000000000001,0.0,28,off-target
1000,0.8,0.09488139825218476,28,target
1000,0.8,0.7852684144818977,28,off-target no pert
1000,0.8,0.7066167290886392,28,target no pert
1000,0.7,0.0,29,off-target
1000,1.05,0.6079900124843945,29,target
1000,1.05,0.6042446941323346,29,off-target no pert
1000,1.05,0.19101123595505617,29,target no pert
1000,0.75,0.0,30,off-target
1000,0.8500000000000001,0.0686641697877653,30,target
1000,0.8500000000000001,0.34831460674157305,30,off-target no pert
1000,0.8500000000000001,0.9563046192259675,30,target no pert
1000,0.75,0.0,31,off-target
1000,1.25,0.7390761548064919,31,target
1000,1.25,0.2421972534332085,31,off-target no pert
1000,1.25,0.4419475655430712,31,target no pert
1000,1.15,0.0,32,off-target
1000,0.55,0.9737827715355806,32,target
1000,0.55,0.34207240948813983,32,off-target no pert
1000,0.55,0.45318352059925093,32,target no pert
1000,0.75,0.0,33,off-target
1000,0.55,0.2784019975031211,33,target
1000,0.55,0.0,33,off-target no pert
1000,0.55,0.850187265917603,33,target no pert
1000,0.75,0.0,34,off-target
1000,1.25,0.951310861423221,34,target
1000,1.25,0.5168539325842697,34,off-target no pert
1000,1.25,0.5156054931335831,34,target no pert
