n,t,p_value,seed,type
500,0,0.278,0,off-target
500,0,0.575,0,target
500,800,0.926,0,off-target
500,800,0.424,0,target
500,1000,0.728,0,off-target
500,1000,0.054,0,target
500,1200,0.389,0,off-target
500,1200,0.331,0,target
500,0,0.072,1,off-target
500,0,0.504,1,target
500,800,0.434,1,off-target
500,800,0.272,1,target
500,1000,0.151,1,off-target
500,1000,0.262,1,target
500,1200,0.65,1,off-target
500,1200,0.734,1,target
500,0,0.467,2,off-target
500,0,0.522,2,target
500,800,0.274,2,off-target
500,800,0.343,2,target
500,1000,0.209,2,off-target
500,1000,0.758,2,target
500,1200,0.733,2,off-target
500,1200,0.907,2,target
500,0,0.256,3,off-target
500,0,0.781,3,target
500,800,0.6,3,off-target
500,800,0.232,3,target
500,1000,0.229,3,off-target
500,1000,0.216,3,target
500,1200,0.498,3,off-target
500,1200,0.257,3,target
500,0,0.587,4,off-target
500,0,0.453,4,target
500,800,0.463,4,off-target
500,800,0.374,4,target
500,1000,0.97,4,off-target
500,1000,0.208,4,target
500,1200,0.437,4,off-target
500,1200,0.744,4,target
500,0,0.598,5,off-target
500,0,0.335,5,target
500,800,0.656,5,off-target
500,800,0.141,5,target
500,1000,0.514,5,off-target
500,1000,0.416,5,target
500,1200,0.515,5,off-target
500,1200,0.683,5,target
500,0,0.128,6,off-target
500,0,0.21,6,target
500,800,0.79,6,off-target
500,800,0.988,6,target
500,1000,0.258,6,off-target
500,1000,0.671,6,target
500,1200,0.358,6,off-target
500,1200,0.143,6,target
500,0,0.113,7,off-target
500,0,0.115,7,target
500,800,0.327,7,off-target
500,800,0.529,7,target
500,1000,0.259,7,off-target
500,1000,0.296,7,target
500,1200,0.95,7,off-target
500,1200,0.015,7,target
500,0,0.404,8,off-target
500,0,0.137,8,target
500,800,0.588,8,off-target
500,800,0.167,8,target
500,1000,0.782,8,off-target
500,1000,0.604,8,target
500,1200,0.802,8,off-target
500,1200,0.422,8,target
500,0,0.722,9,off-target
500,0,0.259,9,target
500,800,0.836,9,off-target
500,800,0.573,9,target
500,1000,0.562,9,off-target
500,1000,0.836,9,target
500,1200,0.833,9,off-target
500,1200,0.074,9,target
500,0,0.099,10,off-target
500,0,0.199,10,target
500,800,0.796,10,off-target
500,800,0.336,10,target
500,1000,0.341,10,off-target
500,1000,0.1,10,target
500,1200,0.347,10,off-target
500,1200,0.361,10,target
500,0,0.856,11,off-target
500,0,0.843,11,target
500,800,0.379,11,off-target
500,800,0.425,11,target
500,1000,0.927,11,off-target
500,1000,0.258,11,target
500,1200,0.761,11,off-target
500,1200,0.787,11,target
500,0,0.583,12,off-target
500,0,0.643,12,target
500,800,0.825,12,off-target
500,800,0.241,12,target
500,1000,0.055,12,off-target
500,1000,0.248,12,target
500,1200,0.183,12,off-target
500,1200,0.16,12,target
500,0,0.758,13,off-target
500,0,0.713,13,target
500,800,0.034,13,off-target
500,800,0.919,13,target
500,1000,0.454,13,off-target
500,1000,0.924,13,target
500,1200,0.268,13,off-target
500,1200,0.419,13,target
500,0,0.419,14,off-target
500,0,0.27,14,target
500,800,0.682,14,off-target
500,800,0.665,14,target
500,1000,0.337,14,off-target
500,1000,0.809,14,target
500,1200,0.319,14,off-target
500,1200,0.242,14,target
500,0,0.804,15,off-target
500,0,0.717,15,target
500,800,0.904,15,off-target
500,800,0.377,15,target
500,1000,0.316,15,off-target
500,1000,0.361,15,target
500,1200,0.923,15,off-target
500,1200,0.126,15,target
500,0,0.169,16,off-target
500,0,0.882,16,target
500,800,0.365,16,off-target
500,800,0.036,16,target
