n,t,p_value,seed,type
500,0,0.278,0,off-target
500,0,0.575,0,target
500,200,0.421,0,off-target
500,200,0.177,0,target
500,400,0.144,0,off-target
500,400,0.43,0,target
500,600,0.883,0,off-target
500,600,0.189,0,target
500,800,0.163,0,off-target
500,800,0.923,0,target
500,1000,0.128,0,off-target
500,1000,0.389,0,target
500,1200,0.894,0,off-target
500,1200,0.19,0,target
500,0,0.072,1,off-target
500,0,0.504,1,target
500,200,0.355,1,off-target
500,200,0.79,1,target
500,400,0.518,1,off-target
500,400,0.298,1,target
500,600,0.449,1,off-target
500,600,0.085,1,target
500,800,0.45,1,off-target
500,800,0.73,1,target
500,1000,0.907,1,off-target
500,1000,0.874,1,target
500,1200,0.006,1,off-target
500,1200,0.692,1,target
500,0,0.467,2,off-target
500,0,0.522,2,target
500,200,0.262,2,off-target
500,200,0.594,2,target
500,400,0.338,2,off-target
500,400,0.481,2,target
500,600,0.068,2,off-target
500,600,0.452,2,target
500,800,0.963,2,off-target
500,800,0.662,2,target
500,1000,0.021,2,off-target
500,1000,0.442,2,target
500,1200,0.401,2,off-target
500,1200,0.894,2,target
500,0,0.256,3,off-target
500,0,0.781,3,target
500,200,0.933,3,off-target
500,200,0.629,3,target
500,400,0.162,3,off-target
500,400,0.832,3,target
500,600,0.571,3,off-target
500,600,0.203,3,target
500,800,0.696,3,off-target
500,800,0.094,3,target
500,1000,0.765,3,off-target
500,1000,0.189,3,target
500,1200,0.716,3,off-target
500,1200,0.791,3,target
500,0,0.587,4,off-target
500,0,0.453,4,target
500,200,0.095,4,off-target
500,200,0.62,4,target
500,400,0.432,4,off-target
500,400,0.187,4,target
500,600,0.269,4,off-target
500,600,0.246,4,target
500,800,0.22,4,off-target
500,800,0.796,4,target
500,1000,0.202,4,off-target
500,1000,0.789,4,target
500,1200,0.328,4,off-target
500,1200,0.986,4,target
500,0,0.598,5,off-target
500,0,0.335,5,target
500,200,0.246,5,off-target
500,200,0.805,5,target
500,400,0.362,5,off-target
500,400,0.081,5,target
500,600,0.488,5,off-target
500,600,0.41,5,target
500,800,0.426,5,off-target
500,800,0.843,5,target
500,1000,0.667,5,off-target
500,1000,0.407,5,target
500,1200,0.762,5,off-target
500,1200,0.783,5,target
500,0,0.128,6,off-target
500,0,0.21,6,target
500,200,0.754,6,off-target
500,200,0.289,6,target
500,400,0.803,6,off-target
500,400,0.286,6,target
500,600,0.574,6,off-target
500,600,0.024,6,target
500,800,0.733,6,off-target
500,800,0.005,6,target
500,1000,0.999,6,off-target
500,1000,0.475,6,target
500,1200,0.87,6,off-target
500,1200,0.876,6,target
500,0,0.113,7,off-target
500,0,0.115,7,target
500,200,0.186,7,off-target
500,200,0.708,7,target
500,400,0.058,7,off-target
500,400,0.198,7,target
500,600,0.846,7,off-target
500,600,0.1,7,target
500,800,0.301,7,off-target
500,800,0.95,7,target
500,1000,0.106,7,off-target
500,1000,0.493,7,target
500,1200,0.168,7,off-target
500,1200,0.529,7,target
500,0,0.404,8,off-target
500,0,0.137,8,target
500,200,0.42,8,off-target
500,200,0.984,8,target
500,400,0.12,8,off-target
500,400,0.462,8,target
500,600,0.899,8,off-target
500,600,0.898,8,target
500,800,0.311,8,off-target
500,800,0.289,8,target
500,1000,0.253,8,off-target
500,1000,0.605,8,target
500,1200,0.901,8,off-target
500,1200,0.592,8,target
500,0,0.722,9,off-target
500,0,0.259,9,target
500,200,0.571,9,off-target
500,200,0.087,9,target
500,400,0.732,9,off-target
500,400,0.569,9,target
500,600,0.584,9,off-target
500,600,0.598,9,target
500,800,0.658,9,off-target
