n,t,p_value,seed,type
500,0,0.642,0,off-target
500,0,0.941,0,target
500,5,0.028,0,off-target
500,5,0.962,0,target
500,10,0.0,0,off-target
500,10,0.992,0,target
500,15,0.0,0,off-target
500,15,0.602,0,target
500,20,0.0,0,off-target
500,20,0.983,0,target
500,0,0.716,1,off-target
500,0,0.494,1,target
500,5,0.0,1,off-target
500,5,0.344,1,target
500,10,0.0,1,off-target
500,10,0.128,1,target
500,15,0.0,1,off-target
500,15,0.11,1,target
500,20,0.0,1,off-target
500,20,0.36,1,target
500,0,0.938,2,off-target
500,0,0.572,2,target
500,5,0.005,2,off-target
500,5,0.552,2,target
500,10,0.0,2,off-target
500,10,0.59,2,target
500,15,0.0,2,off-target
500,15,0.579,2,target
500,20,0.0,2,off-target
500,20,0.394,2,target
500,0,0.923,3,off-target
500,0,0.123,3,target
500,5,0.0,3,off-target
500,5,0.19,3,target
500,10,0.0,3,off-target
500,10,0.206,3,target
500,15,0.0,3,off-target
500,15,0.165,3,target
500,20,0.0,3,off-target
500,20,0.161,3,target
500,0,0.028,4,off-target
500,0,0.975,4,target
500,5,0.0,4,off-target
500,5,0.98,4,target
500,10,0.0,4,off-target
500,10,0.901,4,target
500,15,0.0,4,off-target
500,15,0.786,4,target
500,20,0.0,4,off-target
500,20,0.627,4,target
500,0,0.767,5,off-target
500,0,0.921,5,target
500,5,0.0,5,off-target
500,5,0.876,5,target
500,10,0.0,5,off-target
500,10,0.407,5,target
500,15,0.0,5,off-target
500,15,0.752,5,target
500,20,0.0,5,off-target
500,20,0.265,5,target
500,0,0.469,6,off-target
500,0,0.673,6,target
500,5,0.0,6,off-target
500,5,0.923,6,target
500,10,0.0,6,off-target
500,10,0.805,6,target
500,15,0.001,6,off-target
500,15,0.719,6,target
500,20,0.0,6,off-target
500,20,0.63,6,target
500,0,0.64,7,off-target
500,0,0.461,7,target
500,5,0.004,7,off-target
500,5,0.439,7,target
500,10,0.001,7,off-target
500,10,0.555,7,target
500,15,0.013,7,off-target
500,15,0.486,7,target
500,20,0.035,7,off-target
500,20,0.175,7,target
500,0,0.965,8,off-target
500,0,0.585,8,target
500,5,0.0,8,off-target
500,5,0.477,8,target
500,10,0.003,8,off-target
500,10,0.52,8,target
500,15,0.0,8,off-target
500,15,0.698,8,target
500,20,0.0,8,off-target
500,20,0.621,8,target
500,0,0.179,9,off-target
500,0,0.806,9,target
500,5,0.0,9,off-target
500,5,0.724,9,target
500,10,0.0,9,off-target
500,10,0.559,9,target
500,15,0.0,9,off-target
500,15,0.764,9,target
500,20,0.0,9,off-target
500,20,0.624,9,target
500,0,0.11,10,off-target
500,0,0.51,10,target
500,5,0.006,10,off-target
500,5,0.157,10,target
500,10,0.0,10,off-target
500,10,0.555,10,target
500,15,0.0,10,off-target
500,15,0.698,10,target
500,20,0.0,10,off-target
500,20,0.51,10,target
500,0,0.911,11,off-target
500,0,0.941,11,target
500,5,0.0,11,off-target
500,5,0.982,11,target
500,10,0.0,11,off-target
500,10,0.915,11,target
500,15,0.0,11,off-target
500,15,0.988,11,target
500,20,0.001,11,off-target
500,20,0.992,11,target
500,0,0.895,12,off-target
500,0,0.162,12,target
500,5,0.047,12,off-target
500,5,0.405,12,target
500,10,0.0,12,off-target
500,10,0.456,12,target
500,15,0.002,12,off-target
500,15,0.22,12,target
500,20,0.004,12,off-target
500,20,0.574,12,target
500,0,0.802,13,off-target
500,0,0.608,13,target
500,5,0.0,13,off-target
500,5,0.82,13,target
500,10,0.0,13,off-target
500,10,0.817,13,target
500,15,0.0,13,off-target
500,15,0.602,13,target
500,20,0.0,13,off-target
500,20,0.854,13,target
500,0,0.709,14,off-target
500,0,0.268,14,target
500,5,0.0,14,off-target
500,5,0.215,14,target
500,10,0.0,14,off-target
500,10,0.106,14,target
500,15,0.0,14,off-target
500,15,0.225,14,target
500,20,0.0,14,off-target
500,20,0.321,14,target
500,0,0.925,15,off-target
500,0,0.752,15,target
500,5,0.0,15,off-target
500,5,0.44,15,target
500,10,0.0,15,off-target
500,10,0.781,15,target
500,15,0.001,15,off-target
500,15,0.878,15,target
500,20,0.0,15,off-target
500,20,0.54,15,target
500,0,0.208,16,off-target
500,0,0.19,16,target
500,5,0.0,16,off-target
500,5,0.189,16,target
500,10,0.0,16,off-target
500,10,0.276,16,target
500,15,0.0,16,off-target
500,15,0.21,16,target
500,20,0.0,16,off-target
500,20,0.035,16,target
500,0,0.121,17,off-target
500,0,0.323,17,target
500,5,0.0,17,off-target
500,5,0.162,17,target
500,10,0.0,17,off-target
500,10,0.252,17,target
500,15,0.0,17,off-target
500,15,0.313,17,target
500,20,0.0,17,off-target
500,20,0.287,17,target
500,0,0.366,18,off-target
500,0,0.898,18,target
500,5,0.005,18,off-target
500,5,0.937,18,target
500,10,0.0,18,off-target
500,10,0.93,18,target
500,15,0.0,18,off-target
500,15,0.867,18,target
500,20,0.0,18,off-target
500,20,0.913,18,target
500,0,0.548,19,off-target
500,0,0.781,19,target
500,5,0.0,19,off-target
500,5,0.606,19,target
500,10,0.0,19,off-target
500,10,0.605,19,target
500,15,0.0,19,off-target
500,15,0.565,19,target
500,20,0.0,19,off-target
500,20,0.584,19,target
500,0,0.023,20,off-target
500,0,0.263,20,target
500,5,0.0,20,off-target
500,5,0.534,20,target
500,10,0.0,20,off-target
500,10,0.656,20,target
500,15,0.0,20,off-target
500,15,0.327,20,target
500,20,0.0,20,off-target
500,20,0.577,20,target
500,0,0.16,21,off-target
500,0,0.657,21,target
500,5,0.0,21,off-target
