n,best_std,p_value,seed,type
1000,1.25,0.4581772784019975,0,off-target
1000,0.6,0.9101123595505618,0,target
1000,0.6,0.21598002496878901,0,off-target no pert
1000,0.6,0.634207240948814,0,target no pert
1000,1.2000000000000002,0.0149812734082397,1,off-target
1000,1.2000000000000002,0.3757802746566791,1,target
1000,1.2000000000000002,0.2634207240948814,1,off-target no pert
1000,1.2000000000000002,0.39076154806491886,1,target no pert
1000,1.05,0.568039950062422,2,off-target
1000,1.15,0.24469413233458176,2,target
1000,1.15,0.8077403245942572,2,off-target no pert
1000,1.15,0.1585518102372035,2,target no pert
1000,1.1,0.2209737827715356,3,off-target
1000,0.95,0.05368289637952559,3,target
1000,0.95,0.5205992509363296,3,off-target no pert
1000,0.95,0.0986267166042447,3,target no pert
1000,0.9,0.36079900124843944,4,off-target
1000,0.75,0.4157303370786517,4,target
1000,0.75,0.13982521847690388,4,off-target no pert
1000,0.75,0.5480649188514357,4,target no pert
1000,0.8,0.6416978776529338,5,off-target
1000,1.0,0.6966292134831461,5,target
1000,1.0,0.28214731585518105,5,off-target no pert
1000,1.0,0.12359550561797752,5,target no pert
1000,0.9,0.39575530586766544,6,off-target
1000,0.9,0.42946317103620474,6,target
1000,0.9,0.682896379525593,6,off-target no pert
1000,0.9,0.5767790262172284,6,target no pert
1000,0.9,0.00749063670411985,7,off-target
1000,0.65,0.8102372034956304,7,target
1000,0.65,0.4993757802746567,7,off-target no pert
1000,0.65,0.2009987515605493,7,target no pert
1000,0.8500000000000001,0.05742821473158552,8,off-target
1000,0.8500000000000001,0.18352059925093633,8,target
1000,0.8500000000000001,0.8064918851435705,8,off-target no pert
1000,0.8500000000000001,0.4157303370786517,8,target no pert
1000,1.1,0.08239700374531835,9,off-target
1000,0.95,0.9076154806491885,9,target
1000,0.95,0.12484394506866417,9,off-target no pert
1000,0.95,0.7116104868913857,9,target no pert
1000,1.05,0.008739076154806492,10,off-target
1000,1.25,0.5305867665418227,10,target
1000,1.25,0.40574282147315854,10,off-target no pert
1000,1.25,0.031210986267166042,10,target no pert
1000,0.8500000000000001,0.264669163545568,11,off-target
1000,1.15,0.03620474406991261,11,target
1000,1.15,0.5830212234706617,11,off-target no pert
1000,1.15,0.3208489388264669,11,target no pert
1000,0.8500000000000001,0.08863920099875156,12,off-target
1000,1.1,0.7440699126092385,12,target
