n,p_value,var_est,seed,type
500,0.0,0.25,0,off-target
500,0.0,0.0,0,off-target noiseless
500,0.107,64.0,0,target
500,0.952,0.0,0,target noiseless
500,0.0,1.0,1,off-target
500,0.0,0.0,1,off-target noiseless
500,0.836,16.0,1,target
500,0.053,0.0,1,target noiseless
500,0.0,0.0625,2,off-target
500,0.0,0.0,2,off-target noiseless
500,0.811,256.0,2,target
500,0.722,0.0,2,target noiseless
500,0.0,1.0,3,off-target
500,0.0,0.0,3,off-target noiseless
500,0.733,16384.0,3,target
500,0.314,0.0,3,target noiseless
500,0.0,0.0625,4,off-target
500,0.0,0.0,4,off-target noiseless
500,0.385,1.0,4,target
500,0.911,0.0,4,target noiseless
500,0.0,0.0625,5,off-target
500,0.0,0.0,5,off-target noiseless
500,0.483,1.0,5,target
500,0.251,0.0,5,target noiseless
500,0.0,0.25,6,off-target
500,0.0,0.0,6,off-target noiseless
500,0.178,1024.0,6,target
500,0.524,0.0,6,target noiseless
500,0.0,0.0625,7,off-target
500,0.0,0.0,7,off-target noiseless
500,0.028,16.0,7,target
500,0.818,0.0,7,target noiseless
500,0.0,0.0625,8,off-target
500,0.0,0.0,8,off-target noiseless
500,0.431,1024.0,8,target
500,0.109,0.0,8,target noiseless
500,0.0,0.0625,9,off-target
500,0.0,0.0,9,off-target noiseless
500,0.244,64.0,9,target
500,0.178,0.0,9,target noiseless
500,0.0,0.0625,10,off-target
500,0.0,0.0,10,off-target noiseless
500,0.545,64.0,10,target
500,0.117,0.0,10,target noiseless
500,0.0,1.0,11,off-target
500,0.0,0.0,11,off-target noiseless
500,0.803,4.0,11,target
500,0.886,0.0,11,target noiseless
500,0.0,0.0625,12,off-target
500,0.0,0.0,12,off-target noiseless
500,0.201,4.0,12,target
500,0.833,0.0,12,target noiseless
500,0.0,0.0625,13,off-target
500,0.0,0.0,13,off-target noiseless
500,0.325,4.0,13,target
500,0.364,0.0,13,target noiseless
500,0.0,0.25,14,off-target
500,0.0,0.0,14,off-target noiseless
500,0.029,1024.0,14,target
500,0.233,0.0,14,target noiseless
500,0.0,0.0625,15,off-target
500,0.0,0.0,15,off-target noiseless
500,0.06,4.0,15,target
500,0.213,0.0,15,target noiseless
500,0.0,0.0625,16,off-target
500,0.0,0.0,16,off-target noiseless
500,0.645,4.0,16,target
500,0.814,0.0,16,target noiseless
500,0.0,0.0625,17,off-target
500,0.0,0.0,17,off-target noiseless
500,0.818,4.0,17,target
500,0.295,0.0,17,target noiseless
500,0.0,0.0625,18,off-target
500,0.0,0.0,18,off-target noiseless
500,0.373,1.0,18,target
500,0.697,0.0,18,target noiseless
500,0.0,0.0625,19,off-target
500,0.0,0.0,19,off-target noiseless
500,0.111,16.0,19,target
500,0.203,0.0,19,target noiseless
500,0.0,0.0625,20,off-target
500,0.0,0.0,20,off-target noiseless
500,0.593,4.0,20,target
500,0.947,0.0,20,target noiseless
500,0.0,0.0625,21,off-target
500,0.0,0.0,21,off-target noiseless
500,0.075,256.0,21,target
500,0.931,0.0,21,target noiseless
500,0.0,0.0625,22,off-target
500,0.0,0.0,22,off-target noiseless
500,0.293,16.0,22,target
500,0.868,0.0,22,target noiseless
500,0.0,0.0625,23,off-target
500,0.0,0.0,23,off-target noiseless
500,0.734,64.0,23,target
500,0.429,0.0,23,target noiseless
500,0.0,0.0625,24,off-target
500,0.0,0.0,24,off-target noiseless
500,0.949,16.0,24,target
500,0.848,0.0,24,target noiseless
500,0.0,0.0625,25,off-target
500,0.0,0.0,25,off-target noiseless
500,0.584,1024.0,25,target
500,0.617,0.0,25,target noiseless
500,0.0,4096.0,26,off-target
500,0.0,0.0,26,off-target noiseless
500,0.475,1024.0,26,target
500,0.33,0.0,26,target noiseless
500,0.0,0.0625,27,off-target
500,0.0,0.0,27,off-target noiseless
500,0.819,16.0,27,target
500,0.296,0.0,27,target noiseless
500,0.0,256.0,28,off-target
500,0.0,0.0,28,off-target noiseless
500,0.021,64.0,28,target
500,0.627,0.0,28,target noiseless
500,0.0,1.0,29,off-target
500,0.0,0.0,29,off-target noiseless
500,0.976,16.0,29,target
500,0.293,0.0,29,target noiseless
500,0.0,0.0625,30,off-target
500,0.0,0.0,30,off-target noiseless
500,0.498,256.0,30,target
500,0.747,0.0,30,target noiseless
500,0.0,0.0625,31,off-target
500,0.0,0.0,31,off-target noiseless
500,0.296,4.0,31,target
500,0.555,0.0,31,target noiseless
500,0.0,0.25,32,off-target
500,0.0,0.0,32,off-target noiseless
500,0.016,256.0,32,target
500,0.905,0.0,32,target noiseless
500,0.0,0.0625,33,off-target
500,0.0,0.0,33,off-target noiseless
500,0.072,4096.0,33,target
500,0.134,0.0,33,target noiseless
500,0.0,0.0625,34,off-target
500,0.0,0.0,34,off-target noiseless
500,0.256,4.0,34,target
500,0.428,0.0,34,target noiseless
500,0.0,0.0625,35,off-target
500,0.0,0.0,35,off-target noiseless
500,0.533,16.0,35,target
500,0.972,0.0,35,target noiseless
500,0.0,0.0625,36,off-target
500,0.0,0.0,36,off-target noiseless
500,0.517,1.0,36,target
500,0.555,0.0,36,target noiseless
500,0.0,0.0625,37,off-target
500,0.0,0.0,37,off-target noiseless
500,0.793,4.0,37,target
500,0.141,0.0,37,target noiseless
500,0.0,0.0625,38,off-target
500,0.0,0.0,38,off-target noiseless
500,0.897,64.0,38,target
500,0.316,0.0,38,target noiseless
500,0.0,0.0625,39,off-target
500,0.0,0.0,39,off-target noiseless
500,0.462,4.0,39,target
500,0.039,0.0,39,target noiseless
500,0.0,0.0625,40,off-target
500,0.0,0.0,40,off-target noiseless
500,0.761,4.0,40,target
500,0.947,0.0,40,target noiseless
500,0.0,0.0625,41,off-target
500,0.0,0.0,41,off-target noiseless
500,0.637,1.0,41,target
500,0.926,0.0,41,target noiseless
500,0.0,0.0625,42,off-target
500,0.0,0.0,42,off-target noiseless
500,0.174,1.0,42,target
500,0.849,0.0,42,target noiseless
500,0.0,0.0625,43,off-target
500,0.0,0.0,43,off-target noiseless
500,0.439,4096.0,43,target
500,0.513,0.0,43,target noiseless
500,0.0,0.0625,44,off-target
500,0.0,0.0,44,off-target noiseless
500,0.713,16.0,44,target
500,0.944,0.0,44,target noiseless
500,0.0,0.25,45,off-target
500,0.0,0.0,45,off-target noiseless
500,0.555,16.0,45,target
500,0.451,0.0,45,target noiseless
500,0.0,0.0625,46,off-target
500,0.0,0.0,46,off-target noiseless
500,0.882,16.0,46,target
500,0.271,0.0,46,target noiseless
500,0.0,0.0625,47,off-target
500,0.0,0.0,47,off-target noiseless
500,0.559,4.0,47,target
500,0.061,0.0,47,target noiseless
500,0.0,0.0625,48,off-target
500,0.0,0.0,48,off-target noiseless
500,0.297,64.0,48,target
500,0.157,0.0,48,target noiseless
500,0.0,0.0625,49,off-target
500,0.0,0.0,49,off-target noiseless
500,0.22,64.0,49,target
500,0.68,0.0,49,target noiseless
500,0.0,0.0625,50,off-target
500,0.0,0.0,50,off-target noiseless
500,0.02,16.0,50,target
500,0.421,0.0,50,target noiseless
500,0.0,0.0625,51,off-target
500,0.0,0.0,51,off-target noiseless
500,0.227,0.25,51,target
500,0.585,0.0,51,target noiseless
500,0.0,0.0625,52,off-target
500,0.0,0.0,52,off-target noiseless
500,0.507,64.0,52,target
500,0.873,0.0,52,target noiseless
500,0.0,0.0625,53,off-target
500,0.0,0.0,53,off-target noiseless
500,0.899,4.0,53,target
500,0.038,0.0,53,target noiseless
500,0.0,0.0625,54,off-target
500,0.0,0.0,54,off-target noiseless
500,0.567,16.0,54,target
500,0.317,0.0,54,target noiseless
500,0.0,0.0625,55,off-target
500,0.0,0.0,55,off-target noiseless
500,0.1,256.0,55,target
500,0.256,0.0,55,target noiseless
500,0.0,0.0625,56,off-target
500,0.0,0.0,56,off-target noiseless
500,0.218,4.0,56,target
500,0.896,0.0,56,target noiseless
500,0.0,0.0625,57,off-target
500,0.0,0.0,57,off-target noiseless
500,0.601,0.25,57,target
500,0.609,0.0,57,target noiseless
500,0.0,0.0625,58,off-target
500,0.0,0.0,58,off-target noiseless
500,0.934,16.0,58,target
500,0.865,0.0,58,target noiseless
500,0.0,0.0625,59,off-target
500,0.0,0.0,59,off-target noiseless
500,0.429,64.0,59,target
500,0.148,0.0,59,target noiseless
500,0.0,0.0625,60,off-target
500,0.0,0.0,60,off-target noiseless
500,0.847,4.0,60,target
500,0.529,0.0,60,target noiseless
500,0.0,0.25,61,off-target
500,0.0,0.0,61,off-target noiseless
500,0.748,4.0,61,target
500,0.245,0.0,61,target noiseless
500,0.0,0.0625,62,off-target
500,0.0,0.0,62,off-target noiseless
500,0.878,4.0,62,target
500,0.999,0.0,62,target noiseless
500,0.0,0.0625,63,off-target
500,0.0,0.0,63,off-target noiseless
500,0.74,4.0,63,target
500,0.123,0.0,63,target noiseless
500,0.0,0.0625,64,off-target
500,0.0,0.0,64,off-target noiseless
500,0.58,256.0,64,target
500,0.951,0.0,64,target noiseless
500,0.0,0.0625,65,off-target
500,0.0,0.0,65,off-target noiseless
500,0.044,1024.0,65,target
500,0.763,0.0,65,target noiseless
500,0.0,0.0625,66,off-target
500,0.0,0.0,66,off-target noiseless
500,0.041,4.0,66,target
500,0.726,0.0,66,target noiseless
500,0.0,0.0625,67,off-target
500,0.0,0.0,67,off-target noiseless
500,0.895,64.0,67,target
500,0.073,0.0,67,target noiseless
500,0.0,0.25,68,off-target
500,0.0,0.0,68,off-target noiseless
500,0.966,16.0,68,target
500,0.945,0.0,68,target noiseless
500,0.0,0.0625,69,off-target
500,0.0,0.0,69,off-target noiseless
500,0.904,4.0,69,target
500,0.222,0.0,69,target noiseless
500,0.0,0.0625,70,off-target
500,0.0,0.0,70,off-target noiseless
500,0.332,64.0,70,target
500,0.471,0.0,70,target noiseless
500,0.0,1.0,71,off-target
500,0.0,0.0,71,off-target noiseless
500,0.673,256.0,71,target
500,0.881,0.0,71,target noiseless
500,0.0,0.0625,72,off-target
500,0.0,0.0,72,off-target noiseless
500,0.714,4.0,72,target
500,0.842,0.0,72,target noiseless
500,0.0,0.0625,73,off-target
500,0.0,0.0,73,off-target noiseless
500,0.228,4.0,73,target
500,0.686,0.0,73,target noiseless
500,0.0,1024.0,74,off-target
500,0.0,0.0,74,off-target noiseless
500,0.257,16.0,74,target
500,0.182,0.0,74,target noiseless
500,0.0,0.0625,75,off-target
500,0.0,0.0,75,off-target noiseless
500,0.214,16.0,75,target
500,0.665,0.0,75,target noiseless
500,0.0,0.0625,76,off-target
500,0.0,0.0,76,off-target noiseless
500,0.605,16.0,76,target
500,0.758,0.0,76,target noiseless
500,0.0,0.0625,77,off-target
500,0.0,0.0,77,off-target noiseless
500,0.544,1.0,77,target
500,0.579,0.0,77,target noiseless
500,0.0,0.0625,78,off-target
500,0.0,0.0,78,off-target noiseless
500,0.253,256.0,78,target
500,0.994,0.0,78,target noiseless
500,0.0,0.0625,79,off-target
500,0.0,0.0,79,off-target noiseless
500,0.983,64.0,79,target
500,0.706,0.0,79,target noiseless
500,0.0,0.0625,80,off-target
500,0.0,0.0,80,off-target noiseless
500,0.247,64.0,80,target
500,0.197,0.0,80,target noiseless
500,0.0,0.25,81,off-target
500,0.0,0.0,81,off-target noiseless
500,0.246,64.0,81,target
500,0.06,0.0,81,target noiseless
500,0.0,0.0625,82,off-target
500,0.0,0.0,82,off-target noiseless
500,0.067,16.0,82,target
500,0.295,0.0,82,target noiseless
500,0.0,0.0625,83,off-target
500,0.0,0.0,83,off-target noiseless
500,0.736,4.0,83,target
500,0.223,0.0,83,target noiseless
500,0.0,0.0625,84,off-target
500,0.0,0.0,84,off-target noiseless
500,0.265,16384.0,84,target
500,0.47,0.0,84,target noiseless
500,0.0,0.0625,85,off-target
500,0.0,0.0,85,off-target noiseless
500,0.355,16.0,85,target
500,0.056,0.0,85,target noiseless
500,0.0,0.0625,86,off-target
500,0.0,0.0,86,off-target noiseless
500,0.05,1024.0,86,target
500,0.636,0.0,86,target noiseless
500,0.0,0.0625,87,off-target
500,0.0,0.0,87,off-target noiseless
500,0.472,16.0,87,target
500,0.681,0.0,87,target noiseless
500,0.0,0.0625,88,off-target
500,0.0,0.0,88,off-target noiseless
500,0.262,4.0,88,target
500,0.741,0.0,88,target noiseless
500,0.0,0.0625,89,off-target
500,0.0,0.0,89,off-target noiseless
500,0.655,0.0625,89,target
500,0.6,0.0,89,target noiseless
500,0.0,0.0625,90,off-target
500,0.0,0.0,90,off-target noiseless
500,0.526,16384.0,90,target
500,0.806,0.0,90,target noiseless
500,0.0,0.0625,91,off-target
500,0.0,0.0,91,off-target noiseless
500,0.355,4.0,91,target
500,0.051,0.0,91,target noiseless
500,0.0,1.0,92,off-target
500,0.0,0.0,92,off-target noiseless
500,0.6,64.0,92,target
500,0.9,0.0,92,target noiseless
500,0.0,0.0625,93,off-target
500,0.0,0.0,93,off-target noiseless
500,0.043,0.25,93,target
500,0.987,0.0,93,target noiseless
500,0.0,0.0625,94,off-target
500,0.0,0.0,94,off-target noiseless
500,0.96,16.0,94,target
500,0.61,0.0,94,target noiseless
500,0.0,0.0625,95,off-target
500,0.0,0.0,95,off-target noiseless
500,0.876,4.0,95,target
500,0.583,0.0,95,target noiseless
500,0.0,0.0625,96,off-target
500,0.0,0.0,96,off-target noiseless
500,0.059,1.0,96,target
500,0.598,0.0,96,target noiseless
500,0.0,0.0625,97,off-target
500,0.0,0.0,97,off-target noiseless
500,0.019,4.0,97,target
500,0.674,0.0,97,target noiseless
500,0.0,0.0625,98,off-target
500,0.0,0.0,98,off-target noiseless
500,0.406,256.0,98,target
500,0.917,0.0,98,target noiseless
500,0.0,0.25,99,off-target
500,0.0,0.0,99,off-target noiseless
500,0.413,16.0,99,target
500,0.934,0.0,99,target noiseless
500,0.0,0.0625,100,off-target
500,0.0,0.0,100,off-target noiseless
500,0.087,16.0,100,target
500,0.686,0.0,100,target noiseless
500,0.0,0.0625,101,off-target
500,0.0,0.0,101,off-target noiseless
500,0.917,16.0,101,target
500,0.709,0.0,101,target noiseless
500,0.0,0.0625,102,off-target
500,0.0,0.0,102,off-target noiseless
500,0.837,64.0,102,target
500,0.034,0.0,102,target noiseless
500,0.0,0.0625,103,off-target
500,0.0,0.0,103,off-target noiseless
500,0.936,4.0,103,target
500,0.473,0.0,103,target noiseless
500,0.0,0.0625,104,off-target
500,0.0,0.0,104,off-target noiseless
500,0.299,64.0,104,target
500,0.843,0.0,104,target noiseless
500,0.0,0.0625,105,off-target
500,0.0,0.0,105,off-target noiseless
500,0.633,16.0,105,target
500,0.559,0.0,105,target noiseless
500,0.0,0.0625,106,off-target
500,0.0,0.0,106,off-target noiseless
500,0.451,256.0,106,target
500,0.138,0.0,106,target noiseless
500,0.0,0.0625,107,off-target
500,0.0,0.0,107,off-target noiseless
500,0.752,64.0,107,target
500,0.587,0.0,107,target noiseless
500,0.0,0.0625,108,off-target
500,0.0,0.0,108,off-target noiseless
500,0.806,1.0,108,target
500,0.085,0.0,108,target noiseless
500,0.0,0.0625,109,off-target
500,0.0,0.0,109,off-target noiseless
500,0.097,4.0,109,target
500,0.942,0.0,109,target noiseless
500,0.0,0.0625,110,off-target
500,0.0,0.0,110,off-target noiseless
500,0.407,1024.0,110,target
500,0.336,0.0,110,target noiseless
500,0.0,0.0625,111,off-target
500,0.0,0.0,111,off-target noiseless
500,0.259,1.0,111,target
500,0.487,0.0,111,target noiseless
500,0.0,256.0,112,off-target
500,0.0,0.0,112,off-target noiseless
500,0.72,256.0,112,target
500,0.325,0.0,112,target noiseless
500,0.0,0.25,113,off-target
500,0.0,0.0,113,off-target noiseless
500,0.732,4.0,113,target
500,0.761,0.0,113,target noiseless
500,0.0,0.0625,114,off-target
500,0.0,0.0,114,off-target noiseless
500,0.828,1.0,114,target
500,0.752,0.0,114,target noiseless
500,0.0,0.0625,115,off-target
500,0.0,0.0,115,off-target noiseless
500,0.53,1.0,115,target
500,0.763,0.0,115,target noiseless
