n,p_value,var_est,seed,type
500,0.064,0.25,0,off-target
500,0.226,0.0,0,off-target noiseless
500,0.908,1.0,0,target
500,0.238,0.0,0,target noiseless
500,0.0,1.0,1,off-target
500,0.09,0.0,1,off-target noiseless
500,0.899,16.0,1,target
500,0.799,0.0,1,target noiseless
500,0.004,0.25,2,off-target
500,0.55,0.0,2,off-target noiseless
500,0.527,4.0,2,target
500,0.103,0.0,2,target noiseless
500,0.0,1.0,3,off-target
500,0.095,0.0,3,off-target noiseless
500,0.341,64.0,3,target
500,0.708,0.0,3,target noiseless
500,0.0,1.0,4,off-target
500,0.235,0.0,4,off-target noiseless
500,0.281,16.0,4,target
500,0.555,0.0,4,target noiseless
500,0.0,4.0,5,off-target
500,0.032,0.0,5,off-target noiseless
500,0.955,16.0,5,target
500,0.066,0.0,5,target noiseless
500,0.0,1.0,6,off-target
500,0.017,0.0,6,off-target noiseless
500,0.409,4.0,6,target
500,0.956,0.0,6,target noiseless
500,0.0,1.0,7,off-target
500,0.006,0.0,7,off-target noiseless
500,0.613,1.0,7,target
500,0.647,0.0,7,target noiseless
500,0.0,1.0,8,off-target
500,0.07,0.0,8,off-target noiseless
500,0.448,16.0,8,target
500,0.337,0.0,8,target noiseless
500,0.0,1.0,9,off-target
500,0.239,0.0,9,off-target noiseless
500,0.444,0.25,9,target
500,0.815,0.0,9,target noiseless
500,0.0,1.0,10,off-target
500,0.024,0.0,10,off-target noiseless
500,0.969,1.0,10,target
500,0.189,0.0,10,target noiseless
500,0.0,1.0,11,off-target
500,0.239,0.0,11,off-target noiseless
500,0.017,1.0,11,target
500,0.92,0.0,11,target noiseless
500,0.0,1.0,12,off-target
500,0.037,0.0,12,off-target noiseless
500,0.007,256.0,12,target
500,0.934,0.0,12,target noiseless
500,0.0,1.0,13,off-target
500,0.199,0.0,13,off-target noiseless
500,0.319,4.0,13,target
500,0.918,0.0,13,target noiseless
500,0.0,1.0,14,off-target
500,0.491,0.0,14,off-target noiseless
500,0.104,4.0,14,target
500,0.311,0.0,14,target noiseless
500,0.0,4.0,15,off-target
500,0.509,0.0,15,off-target noiseless
500,0.434,1024.0,15,target
500,0.186,0.0,15,target noiseless
500,0.0,0.25,16,off-target
500,0.27,0.0,16,off-target noiseless
500,0.444,4.0,16,target
500,0.31,0.0,16,target noiseless
500,0.0,1.0,17,off-target
500,0.376,0.0,17,off-target noiseless
500,0.769,4096.0,17,target
500,0.619,0.0,17,target noiseless
500,0.001,1.0,18,off-target
500,0.169,0.0,18,off-target noiseless
500,0.339,0.0625,18,target
500,0.327,0.0,18,target noiseless
500,0.0,1.0,19,off-target
500,0.0,0.0,19,off-target noiseless
500,0.49,16.0,19,target
500,0.599,0.0,19,target noiseless
500,0.0,1.0,20,off-target
500,0.286,0.0,20,off-target noiseless
500,0.872,4.0,20,target
500,0.155,0.0,20,target noiseless
500,0.0,1.0,21,off-target
500,0.319,0.0,21,off-target noiseless
500,0.714,4096.0,21,target
500,0.065,0.0,21,target noiseless
500,0.0,1.0,22,off-target
500,0.316,0.0,22,off-target noiseless
500,0.36,256.0,22,target
500,0.509,0.0,22,target noiseless
500,0.0,1.0,23,off-target
500,0.048,0.0,23,off-target noiseless
500,0.375,4.0,23,target
500,0.776,0.0,23,target noiseless
500,0.0,1.0,24,off-target
500,0.004,0.0,24,off-target noiseless
500,0.521,64.0,24,target
500,0.799,0.0,24,target noiseless
500,0.0,1.0,25,off-target
500,0.045,0.0,25,off-target noiseless
500,0.537,1024.0,25,target
500,0.125,0.0,25,target noiseless
500,0.0,1.0,26,off-target
500,0.019,0.0,26,off-target noiseless
500,0.769,64.0,26,target
500,0.826,0.0,26,target noiseless
500,0.0,1.0,27,off-target
500,0.319,0.0,27,off-target noiseless
500,0.284,4.0,27,target
500,0.213,0.0,27,target noiseless
500,0.0,0.25,28,off-target
500,0.049,0.0,28,off-target noiseless
500,0.526,64.0,28,target
500,0.182,0.0,28,target noiseless
500,0.0,1.0,29,off-target
500,0.132,0.0,29,off-target noiseless
500,0.654,256.0,29,target
500,0.744,0.0,29,target noiseless
500,0.0,0.25,30,off-target
500,0.074,0.0,30,off-target noiseless
500,0.027,4.0,30,target
500,0.752,0.0,30,target noiseless
500,0.0,4.0,31,off-target
500,0.001,0.0,31,off-target noiseless
500,0.628,256.0,31,target
500,0.885,0.0,31,target noiseless
500,0.002,1.0,32,off-target
500,0.0,0.0,32,off-target noiseless
500,0.468,16.0,32,target
500,0.503,0.0,32,target noiseless
500,0.427,0.0625,33,off-target
500,0.015,0.0,33,off-target noiseless
500,0.939,0.0625,33,target
500,0.308,0.0,33,target noiseless
500,0.0,1.0,34,off-target
500,0.069,0.0,34,off-target noiseless
500,0.916,64.0,34,target
500,0.712,0.0,34,target noiseless
500,0.0,1.0,35,off-target
500,0.0,0.0,35,off-target noiseless
500,0.079,4.0,35,target
500,0.663,0.0,35,target noiseless
500,0.0,1.0,36,off-target
500,0.005,0.0,36,off-target noiseless
500,0.636,1.0,36,target
500,0.91,0.0,36,target noiseless
500,0.0,1.0,37,off-target
500,0.159,0.0,37,off-target noiseless
500,0.578,4.0,37,target
500,0.241,0.0,37,target noiseless
500,0.0,1.0,38,off-target
500,0.018,0.0,38,off-target noiseless
500,0.882,16.0,38,target
500,0.018,0.0,38,target noiseless
500,0.0,1.0,39,off-target
500,0.369,0.0,39,off-target noiseless
500,0.138,16.0,39,target
500,0.589,0.0,39,target noiseless
500,0.0,1.0,40,off-target
500,0.099,0.0,40,off-target noiseless
500,0.336,0.0625,40,target
500,0.721,0.0,40,target noiseless
500,0.0,1.0,41,off-target
500,0.533,0.0,41,off-target noiseless
500,0.371,4.0,41,target
500,0.534,0.0,41,target noiseless
500,0.0,1.0,42,off-target
500,0.323,0.0,42,off-target noiseless
500,0.04,4.0,42,target
500,0.804,0.0,42,target noiseless
500,0.081,0.25,43,off-target
500,0.249,0.0,43,off-target noiseless
500,0.283,1.0,43,target
500,0.056,0.0,43,target noiseless
500,0.001,1.0,44,off-target
500,0.0,0.0,44,off-target noiseless
500,0.447,16.0,44,target
500,0.652,0.0,44,target noiseless
500,0.0,1.0,45,off-target
500,0.069,0.0,45,off-target noiseless
500,0.597,1.0,45,target
500,0.755,0.0,45,target noiseless
500,0.0,1.0,46,off-target
500,0.416,0.0,46,off-target noiseless
500,0.923,256.0,46,target
500,0.532,0.0,46,target noiseless
500,0.0,1.0,47,off-target
500,0.006,0.0,47,off-target noiseless
500,0.174,1024.0,47,target
500,0.543,0.0,47,target noiseless
500,0.0,1.0,48,off-target
500,0.043,0.0,48,off-target noiseless
500,0.238,4.0,48,target
500,0.915,0.0,48,target noiseless
500,0.0,1.0,49,off-target
500,0.02,0.0,49,off-target noiseless
500,0.665,1.0,49,target
500,0.133,0.0,49,target noiseless
500,0.005,0.0625,50,off-target
500,0.01,0.0,50,off-target noiseless
500,0.061,16.0,50,target
500,0.354,0.0,50,target noiseless
500,0.0,1.0,51,off-target
500,0.565,0.0,51,off-target noiseless
500,0.742,1.0,51,target
500,0.746,0.0,51,target noiseless
500,0.0,1.0,52,off-target
500,0.027,0.0,52,off-target noiseless
500,0.263,16.0,52,target
500,0.464,0.0,52,target noiseless
500,0.0,1.0,53,off-target
500,0.156,0.0,53,off-target noiseless
500,0.896,16.0,53,target
500,0.138,0.0,53,target noiseless
500,0.0,1.0,54,off-target
500,0.053,0.0,54,off-target noiseless
500,0.855,256.0,54,target
500,0.604,0.0,54,target noiseless
500,0.0,1.0,55,off-target
500,0.009,0.0,55,off-target noiseless
500,0.867,4.0,55,target
500,0.818,0.0,55,target noiseless
500,0.0,1.0,56,off-target
500,0.056,0.0,56,off-target noiseless
500,0.956,16.0,56,target
500,0.233,0.0,56,target noiseless
500,0.0,1.0,57,off-target
500,0.022,0.0,57,off-target noiseless
500,0.736,64.0,57,target
500,0.752,0.0,57,target noiseless
500,0.0,1.0,58,off-target
500,0.078,0.0,58,off-target noiseless
500,0.116,16.0,58,target
500,0.333,0.0,58,target noiseless
500,0.0,1.0,59,off-target
500,0.163,0.0,59,off-target noiseless
500,0.936,4.0,59,target
500,0.308,0.0,59,target noiseless
500,0.009,0.25,60,off-target
500,0.23,0.0,60,off-target noiseless
500,0.238,64.0,60,target
500,0.388,0.0,60,target noiseless
500,0.0,1.0,61,off-target
500,0.002,0.0,61,off-target noiseless
500,0.379,256.0,61,target
500,0.361,0.0,61,target noiseless
500,0.0,1.0,62,off-target
500,0.073,0.0,62,off-target noiseless
500,0.4,256.0,62,target
500,0.837,0.0,62,target noiseless
500,0.001,1.0,63,off-target
500,0.297,0.0,63,off-target noiseless
500,0.517,4.0,63,target
500,0.108,0.0,63,target noiseless
500,0.0,1.0,64,off-target
500,0.047,0.0,64,off-target noiseless
500,0.893,1.0,64,target
500,0.222,0.0,64,target noiseless
500,0.0,1.0,65,off-target
500,0.164,0.0,65,off-target noiseless
500,0.726,4096.0,65,target
500,0.702,0.0,65,target noiseless
500,0.0,4.0,66,off-target
500,0.213,0.0,66,off-target noiseless
500,0.778,4.0,66,target
500,0.615,0.0,66,target noiseless
500,0.0,1.0,67,off-target
500,0.009,0.0,67,off-target noiseless
500,0.171,0.25,67,target
500,0.278,0.0,67,target noiseless
500,0.0,1.0,68,off-target
500,0.133,0.0,68,off-target noiseless
500,0.351,256.0,68,target
500,0.287,0.0,68,target noiseless
500,0.0,1.0,69,off-target
500,0.003,0.0,69,off-target noiseless
500,0.008,0.0625,69,target
500,0.419,0.0,69,target noiseless
500,0.0,1.0,70,off-target
500,0.1,0.0,70,off-target noiseless
500,0.113,64.0,70,target
500,0.885,0.0,70,target noiseless
500,0.0,1.0,71,off-target
500,0.851,0.0,71,off-target noiseless
500,0.479,4.0,71,target
500,0.635,0.0,71,target noiseless
500,0.0,1.0,72,off-target
500,0.028,0.0,72,off-target noiseless
500,0.354,16.0,72,target
500,0.22,0.0,72,target noiseless
500,0.0,1.0,73,off-target
500,0.374,0.0,73,off-target noiseless
500,0.194,4096.0,73,target
500,0.743,0.0,73,target noiseless
500,0.0,1.0,74,off-target
500,0.023,0.0,74,off-target noiseless
500,0.349,1.0,74,target
500,0.322,0.0,74,target noiseless
500,0.0,1.0,75,off-target
500,0.048,0.0,75,off-target noiseless
500,0.772,64.0,75,target
500,0.259,0.0,75,target noiseless
500,0.0,1.0,76,off-target
500,0.283,0.0,76,off-target noiseless
500,0.63,4096.0,76,target
500,0.669,0.0,76,target noiseless
500,0.001,1.0,77,off-target
500,0.057,0.0,77,off-target noiseless
500,0.697,1024.0,77,target
500,0.708,0.0,77,target noiseless
500,0.0,1.0,78,off-target
500,0.011,0.0,78,off-target noiseless
500,0.287,64.0,78,target
500,0.672,0.0,78,target noiseless
500,0.0,1.0,79,off-target
500,0.568,0.0,79,off-target noiseless
500,0.075,16.0,79,target
500,0.061,0.0,79,target noiseless
500,0.0,1.0,80,off-target
500,0.276,0.0,80,off-target noiseless
500,0.588,4.0,80,target
500,0.741,0.0,80,target noiseless
500,0.001,1.0,81,off-target
500,0.003,0.0,81,off-target noiseless
500,0.463,16.0,81,target
500,0.131,0.0,81,target noiseless
500,0.001,0.25,82,off-target
500,0.337,0.0,82,off-target noiseless
500,0.689,64.0,82,target
500,0.69,0.0,82,target noiseless
500,0.001,1.0,83,off-target
500,0.043,0.0,83,off-target noiseless
500,0.891,16.0,83,target
500,0.469,0.0,83,target noiseless
500,0.0,4.0,84,off-target
500,0.512,0.0,84,off-target noiseless
500,0.276,64.0,84,target
500,0.68,0.0,84,target noiseless
500,0.016,0.25,85,off-target
500,0.048,0.0,85,off-target noiseless
500,0.299,4.0,85,target
500,0.019,0.0,85,target noiseless
500,0.0,1.0,86,off-target
500,0.142,0.0,86,off-target noiseless
500,0.717,4.0,86,target
500,0.716,0.0,86,target noiseless
500,0.0,1.0,87,off-target
500,0.031,0.0,87,off-target noiseless
500,0.793,256.0,87,target
500,0.048,0.0,87,target noiseless
500,0.0,1.0,88,off-target
500,0.113,0.0,88,off-target noiseless
500,0.908,64.0,88,target
500,0.718,0.0,88,target noiseless
500,0.145,0.25,89,off-target
500,0.194,0.0,89,off-target noiseless
500,0.81,64.0,89,target
500,0.886,0.0,89,target noiseless
500,0.0,1.0,90,off-target
500,0.005,0.0,90,off-target noiseless
500,0.058,4.0,90,target
500,0.52,0.0,90,target noiseless
500,0.0,1.0,91,off-target
500,0.196,0.0,91,off-target noiseless
500,0.588,4.0,91,target
500,0.286,0.0,91,target noiseless
500,0.182,0.0625,92,off-target
500,0.215,0.0,92,off-target noiseless
500,0.635,4.0,92,target
500,0.498,0.0,92,target noiseless
500,0.001,1.0,93,off-target
500,0.143,0.0,93,off-target noiseless
500,0.266,16.0,93,target
500,0.727,0.0,93,target noiseless
500,0.007,0.25,94,off-target
500,0.077,0.0,94,off-target noiseless
500,0.199,256.0,94,target
500,0.861,0.0,94,target noiseless
500,0.0,1.0,95,off-target
500,0.515,0.0,95,off-target noiseless
500,0.381,4.0,95,target
500,0.856,0.0,95,target noiseless
500,0.001,0.25,96,off-target
500,0.462,0.0,96,off-target noiseless
500,0.372,16.0,96,target
500,0.966,0.0,96,target noiseless
500,0.0,4.0,97,off-target
500,0.108,0.0,97,off-target noiseless
500,0.514,0.25,97,target
500,0.561,0.0,97,target noiseless
500,0.0,1.0,98,off-target
500,0.092,0.0,98,off-target noiseless
500,0.019,4.0,98,target
500,0.557,0.0,98,target noiseless
500,0.0,1.0,99,off-target
500,0.303,0.0,99,off-target noiseless
500,0.539,256.0,99,target
500,0.103,0.0,99,target noiseless
500,0.0,1.0,100,off-target
500,0.021,0.0,100,off-target noiseless
500,0.891,0.25,100,target
500,0.745,0.0,100,target noiseless
500,0.0,1.0,101,off-target
500,0.486,0.0,101,off-target noiseless
500,0.03,4.0,101,target
500,0.944,0.0,101,target noiseless
500,0.0,1.0,102,off-target
500,0.765,0.0,102,off-target noiseless
500,0.392,16.0,102,target
500,0.412,0.0,102,target noiseless
500,0.0,1.0,103,off-target
500,0.0,0.0,103,off-target noiseless
500,0.259,64.0,103,target
500,0.71,0.0,103,target noiseless
500,0.0,1.0,104,off-target
