n,p_value,var_est,seed,type
500,0.002,1.0,0,off-target
500,0.158,0.0,0,off-target noiseless
500,0.167,16.0,0,target
500,0.982,0.0,0,target noiseless
500,0.0,1.0,1,off-target
500,0.004,0.0,1,off-target noiseless
500,0.925,64.0,1,target
500,0.411,0.0,1,target noiseless
500,0.009,1.0,2,off-target
500,0.001,0.0,2,off-target noiseless
500,0.382,0.25,2,target
500,0.61,0.0,2,target noiseless
500,0.0,1.0,3,off-target
500,0.66,0.0,3,off-target noiseless
500,0.811,1.0,3,target
500,0.489,0.0,3,target noiseless
500,0.006,1.0,4,off-target
500,0.012,0.0,4,off-target noiseless
500,0.295,64.0,4,target
500,0.758,0.0,4,target noiseless
500,0.0,1.0,5,off-target
500,0.058,0.0,5,off-target noiseless
500,0.239,0.25,5,target
500,0.521,0.0,5,target noiseless
500,0.0,1.0,6,off-target
500,0.007,0.0,6,off-target noiseless
500,0.559,1.0,6,target
500,0.292,0.0,6,target noiseless
500,0.0,1.0,7,off-target
500,0.029,0.0,7,off-target noiseless
500,0.461,1.0,7,target
500,0.615,0.0,7,target noiseless
500,0.0,1.0,8,off-target
500,0.338,0.0,8,off-target noiseless
500,0.711,0.0625,8,target
500,0.049,0.0,8,target noiseless
500,0.0,1.0,9,off-target
500,0.095,0.0,9,off-target noiseless
500,0.422,4.0,9,target
500,0.837,0.0,9,target noiseless
500,0.0,1.0,10,off-target
500,0.005,0.0,10,off-target noiseless
500,0.108,64.0,10,target
500,0.867,0.0,10,target noiseless
500,0.002,1.0,11,off-target
500,0.088,0.0,11,off-target noiseless
500,0.824,4.0,11,target
500,0.911,0.0,11,target noiseless
500,0.01,4.0,12,off-target
500,0.245,0.0,12,off-target noiseless
500,0.397,1024.0,12,target
500,0.943,0.0,12,target noiseless
500,0.003,1.0,13,off-target
500,0.069,0.0,13,off-target noiseless
500,0.018,256.0,13,target
500,0.838,0.0,13,target noiseless
500,0.014,1.0,14,off-target
500,0.209,0.0,14,off-target noiseless
500,0.737,16.0,14,target
500,0.938,0.0,14,target noiseless
500,0.01,0.25,15,off-target
500,0.191,0.0,15,off-target noiseless
500,0.595,1.0,15,target
500,0.257,0.0,15,target noiseless
500,0.001,1.0,16,off-target
500,0.905,0.0,16,off-target noiseless
500,0.853,65536.0,16,target
500,0.204,0.0,16,target noiseless
500,0.0,1.0,17,off-target
500,0.325,0.0,17,off-target noiseless
500,0.982,64.0,17,target
500,0.852,0.0,17,target noiseless
500,0.003,1.0,18,off-target
500,0.033,0.0,18,off-target noiseless
500,0.47,4.0,18,target
500,0.095,0.0,18,target noiseless
