n,p_value,var_est,seed,type
500,0.002,16.0,0,off-target
500,0.51,0.0,0,off-target noiseless
500,0.69,0.25,0,target
500,0.689,0.0,0,target noiseless
500,0.0,16.0,1,off-target
500,0.592,0.0,1,off-target noiseless
500,0.52,4.0,1,target
500,0.169,0.0,1,target noiseless
500,0.0,16.0,2,off-target
500,0.894,0.0,2,off-target noiseless
500,0.028,1.0,2,target
500,0.922,0.0,2,target noiseless
500,0.006,16.0,3,off-target
500,0.912,0.0,3,off-target noiseless
500,0.754,4.0,3,target
500,0.901,0.0,3,target noiseless
500,0.708,256.0,4,off-target
500,0.068,0.0,4,off-target noiseless
500,0.749,16.0,4,target
500,0.057,0.0,4,target noiseless
500,0.001,16.0,5,off-target
500,0.403,0.0,5,off-target noiseless
500,0.824,1.0,5,target
500,0.144,0.0,5,target noiseless
500,0.0,16.0,6,off-target
500,0.984,0.0,6,off-target noiseless
500,0.658,256.0,6,target
500,0.875,0.0,6,target noiseless
500,0.001,16.0,7,off-target
500,0.471,0.0,7,off-target noiseless
500,0.747,1024.0,7,target
500,0.325,0.0,7,target noiseless
500,0.0,16.0,8,off-target
500,0.176,0.0,8,off-target noiseless
500,0.417,64.0,8,target
500,0.105,0.0,8,target noiseless
500,0.062,16.0,9,off-target
500,0.036,0.0,9,off-target noiseless
500,0.436,4.0,9,target
500,0.09,0.0,9,target noiseless
500,0.001,16.0,10,off-target
500,0.547,0.0,10,off-target noiseless
500,0.034,16.0,10,target
500,0.121,0.0,10,target noiseless
500,0.017,16.0,11,off-target
500,0.504,0.0,11,off-target noiseless
500,0.064,16.0,11,target
500,0.266,0.0,11,target noiseless
500,0.031,16.0,12,off-target
500,0.286,0.0,12,off-target noiseless
500,0.719,16.0,12,target
500,0.386,0.0,12,target noiseless
500,0.002,16.0,13,off-target
500,0.491,0.0,13,off-target noiseless
500,0.496,4.0,13,target
500,0.259,0.0,13,target noiseless
500,0.0,16.0,14,off-target
500,0.872,0.0,14,off-target noiseless
500,0.268,256.0,14,target
