n,p_value,var_est,seed,type
500,0.04,16.0,0,off-target
500,0.081,0.0,0,off-target noiseless
500,0.072,1.0,0,target
500,0.075,0.0,0,target noiseless
500,0.685,64.0,1,off-target
500,0.292,0.0,1,off-target noiseless
500,0.348,64.0,1,target
500,0.889,0.0,1,target noiseless
500,0.837,64.0,2,off-target
500,0.466,0.0,2,off-target noiseless
500,0.206,64.0,2,target
500,0.155,0.0,2,target noiseless
500,0.449,256.0,3,off-target
500,0.085,0.0,3,off-target noiseless
500,0.143,4096.0,3,target
500,0.389,0.0,3,target noiseless
500,0.013,16.0,4,off-target
500,0.443,0.0,4,off-target noiseless
500,0.217,16.0,4,target
500,0.802,0.0,4,target noiseless
500,0.403,256.0,5,off-target
500,0.8,0.0,5,off-target noiseless
500,0.766,64.0,5,target
500,0.898,0.0,5,target noiseless
500,0.448,1024.0,6,off-target
500,0.276,0.0,6,off-target noiseless
500,0.284,256.0,6,target
500,0.751,0.0,6,target noiseless
500,0.003,16.0,7,off-target
500,0.038,0.0,7,off-target noiseless
500,0.456,16.0,7,target
500,0.135,0.0,7,target noiseless
500,0.567,64.0,8,off-target
500,0.513,0.0,8,off-target noiseless
500,0.787,4096.0,8,target
500,0.909,0.0,8,target noiseless
500,0.472,64.0,9,off-target
500,0.875,0.0,9,off-target noiseless
500,0.635,16.0,9,target
500,0.297,0.0,9,target noiseless
500,0.0,16.0,10,off-target
500,0.87,0.0,10,off-target noiseless
500,0.814,1.0,10,target
500,0.158,0.0,10,target noiseless
500,0.068,64.0,11,off-target
500,0.407,0.0,11,off-target noiseless
500,0.072,64.0,11,target
500,0.076,0.0,11,target noiseless
500,0.003,16.0,12,off-target
500,0.22,0.0,12,off-target noiseless
500,0.597,16.0,12,target
500,0.21,0.0,12,target noiseless
500,0.289,1024.0,13,off-target
500,0.216,0.0,13,off-target noiseless
500,0.438,256.0,13,target
500,0.395,0.0,13,target noiseless
500,0.015,16.0,14,off-target
500,0.876,0.0,14,off-target noiseless
500,0.66,64.0,14,target
500,0.19,0.0,14,target noiseless
500,0.051,4.0,15,off-target
500,0.224,0.0,15,off-target noiseless
500,0.937,64.0,15,target
500,0.508,0.0,15,target noiseless
500,0.013,16.0,16,off-target
500,0.647,0.0,16,off-target noiseless
500,0.449,64.0,16,target
500,0.83,0.0,16,target noiseless
500,0.136,16.0,17,off-target
500,0.328,0.0,17,off-target noiseless
500,0.802,64.0,17,target
500,0.453,0.0,17,target noiseless
500,0.0,16.0,18,off-target
500,0.933,0.0,18,off-target noiseless
500,0.068,0.25,18,target
500,0.843,0.0,18,target noiseless
500,0.036,64.0,19,off-target
500,0.119,0.0,19,off-target noiseless
500,0.7,1024.0,19,target
500,0.877,0.0,19,target noiseless
500,0.0,16.0,20,off-target
500,0.297,0.0,20,off-target noiseless
500,0.686,0.0625,20,target
500,0.653,0.0,20,target noiseless
500,0.015,16.0,21,off-target
500,0.529,0.0,21,off-target noiseless
500,0.575,16.0,21,target
500,0.024,0.0,21,target noiseless
500,0.176,16.0,22,off-target
500,0.273,0.0,22,off-target noiseless
500,0.705,0.25,22,target
500,0.67,0.0,22,target noiseless
500,0.043,1.0,23,off-target
500,0.834,0.0,23,off-target noiseless
500,0.518,16.0,23,target
500,0.311,0.0,23,target noiseless
500,0.186,256.0,24,off-target
500,0.261,0.0,24,off-target noiseless
500,0.192,16.0,24,target
500,0.29,0.0,24,target noiseless
500,0.451,16.0,25,off-target
500,0.788,0.0,25,off-target noiseless
500,0.647,4.0,25,target
500,0.971,0.0,25,target noiseless
500,0.178,1.0,26,off-target
500,0.193,0.0,26,off-target noiseless
500,0.778,1.0,26,target
500,0.655,0.0,26,target noiseless
500,0.742,64.0,27,off-target
500,0.213,0.0,27,off-target noiseless
500,0.164,256.0,27,target
500,0.865,0.0,27,target noiseless
500,0.772,256.0,28,off-target
500,0.652,0.0,28,off-target noiseless
500,0.598,4.0,28,target
500,0.777,0.0,28,target noiseless
500,0.03,0.25,29,off-target
500,0.501,0.0,29,off-target noiseless
500,0.507,0.25,29,target
500,0.126,0.0,29,target noiseless
500,0.752,256.0,30,off-target
500,0.36,0.0,30,off-target noiseless
500,0.329,4.0,30,target
500,0.685,0.0,30,target noiseless
500,0.096,64.0,31,off-target
500,0.622,0.0,31,off-target noiseless
500,0.619,16.0,31,target
500,0.586,0.0,31,target noiseless
500,0.117,4.0,32,off-target
500,0.285,0.0,32,off-target noiseless
500,0.615,16.0,32,target
500,0.066,0.0,32,target noiseless
500,0.0,16.0,33,off-target
500,0.434,0.0,33,off-target noiseless
500,0.027,16.0,33,target
500,0.068,0.0,33,target noiseless
500,0.012,16.0,34,off-target
500,0.616,0.0,34,off-target noiseless
500,0.089,256.0,34,target
500,0.653,0.0,34,target noiseless
500,0.014,16.0,35,off-target
500,0.747,0.0,35,off-target noiseless
500,0.049,1024.0,35,target
500,0.462,0.0,35,target noiseless
500,0.001,16.0,36,off-target
500,0.881,0.0,36,off-target noiseless
500,0.772,1024.0,36,target
500,0.012,0.0,36,target noiseless
500,0.001,16.0,37,off-target
500,0.952,0.0,37,off-target noiseless
500,0.119,64.0,37,target
500,0.692,0.0,37,target noiseless
500,0.002,16.0,38,off-target
500,0.562,0.0,38,off-target noiseless
500,0.076,256.0,38,target
500,0.431,0.0,38,target noiseless
500,0.026,16.0,39,off-target
500,0.439,0.0,39,off-target noiseless
500,0.523,1.0,39,target
500,0.901,0.0,39,target noiseless
500,0.001,16.0,40,off-target
500,0.213,0.0,40,off-target noiseless
500,0.101,4.0,40,target
500,0.539,0.0,40,target noiseless
500,0.06,16.0,41,off-target
500,0.024,0.0,41,off-target noiseless
500,0.819,1024.0,41,target
500,0.945,0.0,41,target noiseless
500,0.291,16.0,42,off-target
500,0.476,0.0,42,off-target noiseless
500,0.912,0.0625,42,target
500,0.642,0.0,42,target noiseless
500,0.124,4.0,43,off-target
500,0.643,0.0,43,off-target noiseless
500,0.041,256.0,43,target
500,0.803,0.0,43,target noiseless
500,0.389,1.0,44,off-target
500,0.732,0.0,44,off-target noiseless
500,0.36,0.25,44,target
500,0.952,0.0,44,target noiseless
500,0.019,16.0,45,off-target
500,0.415,0.0,45,off-target noiseless
500,0.398,16.0,45,target
