n,p_value,var_est,seed,type
500,0.0,0.0027192836850788,0,off-target
500,0.0,0.0,0,off-target noiseless
500,0.528,0.000267381924949,0,target
500,0.085,0.0,0,target noiseless
500,0.0,9.12119192850605,1,off-target
500,0.0,0.0,1,off-target noiseless
500,0.309,130835.9061636366,1,target
500,0.713,0.0,1,target noiseless
500,0.0,3.127835163596799e-05,2,off-target
500,0.0,0.0,2,off-target noiseless
500,0.744,1.2960299585964446e-06,2,target
500,0.704,0.0,2,target noiseless
500,0.0,0.1409341825883538,3,off-target
500,0.0,0.0,3,off-target noiseless
500,0.403,7.256095697351925e-06,3,target
500,0.678,0.0,3,target noiseless
500,0.0,3.941508933266171e-06,4,off-target
500,0.0,0.0,4,off-target noiseless
500,0.576,9.01274321230909,4,target
500,0.979,0.0,4,target noiseless
500,0.0,1.5305379787779747e-05,5,off-target
500,0.0,0.0,5,off-target noiseless
500,0.603,0.145914687091647,5,target
500,0.703,0.0,5,target noiseless
500,0.0,1.950582791310218e-05,6,off-target
500,0.0,0.0,6,off-target noiseless
500,0.384,0.1123818855672107,6,target
500,0.56,0.0,6,target noiseless
500,0.0,4.309726594836085e-06,7,off-target
500,0.0,0.0,7,off-target noiseless
500,0.565,0.0026665364925693,7,target
500,0.419,0.0,7,target noiseless
500,0.0,4.427574173082821e-06,8,off-target
500,0.0,0.0,8,off-target noiseless
500,0.024,4.837057556266442e-07,8,target
500,0.169,0.0,8,target noiseless
500,0.0,9.989495131934676e-05,9,off-target
500,0.0,0.0,9,off-target noiseless
500,0.928,0.5874255745215038,9,target
500,0.36,0.0,9,target noiseless
500,0.0,6.270969989217893e-07,10,off-target
500,0.0,0.0,10,off-target noiseless
500,0.195,7.169774385354952e-06,10,target
500,0.835,0.0,10,target noiseless
500,0.0,2.2069838981694795e-06,11,off-target
500,0.0,0.0,11,off-target noiseless
500,0.029,6.056673400239173e-08,11,target
500,0.001,0.0,11,target noiseless
500,0.0,1.044526557593276e-06,12,off-target
500,0.0,0.0,12,off-target noiseless
500,0.929,0.0001065736577263,12,target
500,0.918,0.0,12,target noiseless
500,0.0,3.727411570418324e-07,13,off-target
500,0.0,0.0,13,off-target noiseless
500,0.658,7002241.096962929,13,target
500,0.394,0.0,13,target noiseless
500,0.0,6.303895868938451e-07,14,off-target
500,0.0,0.0,14,off-target noiseless
500,0.809,1.2805955168109497e-07,14,target
500,0.834,0.0,14,target noiseless
500,0.0,1.3948185378248625e-06,15,off-target
500,0.0,0.0,15,off-target noiseless
500,0.773,0.3788050721262301,15,target
500,0.082,0.0,15,target noiseless
500,0.0,2.285070367987908e-06,16,off-target
500,0.0,0.0,16,off-target noiseless
500,0.713,2.2834453183814184e-06,16,target
500,0.146,0.0,16,target noiseless
500,0.0,6.748013180142088e-06,17,off-target
500,0.0,0.0,17,off-target noiseless
500,0.536,1.616524212698416e-07,17,target
500,0.815,0.0,17,target noiseless
500,0.0,4.352608567759772e-06,18,off-target
500,0.0,0.0,18,off-target noiseless
500,0.208,1.849471507310769e-05,18,target
500,0.161,0.0,18,target noiseless
500,0.0,3.766324254558199e-07,19,off-target
500,0.0,0.0,19,off-target noiseless
500,0.996,6.093104716896413e-07,19,target
500,0.621,0.0,19,target noiseless
500,0.0,1.2744934959776048e-06,20,off-target
500,0.0,0.0,20,off-target noiseless
500,0.632,1.335065529930657e-06,20,target
500,0.162,0.0,20,target noiseless
500,0.0,1.991870971785608e-06,21,off-target
500,0.0,0.0,21,off-target noiseless
500,0.018,7.306678965210769e-07,21,target
500,0.963,0.0,21,target noiseless
500,0.0,1.4751678825292034e-06,22,off-target
500,0.0,0.0,22,off-target noiseless
500,0.291,7.291013785528039e-06,22,target
500,0.885,0.0,22,target noiseless
500,0.0,1.607038989695866e-05,23,off-target
500,0.0,0.0,23,off-target noiseless
500,0.453,0.5434672994269683,23,target
500,0.026,0.0,23,target noiseless
500,0.0,1.151434225353729e-06,24,off-target
500,0.0,0.0,24,off-target noiseless
500,0.003,0.1555907389637392,24,target
500,0.181,0.0,24,target noiseless
500,0.0,4.798774512791532e-07,25,off-target
500,0.0,0.0,25,off-target noiseless
500,0.303,2.5804090405455744e-07,25,target
500,0.44,0.0,25,target noiseless
500,0.0,4.429922169540241e-06,26,off-target
500,0.0,0.0,26,off-target noiseless
500,0.853,3.002173177148846e-06,26,target
500,0.717,0.0,26,target noiseless
500,0.0,1.8064647823389698e-07,27,off-target
500,0.0,0.0,27,off-target noiseless
500,0.229,351521.2473228909,27,target
500,0.534,0.0,27,target noiseless
500,0.0,1.7610549975889336e-06,28,off-target
500,0.0,0.0,28,off-target noiseless
500,0.783,103342.80471712444,28,target
500,0.895,0.0,28,target noiseless
500,0.0,1.87890901693918e-06,29,off-target
500,0.0,0.0,29,off-target noiseless
500,0.457,0.1641559376617465,29,target
500,0.905,0.0,29,target noiseless
500,0.0,3.2300866626075995e-06,30,off-target
500,0.0,0.0,30,off-target noiseless
500,0.763,3.965433767147859e-07,30,target
500,0.699,0.0,30,target noiseless
500,0.0,1.827861577307885e-07,31,off-target
500,0.0,0.0,31,off-target noiseless
500,0.438,1.622318009673139e-06,31,target
500,0.934,0.0,31,target noiseless
500,0.0,5.07619356857373e-07,32,off-target
500,0.0,0.0,32,off-target noiseless
500,0.325,169.46034457003498,32,target
500,0.438,0.0,32,target noiseless
500,0.0,2.0222641177153035e-06,33,off-target
500,0.0,0.0,33,off-target noiseless
500,0.395,9.399694399636616e-05,33,target
500,0.297,0.0,33,target noiseless
500,0.0,4.020381471126936e-07,34,off-target
500,0.0,0.0,34,off-target noiseless
500,0.567,1.3880789972668114e-06,34,target
500,0.136,0.0,34,target noiseless
500,0.0,3.5124609500635493e-06,35,off-target
500,0.0,0.0,35,off-target noiseless
500,0.353,99354.31823016705,35,target
500,0.7,0.0,35,target noiseless
500,0.0,3936416.8141424656,36,off-target
500,0.0,0.0,36,off-target noiseless
500,0.287,1.999633721580787e-07,36,target
500,0.0,0.0,36,target noiseless
500,0.0,3.573992298456933e-06,37,off-target
500,0.0,0.0,37,off-target noiseless
500,0.428,0.0003247492104211,37,target
500,0.336,0.0,37,target noiseless
500,0.0,3.3386932419357404e-06,38,off-target
500,0.0,0.0,38,off-target noiseless
500,0.664,0.1566867489071945,38,target
500,0.235,0.0,38,target noiseless
500,0.0,4.978701219904508e-06,39,off-target
500,0.0,0.0,39,off-target noiseless
500,0.554,2.596747147004219e-08,39,target
500,0.168,0.0,39,target noiseless
500,0.0,1.722531715393858e-05,40,off-target
500,0.0,0.0,40,off-target noiseless
500,0.931,0.208676871412039,40,target
500,0.367,0.0,40,target noiseless
500,0.0,3.3133056374641903e-06,41,off-target
500,0.0,0.0,41,off-target noiseless
500,0.488,1.0604960380274867e-06,41,target
500,0.123,0.0,41,target noiseless
500,0.0,1.0052334801208057e-05,42,off-target
500,0.0,0.0,42,off-target noiseless
500,0.175,0.0001403025047447,42,target
500,0.626,0.0,42,target noiseless
500,0.0,4.559831060133805e-07,43,off-target
500,0.0,0.0,43,off-target noiseless
500,0.055,6.025637566532823e-06,43,target
500,0.139,0.0,43,target noiseless
500,0.0,5.192964283628533e-07,44,off-target
500,0.0,0.0,44,off-target noiseless
500,0.967,0.136031498496095,44,target
500,0.243,0.0,44,target noiseless
500,0.0,1.7028130320970823e-06,45,off-target
500,0.0,0.0,45,off-target noiseless
500,0.686,26462167.69905305,45,target
500,0.683,0.0,45,target noiseless
500,0.0,4.484374839290575e-07,46,off-target
500,0.0,0.0,46,off-target noiseless
500,0.495,8.074759608161184e-08,46,target
500,0.812,0.0,46,target noiseless
500,0.0,7.534546654919315e-06,47,off-target
500,0.0,0.0,47,off-target noiseless
500,0.994,1.111084163719681,47,target
500,0.249,0.0,47,target noiseless
500,0.0,6.003484753709101e-06,48,off-target
500,0.0,0.0,48,off-target noiseless
500,0.443,9.300644588034272e-07,48,target
500,0.571,0.0,48,target noiseless
500,0.0,1.142953136130118e-06,49,off-target
500,0.0,0.0,49,off-target noiseless
500,0.019,0.1534562070326481,49,target
500,0.84,0.0,49,target noiseless
500,0.0,2.700026683798764e-07,50,off-target
500,0.0,0.0,50,off-target noiseless
500,0.471,2509743.246272579,50,target
500,0.832,0.0,50,target noiseless
500,0.0,1.930766814486864e-07,51,off-target
500,0.0,0.0,51,off-target noiseless
500,0.049,5.84679833206558e-07,51,target
500,0.321,0.0,51,target noiseless
500,0.0,8.842794490122267e-05,52,off-target
500,0.0,0.0,52,off-target noiseless
500,0.581,1.2987841566131584e-08,52,target
500,0.938,0.0,52,target noiseless
500,0.0,3.3165239818238657e-06,53,off-target
500,0.0,0.0,53,off-target noiseless
500,0.348,0.1295598231940511,53,target
500,0.365,0.0,53,target noiseless
500,0.0,1.4523223583598396e-06,54,off-target
500,0.0,0.0,54,off-target noiseless
500,0.047,0.0001122719719776,54,target
500,0.413,0.0,54,target noiseless
500,0.0,2.5621034433829693e-07,55,off-target
500,0.0,0.0,55,off-target noiseless
500,0.1,0.0124939978216623,55,target
500,0.42,0.0,55,target noiseless
500,0.0,5.978306179058252e-06,56,off-target
500,0.0,0.0,56,off-target noiseless
500,0.77,1.0094521625433115,56,target
500,0.251,0.0,56,target noiseless
500,0.0,8938330.614899635,57,off-target
500,0.0,0.0,57,off-target noiseless
500,0.35,1.2807867918170155e-06,57,target
500,0.132,0.0,57,target noiseless
500,0.0,2.9393845637709984e-06,58,off-target
500,0.0,0.0,58,off-target noiseless
500,0.966,762885.8162098527,58,target
500,0.631,0.0,58,target noiseless
500,0.0,1.7067638318088793e-06,59,off-target
500,0.0,0.0,59,off-target noiseless
500,0.472,550284.7890705802,59,target
500,0.525,0.0,59,target noiseless
500,0.0,7.38884907326709e-06,60,off-target
500,0.0,0.0,60,off-target noiseless
500,0.203,1.0645109045550805e-07,60,target
500,0.14,0.0,60,target noiseless
500,0.0,8.44400790592448e-06,61,off-target
500,0.0,0.0,61,off-target noiseless
500,0.695,1.7085188380962105e-05,61,target
500,0.259,0.0,61,target noiseless
500,0.0,4.612945067494995e-06,62,off-target
500,0.0,0.0,62,off-target noiseless
500,0.121,43703.00747097377,62,target
500,0.061,0.0,62,target noiseless
500,0.0,3.0447053142211106e-06,63,off-target
500,0.0,0.0,63,off-target noiseless
500,0.273,8.39535914161501e-07,63,target
500,0.191,0.0,63,target noiseless
500,0.0,3.217731043552896e-07,64,off-target
500,0.0,0.0,64,off-target noiseless
500,0.809,3.758651492100746e-06,64,target
500,0.193,0.0,64,target noiseless
500,0.0,4.016384652390504e-07,65,off-target
500,0.0,0.0,65,off-target noiseless
500,0.019,32176.66610074439,65,target
500,0.598,0.0,65,target noiseless
500,0.0,2.9273811187700144e-07,66,off-target
500,0.0,0.0,66,off-target noiseless
500,0.668,10.999238328588548,66,target
500,0.2,0.0,66,target noiseless
500,0.0,2.4382135856219054e-06,67,off-target
500,0.0,0.0,67,off-target noiseless
500,0.375,2.0901100250114908e-08,67,target
500,0.096,0.0,67,target noiseless
500,0.0,2.4643340238144707e-05,68,off-target
500,0.0,0.0,68,off-target noiseless
500,0.086,19.599794437617906,68,target
500,0.627,0.0,68,target noiseless
500,0.0,2.4388101572958565e-07,69,off-target
500,0.0,0.0,69,off-target noiseless
500,0.65,2.576372538847668e-06,69,target
500,0.442,0.0,69,target noiseless
500,0.0,4.572267962372258e-07,70,off-target
500,0.0,0.0,70,off-target noiseless
500,0.86,1.353081677418254e-07,70,target
500,0.514,0.0,70,target noiseless
500,0.0,1.1483343825427645e-07,71,off-target
500,0.0,0.0,71,off-target noiseless
500,0.993,5.101057161613581e-06,71,target
500,0.075,0.0,71,target noiseless
500,0.0,2.1501343241137603e-06,72,off-target
500,0.0,0.0,72,off-target noiseless
500,0.521,2.321905985930837e-05,72,target
500,0.27,0.0,72,target noiseless
500,0.0,0.0005596098350913,73,off-target
500,0.0,0.0,73,off-target noiseless
500,0.088,0.306949440325809,73,target
500,0.506,0.0,73,target noiseless
500,0.0,6.537383971466075e-07,74,off-target
500,0.0,0.0,74,off-target noiseless
500,0.047,1.929415832119887e-07,74,target
500,0.31,0.0,74,target noiseless
500,0.0,7.468034153128334e-07,75,off-target
500,0.0,0.0,75,off-target noiseless
500,0.139,0.0002922053218967,75,target
500,0.911,0.0,75,target noiseless
500,0.0,0.0005492329396351,76,off-target
500,0.0,0.0,76,off-target noiseless
500,0.816,109.71162782488044,76,target
500,0.909,0.0,76,target noiseless
500,0.0,4.948347797342962e-07,77,off-target
500,0.0,0.0,77,off-target noiseless
500,0.516,1.9322500381789445e-07,77,target
500,0.704,0.0,77,target noiseless
500,0.0,2.6098698111643804e-05,78,off-target
500,0.0,0.0,78,off-target noiseless
500,0.251,1.9456911258434323e-05,78,target
500,0.48,0.0,78,target noiseless
500,0.0,0.0001021343631741,79,off-target
500,0.0,0.0,79,off-target noiseless
500,0.602,2.947263654423825e-06,79,target
500,0.672,0.0,79,target noiseless
500,0.0,9.543194846019324e-07,80,off-target
500,0.0,0.0,80,off-target noiseless
500,0.119,1.8683797647941659e-07,80,target
500,0.741,0.0,80,target noiseless
500,0.0,5.75771721426021e-07,81,off-target
500,0.0,0.0,81,off-target noiseless
500,0.333,2.2540320946221626e-07,81,target
500,0.306,0.0,81,target noiseless
500,0.0,8.175268287653922e-07,82,off-target
500,0.0,0.0,82,off-target noiseless
500,0.69,5.785339466870968e-06,82,target
500,0.852,0.0,82,target noiseless
500,0.0,3.4011959840072464e-05,83,off-target
500,0.0,0.0,83,off-target noiseless
500,0.451,81.20407926455755,83,target
500,0.063,0.0,83,target noiseless
500,0.0,1.224380733081537e-06,84,off-target
500,0.0,0.0,84,off-target noiseless
500,0.954,352982.8475514092,84,target
500,0.09,0.0,84,target noiseless
500,0.0,1.1761051356714262e-06,85,off-target
500,0.0,0.0,85,off-target noiseless
500,0.026,1.919401742867888e-06,85,target
500,0.972,0.0,85,target noiseless
500,0.0,1.6710206752809586e-07,86,off-target
500,0.0,0.0,86,off-target noiseless
500,0.322,4.136812682296583e-06,86,target
500,0.421,0.0,86,target noiseless
500,0.0,2.913446664151688e-06,87,off-target
500,0.0,0.0,87,off-target noiseless
500,0.435,1.0675037586318977e-07,87,target
500,0.925,0.0,87,target noiseless
500,0.0,3.7879665125613123e-07,88,off-target
500,0.0,0.0,88,off-target noiseless
500,0.875,2.127809322538532e-05,88,target
500,0.682,0.0,88,target noiseless
500,0.0,2.5212853276192164e-07,89,off-target
500,0.0,0.0,89,off-target noiseless
500,0.156,4067383.9609842896,89,target
500,0.753,0.0,89,target noiseless
500,0.0,1.393110343734941e-06,90,off-target
500,0.0,0.0,90,off-target noiseless
500,0.833,1.2035164003093582e-07,90,target
500,0.172,0.0,90,target noiseless
500,0.0,2.912477924360971e-07,91,off-target
500,0.0,0.0,91,off-target noiseless
500,0.351,7.745431350502302e-07,91,target
500,0.597,0.0,91,target noiseless
500,0.0,1228541.9547611624,92,off-target
500,0.0,0.0,92,off-target noiseless
500,0.809,0.0003884391887344,92,target
500,0.621,0.0,92,target noiseless
500,0.0,6.820164408488172e-06,93,off-target
500,0.0,0.0,93,off-target noiseless
500,0.875,3.628532072881976e-07,93,target
500,0.109,0.0,93,target noiseless
500,0.0,1.1055849106758316e-05,94,off-target
500,0.0,0.0,94,off-target noiseless
500,0.788,9.605467796755876,94,target
500,0.44,0.0,94,target noiseless
500,0.0,4.331681339265223e-06,95,off-target
500,0.0,0.0,95,off-target noiseless
500,0.075,1.487752420893577e-07,95,target
500,0.983,0.0,95,target noiseless
500,0.0,1.5068332134809809e-06,96,off-target
500,0.0,0.0,96,off-target noiseless
500,0.923,2.850784755720335e-07,96,target
500,0.548,0.0,96,target noiseless
500,0.0,4.293269871255735e-07,97,off-target
500,0.0,0.0,97,off-target noiseless
500,0.92,400183.4241067208,97,target
500,0.018,0.0,97,target noiseless
500,0.0,1.8956949433091377e-06,98,off-target
500,0.0,0.0,98,off-target noiseless
500,0.676,3.85787281573596e-07,98,target
500,0.869,0.0,98,target noiseless
500,0.0,7.832021899780751e-06,99,off-target
500,0.0,0.0,99,off-target noiseless
500,0.695,1257422.756310463,99,target
500,0.276,0.0,99,target noiseless
500,0.0,1.757645539807729e-06,100,off-target
500,0.0,0.0,100,off-target noiseless
500,0.239,2.382559256675013e-08,100,target
500,0.908,0.0,100,target noiseless
500,0.0,5.044289274291994e-07,101,off-target
500,0.0,0.0,101,off-target noiseless
500,0.613,4.9326869424921e-07,101,target
500,0.922,0.0,101,target noiseless
500,0.0,8.105686583449734e-05,102,off-target
500,0.0,0.0,102,off-target noiseless
500,0.91,1.3306063490808388e-08,102,target
500,0.317,0.0,102,target noiseless
500,0.0,2.725526538507753e-06,103,off-target
500,0.0,0.0,103,off-target noiseless
500,0.467,1.3950219950811202e-08,103,target
500,0.853,0.0,103,target noiseless
500,0.0,1.741481846231376e-07,104,off-target
500,0.0,0.0,104,off-target noiseless
500,0.625,8.418113794678731e-07,104,target
500,0.375,0.0,104,target noiseless
500,0.0,1.006750499164141e-06,105,off-target
500,0.0,0.0,105,off-target noiseless
500,0.069,1329850.700989738,105,target
500,0.784,0.0,105,target noiseless
500,0.0,7.828387738304314e-07,106,off-target
500,0.0,0.0,106,off-target noiseless
500,0.358,47066.97675776575,106,target
500,0.632,0.0,106,target noiseless
500,0.0,4.189157624469883e-06,107,off-target
500,0.0,0.0,107,off-target noiseless
500,0.394,0.2135436807455883,107,target
500,0.867,0.0,107,target noiseless
500,0.0,7.391758144782587e-07,108,off-target
500,0.0,0.0,108,off-target noiseless
500,0.245,4857578.334057391,108,target
500,0.693,0.0,108,target noiseless
500,0.0,7.747063543841832e-07,109,off-target
500,0.0,0.0,109,off-target noiseless
500,0.901,1.1005417721431049e-07,109,target
500,0.606,0.0,109,target noiseless
