n,p_value,var_est,seed,type
500,0.0,3.1561855832587895,0,off-target
500,0.546,0.0,0,off-target noiseless
500,0.319,21.598370173386684,0,target
500,0.093,0.0,0,target noiseless
500,0.0,2.5106911077366476,1,off-target
500,0.022,0.0,1,off-target noiseless
500,0.901,20.04981219152819,1,target
500,0.712,0.0,1,target noiseless
500,0.0,3.0406752044064547,2,off-target
500,0.073,0.0,2,off-target noiseless
500,0.165,12.81786758198814,2,target
500,0.264,0.0,2,target noiseless
500,0.0,2.5998866037900967,3,off-target
500,0.096,0.0,3,off-target noiseless
500,0.68,47.65793808642775,3,target
500,0.649,0.0,3,target noiseless
500,0.0,2.82471503751367,4,off-target
500,0.032,0.0,4,off-target noiseless
500,0.787,7.741369717167856,4,target
500,0.831,0.0,4,target noiseless
500,0.0,3.294347671363326,5,off-target
500,0.284,0.0,5,off-target noiseless
500,0.083,13.799359088454594,5,target
500,0.2,0.0,5,target noiseless
500,0.0,2.575728124207899,6,off-target
500,0.542,0.0,6,off-target noiseless
500,0.871,77.8127515536653,6,target
500,0.309,0.0,6,target noiseless
500,0.0,2.939119310118258,7,off-target
500,0.396,0.0,7,off-target noiseless
500,0.171,56.96383694342535,7,target
500,0.188,0.0,7,target noiseless
500,0.0,2.696841960162658,8,off-target
500,0.375,0.0,8,off-target noiseless
500,0.637,31.416864438514494,8,target
500,0.281,0.0,8,target noiseless
500,0.0,3.012487760651311,9,off-target
500,0.713,0.0,9,off-target noiseless
500,0.119,0.3083908553793755,9,target
500,0.444,0.0,9,target noiseless
500,0.0,2.734392097067939,10,off-target
500,0.226,0.0,10,off-target noiseless
500,0.939,2.374967609464207,10,target
500,0.049,0.0,10,target noiseless
500,0.0,2.7262683333168667,11,off-target
500,0.03,0.0,11,off-target noiseless
500,0.682,5.135001554128411e-05,11,target
500,0.304,0.0,11,target noiseless
500,0.0,2.8726986585310357,12,off-target
500,0.148,0.0,12,off-target noiseless
500,0.618,2.3499665371503085,12,target
500,0.502,0.0,12,target noiseless
500,0.0,3.2414415150527844,13,off-target
500,0.178,0.0,13,off-target noiseless
500,0.969,15.160952633101488,13,target
500,0.532,0.0,13,target noiseless
