n,p_value,var_est,seed,type
500,0.286,0.906180458365359,0,off-target
500,0.671,0.0,0,off-target noiseless
500,0.895,0.8617524417333158,0,target
500,0.947,0.0,0,target noiseless
500,0.316,0.8282735170651137,1,off-target
500,0.464,0.0,1,off-target noiseless
500,0.713,0.8042634634959747,1,target
500,0.58,0.0,1,target noiseless
500,0.99,0.7839346327739385,2,off-target
500,0.91,0.0,2,off-target noiseless
500,0.274,0.7697781166991859,2,target
500,0.399,0.0,2,target noiseless
500,0.236,0.7449003385325028,3,off-target
500,0.274,0.0,3,off-target noiseless
500,0.247,0.7318943964101585,3,target
500,0.009,0.0,3,target noiseless
500,0.225,0.7288227922423438,4,off-target
500,0.707,0.0,4,off-target noiseless
500,0.633,0.7229435194492595,4,target
500,0.862,0.0,4,target noiseless
500,0.577,0.7020656936890788,5,off-target
500,0.626,0.0,5,off-target noiseless
500,0.866,0.6936191323568472,5,target
500,0.481,0.0,5,target noiseless
500,0.781,0.68939388884246,6,off-target
500,0.461,0.0,6,off-target noiseless
500,0.006,0.6844013451409978,6,target
500,0.777,0.0,6,target noiseless
500,0.185,0.6695600829642814,7,off-target
500,0.346,0.0,7,off-target noiseless
500,0.858,0.6681508127600502,7,target
500,0.12,0.0,7,target noiseless
500,0.725,0.6605969285024891,8,off-target
500,0.523,0.0,8,off-target noiseless
500,0.362,0.6416663129966906,8,target
500,0.779,0.0,8,target noiseless
500,0.616,0.6389432123369296,9,off-target
500,0.745,0.0,9,off-target noiseless
500,0.479,0.6459657384194237,9,target
500,0.491,0.0,9,target noiseless
500,0.45,0.6580068930611596,10,off-target
500,0.489,0.0,10,off-target noiseless
500,0.733,0.6378948004567064,10,target
500,0.185,0.0,10,target noiseless
500,0.328,0.6229757104536624,11,off-target
500,0.604,0.0,11,off-target noiseless
500,0.898,0.6390689042633682,11,target
500,0.057,0.0,11,target noiseless
500,0.764,0.6342355083378983,12,off-target
500,0.62,0.0,12,off-target noiseless
500,0.566,0.6249932296651792,12,target
500,0.755,0.0,12,target noiseless
500,0.919,0.6264240865275497,13,off-target
500,0.034,0.0,13,off-target noiseless
500,0.595,0.6189058155227691,13,target
500,0.189,0.0,13,target noiseless
500,0.771,0.6190764178715114,14,off-target
500,0.357,0.0,14,off-target noiseless
500,0.649,0.6103040659727554,14,target
500,0.51,0.0,14,target noiseless
500,0.426,0.6166661593084086,15,off-target
500,0.084,0.0,15,off-target noiseless
500,0.526,0.6201655814402649,15,target
500,0.954,0.0,15,target noiseless
500,0.778,0.6265902488205519,16,off-target
500,0.211,0.0,16,off-target noiseless
500,0.712,0.6257235411426656,16,target
500,0.548,0.0,16,target noiseless
500,0.568,0.5998862775070393,17,off-target
500,0.322,0.0,17,off-target noiseless
500,0.795,0.6191371050789805,17,target
500,0.629,0.0,17,target noiseless
500,0.174,0.6014675524166115,18,off-target
500,0.948,0.0,18,off-target noiseless
500,0.601,0.5967829230070301,18,target
500,0.885,0.0,18,target noiseless
500,0.284,0.6047943091987271,19,off-target
500,0.385,0.0,19,off-target noiseless
500,0.115,0.6053077384567729,19,target
500,0.267,0.0,19,target noiseless
500,0.256,0.5933563522274063,20,off-target
500,0.064,0.0,20,off-target noiseless
500,0.264,0.5886432967940927,20,target
500,0.906,0.0,20,target noiseless
500,0.376,0.60362611288339,21,off-target
500,0.409,0.0,21,off-target noiseless
500,0.301,0.599961621452394,21,target
500,0.157,0.0,21,target noiseless
500,0.099,0.5990200699261585,22,off-target
500,0.687,0.0,22,off-target noiseless
500,0.236,0.6009357013675221,22,target
500,0.734,0.0,22,target noiseless
500,0.854,0.5914683431829104,23,off-target
500,0.049,0.0,23,off-target noiseless
500,0.835,0.591428371263433,23,target
500,0.285,0.0,23,target noiseless
500,0.155,0.5924345890599092,24,off-target
500,0.74,0.0,24,off-target noiseless
500,0.777,0.5800654556701943,24,target
500,0.981,0.0,24,target noiseless
500,0.884,0.5875976300541232,25,off-target
500,0.309,0.0,25,off-target noiseless
500,0.59,0.5893887573251142,25,target
500,0.059,0.0,25,target noiseless
500,0.731,0.5893020005544294,26,off-target
500,0.392,0.0,26,off-target noiseless
500,0.759,0.5796374493677412,26,target
500,0.847,0.0,26,target noiseless
500,0.482,0.6015480807835871,27,off-target
500,0.611,0.0,27,off-target noiseless
500,0.18,0.5801903924817111,27,target
500,0.401,0.0,27,target noiseless
500,0.864,0.5810701429959444,28,off-target
500,0.434,0.0,28,off-target noiseless
500,0.502,0.574228835490942,28,target
500,0.596,0.0,28,target noiseless
500,0.311,0.592258707552503,29,off-target
500,0.308,0.0,29,off-target noiseless
500,0.707,0.5830064837951454,29,target
500,0.649,0.0,29,target noiseless
500,0.678,0.5824831332715554,30,off-target
500,0.795,0.0,30,off-target noiseless
500,0.665,0.5862864228220701,30,target
500,0.401,0.0,30,target noiseless
500,0.612,0.5868254506099788,31,off-target
500,0.521,0.0,31,off-target noiseless
500,0.631,0.5886496990852699,31,target
500,0.922,0.0,31,target noiseless
500,0.222,0.5970467014428813,32,off-target
500,0.324,0.0,32,off-target noiseless
500,0.21,1.087436956068487,32,target
500,0.055,0.0,32,target noiseless
500,0.435,0.5948936034792816,33,off-target
500,0.093,0.0,33,off-target noiseless
500,0.993,0.5769401599067727,33,target
500,0.927,0.0,33,target noiseless
500,0.826,0.5828829733643524,34,off-target
500,0.163,0.0,34,off-target noiseless
500,0.521,0.5689703757227882,34,target
500,0.74,0.0,34,target noiseless
500,0.255,0.57216628157693,35,off-target
500,0.091,0.0,35,off-target noiseless
500,0.507,0.5779635261135354,35,target
500,0.915,0.0,35,target noiseless
500,0.376,0.6023040712009333,36,off-target
500,0.841,0.0,36,off-target noiseless
500,0.507,0.593512559335295,36,target
500,0.9,0.0,36,target noiseless
500,0.044,0.6065224936422489,37,off-target
500,0.475,0.0,37,off-target noiseless
500,0.22,0.5901724198475087,37,target
500,0.124,0.0,37,target noiseless
500,0.725,0.5929272329119648,38,off-target
500,0.916,0.0,38,off-target noiseless
500,0.681,0.5663858775406538,38,target
500,0.595,0.0,38,target noiseless
500,0.827,0.5795222822849269,39,off-target
500,0.317,0.0,39,off-target noiseless
500,0.669,0.5802784737546887,39,target
500,0.031,0.0,39,target noiseless
500,0.965,0.5929039176528796,40,off-target
500,0.001,0.0,40,off-target noiseless
500,0.259,0.5889858682676277,40,target
500,0.049,0.0,40,target noiseless
500,0.541,0.5825168877947817,41,off-target
500,0.775,0.0,41,off-target noiseless
500,0.693,0.5727513762071936,41,target
500,0.338,0.0,41,target noiseless
500,0.839,0.5677821681520214,42,off-target
500,0.968,0.0,42,off-target noiseless
500,0.168,0.6195950282335758,42,target
500,0.732,0.0,42,target noiseless
500,0.228,0.5839999576441102,43,off-target
500,0.532,0.0,43,off-target noiseless
500,0.249,0.5763968230198522,43,target
500,0.823,0.0,43,target noiseless
500,0.614,0.6065704926976565,44,off-target
500,0.841,0.0,44,off-target noiseless
500,0.075,0.590280122571901,44,target
500,0.114,0.0,44,target noiseless
500,0.853,0.5682976155557675,45,off-target
500,0.628,0.0,45,off-target noiseless
500,0.697,0.562134206178655,45,target
500,0.649,0.0,45,target noiseless
500,0.724,0.5739174051228133,46,off-target
