n,best_std,p_value,seed,type
1000,1.1,0.006242197253433208,0,off-target
1000,0.8500000000000001,0.5942571785268415,0,target
1000,0.8500000000000001,0.16604244694132334,0,off-target no pert
1000,0.8500000000000001,0.018726591760299626,0,target no pert
1000,1.1,0.016229712858926344,1,off-target
1000,0.95,0.25842696629213485,1,target
1000,0.95,0.7440699126092385,1,off-target no pert
1000,0.95,0.8027465667915106,1,target no pert
1000,0.95,0.0,2,off-target
1000,1.05,0.17228464419475656,2,target
1000,1.05,0.533083645443196,2,off-target no pert
1000,1.05,0.11735330836454431,2,target no pert
1000,0.95,0.0,3,off-target
1000,0.9,0.4818976279650437,3,target
1000,0.9,0.7578027465667915,3,off-target no pert
1000,0.9,0.25218476903870163,3,target no pert
1000,0.9,0.7540574282147315,4,off-target
1000,1.2000000000000002,0.9438202247191011,4,target
1000,1.2000000000000002,0.06991260923845194,4,off-target no pert
1000,1.2000000000000002,0.02122347066167291,4,target no pert
1000,1.1,0.08239700374531835,5,off-target
1000,0.8500000000000001,0.18352059925093633,5,target
1000,0.8500000000000001,0.5443196004993758,5,off-target no pert
1000,0.8500000000000001,0.4394506866416979,5,target no pert
1000,1.05,0.04244694132334582,6,off-target
1000,0.95,0.5268414481897628,6,target
1000,0.95,0.4232209737827715,6,off-target no pert
1000,0.95,0.6841448189762797,6,target no pert
1000,1.1,0.0,7,off-target
1000,1.1,0.4656679151061174,7,target
1000,1.1,0.5842696629213483,7,off-target no pert
1000,1.1,0.2459425717852684,7,target no pert
1000,1.05,0.0,8,off-target
1000,0.9,0.6504369538077404,8,target
1000,0.9,0.5717852684144819,8,off-target no pert
1000,0.9,0.5255930087390761,8,target no pert
1000,0.95,0.003745318352059925,9,off-target
1000,1.1,0.7303370786516854,9,target
1000,1.1,0.9625468164794008,9,off-target no pert
1000,1.1,0.9912609238451935,9,target no pert
1000,0.9,0.0012484394506866417,10,off-target
1000,0.95,0.815230961298377,10,target
1000,0.95,0.10861423220973783,10,off-target no pert
1000,0.95,0.41198501872659177,10,target no pert
1000,0.95,0.009987515605493134,11,off-target
1000,0.8500000000000001,0.36704119850187267,11,target
1000,0.8500000000000001,0.20848938826466917,11,off-target no pert
1000,0.8500000000000001,0.4606741573033708,11,target no pert
1000,0.9,0.0,12,off-target
1000,0.7,0.3495630461922597,12,target
1000,0.7,0.24469413233458176,12,off-target no pert
1000,0.7,0.33208489388264667,12,target no pert
1000,0.9,0.0,13,off-target
1000,0.9,0.44818976279650435,13,target
1000,0.9,0.7415730337078652,13,off-target no pert
1000,0.9,0.9263420724094882,13,target no pert
1000,0.9,0.07615480649188515,14,off-target
1000,0.9,0.21098626716604243,14,target
1000,0.9,0.1348314606741573,14,off-target no pert
1000,0.9,0.8002496878901373,14,target no pert
1000,1.05,0.09363295880149813,15,off-target
1000,0.9,0.14232209737827714,15,target
1000,0.9,0.9912609238451935,15,off-target no pert
1000,0.9,0.48564294631710364,15,target no pert
1000,0.9,0.0,16,off-target
1000,0.9,0.24094881398252185,16,target
1000,0.9,0.7390761548064919,16,off-target no pert
1000,0.9,0.9912609238451935,16,target no pert
1000,0.95,0.0,17,off-target
1000,1.0,0.27091136079900124,17,target
1000,1.0,0.6367041198501873,17,off-target no pert
1000,1.0,0.24968789013732834,17,target no pert
1000,0.95,0.0,18,off-target
1000,1.2000000000000002,0.6004993757802747,18,target
1000,1.2000000000000002,0.8888888888888888,18,off-target no pert
1000,1.2000000000000002,0.7578027465667915,18,target no pert
1000,0.9,0.011235955056179775,19,off-target
1000,0.95,0.8177278401997503,19,target
1000,0.95,0.6754057428214731,19,off-target no pert
1000,0.95,0.7740324594257179,19,target no pert
1000,1.1,0.1348314606741573,20,off-target
1000,0.95,0.9250936329588015,20,target
1000,0.95,0.1647940074906367,20,off-target no pert
1000,0.95,0.5181023720349563,20,target no pert
1000,0.95,0.006242197253433208,21,off-target
1000,1.1,0.48813982521847693,21,target
1000,1.1,0.43196004993757803,21,off-target no pert
