n,best_std,p_value,seed,type
1000,1.05,0.6903870162297129,0,off-target
1000,0.7,0.7852684144818977,0,target
1000,0.7,0.24469413233458176,0,off-target no pert
1000,0.7,0.02122347066167291,0,target no pert
1000,0.95,0.06991260923845194,1,off-target
1000,1.1,0.1560549313358302,1,target
1000,1.1,0.6217228464419475,1,off-target no pert
1000,1.1,0.850187265917603,1,target no pert
1000,0.95,0.29213483146067415,2,off-target
1000,1.05,0.23720349563046192,2,target
1000,1.05,0.6466916354556804,2,off-target no pert
1000,1.05,0.11610486891385768,2,target no pert
1000,0.8500000000000001,0.46941323345817726,3,off-target
1000,0.95,0.8526841448189763,3,target
1000,0.95,0.7553058676654182,3,off-target no pert
1000,0.95,0.3383270911360799,3,target no pert
1000,0.95,0.3782771535580524,4,off-target
1000,1.0,0.9862671660424469,4,target
1000,1.0,0.062421972534332085,4,off-target no pert
1000,1.0,0.02372034956304619,4,target no pert
1000,1.05,0.9488139825218477,5,off-target
1000,0.8,0.23845193508114856,5,target
1000,0.8,0.5455680399500624,5,off-target no pert
1000,0.8,0.50187265917603,5,target no pert
1000,1.1,0.15480649188514356,6,off-target
1000,0.75,0.27965043695380776,6,target
1000,0.75,0.5380774032459426,6,off-target no pert
1000,0.75,0.581772784019975,6,target no pert
1000,1.1,0.0898876404494382,7,off-target
1000,0.8500000000000001,0.3121098626716604,7,target
1000,0.8500000000000001,0.48314606741573035,7,off-target no pert
1000,0.8500000000000001,0.3021223470661673,7,target no pert
1000,1.0,0.5867665418227216,8,off-target
1000,1.05,0.704119850187266,8,target
1000,1.05,0.45068664169787764,8,off-target no pert
1000,1.05,0.6142322097378277,8,target no pert
1000,1.05,0.8389513108614233,9,off-target
1000,1.05,0.4419475655430712,9,target
1000,1.05,0.9775280898876404,9,off-target no pert
1000,1.05,0.9962546816479401,9,target no pert
1000,0.9,0.3196004993757803,10,off-target
1000,1.05,0.1947565543071161,10,target
1000,1.05,0.14731585518102372,10,off-target no pert
1000,1.05,0.41198501872659177,10,target no pert
1000,0.8,0.5430711610486891,11,off-target
1000,0.9,0.2671660424469413,11,target
1000,0.9,0.18102372034956304,11,off-target no pert
1000,0.9,0.45942571785268416,11,target no pert
1000,0.95,0.2983770287141074,12,off-target
1000,1.05,0.21722846441947566,12,target
1000,1.05,0.418227215980025,12,off-target no pert
1000,1.05,0.25593008739076156,12,target no pert
1000,0.8500000000000001,0.19101123595505617,13,off-target
1000,0.8500000000000001,0.6928838951310862,13,target
1000,0.8500000000000001,0.6067415730337079,13,off-target no pert
1000,0.8500000000000001,0.8926342072409488,13,target no pert
1000,1.1,0.48813982521847693,14,off-target
1000,0.9,0.14357053682896379,14,target
1000,0.9,0.18726591760299627,14,off-target no pert
1000,0.9,0.9363295880149812,14,target no pert
1000,0.9,0.5742821473158551,15,off-target
1000,1.1,0.16978776529338327,15,target
1000,1.1,0.9563046192259675,15,off-target no pert
1000,1.1,0.5780274656679151,15,target no pert
1000,0.9,0.12234706616729088,16,off-target
1000,0.8500000000000001,0.529338327091136,16,target
1000,0.8500000000000001,0.6004993757802747,16,off-target no pert
1000,0.8500000000000001,0.9900124843945068,16,target no pert
1000,1.0,0.4993757802746567,17,off-target
1000,1.15,0.14107365792759052,17,target
1000,1.15,0.41198501872659177,17,off-target no pert
1000,1.15,0.2247191011235955,17,target no pert
1000,0.9,0.1136079900124844,18,off-target
1000,1.4,0.4631710362047441,18,target
1000,1.4,0.8726591760299626,18,off-target no pert
1000,1.4,0.7802746566791511,18,target no pert
1000,0.95,0.7765293383270911,19,off-target
1000,1.2000000000000002,0.766541822721598,19,target
1000,1.2000000000000002,0.7515605493133583,19,off-target no pert
1000,1.2000000000000002,0.7240948813982522,19,target no pert
1000,1.1,0.6978776529338327,20,off-target
1000,1.0,0.6803995006242197,20,target
1000,1.0,0.2958801498127341,20,off-target no pert
1000,1.0,0.4556803995006242,20,target no pert
1000,1.1,0.7153558052434457,21,off-target
1000,0.8500000000000001,0.7740324594257179,21,target
1000,0.8500000000000001,0.2421972534332085,21,off-target no pert
1000,0.8500000000000001,0.03620474406991261,21,target no pert
1000,1.05,0.07116104868913857,22,off-target
1000,1.2000000000000002,0.11235955056179775,22,target
1000,1.2000000000000002,0.9126092384519351,22,off-target no pert
1000,1.2000000000000002,0.5280898876404494,22,target no pert
1000,0.95,0.2759051186017478,23,off-target
1000,1.05,0.30337078651685395,23,target
1000,1.05,0.9038701622971286,23,off-target no pert
1000,1.05,0.8689138576779026,23,target no pert
1000,1.1,0.9013732833957553,24,off-target
1000,1.1,0.7752808988764045,24,target
1000,1.1,0.8114856429463171,24,off-target no pert
1000,1.1,0.6529338327091136,24,target no pert
1000,1.05,0.352059925093633,25,off-target
1000,0.8500000000000001,0.7465667915106118,25,target
1000,0.8500000000000001,0.6367041198501873,25,off-target no pert
1000,0.8500000000000001,0.29463171036204744,25,target no pert
1000,0.9,0.14731585518102372,26,off-target
1000,0.9,0.7415730337078652,26,target
1000,0.9,0.21348314606741572,26,off-target no pert
1000,0.9,0.7415730337078652,26,target no pert
1000,0.9,0.031210986267166042,27,off-target
1000,1.2000000000000002,0.8876404494382022,27,target
1000,1.2000000000000002,0.5131086142322098,27,off-target no pert
1000,1.2000000000000002,0.42946317103620474,27,target no pert
1000,0.95,0.13607990012484394,28,off-target
1000,0.95,0.1647940074906367,28,target
1000,0.95,0.4781523096129838,28,off-target no pert
1000,0.95,0.8664169787765293,28,target no pert
1000,0.9,0.3707865168539326,29,off-target
1000,0.9,0.978776529338327,29,target
1000,0.9,0.08364544319600499,29,off-target no pert
1000,0.9,0.8739076154806492,29,target no pert
1000,0.95,0.14856429463171036,30,off-target
1000,1.15,0.06367041198501873,30,target
1000,1.15,0.7528089887640449,30,off-target no pert
1000,1.15,0.9338327091136079,30,target no pert
1000,1.05,0.24469413233458176,31,off-target
1000,1.0,0.6691635455680399,31,target
1000,1.0,0.46441947565543074,31,off-target no pert
1000,1.0,0.11735330836454431,31,target no pert
1000,0.9,0.25593008739076156,32,off-target
1000,0.9,0.8127340823970037,32,target
1000,0.9,0.26217228464419473,32,off-target no pert
1000,0.9,0.1735330836454432,32,target no pert
1000,1.05,0.4769038701622971,33,off-target
1000,1.1,0.16104868913857678,33,target
1000,1.1,0.8639200998751561,33,off-target no pert
1000,1.1,0.916354556803995,33,target no pert
1000,1.1,0.599250936329588,34,off-target
1000,1.0,0.49563046192259674,34,target
1000,1.0,0.21972534332084895,34,off-target no pert
1000,1.0,0.5692883895131086,34,target no pert
1000,1.2000000000000002,0.2184769038701623,35,off-target
1000,0.9,0.9625468164794008,35,target
1000,0.9,0.6641697877652933,35,off-target no pert
1000,0.9,0.7253433208489388,35,target no pert
1000,1.05,0.27340823970037453,36,off-target
