n,best_std,p_value,seed,type
1000,0.8500000000000001,0.0,0,off-target
1000,0.95,0.06491885143570537,0,target
1000,0.95,0.766541822721598,0,off-target no pert
1000,0.95,0.529338327091136,0,target no pert
1000,1.15,0.0,1,off-target
1000,1.05,0.5443196004993758,1,target
1000,1.05,0.0599250936329588,1,off-target no pert
1000,1.05,0.7428214731585518,1,target no pert
1000,0.9,0.009987515605493134,2,off-target
1000,0.8,0.01373283395755306,2,target
1000,0.8,0.5667915106117354,2,off-target no pert
1000,0.8,0.6566791510611736,2,target no pert
1000,0.8500000000000001,0.0,3,off-target
1000,1.0,0.3782771535580524,3,target
1000,1.0,0.18851435705368288,3,off-target no pert
1000,1.0,0.6017478152309613,3,target no pert
1000,0.8500000000000001,0.0,4,off-target
1000,0.95,0.1947565543071161,4,target
1000,0.95,0.8926342072409488,4,off-target no pert
1000,0.95,0.7091136079900124,4,target no pert
1000,1.25,0.06991260923845194,5,off-target
1000,1.05,0.6641697877652933,5,target
1000,1.05,0.25593008739076156,5,off-target no pert
1000,1.05,0.2034956304619226,5,target no pert
1000,1.1,0.11735330836454431,6,off-target
1000,0.8500000000000001,0.250936329588015,6,target
1000,0.8500000000000001,0.630461922596754,6,off-target no pert
1000,0.8500000000000001,0.011235955056179775,6,target no pert
1000,1.1,0.0,7,off-target
1000,1.0,0.8601747815230961,7,target
1000,1.0,0.5580524344569289,7,off-target no pert
1000,1.0,0.787765293383271,7,target no pert
1000,1.15,0.03620474406991261,8,off-target
1000,1.0,0.3895131086142322,8,target
1000,1.0,0.6104868913857678,8,off-target no pert
1000,1.0,0.6092384519350812,8,target no pert
1000,0.8,0.0,9,off-target
1000,0.75,0.3146067415730337,9,target
1000,0.75,0.6591760299625468,9,off-target no pert
1000,0.75,0.9662921348314607,9,target no pert
1000,0.9,0.0024968789013732834,10,off-target
1000,0.95,0.8414481897627965,10,target
1000,0.95,0.8214731585518102,10,off-target no pert
1000,0.95,0.8701622971285893,10,target no pert
1000,0.8500000000000001,0.0,11,off-target
1000,1.05,0.4868913857677903,11,target
1000,1.05,0.4556803995006242,11,off-target no pert
1000,1.05,0.9176029962546817,11,target no pert
1000,1.1,0.14107365792759052,12,off-target
1000,0.95,0.33083645443196,12,target
1000,0.95,0.27091136079900124,12,off-target no pert
1000,0.95,0.1947565543071161,12,target no pert
1000,0.8,0.00749063670411985,13,off-target
1000,0.8,0.5318352059925093,13,target
1000,0.8,0.8289637952559301,13,off-target no pert
1000,0.8,0.7952559300873908,13,target no pert
1000,1.05,0.039950062421972535,14,off-target
1000,1.15,0.581772784019975,14,target
1000,1.15,0.2634207240948814,14,off-target no pert
1000,1.15,0.48813982521847693,14,target no pert
1000,0.8500000000000001,0.0,15,off-target
1000,0.95,0.5767790262172284,15,target
1000,0.95,0.818976279650437,15,off-target no pert
1000,0.95,0.815230961298377,15,target no pert
1000,0.8,0.0,16,off-target
1000,1.0,0.9063670411985019,16,target
1000,1.0,0.6579275905118602,16,off-target no pert
1000,1.0,0.6067415730337079,16,target no pert
1000,1.1,0.003745318352059925,17,off-target
1000,1.05,0.07240948813982521,17,target
1000,1.05,0.43196004993757803,17,off-target no pert
1000,1.05,0.5318352059925093,17,target no pert
1000,1.15,0.0,18,off-target
1000,1.2000000000000002,0.44069912609238454,18,target
1000,1.2000000000000002,0.6254681647940075,18,off-target no pert
1000,1.2000000000000002,0.8202247191011236,18,target no pert
1000,0.8500000000000001,0.017478152309612985,19,off-target
1000,0.95,0.13982521847690388,19,target
1000,0.95,0.2571785268414482,19,off-target no pert
1000,0.95,0.8789013732833958,19,target no pert
1000,1.2000000000000002,0.0012484394506866417,20,off-target
1000,0.95,0.2846441947565543,20,target
1000,0.95,0.5742821473158551,20,off-target no pert
1000,0.95,0.7128589263420724,20,target no pert
1000,1.15,0.0012484394506866417,21,off-target
1000,1.05,0.2222222222222222,21,target
1000,1.05,0.6017478152309613,21,off-target no pert
1000,1.05,0.5555555555555556,21,target no pert
1000,0.8,0.0,22,off-target
1000,1.05,0.5131086142322098,22,target
1000,1.05,0.34831460674157305,22,off-target no pert
1000,1.05,0.5468164794007491,22,target no pert
1000,0.8500000000000001,0.0024968789013732834,23,off-target
1000,1.05,0.009987515605493134,23,target
1000,1.05,0.5742821473158551,23,off-target no pert
1000,1.05,0.49063670411985016,23,target no pert
1000,0.8500000000000001,0.0012484394506866417,24,off-target
1000,1.05,0.8776529338327091,24,target
1000,1.05,0.581772784019975,24,off-target no pert
1000,1.05,0.8426966292134831,24,target no pert
1000,0.9,0.08489388264669163,25,off-target
1000,1.15,0.7328339575530587,25,target
1000,1.15,0.9937578027465668,25,off-target no pert
1000,1.15,0.27965043695380776,25,target no pert
1000,0.8500000000000001,0.006242197253433208,26,off-target
1000,1.0,0.1797752808988764,26,target
1000,1.0,0.19101123595505617,26,off-target no pert
1000,1.0,0.6754057428214731,26,target no pert
1000,0.8500000000000001,0.004993757802746567,27,off-target
1000,0.9,0.1136079900124844,27,target
1000,0.9,0.3920099875156055,27,off-target no pert
1000,0.9,0.08489388264669163,27,target no pert
