n,p_value,seed,type
500,0.0,0,off-target
500,0.402,0,target
500,0.0,1,off-target
500,0.755,1,target
500,0.0,2,off-target
500,0.828,2,target
500,0.0,3,off-target
500,0.353,3,target
500,0.0,4,off-target
500,0.026,4,target
500,0.0,5,off-target
500,0.964,5,target
500,0.0,6,off-target
500,0.732,6,target
500,0.0,7,off-target
500,0.56,7,target
500,0.0,8,off-target
500,0.619,8,target
500,0.0,9,off-target
500,0.362,9,target
500,0.0,10,off-target
500,0.481,10,target
500,0.0,11,off-target
500,0.774,11,target
500,0.0,12,off-target
500,0.89,12,target
500,0.0,13,off-target
500,0.279,13,target
500,0.0,14,off-target
500,0.671,14,target
500,0.0,15,off-target
500,0.485,15,target
500,0.0,16,off-target
500,0.065,16,target
500,0.0,17,off-target
500,0.266,17,target
500,0.0,18,off-target
500,0.449,18,target
500,0.0,19,off-target
500,0.227,19,target
500,0.0,20,off-target
500,0.203,20,target
500,0.0,21,off-target
500,0.961,21,target
500,0.0,22,off-target
500,0.455,22,target
500,0.0,23,off-target
500,0.725,23,target
500,0.0,24,off-target
500,0.107,24,target
500,0.0,25,off-target
500,0.251,25,target
500,0.0,26,off-target
500,0.706,26,target
500,0.0,27,off-target
500,0.504,27,target
500,0.0,28,off-target
500,0.703,28,target
500,0.0,29,off-target
500,0.471,29,target
500,0.0,30,off-target
500,0.378,30,target
500,0.0,31,off-target
500,0.906,31,target
500,0.0,32,off-target
500,0.395,32,target
500,0.0,33,off-target
500,0.51,33,target
500,0.0,34,off-target
500,0.587,34,target
500,0.0,35,off-target
500,0.53,35,target
500,0.0,36,off-target
500,0.741,36,target
500,0.0,37,off-target
500,0.254,37,target
500,0.0,38,off-target
500,0.327,38,target
500,0.0,39,off-target
500,0.853,39,target
500,0.0,40,off-target
500,0.229,40,target
500,0.0,41,off-target
500,0.506,41,target
500,0.0,42,off-target
500,0.13,42,target
500,0.0,43,off-target
500,0.968,43,target
500,0.0,44,off-target
500,0.335,44,target
500,0.0,45,off-target
500,0.683,45,target
500,0.0,46,off-target
500,0.04,46,target
500,0.0,47,off-target
500,0.06,47,target
500,0.0,48,off-target
500,0.137,48,target
500,0.0,49,off-target
500,0.43,49,target
500,0.0,50,off-target
500,0.632,50,target
500,0.0,51,off-target
500,0.806,51,target
500,0.0,52,off-target
500,0.658,52,target
500,0.0,53,off-target
500,0.008,53,target
500,0.0,54,off-target
500,0.66,54,target
500,0.0,55,off-target
500,0.739,55,target
500,0.0,56,off-target
500,0.802,56,target
500,0.0,57,off-target
500,0.011,57,target
500,0.0,58,off-target
500,0.466,58,target
500,0.0,59,off-target
500,0.341,59,target
500,0.0,60,off-target
500,0.382,60,target
500,0.0,61,off-target
500,0.43,61,target
500,0.0,62,off-target
500,0.129,62,target
500,0.0,63,off-target
500,0.313,63,target
500,0.0,64,off-target
500,0.665,64,target
500,0.0,65,off-target
500,0.243,65,target
500,0.0,66,off-target
500,0.354,66,target
500,0.0,67,off-target
500,0.42,67,target
500,0.0,68,off-target
500,0.528,68,target
500,0.0,69,off-target
500,0.054,69,target
500,0.0,70,off-target
500,0.596,70,target
500,0.0,71,off-target
500,0.286,71,target
500,0.0,72,off-target
500,0.064,72,target
500,0.0,73,off-target
500,0.181,73,target
500,0.0,74,off-target
500,0.738,74,target
500,0.0,75,off-target
500,0.932,75,target
500,0.0,76,off-target
500,0.874,76,target
500,0.0,77,off-target
500,0.174,77,target
500,0.0,78,off-target
500,0.858,78,target
500,0.0,79,off-target
500,0.625,79,target
500,0.0,80,off-target
500,0.119,80,target
500,0.0,81,off-target
500,0.728,81,target
500,0.0,82,off-target
500,0.453,82,target
500,0.0,83,off-target
500,0.339,83,target
500,0.0,84,off-target
500,0.602,84,target
500,0.0,85,off-target
500,0.605,85,target
500,0.0,86,off-target
500,0.407,86,target
500,0.0,87,off-target
500,0.539,87,target
500,0.0,88,off-target
500,0.382,88,target
500,0.0,89,off-target
500,0.725,89,target
500,0.0,90,off-target
500,0.311,90,target
500,0.0,91,off-target
500,0.789,91,target
500,0.0,92,off-target
500,0.517,92,target
500,0.0,93,off-target
500,0.16,93,target
500,0.0,94,off-target
500,0.333,94,target
500,0.0,95,off-target
500,0.457,95,target
500,0.0,96,off-target
500,0.405,96,target
500,0.0,97,off-target
500,0.149,97,target
500,0.0,98,off-target
500,0.33,98,target
500,0.0,99,off-target
500,0.596,99,target
500,0.0,100,off-target
500,0.7,100,target
500,0.0,101,off-target
500,0.903,101,target
500,0.0,102,off-target
500,0.703,102,target
500,0.0,103,off-target
500,0.282,103,target
500,0.0,104,off-target
500,0.243,104,target
500,0.0,105,off-target
500,0.955,105,target
500,0.0,106,off-target
500,0.08,106,target
500,0.0,107,off-target
500,0.255,107,target
500,0.0,108,off-target
500,0.573,108,target
500,0.0,109,off-target
500,0.318,109,target
500,0.0,110,off-target
500,0.107,110,target
500,0.0,111,off-target
500,0.13,111,target
500,0.0,112,off-target
500,0.178,112,target
500,0.0,113,off-target
500,0.936,113,target
500,0.0,114,off-target
500,0.458,114,target
500,0.0,115,off-target
500,0.89,115,target
500,0.0,116,off-target
500,0.111,116,target
500,0.0,117,off-target
500,0.759,117,target
500,0.0,118,off-target
500,0.174,118,target
500,0.0,119,off-target
500,0.451,119,target
500,0.0,120,off-target
500,0.741,120,target
500,0.0,121,off-target
500,0.649,121,target
500,0.0,122,off-target
500,0.283,122,target
500,0.0,123,off-target
500,0.312,123,target
500,0.0,124,off-target
500,0.124,124,target
500,0.0,125,off-target
500,0.405,125,target
500,0.0,126,off-target
500,0.68,126,target
500,0.0,127,off-target
500,0.32,127,target
500,0.0,128,off-target
500,0.842,128,target
500,0.0,129,off-target
500,0.464,129,target
500,0.0,130,off-target
500,0.735,130,target
500,0.0,131,off-target
500,0.869,131,target
500,0.0,132,off-target
500,0.391,132,target
500,0.0,133,off-target
500,0.858,133,target
500,0.0,134,off-target
500,0.896,134,target
500,0.0,135,off-target
500,0.62,135,target
500,0.0,136,off-target
500,0.735,136,target
500,0.0,137,off-target
500,0.774,137,target
500,0.0,138,off-target
500,0.984,138,target
500,0.0,139,off-target
500,0.41,139,target
500,0.0,140,off-target
500,0.274,140,target
500,0.0,141,off-target
500,0.059,141,target
500,0.0,142,off-target
500,0.619,142,target
500,0.0,143,off-target
500,0.613,143,target
500,0.0,144,off-target
500,0.322,144,target
500,0.0,145,off-target
500,0.176,145,target
500,0.0,146,off-target
500,0.906,146,target
500,0.0,147,off-target
500,0.409,147,target
500,0.0,148,off-target
500,0.403,148,target
500,0.0,149,off-target
500,0.334,149,target
500,0.0,150,off-target
500,0.198,150,target
500,0.0,151,off-target
500,0.215,151,target
500,0.0,152,off-target
500,0.423,152,target
