n,p_value,seed,type
500,0.304,0,off-target
500,0.263,0,target
500,0.89,1,off-target
500,0.283,1,target
500,0.547,2,off-target
500,0.414,2,target
500,0.567,3,off-target
500,0.585,3,target
500,0.914,4,off-target
500,0.212,4,target
500,0.22,5,off-target
500,0.812,5,target
500,0.068,6,off-target
500,0.957,6,target
500,0.123,7,off-target
500,0.084,7,target
500,0.219,8,off-target
500,0.657,8,target
500,0.387,9,off-target
500,0.843,9,target
500,0.748,10,off-target
500,0.934,10,target
500,0.532,11,off-target
500,0.405,11,target
500,0.515,12,off-target
500,0.934,12,target
500,0.737,13,off-target
500,0.232,13,target
500,0.41,14,off-target
500,0.034,14,target
500,0.008,15,off-target
500,0.986,15,target
500,0.013,16,off-target
500,0.521,16,target
500,0.237,17,off-target
500,0.905,17,target
500,0.202,18,off-target
500,0.392,18,target
500,0.03,19,off-target
500,0.466,19,target
500,0.625,20,off-target
500,0.516,20,target
500,0.431,21,off-target
500,0.898,21,target
500,0.038,22,off-target
500,0.663,22,target
500,0.488,23,off-target
500,0.444,23,target
500,0.922,24,off-target
500,0.74,24,target
500,0.084,25,off-target
500,0.894,25,target
500,0.904,26,off-target
500,0.971,26,target
500,0.27,27,off-target
500,0.387,27,target
500,0.784,28,off-target
500,0.017,28,target
500,0.028,29,off-target
500,0.572,29,target
500,0.9,30,off-target
500,0.776,30,target
500,0.052,31,off-target
500,0.225,31,target
500,0.147,32,off-target
500,0.541,32,target
500,0.813,33,off-target
500,0.551,33,target
500,0.146,34,off-target
500,0.303,34,target
500,0.631,35,off-target
500,0.046,35,target
500,0.775,36,off-target
500,0.079,36,target
500,0.887,37,off-target
500,0.03,37,target
500,0.291,38,off-target
500,0.631,38,target
500,0.787,39,off-target
500,0.545,39,target
500,0.28,40,off-target
500,0.777,40,target
500,0.864,41,off-target
500,0.8,41,target
500,0.935,42,off-target
500,0.759,42,target
500,0.259,43,off-target
500,0.596,43,target
500,0.6,44,off-target
500,0.947,44,target
500,0.857,45,off-target
500,0.224,45,target
500,0.767,46,off-target
500,0.756,46,target
500,0.138,47,off-target
500,0.371,47,target
500,0.355,48,off-target
500,0.771,48,target
500,0.806,49,off-target
500,0.902,49,target
500,0.442,50,off-target
500,0.06,50,target
500,0.336,51,off-target
500,0.636,51,target
500,0.208,52,off-target
500,0.412,52,target
500,0.786,53,off-target
500,0.898,53,target
500,0.036,54,off-target
500,0.857,54,target
500,0.366,55,off-target
500,0.421,55,target
500,0.382,56,off-target
500,0.053,56,target
500,0.889,57,off-target
500,0.461,57,target
500,0.731,58,off-target
500,0.287,58,target
500,0.531,59,off-target
500,0.667,59,target
500,0.017,60,off-target
500,0.831,60,target
500,0.092,61,off-target
500,0.785,61,target
500,0.873,62,off-target
500,0.266,62,target
500,0.651,63,off-target
500,0.356,63,target
500,0.059,64,off-target
500,0.426,64,target
500,0.739,65,off-target
500,0.45,65,target
500,0.639,66,off-target
500,0.509,66,target
500,0.936,67,off-target
500,0.92,67,target
500,0.521,68,off-target
500,0.826,68,target
500,0.606,69,off-target
500,0.089,69,target
500,0.925,70,off-target
500,0.763,70,target
500,0.832,71,off-target
500,0.502,71,target
500,0.684,72,off-target
500,0.713,72,target
500,0.198,73,off-target
500,0.112,73,target
500,0.699,74,off-target
500,0.78,74,target
500,0.056,75,off-target
500,0.681,75,target
500,0.28,76,off-target
500,0.258,76,target
500,0.484,77,off-target
500,0.831,77,target
500,0.48,78,off-target
500,0.777,78,target
500,0.009,79,off-target
500,0.641,79,target
500,0.102,80,off-target
500,0.327,80,target
500,0.954,81,off-target
500,0.717,81,target
500,0.274,82,off-target
500,0.149,82,target
500,0.755,83,off-target
500,0.556,83,target
500,0.357,84,off-target
500,0.91,84,target
500,0.592,85,off-target
500,0.555,85,target
500,0.236,86,off-target
500,0.457,86,target
500,0.9,87,off-target
500,0.615,87,target
500,0.678,88,off-target
500,0.001,88,target
500,0.961,89,off-target
500,0.239,89,target
500,0.583,90,off-target
500,0.807,90,target
500,0.758,91,off-target
500,0.079,91,target
500,0.692,92,off-target
500,0.33,92,target
500,0.505,93,off-target
500,0.422,93,target
500,0.161,94,off-target
500,0.886,94,target
500,0.671,95,off-target
500,0.023,95,target
500,0.357,96,off-target
500,0.484,96,target
500,0.245,97,off-target
500,0.119,97,target
500,0.918,98,off-target
500,0.963,98,target
500,0.097,99,off-target
500,0.02,99,target
500,0.145,100,off-target
500,0.299,100,target
500,0.031,101,off-target
500,0.8,101,target
500,0.591,102,off-target
500,0.088,102,target
500,0.17,103,off-target
500,0.129,103,target
500,0.839,104,off-target
500,0.864,104,target
500,0.059,105,off-target
500,0.532,105,target
500,0.937,106,off-target
500,0.039,106,target
500,0.432,107,off-target
500,0.774,107,target
500,0.323,108,off-target
500,0.44,108,target
500,0.175,109,off-target
