n,ksd,var_est,seed,type
10,0.7066095,0.003761585258615918,0,off-target
10,0.29413152,0.003761585258615918,0,target
10,0.62752783,0.005687908876471026,1,off-target
10,0.6926253,0.005687908876471026,1,target
10,0.3737396,0.5364328972433583,2,off-target
10,0.42093712,0.5364328972433583,2,target
10,0.50786006,0.0007989394628661467,3,off-target
10,0.32369053,0.0007989394628661467,3,target
10,0.5751685,0.0023386684670834157,4,off-target
10,1.0587201,0.0023386684670834157,4,target
10,0.62459683,0.21474926084119605,5,off-target
10,0.6943305,0.21474926084119605,5,target
10,1.0219471,0.0003269852086895987,6,off-target
10,0.7323588,0.0003269852086895987,6,target
10,0.5202682,5.6312040666334435e-05,7,off-target
10,0.38177112,5.6312040666334435e-05,7,target
10,0.9522066,4.2249354011054474e-05,8,off-target
10,0.7759669,4.2249354011054474e-05,8,target
10,0.69403,2.7810082119973656e-06,9,off-target
10,0.6530483,2.7810082119973656e-06,9,target
20,0.56720036,24729.338120863773,0,off-target
20,0.21679583,24729.338120863773,0,target
20,0.22475193,0.8918712316663004,1,off-target
20,0.28024045,0.8918712316663004,1,target
20,0.47438154,1.9869030762031427e-05,2,off-target
20,0.19834134,1.9869030762031427e-05,2,target
20,0.061681777,28.080161822727177,3,off-target
20,0.10077466,28.080161822727177,3,target
20,0.39120436,104263.4403562583,4,off-target
20,0.23095633,104263.4403562583,4,target
20,0.23769635,513815.69758811966,5,off-target
20,0.28751147,513815.69758811966,5,target
20,0.13004237,54.65060614120739,6,off-target
20,0.09190879,54.65060614120739,6,target
20,0.41702104,3.655960383639576e-06,7,off-target
20,0.411253,3.655960383639576e-06,7,target
20,0.48703665,1.4996499956601052e-05,8,off-target
20,0.2738941,1.4996499956601052e-05,8,target
20,0.28289795,6.753981680312582e-06,9,off-target
20,0.10567474,6.753981680312582e-06,9,target
40,0.14996405,361724.86387969553,0,off-target
40,0.1963453,361724.86387969553,0,target
40,0.20328744,4.014456368578933e-06,1,off-target
40,0.0735322,4.014456368578933e-06,1,target
40,0.24868791,5.688521163667916e-07,2,off-target
40,0.16779293,5.688521163667916e-07,2,target
40,0.23076245,0.0001239627940247826,3,off-target
40,0.22405387,0.0001239627940247826,3,target
40,0.124062054,461202.5584624149,4,off-target
40,0.20124754,461202.5584624149,4,target
40,0.07355275,126161.04346969072,5,off-target
40,0.12661198,126161.04346969072,5,target
40,0.21051495,5.273470125814251e-05,6,off-target
40,0.056049895,5.273470125814251e-05,6,target
40,0.19057079,52883.66092981398,7,off-target
40,0.28538585,52883.66092981398,7,target
40,0.07831889,35317.18892437313,8,off-target
40,0.16798215,35317.18892437313,8,target
40,0.38839945,3.970542828553304e-07,9,off-target
40,0.115617365,3.970542828553304e-07,9,target
60,0.22684757,1.6847517985082517e-05,0,off-target
60,0.04601935,1.6847517985082517e-05,0,target
60,0.14244325,4.3290204168865165e-06,1,off-target
60,0.052637253,4.3290204168865165e-06,1,target
60,0.14217733,0.001025829107015444,2,off-target
60,0.18514246,0.001025829107015444,2,target
60,0.06369118,1.7342064840960994e-05,3,off-target
60,0.14650361,1.7342064840960994e-05,3,target
60,0.15410395,3.924895856894728e-06,4,off-target
60,0.307819,3.924895856894728e-06,4,target
60,0.051972125,0.24680346439411327,5,off-target
60,0.05580087,0.24680346439411327,5,target
60,0.17970274,2.2991967650907858e-07,6,off-target
60,0.12246438,2.2991967650907858e-07,6,target
60,0.083898544,6.075679789509431e-07,7,off-target
60,0.10055253,6.075679789509431e-07,7,target
60,0.06409608,3.4708956562151273e-07,8,off-target
60,0.05162502,3.4708956562151273e-07,8,target
60,0.048675448,7903.73660453601,9,off-target
60,0.056635704,7903.73660453601,9,target
80,0.06029181,1.7497689729289337e-07,0,off-target
80,0.17420018,1.7497689729289337e-07,0,target
80,0.08139944,3.785263442388325e-08,1,off-target
80,0.08363588,3.785263442388325e-08,1,target
80,0.14492999,1.8496788323218993e-06,2,off-target
80,0.033350598,1.8496788323218993e-06,2,target
80,0.079884246,3.0435222046640504e-07,3,off-target
80,0.112633064,3.0435222046640504e-07,3,target
80,0.10148513,3.601400255945705e-07,4,off-target
80,0.09999048,3.601400255945705e-07,4,target
80,0.063477755,3.406321402311106e-05,5,off-target
80,0.109987125,3.406321402311106e-05,5,target
80,0.10483205,4.7561384822918974e-07,6,off-target
80,0.084203705,4.7561384822918974e-07,6,target
80,0.24082129,2.670287331190714e-06,7,off-target
80,0.07494068,2.670287331190714e-06,7,target
80,0.10170537,1.9611079646635667e-06,8,off-target
80,0.161947,1.9611079646635667e-06,8,target
80,0.09487739,0.0015614440443963012,9,off-target
80,0.044081315,0.0015614440443963012,9,target
100,0.09504904,4.791074431551589e-07,0,off-target
100,0.08426834,4.791074431551589e-07,0,target
100,0.044032022,7.874888930109724e-07,1,off-target
100,0.07534755,7.874888930109724e-07,1,target
100,0.023493232,1.8125227680488632e-06,2,off-target
100,0.06802755,1.8125227680488632e-06,2,target
100,0.14395757,8.410300256719386e-08,3,off-target
100,0.081583865,8.410300256719386e-08,3,target
100,0.07138334,1.9146020229133956e-07,4,off-target
100,0.02386769,1.9146020229133956e-07,4,target
100,0.022263072,23.858470941260975,5,off-target
100,0.017873427,23.858470941260975,5,target
100,0.102709055,2.9605934738932517e-08,6,off-target
100,0.036608182,2.9605934738932517e-08,6,target
100,0.08741422,3749670.1105499864,7,off-target
100,0.07176965,3749670.1105499864,7,target
100,0.059973583,2.167860391668686e-06,8,off-target
