t,ksd,seed,type
0,0.017870938,0,off-target
0,0.013095313,0,target
1,0.017916046,0,off-target
1,0.013216187,0,target
2,0.019265031,0,off-target
2,0.012510188,0,target
3,0.019424375,0,off-target
3,0.012600297,0,target
4,0.023041343,0,off-target
4,0.012709625,0,target
5,0.025825484,0,off-target
5,0.011893984,0,target
6,0.02705625,0,off-target
6,0.015178765,0,target
7,0.025296234,0,off-target
7,0.014776016,0,target
8,0.024613297,0,off-target
8,0.012721805,0,target
9,0.026353344,0,off-target
9,0.0122986715,0,target
10,0.025336297,0,off-target
10,0.0139027815,0,target
11,0.024376828,0,off-target
11,0.01490186,0,target
12,0.021262266,0,off-target
12,0.014132937,0,target
13,0.022833172,0,off-target
13,0.015716156,0,target
14,0.022354469,0,off-target
14,0.014977774,0,target
15,0.021580562,0,off-target
15,0.014770273,0,target
16,0.023257969,0,off-target
16,0.014148047,0,target
17,0.021953687,0,off-target
17,0.014676187,0,target
18,0.02274286,0,off-target
18,0.016310796,0,target
19,0.023915203,0,off-target
19,0.014419703,0,target
20,0.024549672,0,off-target
20,0.013788695,0,target
21,0.02288128,0,off-target
21,0.012390539,0,target
22,0.023382204,0,off-target
22,0.012407508,0,target
23,0.021745766,0,off-target
23,0.012729398,0,target
24,0.022486469,0,off-target
24,0.012991141,0,target
25,0.023807265,0,off-target
25,0.014637883,0,target
26,0.024889141,0,off-target
26,0.015047484,0,target
27,0.026124798,0,off-target
27,0.013544188,0,target
28,0.027127797,0,off-target
28,0.015467898,0,target
29,0.02849414,0,off-target
29,0.01495361,0,target
30,0.027462078,0,off-target
30,0.01511275,0,target
31,0.028501265,0,off-target
31,0.013684922,0,target
32,0.031821687,0,off-target
32,0.012000031,0,target
33,0.030610735,0,off-target
33,0.01137532,0,target
34,0.030488376,0,off-target
34,0.011409937,0,target
35,0.029036015,0,off-target
35,0.0100704925,0,target
36,0.030407578,0,off-target
36,0.0096754925,0,target
37,0.029587546,0,off-target
37,0.011168609,0,target
38,0.030290203,0,off-target
38,0.012009898,0,target
39,0.029061671,0,off-target
39,0.013149304,0,target
40,0.0288045,0,off-target
40,0.0127203595,0,target
41,0.02685753,0,off-target
41,0.011199695,0,target
42,0.02614836,0,off-target
42,0.009887625,0,target
43,0.026689218,0,off-target
43,0.00916839,0,target
44,0.028019577,0,off-target
44,0.008850383,0,target
45,0.024806157,0,off-target
45,0.010827141,0,target
46,0.023188062,0,off-target
46,0.009796367,0,target
47,0.024258906,0,off-target
47,0.008807993,0,target
