t,ksd,seed,type
0,0.017500719,0,off-target
0,0.0075176563,0,target
1,0.012826031,0,off-target
1,0.00737475,0,target
2,0.0125004845,0,off-target
2,0.007548707,0,target
3,0.013402797,0,off-target
3,0.011865821,0,target
4,0.016811015,0,off-target
4,0.0105120195,0,target
5,0.010399172,0,off-target
5,0.0073506446,0,target
6,0.0062080156,0,off-target
6,0.007200168,0,target
7,0.0059117186,0,off-target
7,0.008619981,0,target
8,0.0069659217,0,off-target
8,0.008138308,0,target
9,0.0050940313,0,off-target
9,0.012795024,0,target
10,0.011341703,0,off-target
10,0.007846453,0,target
11,0.009045547,0,off-target
11,0.0061719217,0,target
12,0.0047695157,0,off-target
12,0.010413684,0,target
13,0.004569672,0,off-target
13,0.004461383,0,target
14,0.006682453,0,off-target
14,0.010695102,0,target
15,0.014370844,0,off-target
15,0.00658957,0,target
16,0.008414937,0,off-target
16,0.00793561,0,target
17,0.007830531,0,off-target
17,0.007151117,0,target
18,0.010392938,0,off-target
18,0.005146844,0,target
19,0.012384531,0,off-target
19,0.0063045584,0,target
20,0.0079513285,0,off-target
20,0.0033862032,0,target
21,0.0059265625,0,off-target
21,0.0073655588,0,target
22,0.008975406,0,off-target
22,0.008911914,0,target
23,0.011171703,0,off-target
23,0.004408961,0,target
24,0.009478172,0,off-target
24,0.009811438,0,target
25,0.0067845937,0,off-target
25,0.015146551,0,target
26,0.012973766,0,off-target
26,0.01436739,0,target
27,0.015770266,0,off-target
27,0.014363672,0,target
28,0.01706314,0,off-target
28,0.005504039,0,target
29,0.007416344,0,off-target
29,0.010734754,0,target
30,0.011936797,0,off-target
30,0.012444867,0,target
31,0.013108734,0,off-target
31,0.005893164,0,target
32,0.008519688,0,off-target
32,0.009081918,0,target
33,0.0050860937,0,off-target
33,0.008174305,0,target
34,0.015003469,0,off-target
34,0.010668621,0,target
35,0.010996468,0,off-target
35,0.0037404844,0,target
36,0.0060345624,0,off-target
36,0.004283168,0,target
37,0.010406344,0,off-target
37,0.013372641,0,target
38,0.012943843,0,off-target
38,0.011100363,0,target
39,0.0066917967,0,off-target
39,0.013282942,0,target
40,0.011162125,0,off-target
40,0.0054108007,0,target
41,0.009701297,0,off-target
41,0.01854646,0,target
42,0.006921578,0,off-target
42,0.015447344,0,target
43,0.011843485,0,off-target
43,0.013296785,0,target
44,0.009875984,0,off-target
44,0.009486148,0,target
45,0.006687547,0,off-target
45,0.01303839,0,target
46,0.009274422,0,off-target
46,0.011522441,0,target
47,0.013530875,0,off-target
47,0.025545882,0,target
48,0.0182545,0,off-target
48,0.013064329,0,target
49,0.010593219,0,off-target
49,0.013009637,0,target
50,0.016292328,0,off-target
50,0.020037344,0,target
51,0.018028187,0,off-target
51,0.009545047,0,target
52,0.00993364,0,off-target
52,0.011032515,0,target
53,0.009660313,0,off-target
53,0.005656379,0,target
54,0.009211719,0,off-target
54,0.007257875,0,target
55,0.012916969,0,off-target
55,0.0038551954,0,target
56,0.012635578,0,off-target
56,0.009066484,0,target
57,0.027094532,0,off-target
57,0.014165808,0,target
58,0.019081827,0,off-target
58,0.013866391,0,target
59,0.012710859,0,off-target
59,0.009619277,0,target
60,0.0058373907,0,off-target
60,0.009891101,0,target
61,0.022322109,0,off-target
61,0.0071499688,0,target
62,0.008138844,0,off-target
62,0.0068177306,0,target
63,0.0062464685,0,off-target
63,0.005347418,0,target
64,0.009874266,0,off-target
64,0.01075023,0,target
65,0.018124077,0,off-target
65,0.013267093,0,target
66,0.016338157,0,off-target
66,0.018295882,0,target
67,0.025684312,0,off-target
67,0.011779047,0,target
68,0.02415375,0,off-target
68,0.0068416134,0,target
69,0.014141468,0,off-target
69,0.006941297,0,target
70,0.007842,0,off-target
70,0.008014801,0,target
71,0.007103766,0,off-target
71,0.007424664,0,target
72,0.009397734,0,off-target
72,0.020320082,0,target
73,0.010614937,0,off-target
73,0.020972453,0,target
74,0.0084355315,0,off-target
74,0.015749164,0,target
75,0.009368594,0,off-target
75,0.007288242,0,target
76,0.009875485,0,off-target
76,0.015090778,0,target
77,0.0069630626,0,off-target
77,0.010117977,0,target
78,0.005656703,0,off-target
78,0.011496183,0,target
79,0.0067982655,0,off-target
79,0.007396324,0,target
80,0.007778672,0,off-target
80,0.010686172,0,target
81,0.010616938,0,off-target
81,0.009072812,0,target
82,0.0066298596,0,off-target
82,0.006289043,0,target
83,0.010137094,0,off-target
83,0.0077319923,0,target
84,0.013622062,0,off-target
84,0.0098811835,0,target
85,0.019323703,0,off-target
85,0.0037537774,0,target
86,0.007096375,0,off-target
86,0.005218262,0,target
87,0.008814813,0,off-target
87,0.0053980118,0,target
88,0.007653547,0,off-target
88,0.0073276446,0,target
89,0.016268969,0,off-target
89,0.007853852,0,target
90,0.011739078,0,off-target
90,0.009106192,0,target
91,0.025560344,0,off-target
91,0.004915336,0,target
92,0.009063062,0,off-target
92,0.008378051,0,target
93,0.007806031,0,off-target
93,0.013265304,0,target
94,0.012426422,0,off-target
94,0.006865215,0,target
95,0.008190437,0,off-target
95,0.011865227,0,target
96,0.007494828,0,off-target
96,0.015349082,0,target
97,0.009692641,0,off-target
97,0.01476618,0,target
98,0.018642094,0,off-target
98,0.00959057,0,target
99,0.015625812,0,off-target
99,0.007647035,0,target
100,0.013210031,0,off-target
100,0.005397539,0,target
101,0.01232861,0,off-target
101,0.014916531,0,target
102,0.009923828,0,off-target
102,0.00636491,0,target
103,0.010252813,0,off-target
103,0.005388828,0,target
104,0.010290578,0,off-target
104,0.006901,0,target
105,0.0065221717,0,off-target
105,0.0068780077,0,target
106,0.007772578,0,off-target
106,0.010124137,0,target
107,0.0049120467,0,off-target
107,0.004651176,0,target
108,0.008371875,0,off-target
108,0.0053199767,0,target
109,0.0038122656,0,off-target
109,0.015734488,0,target
110,0.0061351405,0,off-target
110,0.015169597,0,target
111,0.006751031,0,off-target
111,0.0083278045,0,target
112,0.007205375,0,off-target
112,0.027682656,0,target
113,0.008263141,0,off-target
113,0.0196528,0,target
114,0.010273078,0,off-target
114,0.01383127,0,target
115,0.009499766,0,off-target
115,0.0053778007,0,target
116,0.009841047,0,off-target
116,0.011295129,0,target
117,0.010670546,0,off-target
117,0.024715034,0,target
118,0.012316078,0,off-target
118,0.015064805,0,target
119,0.015629312,0,off-target
119,0.0077545857,0,target
120,0.0109609375,0,off-target
120,0.0023479415,0,target
121,0.0071411408,0,off-target
121,0.014841989,0,target
122,0.008030609,0,off-target
122,0.009060094,0,target
123,0.011231937,0,off-target
123,0.006614375,0,target
124,0.015318281,0,off-target
124,0.0080458205,0,target
125,0.0058639063,0,off-target
125,0.0077439533,0,target
126,0.006271922,0,off-target
126,0.008738516,0,target
127,0.0064342814,0,off-target
127,0.0063017346,0,target
128,0.009489281,0,off-target
128,0.010200914,0,target
129,0.0065992656,0,off-target
129,0.0069789765,0,target
130,0.00838511,0,off-target
130,0.00862457,0,target
131,0.008240469,0,off-target
131,0.005587969,0,target
132,0.0070460313,0,off-target
132,0.009195434,0,target
133,0.014055047,0,off-target
133,0.011641398,0,target
134,0.021061063,0,off-target
134,0.008716109,0,target
135,0.016526297,0,off-target
135,0.006328711,0,target
136,0.008926,0,off-target
136,0.0038892422,0,target
137,0.007539375,0,off-target
137,0.006032371,0,target
138,0.009389812,0,off-target
138,0.005097547,0,target
139,0.011582109,0,off-target
139,0.012432711,0,target
140,0.019975109,0,off-target
