t,ksd,seed,type
0,0.008573203,0,off-target
0,0.013200391,0,target
1,0.00857189,0,off-target
1,0.015667137,0,target
2,0.011796734,0,off-target
2,0.016236687,0,target
3,0.011073242,0,off-target
3,0.01407464,0,target
4,0.0148699535,0,off-target
4,0.012029352,0,target
5,0.026701462,0,off-target
5,0.0121273715,0,target
6,0.020119367,0,off-target
6,0.012312453,0,target
7,0.014269523,0,off-target
7,0.012267739,0,target
8,0.013666579,0,off-target
8,0.013151734,0,target
9,0.0119735,0,off-target
9,0.013395422,0,target
10,0.011334593,0,off-target
10,0.01092459,0,target
11,0.0106145,0,off-target
11,0.019985996,0,target
12,0.0063647577,0,off-target
12,0.017149879,0,target
13,0.0051330705,0,off-target
13,0.016871156,0,target
14,0.006111297,0,off-target
14,0.015067235,0,target
15,0.0064262813,0,off-target
15,0.015792165,0,target
16,0.008270211,0,off-target
16,0.010200175,0,target
17,0.007601906,0,off-target
17,0.012589563,0,target
18,0.00875018,0,off-target
18,0.014461742,0,target
19,0.008942695,0,off-target
19,0.010899473,0,target
20,0.009423172,0,off-target
20,0.009058008,0,target
21,0.007799914,0,off-target
21,0.011963547,0,target
22,0.0074046953,0,off-target
22,0.012066618,0,target
23,0.0065651485,0,off-target
23,0.009797461,0,target
24,0.008557102,0,off-target
24,0.010943481,0,target
25,0.009952453,0,off-target
25,0.011102524,0,target
26,0.010946625,0,off-target
26,0.008597218,0,target
27,0.009824547,0,off-target
27,0.0060467967,0,target
28,0.01679845,0,off-target
28,0.005563992,0,target
29,0.009223075,0,off-target
29,0.0075345896,0,target
30,0.00794136,0,off-target
30,0.0064489376,0,target
31,0.009463965,0,off-target
31,0.008007739,0,target
32,0.008877113,0,off-target
32,0.008376004,0,target
33,0.009088688,0,off-target
33,0.009595148,0,target
34,0.008994418,0,off-target
34,0.009305457,0,target
35,0.007369469,0,off-target
35,0.010160981,0,target
36,0.00801743,0,off-target
36,0.006417254,0,target
37,0.008486281,0,off-target
37,0.00765384,0,target
38,0.011545222,0,off-target
38,0.006800453,0,target
39,0.008402269,0,off-target
39,0.005937465,0,target
0,0.010493484,1,off-target
0,0.0123355035,1,target
1,0.009197094,1,off-target
1,0.009432645,1,target
2,0.010971063,1,off-target
2,0.008565355,1,target
