Tue Dec  6 22:24:17 2022    profile.o

         146142480 function calls (141306574 primitive calls) in 213.205 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   5398/1    0.095    0.000  213.228  213.228 {built-in method builtins.exec}
        1    0.013    0.013  213.228  213.228 experiments.py:1(<module>)
        1    0.225    0.225  197.219  197.219 experiments.py:26(run_bootstrap_experiment)
5971886/2819943    6.108    0.000  192.365    0.000 traceback_utils.py:138(error_handler)
4193096/2816443    9.074    0.000  161.955    0.000 dispatch.py:1068(op_dispatch_handler)
        4    0.003    0.001  145.557   36.389 ksd.py:159(find_modes)
        4    0.001    0.000  137.545   34.386 find_modes.py:95(find_modes)
        4    2.546    0.637  136.046   34.011 find_modes.py:13(merge_modes)
   251763    1.606    0.000   98.854    0.000 find_modes.py:4(pairwise_mahalanobis)
  2859869   77.760    0.000   77.760    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
  1494547    4.419    0.000   63.263    0.000 math_ops.py:1398(binary_op_wrapper)
258245/257843    4.020    0.000   50.014    0.000 array_ops.py:914(_slice_helper)
  1596950    1.116    0.000   37.282    0.000 trace.py:178(wrapped)
  1596950    5.186    0.000   36.166    0.000 ops.py:1572(convert_to_tensor)
        5    0.000    0.000   26.344    5.269 density.py:445(sample)
        5    0.042    0.008   26.344    5.269 data.py:388(sample)
    10005    0.473    0.000   26.285    0.003 data.py:361(_blocked_gibbs_next)
   774415    0.710    0.000   26.281    0.000 array_ops.py:1419(stack)
   531964    3.557    0.000   25.511    0.000 math_ops.py:3488(matmul)
   504114    0.411    0.000   24.734    0.000 math_ops.py:3819(matmul_wrapper)
  1208935    0.699    0.000   20.821    0.000 constant_op.py:170(constant)
  1208935    1.540    0.000   20.122    0.000 constant_op.py:271(_constant_impl)
  1208742    0.736    0.000   17.425    0.000 constant_op.py:302(_constant_eager_impl)
   800898    0.406    0.000   17.103    0.000 constant_op.py:340(_constant_tensor_conversion_function)
   282128    0.889    0.000   16.856    0.000 math_ops.py:1435(r_binary_op_wrapper)
  1208742   15.057    0.000   16.688    0.000 constant_op.py:74(convert_to_eager_tensor)
   530774    0.715    0.000   15.923    0.000 gen_math_ops.py:5986(mat_mul)
      134    0.025    0.000   15.616    0.117 ksd.py:30(u_p)
   261780    0.289    0.000   15.103    0.000 array_ops.py:2208(transpose_v2)
        2    0.001    0.000   14.898    7.449 ksd.py:426(test)
        6    0.000    0.000   14.639    2.440 bootstrap.py:80(test_once)
   294957    0.353    0.000   13.921    0.000 math_ops.py:1759(_mul_dispatch)
   261780    1.524    0.000   13.885    0.000 array_ops.py:2289(transpose)
   294957    0.243    0.000   11.741    0.000 math_ops.py:480(multiply)
   295671    0.426    0.000   11.511    0.000 gen_math_ops.py:6558(mul)
        2    0.001    0.000   11.194    5.597 ksd.py:340(test)
    20010    0.018    0.000   10.016    0.001 np_math_ops.py:48(dot)
    20012    0.035    0.000    9.999    0.000 np_math_ops.py:66(_bin_op)
      105    0.007    0.000    9.934    0.095 __init__.py:15(<module>)
        6    0.001    0.000    9.263    1.544 bootstrap.py:19(compute_test_statistic)
    20010    0.134    0.000    9.216    0.000 np_math_ops.py:51(f)
        2    0.002    0.001    9.147    4.573 ksd.py:296(find_optimal_param)
   647427    0.441    0.000    9.145    0.000 math_ops.py:544(subtract)
   647427    0.712    0.000    8.704    0.000 gen_math_ops.py:11071(sub)
  1802463    1.380    0.000    8.518    0.000 math_ops.py:1343(maybe_promote_tensors)
  3007864    3.014    0.000    8.478    0.000 ops.py:6670(name_scope)
        2    0.002    0.001    8.450    4.225 ksd.py:406(__call__)
   305183    0.675    0.000    8.391    0.000 math_ops.py:1728(_add_dispatch)
        2    0.000    0.000    7.806    3.903 models.py:6(check_log_prob)
        4    0.339    0.085    7.565    1.891 find_modes.py:112(pairwise_directions)
   261780    0.416    0.000    7.455    0.000 gen_array_ops.py:11849(transpose)
     86/6    0.001    0.000    7.230    1.205 deprecation.py:612(new_func)
     86/6    0.001    0.000    7.229    1.205 control_flow_ops.py:2331(while_loop_v2)
     86/6    0.016    0.000    7.229    1.205 control_flow_ops.py:2521(while_loop)
   317973    0.458    0.000    7.163    0.000 gen_math_ops.py:444(add_v2)
        6    0.024    0.004    7.158    1.193 langevin.py:136(run)
     2774    0.134    0.000    6.936    0.003 density.py:392(log_den)
       44    0.004    0.000    6.788    0.154 ksd.py:277(__call__)
       42    0.002    0.000    6.521    0.155 ksd.py:116(h1_var)
40020/20010    0.044    0.000    6.360    0.000 np_utils.py:596(cond)
    20010    0.094    0.000    6.279    0.000 np_math_ops.py:57(<lambda>)
   258111    0.376    0.000    6.255    0.000 array_ops.py:1168(strided_slice)
   258111    0.475    0.000    5.880    0.000 gen_array_ops.py:10522(strided_slice)
   1506/8    0.010    0.000    5.849    0.731 distribution.py:1218(sample)
   1506/8    0.017    0.000    5.849    0.731 distribution.py:1203(_call_sample_n)
        2    0.002    0.001    5.793    2.896 multinomial.py:246(_sample_n)
        2    0.000    0.000    5.790    2.895 multinomial.py:357(_sample_multinomial_as_iterated_binomial)
     1498    0.028    0.000    5.707    0.004 multinomial.py:390(fn)
   808166    0.400    0.000    5.671    0.000 array_ops.py:1579(_autopacking_conversion_function)
        6    0.001    0.000    5.374    0.896 bootstrap.py:32(compute_bootstrap)
      268    0.018    0.000    5.304    0.020 kernel.py:161(grad_second)
  5971886    1.697    0.000    5.138    0.000 traceback_utils.py:32(is_traceback_filtering_enabled)
  3636211    2.144    0.000    5.094    0.000 context.py:2161(executing_eagerly)
    20010    0.033    0.000    5.061    0.000 np_math_ops.py:60(<lambda>)
      134    0.002    0.000    4.988    0.037 kernel.py:134(bandwidth)
    20010    0.207    0.000    4.935    0.000 math_ops.py:4960(tensordot)
      134    0.006    0.000    4.746    0.035 kernel.py:21(median_heuristic)
   808166    0.903    0.000    4.490    0.000 array_ops.py:1569(_should_not_autopack)
15316784/15303119    2.551    0.000    4.467    0.000 {built-in method builtins.isinstance}
    10010    0.113    0.000    4.383    0.000 random_ops.py:40(random_normal)
  7577018    4.278    0.000    4.281    0.000 {built-in method builtins.getattr}
  4525/23    0.019    0.000    4.191    0.182 <frozen importlib._bootstrap>:986(_find_and_load)
  4507/15    0.015    0.000    4.190    0.279 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
  4400/16    0.016    0.000    4.187    0.262 <frozen importlib._bootstrap>:650(_load_unlocked)
